證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 加工收入,　　　　 加工收入,　　　　 加工收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 手續費支出,　　　　 非以透過損益按公允價值衡量之金融負債所產生之手續費費損,　　　　 手續費支出合計,　　　 賠償損失,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 減損迴轉利益,　　　　 金融資產減損迴轉利益,　　　　 減損迴轉利益合計,　　　 處分投資損失,　　　 外幣兌換損失,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　　 薪資支出,　　　 租金支出,　　　 旅費,　　　 運費,　　　 郵電費,　　　 修繕費,　　　 廣告費,　　　 水電瓦斯費,　　　 保險費,　　　 交際費,　　　 稅捐,　　　 折舊,　　　 伙食費,　　　 職工福利,　　　 佣金支出,　　　 訓練費,　　　 進出口費用,　　　 其他費用,　　　 薪資支出[duplicate]44,　　　 租金支出[duplicate]45,　　　 文具用品,　　　 旅費[duplicate]47,　　　 郵電費[duplicate]48,　　　 修繕費[duplicate]49,　　　 廣告費[duplicate]50,　　　 水電瓦斯費[duplicate]51,　　　 保險費[duplicate]52,　　　 交際費[duplicate]53,　　　 捐贈,　　　 稅捐[duplicate]55,　　　 呆帳損失,　　　 折舊[duplicate]57,　　　 伙食費[duplicate]58,　　　 職工福利[duplicate]59,　　　 訓練費[duplicate]60,　　　 其他費用[duplicate]61,　　　 薪資支出[duplicate]64,　　　 修繕費[duplicate]65,　　　 伙食費[duplicate]66,　 其他綜合損益(淨額),　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　　 各項攤提,　　　 稅捐[duplicate]54,　　　 折舊[duplicate]56,　　　 伙食費[duplicate]57,　　　 職工福利[duplicate]58,　　　 訓練費[duplicate]59,　　　 其他費用[duplicate]60,　　　 薪資支出[duplicate]63,　　　 修繕費[duplicate]64,　　　 伙食費[duplicate]65,　　　 伙食費[duplicate]64,　　　 其他費用[duplicate]65
1524,2015年第3季,,,,                560440,                560440,                      5,                    961,                559474,,,                 48811,                 48811,                 48811,                608285,,,                489005,                489005,                489005,                119280,                119280,,,                 44557,,                 36562,,                    909,                 82028,                 37252,,,,                     22,                     22,                              0,                  1256,                  1278,,                     26,                    108,                 20969,                              0,,                  1091,                  1091,                              0,                    227,                              0,                  1220,                 18565,,                 13785,                 13785,                  6058,                 43310,,                  7447,                  7447,                 35863,                 35863,                 35863,,                 35863,,                 35863,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,2015年第2季,,,,                540409,                540409,                      8,                  2952,                537449,,,                 61101,                 61101,                 61101,                598550,,,                515018,                515018,                515018,                 83532,                 83532,,,                 49097,,                 31821,,                    878,                 81796,                  1736,,,,                    168,                    168,,                  3023,                  3191,,                              0,                    223,                              0,                              0,,                    960,                    960,,                 80373,                      2,                     22,                -84530,,                 12252,                 12252,                -93591,                -91855,,                -15615,                -15615,                -76240,                -76240,                -76240,,                -76240,,                -76240,,                             -0.42,                             -0.42,,                             -0.42,                             -0.42,,                              0,                              0,                              0,                  3396,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,2015年01月01日至2015年09月30日,,,,              1647371,              1647371,                     19,                  7016,              1640336,,,                158317,                158317,                158317,              1798653,,,              1492771,              1492771,              1492771,                305882,                305882,,,                133891,,                103827,,                  2663,                240381,                 65501,,,,                    233,                    233,                              0,                  8018,                  8251,,                      2,                    459,                 13316,                              0,,                  3185,                  3185,                345101,                  3584,                              0,                    906,               -338999,,                 41076,                 41076,               -371824,               -306323,,                -51814,                -51814,               -254509,               -254509,               -254509,,               -254509,,               -254509,,                             -1.42,                             -1.42,,                             -1.42,                             -1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,2015年01月01日至2015年06月30日,,,,              1086931,              1086931,                     14,                  6055,              1080862,,,                109506,                109506,                109506,              1190368,,,              1003766,              1003766,              1003766,                186602,                186602,,,                 89334,,                 67265,,                  1754,                158353,                 28249,,,,                    211,                    211,,                  6762,                  6973,,                              0,                    351,                              0,                    314,,                  2094,                  2094,,                348458,                     24,                              0,               -357564,,                 27291,                 27291,               -377882,               -349633,,                -59261,                -59261,               -290372,               -290372,               -290372,,               -290372,,               -290372,,                             -1.62,                             -1.62,,                             -1.62,                             -1.62,,                              0,                              0,                              0,                  7653,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,2015年01月01日至2015年03月31日,,,,                546522,                546522,                      6,                  3103,                543413,,,                 48405,                 48405,                 48405,                591818,,,                488748,                488748,                488748,                103070,                103070,,,                 40237,,                 35444,,                    876,                 76557,                 26513,,,,                     43,                     43,,                  3739,                  3782,,                              0,                    128,                              0,                    336,,                  1134,                  1134,,                268085,                     22,                              0,               -273034,,                 15039,                 15039,               -284291,               -257778,,                -43646,                -43646,               -214132,               -214132,               -214132,,               -214132,,               -214132,,                             -1.19,                             -1.19,,                             -1.19,                             -1.19,,,                              0,,                  4257,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,2014年第3季,,,,                548339,                548339,                     57,                  2725,                545557,,,                 47220,                 47220,                 47220,                592777,,,                523830,                523830,                523830,                 68947,                 68947,,,                 44573,,                 27491,,                  1011,                 73075,                 -4128,,,,                     16,                     16,                  2793,                  2440,                  5249,,                              0,                     34,                  8741,                     18,,                  1547,                  1547,                              0,                    230,                      4,                              0,                  7012,,                 12222,                 12222,                     39,                 -4089,,                 -1218,                 -1218,                 -2871,                 -2871,                 -2871,,                 -2871,,                 -2871,,                             -0.02,                             -0.02,,                             -0.02,                             -0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,2014年第2季,,,,                530167,                530167,                              0,                  1701,                528466,,,                 54776,                 54776,                 54776,                583242,,,                490501,                490501,                490501,                 92741,                 92741,,,                 46416,,                 35919,,                  1078,                 83413,                  9328,,,,                    177,                    177,,                    983,                  1160,,                              0,                              0,                              0,                  1180,,                  2485,                  2485,,                    221,                      3,                              0,                 -9036,,                 11207,                 11207,                -19083,                 -9755,,                 -1386,                 -1386,                 -8369,                 -8369,                 -8369,,                 -8369,,                 -8369,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,,                              0,                              0,                      4,                  7503,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,2014年度,,,,              2265571,              2265571,                     86,                  9036,              2256449,,,                217798,                217798,                217798,              2474247,,,              2121467,              2121467,              2121467,                352780,                352780,,,                186423,,                146276,,                  4165,                336864,                 15916,,,,                    481,                    481,                  2793,                  5864,                  9138,,                  3764,                    101,                 33676,                  1521,,                  7245,                  7245,,                    875,                     33,                     42,                 30867,,                 47261,                 47261,                 -7256,                  8660,,                  2093,                  2093,                  6567,                  6567,                  8346,,                  6567,,                  8346,,                              0.04,                              0.04,,                              0.03,                              0.03,,                              0,                              0,,,,,                 44041,                              0,                    970,                 18119,                    896,                  2783,                  2156,                  8679,                  3928,                  1097,                  1481,                 14523,                    301,                  3330,                  3327,                      3,                 66015,                 14774,                 28422,                    388,                    112,                     61,                    547,                  1662,                    223,                  1031,                  3425,                  3281,                     10,                    423,                  2186,                  3847,                    190,                  1357,                     39,                 99072,                  4116,                     46,                      3,,                              0,                  2143,                    364,                  1779,,,,,,,,,,,,
1524,2014年01月01日至2014年09月30日,,,,              1640126,              1640126,                     60,                  6464,              1633602,,,                159223,                159223,                159223,              1792825,,,              1545890,              1545890,              1545890,                246935,                246935,,,                138334,,                 85441,,                  3174,                226949,                 19986,,,,                    306,                    306,                  2793,                  4530,                  7629,,                  3734,                     89,                 11884,                  1177,,                  5730,                  5730,                              0,                    648,                              0,                              0,                 10506,,                 35563,                 35563,                -17428,                  2558,,                  1014,                  1014,                  1544,                  1544,                  1544,,                  1544,,                  1544,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,2014年01月01日至2014年06月30日,,,,              1091787,              1091787,                      3,                  3739,              1088045,,,                112003,                112003,                112003,              1200048,,,              1022060,              1022060,              1022060,                177988,                177988,,,                 93761,,                 57950,,                  2163,                153874,                 24114,,,,                    290,                    290,,                  2090,                  2380,,                  3738,                     55,                  3143,                  1159,,                  4183,                  4183,,                    418,                              0,                              0,                  3494,,                 23341,                 23341,                -17467,                  6647,,                  2232,                  2232,                  4415,                  4415,                  4415,,                  4415,,                  4415,,                              0.02,                              0.02,,                              0.02,                              0.02,,                              0,                              0,                              0,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
