證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　　 處分投資利益
5243,2015年第3季,,              2297435,,              2038289,                259146,                259146,,,                 46169,,                133600,,                 50520,                230289,                 28857,,,,                  1634,                  4155,                  8426,                 14215,,                    789,                 39841,                    280,                              0,                              0,                 40350,,                  1242,                  1242,,                  3545,                 56868,                 85725,,                  9338,                 76387,                 76387,,,                418184,                418184,,               -230737,               -230737,                187447,                263834,,                 80932,                 -4545,,                265793,                 -1959,,                              0.46,                              0.46,,                              0.46,                              0.46,,,,,,
5243,2015年第2季,,              1877731,,              1611193,                266538,                266538,,,                 64752,,                102399,,                 38259,                205410,                 61128,,,,                  3680,                  2094,                    469,                  6243,,                  2165,                  5000,                    154,                              0,                              0,                  7011,,                  1667,                  1667,,                  4235,                 15822,                 76950,,                  8171,                 68779,                 68779,,,                -95114,                -95114,,                 -2308,                 -2308,                -97422,                -28643,,                 73525,                 -4746,,                -23031,                 -5612,,                              0.41,                              0.41,,                              0.40,                              0.40,,,,,,
5243,2015年01月01日至2015年09月30日,,              6110329,,              5330060,                780269,                780269,,,                163363,,                317130,,                126052,                606545,                173724,,,,                 10828,                  8541,                  9180,                 28549,,                    934,                 29478,                  3500,                              0,                              0,                 26912,,                  4529,                  4529,,                 11695,                 62627,                236351,,                 23955,                212396,                212396,,,                247566,                247566,,               -257950,               -257950,                -10384,                202012,,                225856,                -13460,,                214916,                -12904,,                              1.26,                              1.26,,                              1.25,                              1.25,,,,,,
5243,2015年01月01日至2015年06月30日,,              3812894,,              3291771,                521123,                521123,,,                117194,,                183530,,                 75532,                376256,                144867,,,,                  9194,                  4386,                    754,                 14334,,                    145,                              0,                  3220,                              0,                 10363,                -13438,,                  3287,                  3287,,                  8150,                  5759,                150626,,                 14617,                136009,                136009,,,               -170618,               -170618,,                -27213,                -27213,               -197831,                -61822,,                144924,                 -8915,,                -50877,                -10945,,                              0.80,                              0.80,,                              0.80,                              0.80,,,,,,
5243,2015年01月01日至2015年03月31日,,              1935163,,              1680578,                254585,                254585,,,                 52442,,                 81131,,                 37273,                170846,                 83739,,,,                  5514,                  2292,                    285,                  8091,,,,                  3066,                  2020,                 15363,                -20449,,                  1620,                  1620,,                  3915,                -10063,                 73676,,                  6446,                 67230,                 67230,,,                -75504,                -75504,,                -24905,                -24905,               -100409,                -33179,,                 71399,                 -4169,,                -27846,                 -5333,,                              0.40,                              0.40,,                              0.39,                              0.39,,              1935163,,              1680578,,
5243,2014年第3季,,              2744528,,              2333680,                410848,                410848,,,                 69180,,                139097,,                 42871,                251148,                159700,,,,                  3235,                  2462,                 28293,                 33990,,                              0,                              0,                    705,                  5893,                  7436,                -14034,,                  1831,                  1831,,                  1525,                 19650,                179350,,                 24655,                154695,                154695,,,                115248,                115248,,                -17577,                -17577,                 97671,                252366,,                160461,                 -5766,,                256788,                 -4422,,                              0.89,                              0.89,,                              0.89,                              0.89,,,,,,
5243,2014年第2季,,              2617004,,              2179347,                437657,                437657,,,                 90725,,                158500,,                 55901,                305126,                132531,,,,                  2678,                  2477,                  1051,                  6206,,                              0,                  7929,                    341,                    303,                              0,                  7285,,                  2745,                  2745,,                  1362,                 12108,                144639,,                 15547,                129092,                129092,,,               -129339,               -129339,,                  5230,                  5230,               -124109,                  4983,,                132613,                 -3521,,                 17267,                -12284,,                              0.73,                              0.73,,                              0.73,                              0.73,,,,,,
5243,2014年度,,              9845780,,              8313292,              1532488,              1532488,,,                264839,,                501012,,                197969,                963820,                568668,,,,                 10111,                  9023,                 38807,                 57941,,                              0,,                  2743,                  9094,                 38044,                -49881,,                  8095,                  8095,,                  9680,                  9645,                578313,,                 45332,                532981,                532981,,,,,,,,                317086,                850067,,                544199,                -11218,,                865793,                -15726,,                              3.01,                              3.01,,                              2.99,                              2.99,,,,,                317086,
5243,2014年01月01日至2014年09月30日,,              7293633,,              6120160,              1173473,              1173473,,,                217252,,                410886,,                144783,                772921,                400552,,,,                  7270,                  7438,                 29366,                 44074,,                              0,                              0,                  1875,                  6399,                  4726,                -13000,,                  6617,                  6617,,                  4651,                 29108,                429660,,                 42987,                386673,                386673,,,                123598,                123598,,                -36471,                -36471,                 87127,                473800,,                397069,                -10396,,                492467,                -18667,,                              2.20,                              2.20,,                              2.19,                              2.19,,,,,,
5243,2014年01月01日至2014年06月30日,,              4549105,,              3786480,                762625,                762625,,,                148072,,                271789,,                101912,                521773,                240852,,,,                  4035,                  4976,                  1073,                 10084,,                              0,                  2710,                  1170,                    506,                              0,                  1034,,                  4786,                  4786,,                  3126,                  9458,                250310,,                 18332,                231978,                231978,,,                  8350,                  8350,,                -18894,                -18894,                -10544,                221434,,                236608,                 -4630,,                235679,                -14245,,                              1.31,                              1.31,,                              1.30,                              1.30,,,,,,
