證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
2841,2015年第3季,,                151776,,                 33121,                118655,                118655,,,                 73779,,                140006,                213785,                -95130,,,                  1583,,                369148,,                 21214,,                    571,                350088,                254958,,                 57939,                197019,                197019,,,                  1868,                  1868,                  1868,                198887,,                197198,                   -179,,                199066,                   -179,,                              0.28,                              0.28,,                              0.28,                              0.28,
2841,2015年第2季,,                148317,,                 28946,                119371,                119371,,,                 73289,,                104747,                178036,                -58665,,,                  6024,,                308022,,                 22499,,                   -869,                290678,                232013,,                 41431,                190582,                190582,,,                   -696,                   -696,                   -696,                189886,,                190663,                    -81,,                189967,                    -81,,                              0.30,                              0.30,,                              0.30,                              0.30,
2841,2015年度,,                592069,,                130416,                461653,                461653,,,                322320,,                516175,                838495,               -376842,,,                 12532,,              2641111,,                 69425,,                 -8230,              2575988,              2199146,,                159541,              2039605,              2039605,,,                 -1004,                 -1004,                 -1004,              2038601,,              2040076,                   -471,,              2039072,                   -471,,                              2.92,                              2.92,,                              2.88,                              2.88,
2841,2015年01月01日至2015年09月30日,,                384626,,                 89205,                295421,                295421,,,                217398,,                366222,                583620,               -288199,,,                  8837,,                677173,,                 56122,,                 -1344,                628544,                340345,,                100408,                239937,                239937,,,                    689,                    689,                    689,                240626,,                240282,                   -345,,                240971,                   -345,,                              0.34,                              0.34,,                              0.34,                              0.34,
2841,2015年01月01日至2015年06月30日,,                232850,,                 56084,                176766,                176766,,,                143619,,                226216,                369835,               -193069,,,                  7254,,                308025,,                 34908,,                 -1915,                278456,                 85387,,                 42469,                 42918,                 42918,,,                 -1179,                 -1179,                 -1179,                 41739,,                 43084,                   -166,,                 41905,                   -166,,                              0.07,                              0.07,,                              0.07,                              0.07,
2841,2015年01月01日至2015年03月31日,,                 84533,,                 27138,                 57395,                 57395,,,                 70330,,                121469,                191799,               -134404,,,                  1230,,                      3,,                 12409,,                 -1046,                -12222,               -146626,,                  1038,               -147664,               -147664,,,                   -483,                   -483,                   -483,               -148147,,               -147579,                    -85,,               -148062,                    -85,,                             -0.23,                             -0.23,,,,
2841,2014年第3季,,                 70719,,                 10500,                 60219,                 60219,,,                 81860,,                 96632,                178492,               -118273,,,                    342,,                -28903,,                  5734,,                 -1368,                -35663,               -153936,,                -10291,               -143645,               -143645,,,                  1338,                  1338,                  1338,               -142307,,               -143617,                    -28,,               -142279,                    -28,,                             -0.20,                             -0.20,,                             -0.20,                             -0.20,
2841,2014年第2季,,                 83994,,                 13814,                 70180,                 70180,,,                 30566,,                110971,                141537,                -71357,,,                 17668,,                 -3139,,                 -6254,,                 -1073,                 19710,                -51647,,                 10983,                -62630,                -62630,,,                   -993,                   -993,                   -993,                -63623,,                -62630,                              0,,                -63623,                              0,,                             -0.10,                             -0.10,,                             -0.10,                             -0.10,
2841,2014年第1季,,                169879,,                 16024,                153855,                153855,,,                 40268,,                 90566,                130834,                 23021,,,                  1212,,                 -3413,,                 12628,,,                -14829,                  8192,,                 -1538,                  9730,                  9730,,,,,                   -209,                  9521,,                  9730,                              0,,                  9521,                              0,,                              0.02,                              0.02,,                              0.02,                              0.02,                   -209
2841,2014年度,,              1791486,,                 61061,              1730425,              1730425,,,                311182,,                462134,                773316,                957109,,,                 23537,,              4498881,,                 15692,,                 -3279,              4503447,              5460556,,                148541,              5312015,              5312015,,,                  1753,                  1753,                  1753,              5313768,,              5312165,                   -150,,              5313918,                   -150,,                              7.39,                              7.39,,                              7.38,                              7.38,
2841,2014年01月01日至2014年09月30日,,                324592,,                 32469,                292123,                292123,,,                160563,,                298169,                458732,               -166609,,,                 19222,,                -35455,,                 12108,,                 -2441,                -30782,               -197391,,                   -846,               -196545,               -196545,,,                    136,                    136,                    136,               -196409,,               -196517,                    -28,,               -196381,                    -28,,                             -0.27,                             -0.27,,                             -0.27,                             -0.27,
2841,2014年01月01日至2014年06月30日,,                253873,,                 21969,                231904,                231904,,,                 78703,,                201537,                280240,                -48336,,,                 18880,,                 -6552,,                  6374,,                 -1073,                  4881,                -43455,,                  9445,                -52900,                -52900,,,                 -1202,                 -1202,                 -1202,                -54102,,                -52900,                              0,,                -54102,                              0,,                             -0.08,                             -0.08,,                             -0.08,                             -0.08,
2841,2014年01月01日至2014年03月31日,,                169879,,                 16024,                153855,                153855,,,                 40268,,                 90566,                130834,                 23021,,,                  1212,,                 -3413,,                 12628,,                              0,                -14829,                  8192,,                 -1538,                  9730,                  9730,,,                   -209,                   -209,                   -209,                  9521,,                  9730,                              0,,                  9521,                              0,,                              0.02,                              0.02,,,,
2841,2013年第3季,,              1351862,,                898283,                453579,                453579,,,                 80035,,                 65129,                145164,                308415,,,                  3117,,                 -2863,,                 17766,,                              0,                -17512,                290903,,                 -4147,                295050,                295050,,,,,                   -671,                294379,,                295050,                              0,,                294379,                              0,,                              0.45,                              0.45,,                              0.45,                              0.45,                   -671
2841,2013年第2季,,                412416,,                -12477,                424893,                424893,,,                 51074,,                 78053,                129127,                295766,,,                  3412,,                 -2958,,                 19784,,                              0,                -19330,                276436,,                 13671,                262765,                262765,,,,,                  1018,                263783,,                262765,                              0,,                263783,                              0,,                              0.43,                              0.43,,                              0.43,                              0.43,                  1018
2841,2013年第1季,,                 26091,,                 18916,                  7175,                  7175,,,                 46523,,                 60065,                106588,                -99413,,,                    981,,                 -2613,,                 17785,,,                -19417,               -118830,,                  1070,               -119900,               -119900,,,,,                  1832,               -118068,,               -119900,                              0,,               -118068,                              0,,                             -0.20,                             -0.20,,                             -0.20,                             -0.20,                  1832
2841,2013年度,,              2536417,,              1078250,              1458167,              1458167,,,                281261,,                288350,                569611,                888556,,,                 15718,,              1666235,,                 18394,,                              0,              1663559,              2552115,,                 51153,              2500962,              2500962,,,,,                  3172,              2504134,,              2500962,                              0,,              2504134,                              0,,                              3.87,                              3.87,,                              3.86,                              3.86,                  3172
2841,2013年07月01日至2013年09月30日,,              1351861,,                909983,                441878,                441878,,,                 80034,,                 54006,                134040,                307838,,,                  3117,,                 -2535,,                 17766,,,                -17184,                290654,,                 -4146,                294800,                294800,,,,,                   -671,                294129,,                294800,                              0,,                294129,                              0,,                              0.47,                              0.47,,                              0.47,                              0.47,                   -671
2841,2013年04月01日至2013年06月30日,,                412417,,                -11843,                424260,                424260,,,                 51075,,                 78053,                129128,                295132,,,                  3413,,                 -2632,,                 19784,,,                -19003,                276129,,                 13671,                262458,                262458,,,,,                  1018,                263476,,                262458,                              0,,                263476,                              0,,                              0.43,                              0.43,,                              0.43,                              0.43,                  1018
2841,2013年01月01日至2013年12月31日,,              2536417,,              1080643,              1455774,              1455774,,,                281261,,                288350,                569611,                886163,,,                 15718,,                -34458,,                 18394,,,                -37134,                849029,,                  5877,                843152,                843152,,,,,                  3172,                846324,,                843152,                              0,,                846324,                              0,,                              1.37,                              1.37,,                              1.37,                              1.37,                  3172
