證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
4915,2014年01月01日至2014年03月31日,,             11602651,,             10178132,              1424519,              1424519,,,                323902,,                217643,,                385705,                927250,                497269,,,                 84214,,                -25870,,                109131,,                              0,,                              0,                -50787,                446482,,                101224,                345258,                345258,,,                 57131,                    346,                 57477,                 57477,                402735,,                322791,                 22467,,                377131,                 25604,,,                              0.75,,,                              0.74,,,,             11602651,             11602651,,             10178132,,,
4915,2013年第3季,,             10358900,,              9274181,              1084719,              1084719,,,                281412,,                187180,,                356399,                824991,                259728,,,                 38144,,                 -6622,,                  3527,,,,,                 27995,                287723,,                 85712,                202011,                202011,,,,,,                -43078,                158933,,                202005,                      6,,                158927,                      6,,                              0.47,                              0.47,,                              0.46,                              0.46,,,,,,,,                -42763,                   -315,
4915,2013年第2季,,             10314590,,              9277046,              1037544,              1037544,,,                258276,,                196061,,                350212,                804549,                232995,,,                 51880,,                 58811,,                  6540,,,,,                104151,                337146,,                 81839,                255307,                255307,,,,,,                 89492,                344799,,                255307,                              0,,                344793,                      6,,                              0.59,                              0.59,,                              0.58,                              0.58,,,,,,,,                 89320,                    172,
4915,2013年度,,             42319988,,             38567293,              3752695,              3752695,,,              1023599,,                696153,,              1338499,              3058251,                694444,,,                176503,,                 59451,,                 19646,,,,,                216308,                910752,,                242198,                668554,                668554,,,,,,                239067,                907621,,                668548,                      6,,                907589,                     32,,                              1.55,                              1.55,,                              1.53,                              1.53,,,,,,,,                238065,                   -238,                  1240
4915,2013年07月01日至2013年09月30日,,             10358900,,              9274181,              1084719,              1084719,,,                281412,,                187180,,                356399,                824991,                259728,,,                 38144,,                 -6622,,                  3527,,,,,                 27995,                287723,,                 85712,                202011,                202011,,,,,,                -43078,                158933,,                202005,                      6,,                158927,                      6,,                              0.47,                              0.47,,                              0.46,                              0.46,,,,,,,,                -42763,                   -315,
4915,2013年04月01日至2013年06月30日,,             10314590,,              9277046,              1037544,              1037544,,,                258276,,                196061,,                350212,                804549,                232995,,,                 51880,,                 58811,,                  6540,,,,,                104151,                337146,,                 81839,                255307,                255307,,,,,,                 89492,                344799,,                255307,                              0,,                344793,                      6,,                              0.59,                              0.59,,                              0.58,                              0.58,,,,,,,,                 89320,                    172,
4915,2013年01月01日至2013年12月31日,,             42319988,,             38567293,              3752695,              3752695,,,              1023599,,                696153,,              1338499,              3058251,                694444,,,                176503,,                 59451,,                 19646,,,,,                216308,                910752,,                242198,                668554,                668554,,,,,,                239067,                907621,,                668548,                      6,,                907589,                     32,,                              1.55,                              1.55,,                              1.53,                              1.53,,,,,,,,                238065,                   -238,                  1240
4915,2013年01月01日至2013年09月30日,,             31256088,,             28163207,              3092881,              3092881,,,                773725,,                562412,,              1013550,              2349687,                743194,,,                131028,,                 67527,,                 12918,,,,,                185637,                928831,,                241528,                687303,                687303,,,,,,                152526,                839829,,                687297,                      6,,                839797,                     32,,                              1.60,                              1.60,,                              1.57,                              1.57,,,,,,,,                152960,                   -434,
4915,2013年01月01日至2013年06月30日,,             20897188,,             18889026,              2008162,              2008162,,,                492313,,                375232,,                657151,              1524696,                483466,,,                 92884,,                 74149,,                  9391,,,,,                157642,                641108,,                155816,                485292,                485292,,,,,,                195604,                680896,,                485292,                              0,,                680870,                     26,,                              1.13,                              1.13,,                              1.11,                              1.11,,,,,,,,                195723,                   -119,
4915,2013年01月01日至2013年03月31日,,             10582598,,              9611980,                970618,                970618,,,                234037,,                179171,,                306939,                720147,                250471,,,                 41004,,                 15338,,                  2851,,,,,                 53491,                303962,,                 73977,                229985,                229985,,,,,,                106112,                336097,,                229985,                              0,,                336077,                     20,,,                              0.54,,,                              0.53,,,,             10582598,             10582598,,              9611980,                106403,                   -291,
4915,2012年07月01日至2012年09月30日,,             10708690,,              9685525,              1023165,              1023165,,,                215436,,                206940,,                364670,                787046,                236119,,,                 64728,,                 50260,,                 16917,,,,,                 98071,                334190,,                 97913,                236277,                236277,,,,,,                -77412,                158865,,                236277,                              0,,                158861,                      4,,                              0.59,                              0.59,,                              0.58,                              0.58,,,,,,,,                -77412,                              0,
4915,2012年04月01日至2012年06月30日,,             10633364,,              9628674,              1004690,              1004690,,,                214532,,                122620,,                321958,                659110,                345580,,,                 44157,,                 35173,,                 10914,,,,,                 68416,                413996,,                 85117,                328879,                328879,,,,,,                 29530,                358409,,                328870,                      9,,                358402,                      7,,                              0.82,                              0.82,,                              0.81,                              0.81,,,,,,,,                 29530,                              0,
4915,2012年01月01日至2012年12月31日,,             43132771,,             38635494,              4497277,              4497277,,,              1082777,,                652849,,              1357555,              3093181,              1404096,,,                179019,,                 47912,,                 54137,,,,,                172794,              1576890,,                393192,              1183698,              1183698,,,,,,               -137661,              1046037,,              1183461,                    237,,              1045995,                     42,,                              2.91,                              2.91,,                              2.84,                              2.84,,,,,,,,               -138097,                              0,                    436
4915,2012年01月01日至2012年09月30日,,             31444511,,             28315637,              3128874,              3128874,,,                781922,,                467769,,                977512,              2227203,                901671,,,                162065,,                 92784,,                 52174,,,,,                202675,              1104346,,                238951,                865395,                865395,,,,,,               -137809,                727586,,                865429,                    -34,,                727613,                    -27,,                              2.16,                              2.16,,                              2.12,                              2.12,,,,,,,,               -137809,                              0,
4915,2012年01月01日至2012年06月30日,,             20735821,,             18630112,              2105709,              2105709,,,                566486,,                260829,,                612842,              1440157,                665552,,,                 97337,,                 42524,,                 35257,,,,,                104604,                770156,,                141038,                629118,                629118,,,,,,                -60397,                568721,,                629152,                    -34,,                568752,                    -31,,                              1.57,                              1.57,,                              1.55,                              1.55,,,,,,,,                -60397,                              0,
4915,2012年01月01日至2012年03月31日,,             10102457,,              9001438,              1101019,              1101019,,,                351954,,                138209,,                290884,                781047,                319972,,,                 53180,,                  7351,,                 24343,,,,,                 36188,                356160,,                 55921,                300239,                300239,,,,,,                -89927,                210312,,                300282,                    -43,,                210350,                    -38,,,                              0.75,,,                              0.75,,,,             10102457,             10102457,,              9001438,                -89927,                              0,
