證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　 停業單位損益,　　 停業單位損益合計,　　 備供出售金融資產未實現評價損益
1614,2014年01月01日至2014年03月31日,,              1038262,,                873016,                165246,                165246,,,                117170,,                 24783,,                 11849,                153802,                 11444,,,                  3490,,                 -6520,,                    881,                 -3911,                  7533,,                    617,                  6916,                  6916,,,                 -6048,                 -6048,                 -6048,                    868,,                  6222,                    694,,                    175,                    693,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,,,
1614,2013年第3季,,              1428946,,              1190387,                238559,                238559,,,                141920,,                 23761,,                 11515,                177196,                 61363,,,                 16201,,                  2611,,                    909,                 17903,                 79266,,                 12706,                 66560,                 66560,,,,,                  7775,                 74335,,                 63869,                  2691,,                 71644,                  2691,,                              0.22,                              0.22,,,,,,,,,,                  7775
1614,2013年第2季,,              1563414,,              1319110,                244304,                244304,,,                143242,,                 24118,,                 12527,                179887,                 64417,,,                 12543,,                    792,,                    868,                 12467,                 76884,,                  7824,                 69060,                 69060,,,,,                 -2575,                 66485,,                 67756,                  1304,,                 65181,                  1304,,                              0.22,                              0.22,,,,,,,,,,                 -2575
1614,2013年度,,              5194534,,              4270770,                923764,                923764,,,                558940,,                 91468,,                 47611,                698019,                225745,,,                 44857,,                 20014,,                  3523,                 61348,                287093,,                 40877,                246216,                246216,,,,,                 18805,                265021,,                240926,                  5290,,                259730,                  5291,,,                              0.84,,,                              0.84,,              5194534,,              4270770,,                              0,                 18805
1614,2013年07月01日至2013年09月30日,,              1428946,,              1190387,                238559,                238559,,,                141920,,                 23761,,                 11515,                177196,                 61363,,,                 16201,,                  2611,,                    909,                 17903,                 79266,,                 12706,                 66560,                 66560,,,,,                  7775,                 74335,,                 63869,                  2691,,                 71644,                  2691,,,                              0.22,,,                              0.22,,,,,,,                  7775
1614,2013年04月01日至2013年06月30日,,              1563414,,              1319110,                244304,                244304,,,                143242,,                 24118,,                 12527,                179887,                 64417,,,                 12543,,                    792,,                    868,                 12467,                 76884,,                  7824,                 69060,                 69060,,,,,                 -2575,                 66485,,                 67756,                  1304,,                 65181,                  1304,,                              0.22,                              0.22,,,,,,,,,                              0,                 -2575
1614,2013年01月01日至2013年12月31日,,              5194534,,              4270770,                923764,                923764,,,                558940,,                 91468,,                 47611,                698019,                225745,,,                 44857,,                 20014,,                  3523,                 61348,                287093,,                 40877,                246216,                246216,,,,,                 18805,                265021,,                240926,                  5290,,                259730,                  5291,,,                              0.84,,,                              0.84,,              5194534,,              4270770,,                              0,                 18805
1614,2013年01月01日至2013年09月30日,,              4138882,,              3471777,                667105,                667105,,,                428102,,                 75174,,                 35597,                538873,                128232,,,                 33140,,                 19803,,                  2589,                 50354,                178586,,                 23675,                154911,                154911,,,,,                 12142,                167053,,                150333,                  4578,,                162475,                  4578,,                              0.51,                              0.51,,,,,,,,,,                 12142
1614,2013年01月01日至2013年06月30日,,              2709936,,              2281390,                428546,                428546,,,                286182,,                 51413,,                 24082,                361677,                 66869,,,                 16939,,                 17192,,                  1680,                 32451,                 99320,,                 10970,                 88350,                 88350,,,,,                  4368,                 92718,,                 86463,                  1887,,                 90831,                  1887,,                              0.28,                              0.28,,,,,,,,,,                  4368
1614,2013年01月01日至2013年03月31日,,              1146522,,                962280,                184242,                184242,,,                142940,,                 27295,,                 11555,                181790,                  2452,,,                  4396,,                 16400,,                    812,                 19984,                 22436,,                  3146,                 19290,                 19290,,,,,                  6943,                 26233,,                 18707,                    583,,                 25650,                    583,,                              0.06,                              0.06,,,,,,,,,,                  6943
1614,2012年07月01日至2012年09月30日,,              1676312,,              1428544,                247768,                247768,,,                150478,,                 19474,,                 10324,                180276,                 67492,,,                  5990,,                  4639,,                    786,                  9843,                 77335,,                 16163,                 61172,                 61172,,,,,                  3971,                 65143,,                 58961,                  2211,,                 62903,                  2240,,,                              0.19,,,                              0.19,,,,,,,                  3971
1614,2012年04月01日至2012年06月30日,,              1741395,,              1477684,                263711,                263711,,,                149914,,                 25946,,                 11048,                186908,                 76803,,,                 12586,,                  2062,,                    802,                 13846,                 90649,,                 20407,                 70242,                 70242,,,,,                 -2209,                 68033,,                 68986,                  1256,,                 66779,                  1254,,                              0.23,                              0.23,,,,,,,,,                              0,                 -2209
1614,2012年01月01日至2012年12月31日,,              6512431,,              5455918,              1056513,              1056513,,,                555900,,                119224,,                 45246,                720370,                336143,,,                 31444,,                 -2018,,                  3093,                 26333,                362476,,                 63593,                298883,                298883,,,,,                  8648,                307531,,                294549,                  4334,,                303168,                  4363,,,                              0.97,,,                              0.96,,              6512431,,              5455918,,                              0,                  8648
1614,2012年01月01日至2012年09月30日,,              5437752,,              4647251,                790501,                790501,,,                454279,,                 71051,,                 32668,                557998,                232503,,,                 19389,,                 14598,,                  2273,                 31714,                264217,,                 52172,                212045,                212045,,,,,                  4276,                216321,,                207984,                  4061,,                212231,                  4090,,,                              0.68,,,                              0.68,,,,,,,                  4276
1614,2012年01月01日至2012年06月30日,,              3755990,,              3218707,                537283,                537283,,,                303801,,                 51577,,                 22345,                377723,                159560,,,                 18849,,                  9959,,                  1487,                 27321,                186881,,                 36008,                150873,                150873,,,,,                    305,                151178,,                149023,                  1850,,                149328,                  1850,,                              0.49,                              0.49,,,,,,,,,                              0,                    305
1614,2012年01月01日至2012年03月31日,,              2014595,,              1741023,                273572,                273572,,,                153887,,                 25631,,                 11297,                190815,                 82757,,,                  6263,,                  7897,,                    685,                 13475,                 96232,,                 15601,                 80631,                 80631,,,,,                  2514,                 83145,,                 80037,                    594,,                 82549,                    596,,                              0.26,                              0.26,,,,,,,,,,                  2514
