證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 外幣兌換利益,　　　 採用權益法認列之關聯企業及合資利益之份額,　 未實現銷貨（損）益,　　 現金流量避險,　　 銷貨成本,　　　 銷貨成本合計,　　 其他綜合損益
2330,2015年第3季,,,            212504909,            212504909,,            110188424,            102316485,                 19271,            102335756,,,              1377131,,              4296668,,             16486365,             22160164,,             -1786668,             78388924,,,              1066001,              1066001,,              3806781,,                792941,,                925854,              5005695,             83394619,,              8077319,             75317300,             75317300,,,,,,,,,             13245566,             -3622659,,               -354145,                -15553,              9284315,              9284315,             84601615,,             75329224,                -11924,,             84613016,                -11401,,                              2.91,                              2.91,,                              2.91,                              2.91,,,,,,,,,,,,,
2330,2015年第2季,,,            205439752,            205439752,,            105735807,             99703945,                  1011,             99704956,,,              1479419,,              4463580,,             16612213,             22555212,,                -80686,             77069058,,,              1544750,              1544750,,             19485527,,                783401,,                815749,             21062625,             98131683,,             18718779,             79412904,             79412904,,,,,,,,,             -3368788,            -16627929,,               -249353,                 13311,            -20259381,            -20259381,             59153523,,             79417514,                 -4610,,             59161055,                 -7532,,                              3.06,                              3.06,,                              3.06,                              3.06,,,,,,,,,,,,,
2330,2015年第1季,,,,            222034144,,            112585333,            109448811,                -19547,            109429264,,,              1390996,,              4366053,,             16781463,             22538512,,               -264629,             86626123,,,                881782,                881782,,                410368,,                793942,,              1134649,              1632857,             88258980,,              9275072,             78983908,             78983908,,,,,,,,,             -2279138,               -204815,,                843163,                  4793,             -1645583,             -1645583,             77338325,,             78989911,                 -6003,,             77351478,                -13153,,,                              3.05,,,                              3.05,,,,,,,,,,,,,
2330,2015年度,,,            843497368,            843497368,,            433117601,            410379767,                 15126,            410394893,,,              5664684,,             17257237,,             65544579,             88466500,,             -1880618,            320047775,,,              4750829,              4750829,,             24688510,,              3190331,,              4132128,             30381136,            350428911,,             43872744,            306556167,            306556167,,,               -827703,,                 -2546,                -99326,               -730923,,              6604768,            -20489015,,                -83021,                 15991,            -13983259,            -14714182,            291841985,,            306573837,                -17670,,            291867757,                -25772,,                             11.82,                             11.82,,                             11.82,                             11.82,,,,,,,,,,,,,
2330,2015年01月01日至2015年09月30日,,,            639978805,            639978805,,            328509564,            311469241,                    735,            311469976,,,              4247546,,             13126301,,             49880041,             67253888,,             -2131983,            242084105,,,              3492533,              3492533,,             23702676,,              2370284,,              2876252,             27701177,            269785282,,             36071170,            233714112,            233714112,,,,,,,,,              7597640,            -20455403,,                239665,                  2551,            -12620649,            -12620649,            221093463,,            233736649,                -22537,,            221125549,                -32086,,                              9.01,                              9.01,,                              9.01,                              9.01,,,,,,,,,,,,,
2330,2015年01月01日至2015年06月30日,,,            427473896,            427473896,,            218321140,            209152756,                -18536,            209134220,,,              2870415,,              8829633,,             33393676,             45093724,,               -345315,            163695181,,,              2426532,              2426532,,             19895895,,              1577343,,              1950398,             22695482,            186390663,,             27993851,            158396812,            158396812,,,,,,,,,             -5647926,            -16832744,,                593810,                 18104,            -21904964,            -21904964,            136491848,,            158407425,                -10613,,            136512533,                -20685,,                              6.11,                              6.11,,                              6.11,                              6.11,,,,,,,,,,,,,
2330,2014年第3季,,,            209049734,            209049734,,            103471256,            105578478,                 -3206,            105575272,,,              1323259,,              4612193,,             15207282,             21142734,,                 -5300,             84427238,,,                688325,                688325,,                 40410,,                816054,,              1036725,                949406,             85376644,,              9076017,             76300627,             76300627,,,,,,,,,              3410878,                  8120,,                -36019,                  2622,              3380357,              3380357,             79680984,,             76331255,                -30628,,             79711149,                -30165,,                              2.94,                              2.94,,                              2.94,                              2.94,,,,,,,,,,,,,
2330,2014年第2季,,,            183020484,            183020484,,             91826284,             91194200,                 -4369,             91189831,,,              1234897,,              5408174,,             13610337,             20253408,,               -227251,             70709172,,,              1316583,              1316583,,              1821442,,                801450,,              1047825,              3384400,             74093572,,             14437693,             59655879,             59655879,,,,,,,,,             -3052142,                -31156,,                 -1274,                 14079,             -3098651,             -3098651,             56557228,,             59698303,                -42424,,             56600673,                -43445,,                              2.30,                              2.30,,                              2.30,                              2.30,,,,,,,,,,,,,
2330,2014年第1季,,,,            148215172,,             77839185,             70375987,                 21017,             70397004,,,              1152780,,              4655977,,             12067892,             17876649,,                 -2741,             52517614,,,                613699,                613699,,                  6983,,                796580,,                955609,                779711,             53297325,,              5455495,             47841830,             47841830,,,,,,,,,              2831381,               -415445,,                 -4747,                 -2956,              2414145,              2414145,             50255975,,             47866793,                -24963,,             50279714,                -23739,,,                              1.85,,,                              1.85,,,,,,,,,,,,,
2330,2014年度,,,            762806465,            762806465,,            385113005,            377693460,                 28556,            377722016,,,              5087420,,             18933335,,             56828815,             80849570,,             -1002137,            295870309,,,              3380407,              3380407,,              2113517,,              3236345,,              3950469,              6208048,            302078357,,             38314399,            263763958,            263763958,,,                258482,,                -15664,                 31952,                210866,,             11771129,                -36559,,               -135284,                  5131,             11594155,             11805021,            275568979,,            263881771,               -117813,,            275670991,               -102012,,                             10.18,                             10.18,,                             10.18,                             10.18,,,,,,,,,,,,,
