證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 壞帳轉回利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益
1723,2015年第3季,,,              1366021,,                 28021,              1394042,,              1039979,                354063,                354063,,,                 39269,,                 34082,,                 23801,                 97152,                256911,,,                 18292,                 18292,,                 37449,,                  1022,                  1022,,                 38045,                 92764,                349675,,                 48257,                301418,                301418,,,                 24720,                -77159,,               -143631,               -196070,               -196070,                105348,,                301418,                              0,,                105348,                              0,                              0,,                              1.30,                              1.30,,                              1.30,                              1.30,,,,,,,
1723,2015年第2季,,,              1574389,,                 17400,              1591789,,              1114378,                477411,                477411,,,                 30403,,                 38613,,                 17340,                 86356,                391055,,,                 11272,                 11272,,                 -5096,,                    380,                    380,,                 15159,                 20955,                412010,,                 59179,                352831,                352831,,,                 -5516,                -45179,,                -47501,                -98196,                -98196,                254635,,                352713,                    118,,                254517,,                    118,,                              1.53,                              1.53,,                              1.52,                              1.52,,,,,,,
1723,2015年01月01日至2015年09月30日,,,              4498572,,                 73965,              4572537,,              3308927,              1263610,              1263610,,,                100011,,                 83161,,                 76912,                260084,              1003526,,,                 38601,                 38601,,                100146,,                  2183,                  2183,,                 70793,                207357,              1210883,,                164285,              1046598,              1046598,,,                 14836,               -151998,,               -210282,               -347444,               -347444,                699154,,              1046545,                     53,,                698770,                              0,                    384,,                              4.53,                              4.53,,                              4.52,                              4.52,,,,,,,
1723,2015年01月01日至2015年06月30日,,,              3132551,,                 45944,              3178495,,              2268948,                909547,                909547,,,                 60742,,                 49079,,                 53111,                162932,                746615,,,                 20309,                 20309,,                 62697,,                  1161,                  1161,,                 32748,                114593,                861208,,                116028,                745180,                745180,,,                 -9884,                -74839,,                -66651,               -151374,               -151374,                593806,,                745127,                     53,,                593422,,                    384,,                              3.23,                              3.23,,                              3.22,                              3.22,,,,,,,
1723,2015年01月01日至2015年03月31日,,,              1558162,,                 28544,              1586706,,              1154570,                432136,                432136,,,                 30339,,                 10466,,                 35771,                 76576,                355560,,,                  9037,                  9037,,                 67793,,                    781,                    781,,                 17589,                 93638,                449198,,                 56849,                392349,                392349,,,                 -4368,                -29660,,                -19150,                -53178,                -53178,                339171,,                392414,                    -65,,                338905,,                    266,,                              1.70,                              1.70,,                              1.70,                              1.70,,,,,,,
1723,2014年第3季,,,              2259761,,                 41927,              2301688,,              1535387,                766301,                766301,,,                 35963,,                 48186,,                 22525,                106674,                659627,,,                 12565,                 12565,,                    606,,                    799,                    799,,                 37901,                 50273,                709900,,                100152,                609748,                609748,,,                  6889,                 58346,,                 28375,                 93610,                 93610,                703358,,                607660,                  2088,,                700913,                              0,                  2445,,                              2.64,                              2.64,,                              2.63,                              2.63,,,,,,,
1723,2014年第2季,,,              2370669,,                 30697,              2401366,,              1636133,                765233,                765233,,,                 41285,,                 42214,,                 31374,                114873,                650360,,,                 11952,                 11952,,                 13945,,                    686,                    686,,                 21080,                 46291,                696651,,                105357,                591294,                591294,,,                 -7466,                 69044,,                    538,                 62116,                 62116,                653410,,                590353,                    941,,                652607,,                    803,,                              2.57,                              2.57,,                              2.56,                              2.56,,,,,,,
1723,2014年度,,,,,,              8904302,,              6077761,              2826541,              2826541,,,                153236,,                176489,,                115861,                445586,              2380955,,,                 49759,                 49759,,                 40708,,                  2797,                  2797,,                 99222,                186892,              2567847,,                379273,              2188574,              2188574,,,,,,,,                149996,              2338570,,              2187189,                  1385,,              2337229,,                  1341,,                              9.50,                              9.50,,                              9.46,                              9.46,                              0,                 23173,                138948,                 -9867,,                 -3935,                  1677
1723,2014年01月01日至2014年09月30日,,,              6969737,,                124113,              7093850,,              4751058,              2342792,              2342792,,,                117049,,                121573,,                 91393,                330015,              2012777,,,                 35490,                 35490,,                 25413,,                  1973,                  1973,,                 76758,                135688,              2148465,,                316534,              1831931,              1831931,,,                  7906,                110454,,                -16670,                101690,                101690,              1933621,,              1829543,                  2388,,              1931353,                              0,                  2268,,                              7.95,                              7.95,,                              7.92,                              7.92,,,,,,,
1723,2014年01月01日至2014年06月30日,,,              4709976,,                 82186,              4792162,,              3215671,              1576491,              1576491,,,                 81086,,                 73387,,                 68868,                223341,              1353150,,,                 22925,                 22925,,                 24807,,                  1174,                  1174,,                 38857,                 85415,              1438565,,                216382,              1222183,              1222183,,,                  1017,                 52108,,                -45045,                  8080,                  8080,              1230263,,              1221883,                    300,,              1230440,,                   -177,,                              5.31,                              5.31,,                              5.29,                              5.29,,,,,,,
