證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　　 與待出售非流動資產直接相關之權益,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 權益工具投資之利益（損失）,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 其他綜合損益,　 停業單位損益,　　 停業單位損益合計
6205,2015年第3季,,                551837,,                409885,                141952,                141952,,,                 45602,,                 48693,,                 10597,                104892,                 37060,,,                    655,,                 64119,,                      2,,                  9916,                 74688,                111748,,                 21148,                 90600,                 90600,,,                  7499,                -51714,,                   -243,                  1317,                -45775,                -45775,                 44825,,                 90343,                    257,,                 43922,                    903,,                              1.26,,                              1.25,,,,,,,,,,,,,,,,,,,,,,,
6205,2015年第2季,,                533126,,                408435,                124691,                124691,,,                 42736,,                 45562,,                  9201,                 97499,                 27192,,,                  1381,,                 15222,,                              0,,                  5966,                 22569,                 49761,,                 11810,                 37951,                 37951,,,                 -5061,                 31518,,                   -722,                   -900,                 26635,                 26635,                 64586,,                 49531,                -11580,,                 76510,                -11924,,                              0.69,,                              0.67,,                              0,,                              0,,                              0,                              0,,,,,,,,,,,,,,,,
6205,2015年01月01日至2015年09月30日,,              1666099,,              1244268,                421831,                421831,,,                129765,,                136938,,                 29501,                296204,                125627,,,                  2466,,                 72705,,                      2,,                 18903,                 94072,                219699,,                 44304,                175395,                175395,,,                    120,                 -9389,,                 -1202,                    -15,                -10456,                -10456,                164939,,                185654,                -10259,,                175102,                -10163,,                              2.58,,                              2.56,,,,,,,,,,,,,,,,,,,,,,,
6205,2015年01月01日至2015年06月30日,,              1114262,,                834383,                279879,                279879,,,                 84163,,                 88245,,                 18904,                191312,                 88567,,,                  1811,,                  8586,,                              0,,                  8987,                 19384,                107951,,                 23156,                 84795,                 84795,,,                 -7379,                 42325,,                   -959,                 -1332,                 35319,                 35319,                120114,,                 95311,                -10516,,                131180,                -11066,,                              1.33,,                              1.29,,                              0,,                              0,,                              0,                              0,,,,,,,,,,,,,,,,
6205,2015年01月01日至2015年03月31日,,                581136,,                425948,                155188,                155188,,,                 41427,,                 42683,,                  9703,                 93813,                 61375,,,                    430,,                 -6636,,                              0,,                  3021,                 -3185,                 58190,,                 11346,                 46844,                 46844,,,                 -2318,                 10807,,                   -237,                   -432,                  8684,                  8684,                 55528,,                 45780,                  1064,,                 54670,                    858,,                              0.64,,                              0.63,,,,,,,,,,,,,,,,,,,,,,,
6205,2014年第3季,,                625575,,                473962,                151613,                151613,,,                 47879,,                 51063,,                 10620,                109562,                 42051,,,                  2698,,                 51514,,                    165,,                  6025,                 60072,                102123,,                 14790,                 87333,                 87333,,,                  4696,                -78525,,                   -311,                    786,                -74926,                -74926,                 12407,,                 84659,                  2674,,                  9624,                  2783,,                              1.18,,                              1.17,,,,,,,,,,,,,,,,,,,,,,,
6205,2014年第2季,,                691900,,                525160,                166740,                166740,,,                 42954,,                 42491,,                  8887,                 94332,                 72408,,,                    975,,                 -7676,,                     28,,                  3902,                 -2827,                 69581,,                 19633,                 49948,                 49948,,,                 -2619,                 75378,,                    105,                   -461,                 73325,                 73325,                123273,,                 58202,                 -8254,,                131570,                 -8297,,                              0.81,,                              0.80,,                              0,,                              0,,                              0,                              0,,,,,,,,,,,,,,,,
6205,2014年度,,              2531570,,              1914874,                616696,                616696,,,                174430,,                188350,,                 44826,                407606,                209090,,,                  9722,,                 91170,,                    676,,                 19591,                119807,                328897,,                 69858,                259039,                259039,,,,,,,,,                 25966,                285005,,                263800,                 -4761,,                289222,                 -4217,,                              3.67,,                              3.62,,,,,,,,                              0,                              0,                  7812,                 18083,                    225,,                  1228,                  1382,,,,,,,,
6205,2014年01月01日至2014年09月30日,,              1881552,,              1423538,                458014,                458014,,,                126391,,                137916,,                 29403,                293710,                164304,,,                  4670,,                 66305,,                    235,,                 14126,                 84866,                249170,,                 49433,                199737,                199737,,,                  1264,                 18789,,                    583,                    201,                 20435,                 20435,                220172,,                203865,                 -4128,,                224228,                 -4056,,                              2.84,,                              2.81,,,,,,,,,,,,,,,,,,,,,,,
6205,2014年01月01日至2014年06月30日,,              1255977,,                949576,                306401,                306401,,,                 78512,,                 86853,,                 18783,                184148,                122253,,,                  1972,,                 14791,,                     70,,                  8101,                 24794,                147047,,                 34643,                112404,                112404,,,                 -3432,                 97314,,                    894,                   -585,                 95361,                 95361,                207765,,                119206,                 -6802,,                214604,                 -6839,,                              1.66,,                              1.64,,                              0,,                              0,,                              0,                              0,,,,,,,,,,,,,,,,
6205,2014年01月01日至2014年03月31日,,                564077,,                424416,                139661,                139661,,,                 35558,,                 44362,,                  9896,                 89816,                 49845,,,                    997,,                 22467,,                     42,,                  4199,                 27621,                 77466,,                 15010,                 62456,                 62456,,,                   -813,                 21936,,                    789,                   -124,                 22036,                 22036,                 84492,,                 61004,                  1452,,                 83034,                  1458,,                              0.85,,                              0.84,,,,,,,,,,,,,,,,,,,,,,,
6205,2013年第3季,,                616602,,                474877,                141725,                141725,,,                 44366,,                 40736,,                  7354,                 92456,                 49269,,,                  3245,,                 -7191,,                     26,,                  3634,                   -338,                 48931,,                 11758,                 37173,                 37173,,,,,,,,,                  3466,                 40639,,                 38210,                 -1037,,                 41737,                 -1098,,                              0.53,,                              0.53,,,,,,,,,,                 -1536,                  3507,,,                  1410,                    -85,,,,,,,,
6205,2013年第2季,,                601162,,                477829,                123333,                123333,,,                 42572,,                 40354,,                  7580,                 90506,                 32827,,,                  1133,,                 16137,,                      5,,                  1626,                 18891,                 51718,,                 11121,                 40597,                 40597,,,,,,,,,                 22843,                 63440,,                 40577,                     20,,                 63355,                     85,,                              0.56,,                              0.56,,                              0,,                              0,,                              0,,,,                  1430,                 21312,                              0,,                    344,                    243,                              0,                              0,                              0,                              0,                              0,                              0,,
6205,2013年度,,              2329095,,              1846550,                482545,                482545,,,                168159,,                161215,,                 30521,                359895,                122650,,,                  6722,,                 32627,,                     74,,                 16548,                 55823,                178473,,                 38093,                140380,                140380,,,,,,,,,                 30389,                170769,,                149218,                 -8838,,                179393,                 -8624,,                              2.08,,                              2.05,,,,,,,,                              0,                              0,                  4517,                 23520,                  2492,,                    835,                    975,,,,,,,,
6205,2013年07月01日至2013年09月30日,,                616602,,                474877,                141725,                141725,,,                 44366,,                 40736,,                  7354,                 92456,                 49269,,,                  3245,,                 -7191,,                     26,,                  3634,                   -338,                 48931,,                 11758,                 37173,                 37173,,,,,,,,,                  3466,                 40639,,                 38210,                 -1037,,                 41737,                 -1098,,                              0.53,,                              0.53,,,,,,,,                              0,                              0,                   -501,                  3507,,,                    375,                    -85,,,,,,,,                              0
6205,2013年04月01日至2013年06月30日,,                601162,,                477829,                123333,                123333,,,                 42572,,                 40354,,                  7580,                 90506,                 32827,,,                  1133,,                 16137,,                      5,,                  1626,                 18891,                 51718,,                 11121,                 40597,                 40597,,,,,,,,,                 22843,                 63440,,                 40577,                     20,,                 63355,                     85,,                              0.56,,                              0.56,,,,,,,,                              0,                              0,                  1430,                 21312,,,                    344,                    243,,,,,,,,                              0
6205,2013年01月01日至2013年12月31日,,              2329095,,              1846550,                482545,                482545,,,                168159,,                161215,,                 30521,                359895,                122650,,,                  6722,,                 32627,,                     74,,                 16548,                 55823,                178473,,                 38093,                140380,                140380,,,,,,,,,                 30389,                170769,,                149218,                 -8838,,                179393,                 -8624,,                              2.08,,                              2.05,,,,,,,,                              0,                              0,                  4517,                 23520,                  2492,,                    835,                    975,,,,,,,,
