證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 權益工具投資之利益（損失）,　　 共同控制下前手權益（綜合損益）,　　 繼續營業單位淨利（淨損）
8467,2015年第3季,,,                439216,                439216,,                329036,                110180,                110180,,,                 16266,,                 50066,,                  9731,                 76063,                 34117,,,                 10295,,                 34373,,                  3756,,                   -494,                 40418,                 74535,,                 16603,                 57932,                 57932,,,                 30024,                 -5788,                              0,,                 -1334,                 22902,                 22902,                 80834,,                 57932,                              0,,                 80834,                              0,,                              1.25,,                              1.25,,,,,,,,,,,,,,,,,,
8467,2015年第2季,,,                638634,                638634,,                462583,                176051,                176051,,,                 22381,,                 61701,,                 10043,                 94125,                 81926,,,                  6703,,                   -190,,                  3675,,                    446,                  3284,                 85210,,                 19318,                 65892,                 65892,,,                -10707,                 -1896,,,                    156,                -12447,                -12447,                 53445,,                 65892,                              0,,                 53445,                              0,,                              1.43,,                              1.43,                              0,                              0,,                              0,,                              0,,,                              0,                              0,                              0,                              0,,,,,,
8467,2015年01月01日至2015年09月30日,,,              1487930,              1487930,,              1105017,                382913,                382913,,,                 61622,,                159106,,                 28397,                249125,                133788,,,                 23101,,                 19918,,                 10572,,                     69,                 32516,                166304,,                 35130,                131174,                131174,,,                  8702,                 -5776,                              0,,                 -1057,                  1869,                  1869,                133043,,                131174,                              0,,                133043,                              0,,                              2.84,,                              2.84,,,,,,,,,,,,,,,,,,
8467,2015年01月01日至2015年06月30日,,,              1048714,              1048714,,                775981,                272733,                272733,,,                 45356,,                109040,,                 18666,                173062,                 99671,,,                 12806,,                -14455,,                  6816,,                    563,                 -7902,                 91769,,                 18527,                 73242,                 73242,,,                -21322,                     12,,,                    277,                -21033,                -21033,                 52209,,                 73242,                              0,,                 52209,                              0,,                              1.59,,                              1.59,                              0,                              0,,                              0,,                              0,,,                              0,                              0,                              0,                              0,,,,,,
8467,2015年01月01日至2015年03月31日,,,                410080,                410080,,                313398,                 96682,                 96682,,,                 22975,,                 47339,,                  8623,                 78937,                 17745,,,                  6103,,                -14265,,                  3141,,                    117,                -11186,                  6559,,                   -791,                  7350,                  7350,,,                -10615,                  1908,                              0,,                    121,                 -8586,                 -8586,                 -1236,,                  7350,                              0,,                 -1236,,,                              0.16,,                              0.16,,,,,,,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0.16
8467,2014年第3季,,,                657714,                657714,,                453983,                203731,                203731,,,                 32707,,                 48722,,                  8573,                 90002,                113729,,,                  7741,,                  1158,,                  4366,,                   -975,                  3558,                117287,,                 29708,                 87579,                 87579,,,                 35380,                 -1315,                              0,,                   -168,                 33897,                 33897,                121476,,                 88263,                   -684,,                122138,                   -662,,                              1.91,,                              1.91,,,,,,,,,,,,,,,,,,
8467,2014年第2季,,,                659648,                659648,,                441265,                218383,                218383,,,                 41727,,                 47493,,                  9341,                 98561,                119822,,,                 10425,,                 -3643,,                  4216,,                   -139,                  2427,                122249,,                 19862,                102387,                102387,,,                -13650,                  5230,,,                              0,                 -8420,                 -8420,                 93967,,                 98417,                  3970,,                 90011,                  3956,,                              2.13,,                              2.13,                              0,                              0,,                              0,,                              0,,,                              0,                              0,                              0,                              0,,,,,,
8467,2014年01月01日至2014年09月30日,,,              1715970,              1715970,,              1176096,                539874,                539874,,,                 95843,,                136507,,                 26062,                258412,                281462,,,                 22592,,                  2910,,                 11510,,                 -1069,                 12923,                294385,,                 68324,                226061,                226061,,,                 -1601,                  3333,                              0,,                   -168,                  1564,                  1564,                227625,,                222829,                  3232,,                224358,                  3267,,                              4.82,,                              4.82,,,,,,,,,,,,,,,,,,
8467,2014年01月01日至2014年06月30日,,,              1058256,              1058256,,                722113,                336143,                336143,,,                 63136,,                 87785,,                 17489,                168410,                167733,,,                 14851,,                  1752,,                  7144,,                    -94,                  9365,                177098,,                 38616,                138482,                138482,,,                -36981,                  4648,,,                              0,                -32333,                -32333,                106149,,                134566,                  3916,,                102220,                  3929,,                              2.91,,                              2.91,                              0,                              0,,                              0,,                              0,,,                              0,                              0,                              0,                              0,,,,,,
8467,2014年01月01日至2014年03月31日,,,                398696,                398696,,                280848,                117848,                117848,,,                 21409,,                 40380,,                  8148,                 69937,                 47911,,,                  4426,,                  5395,,                  2928,,                     45,                  6938,                 54849,,                 18754,                 36095,                 36095,,,                -23331,                   -582,                              0,,                              0,                -23913,                -23913,                 12182,,                 36149,                    -54,,                 12209,,,                              0.78,,                              0.78,,,,,,,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                    -27,                              0.78
