證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 權益工具投資之利益（損失）
6155,2013年第2季,,                176600,,                123904,                 52696,,,                 52696,,,                 10073,,                  9664,,                  4433,                 24170,                 28526,,,                  1612,,                   -706,,                  1108,                   -202,                 28324,,                  5835,                 22489,                 22489,,,,,,,                  2510,                 24999,,                 22489,                              0,,                 24999,                              0,,                              0.27,,                              0.27,                              0,,,,                  5394,                 -1967,,                    917,
6155,2013年度,,                703030,,                495526,                207504,                              0,                              0,                207504,,,                 44205,,                 46834,,                 17885,                108924,                 98580,,,                 11879,,                 30154,,                  4310,                 37723,                136303,,                 16066,                120237,                120237,,,,,,,                 73840,                194077,,                120237,                              0,,                194077,                              0,,                              1.44,,                              1.43,,,,,                 17507,                 59942,                   -633,                  2976,
6155,2013年07月01日至2013年09月30日,,                177922,,                119880,                 58042,                              0,                              0,                 58042,,,                 11042,,                 12681,,                  4382,                 28105,                 29937,,,                  5003,,                 -2979,,                    997,                  1027,                 30964,,                  4243,                 26721,                 26721,,,,,,,                  8017,                 34738,,                 26721,                              0,,                 34738,                              0,,                              0.32,,                              0.32,,,,,                 -5018,                 12182,,                   -853,
6155,2013年04月01日至2013年06月30日,,                176600,,                123904,                 52696,                              0,                              0,                 52696,,,                 10073,,                  9664,,                  4433,                 24170,                 28526,,,                  1612,,                   -706,,                  1108,                   -202,                 28324,,                  5835,                 22489,                 22489,,,,,,,                  2510,                 24999,,                 22489,                              0,,                 24999,                              0,,                              0.27,,                              0.27,,,,,                  5394,                 -1967,,                    917,
6155,2013年01月01日至2013年12月31日,,                703030,,                495526,                207504,                              0,                              0,                207504,,,                 44205,,                 46834,,                 17885,                108924,                 98580,,,                 11879,,                 30154,,                  4310,                 37723,                136303,,                 16066,                120237,                120237,,,,,,,                 73840,                194077,,                120237,                              0,,                194077,                              0,,                              1.45,,                              1.45,,,,,                 17507,                 59942,                   -633,                  2976,
6155,2013年01月01日至2013年09月30日,,                531107,,                371226,                159881,                              0,                              0,                159881,,,                 32108,,                 32873,,                 13420,                 78401,                 81480,,,                  8537,,                 15616,,                  2880,                 21273,                102753,,                 15263,                 87490,                 87490,,,,,,,                 54277,                141767,,                 87490,                              0,,                141767,                              0,,                              1.05,,                              1.04,,,,,                 11261,                 44930,,                  1914,
6155,2013年01月01日至2013年06月30日,,                353185,,                251346,                101839,,,                101839,,,                 21066,,                 20192,,                  9038,                 50296,                 51543,,,                  3534,,                 18595,,                  1883,                 20246,                 71789,,                 11020,                 60769,                 60769,,,,,,,                 46260,                107029,,                 60769,                              0,,                107029,                              0,,                              0.74,,                              0.73,                              0,,,,                 16279,                 32748,,                  2767,
6155,2013年01月01日至2013年03月31日,,                176585,,                127442,                 49143,                              0,                              0,                 49143,,,                 10993,,                 10528,,                  4605,                 26126,                 23017,,,                  1922,,                 19301,,                    775,                 20448,                 43465,,                  5185,                 38280,                 38280,,,,,,,                 43750,                 82030,,                 38280,                              0,,                 82030,                              0,,                              0.46,,                              0.46,,,,,                 10885,                 34715,,                  1850,
6155,2012年07月01日至2012年09月30日,,                195696,,                121315,                 74381,                              0,                              0,                 74381,,,                 13696,,                 14287,,                  4184,                 32167,                 42214,,,                  8032,,                    125,,                    283,                  7874,                 50088,,                  6449,                 43639,                 43639,,,,,,,                 -6465,                 37174,,                 43639,                              0,,                 37174,                              0,,                              0.53,,                              0.53,,,,,                 -6547,                 -1031,,                 -1113,
6155,2012年04月01日至2012年06月30日,,                187259,,                131638,                 55621,                              0,                              0,                 55621,,,                 10348,,                  9721,,                  3910,                 23979,                 31642,,,                  2511,,                -13752,,                    135,                -11376,                 20266,,                  4666,                 15600,                 15600,,,,,,,                -25992,                -10392,,                 15600,                              0,,                -10392,                              0,,                              0.19,,                              0.19,,,,,                  3626,                -29002,,                    616,
6155,2012年01月01日至2012年12月31日,,                708512,,                471626,                236886,                              0,                              0,                236886,,,                 47382,,                 46748,,                 15842,                109972,                126914,,,                 15253,,                -12700,,                  1053,                  1500,                128414,,                 14229,                114185,                114185,,,,,,,                -36128,                 78057,,                114185,                              0,,                 78057,                              0,,                              1.38,,                              1.38,,,,,                -17200,                -12557,                 -9295,                 -2924,
6155,2012年01月01日至2012年09月30日,,                529138,,                356131,                173007,                              0,                              0,                173007,,,                 35994,,                 34642,,                 11401,                 82037,                 90970,,,                 12394,,                 -6044,,                    439,                  5911,                 96881,,                 14238,                 82643,                 82643,,,,,,,                 -4284,                 78359,,                 82643,                              0,,                 78359,                              0,,                              1.00,,                              1.00,,,,,                -15160,                  8298,,                 -2578,
6155,2012年01月01日至2012年06月30日,,                333442,,                234816,                 98626,                              0,                              0,                 98626,,,                 22298,,                 20355,,                  7217,                 49870,                 48756,,,                  4362,,                 -6169,,                    156,                 -1963,                 46793,,                  7789,                 39004,                 39004,,,,,,,                  2181,                 41185,,                 39004,                              0,,                 41185,                              0,,                              0.48,,                              0.48,,,,,                 -8613,                  9329,,                 -1465,
6155,2012年01月01日至2012年03月31日,,                146183,,                103178,                 43005,                              0,                              0,                 43005,,,                 11950,,                 10634,,                  3307,                 25891,                 17114,,,                  1851,,                  7583,,                     21,                  9413,                 26527,,                  3123,                 23404,                 23404,,,,,,,                 28173,                 51577,,                 23404,                              0,,                 51577,                              0,,                              0.29,,                              0.29,,,,,                -12239,,,                 -2081,                 38331
