證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 與待出售非流動資產直接相關之權益
2308,2015年第3季,,             55908144,,             40155128,             15753016,             15753016,,,              3332269,,              2311338,,              3964016,              9607623,              6145393,,,                988835,,                326877,,                150824,,                305601,              1470489,              7615882,,              1488353,              6127529,              6127529,,,                              0,                              0,                              0,,              5225208,               -720578,                              0,,                118418,                679730,              3943318,              3943318,             10070847,,              5896052,                231477,,              9889772,                181075,,                              2.42,                              2.42,,                              2.40,                              2.40,,,,,,,,,,,
2308,2015年第2季,,             48732287,,             35577842,             13154445,             13154445,,,              3121375,,              1904943,,              3384779,              8411097,              4743348,,,                828325,,               -240007,,                130481,,                305201,                763038,              5506386,,              1292978,              4213408,              4213408,,,                 -8914,                              0,                 -8914,,             -1556935,               -524887,                              0,,                -28222,               -188821,             -1921223,             -1930137,              2283271,,              3794616,                418792,,              1932281,                350990,,                              1.55,                              1.55,,                              1.54,                              1.54,,                              0,,,,,,,,,
2308,2015年第1季,,             43202985,,             31970747,             11232238,             11232238,,,              2386371,,              1515150,,              3061355,              6962876,              4269362,,,                656139,,                -82870,,                 57080,,                297586,                813775,              5083137,,                824970,              4258167,              4258167,,,                              0,                              0,                              0,,             -1206708,                -96572,                              0,,                -51304,                -88091,             -1266493,             -1266493,              2991674,,              3865704,                392463,,              2649712,                341962,,                              1.59,                              1.59,,                              1.57,                              1.57,,,,,,,,,,,
2308,2015年01月01日至2015年09月30日,,            147843416,,            107703717,             40139699,             40139699,,,              8840015,,              5731431,,             10410150,             24981596,             15158103,,,              2473299,,                  4000,,                338385,,                908388,              3047302,             18205405,,              3606301,             14599104,             14599104,,,                 -8914,                              0,                 -8914,,              2461565,             -1342037,                              0,,                 38892,                402818,                755602,                746688,             15345792,,             13556372,              1042732,,             14471765,                874027,,                              5.56,                              5.56,,                              5.52,                              5.52,,,,,,,,,,,
2308,2015年01月01日至2015年06月30日,,             91935272,,             67548589,             24386683,             24386683,,,              5507746,,              3420093,,              6446134,             15373973,              9012710,,,              1484464,,               -322877,,                187561,,                602787,              1576813,             10589523,,              2117948,              8471575,              8471575,,,                 -8914,                              0,                 -8914,,             -2763643,               -621459,                              0,,                -79526,               -276912,             -3187716,             -3196630,              5274945,,              7660320,                811255,,              4581993,                692952,,                              3.14,                              3.14,,                              3.12,                              3.12,,                              0,,,,,,,,,
2308,2014年第3季,,             50454895,,             36689139,             13765756,             13765756,,,              2521480,,              1829641,,              3158698,              7509819,              6255937,,,                892520,,                -60779,,                 45341,,                307772,              1094172,              7350109,,              1120477,              6229632,              6229632,,,                 32536,                  5009,                 27527,,              2160877,               -559337,                  8817,,                -29306,                252418,              1328633,              1356160,              7585792,,              5838111,                391521,,              6990581,                595211,,                              2.40,                              2.40,,                              2.38,                              2.38,,,,,,,,,,,
2308,2014年第2季,,             47616288,,             34553428,             13062860,             13062860,,,              2403565,,              1644354,,              3032015,              7079934,              5982926,,,                759048,,                  2137,,                 30281,,                262772,                993676,              6976602,,              1218378,              5758224,              5758224,,,                 32537,                  5010,                 27527,,             -1636950,                 40322,                  5451,,                 -4976,               -210814,             -1385339,             -1357812,              4400412,,              5265494,                492730,,              3949676,                450736,,                              2.16,                              2.16,,                              2.15,                              2.15,,                              0,,,,,,,,,
2308,2014年第1季,,             43035596,,             31598212,             11437384,             11437384,,,              2078570,,              1488036,,              2765280,              6331886,              5105498,,,                812368,,               -193289,,                 31708,,                220062,                807433,              5912931,,                987127,              4925804,              4925804,,,                 32535,                  5009,                 27526,,                593450,               -538070,                -29101,,                 36353,                108091,                -45459,                -17933,              4907871,,              4570287,                355517,,              4850999,                 56872,,                              1.87,                              1.87,,                              1.86,                              1.86,,,,,,,,,,,
2308,2014年度,,            190635120,,            139140582,             51494538,             51494538,,,              9551788,,              6684466,,             12441396,             28677650,             22816888,,,              3379023,,               -497007,,                164035,,                979988,              3697969,             26514857,,              4201486,             22313371,             22313371,,,,,,,,,,,,,,              2502322,             24815693,,             20698900,              1614471,,             23343226,              1472467,,                              8.49,                              8.49,,                              8.42,                              8.42,,                              0,              4482798,             -1462288,                -11359,,                 -7654,                499175,                              0.00,                              0.00,
2308,2014年01月01日至2014年09月30日,,            141106779,,            102840779,             38266000,             38266000,,,              7003615,,              4962031,,              8955993,             20921639,             17344361,,,              2463936,,               -251930,,                107330,,                790606,              2895282,             20239643,,              3325982,             16913661,             16913661,,,                 97608,                 15028,                 82580,,              1117377,             -1057085,                -14833,,                  2071,                149695,               -102165,                -19585,             16894076,,             15673893,              1239768,,             15791257,              1102819,,                              6.43,                              6.43,,                              6.38,                              6.38,,,,,,,,,,,
