證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
4119,2015年第3季,,,,                438507,                438507,                438507,,,                292627,                292627,                145880,                145880,,,                 26103,,                 15597,,                  8572,                 50272,,                              0,                 95608,,,                    834,,                 20433,,                  1826,,                              0,                 19441,                115049,,                 19847,                 95202,                 95202,,,                              0,                              0,                              0,                 95202,,                 95202,                              0,                              0,,                 95202,,                              1.34,                              1.34,,                              1.21,,,,,,,,,,,,,,,,
4119,2015年第2季,,,,,,                579644,,,                360661,                360661,                218983,                218983,,,                 35592,,                 19132,,                  9455,                 64179,,,                154804,,,                  1214,,                 -3615,,                  3048,,                              0,                 -5449,                149355,,                 24605,                124750,                124750,,,                              0,                              0,                              0,                124750,,                124750,,,,                124750,,,                              1.79,,                              1.59,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,
4119,2015年01月01日至2015年09月30日,,,,              1461215,              1461215,              1461215,,,                926730,                926730,                534485,                534485,,,                 90184,,                 50125,,                 28027,                168336,,                              0,                366149,,,                  4750,,                 15231,,                  8059,,                              0,                 11922,                378071,,                 65301,                312770,                312770,,,                              0,                              0,                              0,                312770,,                312770,                              0,                              0,,                312770,,                              4.39,                              4.39,,                              4.00,,,,,,,,,,,,,,,,
4119,2015年01月01日至2015年06月30日,,,,,,              1022708,,,                634103,                634103,                388605,                388605,,,                 64081,,                 34529,,                 19454,                118064,,,                270541,,,                  3916,,                 -5201,,                  6235,,                              0,                 -7520,                263021,,                 45453,                217568,                217568,,,                              0,                              0,                              0,                217568,,                217568,,,,                217568,,,                              3.12,,                              2.78,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,
4119,2015年01月01日至2015年03月31日,,,,,,                443065,,,,                273443,                169622,                169622,,,                 28489,,                 15397,,                  9999,                 53885,,,                115737,,,                  2703,,                 -1587,,                  3186,,                              0,                 -2070,                113667,,                 20849,                 92818,                 92818,,,                              0,                              0,                              0,                 92818,,                 92818,,,,                 92818,,,                              1.33,,                              1.20,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,
4119,2014年第3季,,,,                367385,                367385,                367385,,,                249424,                249424,                117961,                117961,,,                 17746,,                 13917,,                  9694,                 41357,,                              0,                 76604,,,                  1297,,                 -1240,,                  2942,,                              0,                 -2885,                 73719,,                 13041,                 60678,                 60678,,,                    337,                    337,                    337,                 61015,,                 60678,                              0,                              0,,                 61015,,                              0.88,                              0.88,,                              0.80,,,,,,,,,,,,,,,,
4119,2014年第2季,,,,,,                416440,,,                288694,                288694,                127746,                127746,,,                 15971,,                 25982,,                  8573,                 50526,,,                 77220,,,                  1675,,                 37272,,                    760,,                 -2189,                 35998,                113218,,                 20037,                 93181,                 93181,,,                    -88,                    -88,                    -88,                 93093,,                 93181,,,,                 93093,,,                              1.35,,                              1.19,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,
4119,2014年度,,,,,,              1491862,,,,              1012509,                479353,                479353,,,                 70530,,                 77338,,                 36119,                183987,,,                295366,,,                  5622,,                 48490,,                  8394,,                 -5990,                 39728,                335094,,                 70255,                264839,                264839,,,,,                 -2768,                262071,,                264839,,,,                262071,,                              3.83,                              3.83,,                              3.43,,,,,,,,,,,,                   -233,                 -3054,,                              0,                   -519
4119,2014年01月01日至2014年09月30日,,,,              1158399,              1158399,              1158399,,,                782140,                782140,                376259,                376259,,,                 52444,,                 63249,,                 27050,                142743,,                              0,                233516,,,                  4174,,                 40379,,                  5194,,                 -5991,                 33368,                266884,,                 49420,                217464,                217464,,,                     26,                     26,                     26,                217490,,                217464,                              0,                              0,,                217490,,                              3.15,                              3.15,,                              2.82,,,,,,,,,,,,,,,,
4119,2014年01月01日至2014年06月30日,,,,,,                791015,,,                532717,                532717,                258298,                258298,,,                 34698,,                 49332,,                 17356,                101386,,,                156912,,,                  2876,,                 41619,,                  2251,,                 -5991,                 36253,                193165,,                 36379,                156786,                156786,,,                   -311,                   -311,                   -311,                156475,,                156786,,,,                156475,,,                              2.26,,                              2.02,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,
