證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　　 銷貨收入,　 停業單位損益,　　 停業單位損益合計
4733,2015年第3季,,              2764018,,              1962986,                801032,                801032,,,                102000,,                 83096,,                 35742,                220838,                580194,,,                  4332,,                -36800,,                 35765,                -68233,                511961,,                111340,                400621,                400621,,,                 72199,                 12274,                 59925,                 59925,                460546,,                401396,                   -775,,                461321,                   -775,,                              4.65,,                              4.29,,,,,,,,,,,,,
4733,2015年第2季,,              2802070,,              2189203,                612867,                612867,,,                 98549,,                111399,,                 26763,                236711,                376156,,,                 16809,,                 -5246,,                 41444,                -29881,                346275,,                 83856,                262419,                262419,,,                -21357,                 -3631,                -17726,                -17726,                244693,,                263297,                   -878,,                245571,                   -878,,                              3.06,,                              2.84,,,,,,,,,,,,,
4733,2015年01月01日至2015年09月30日,,              7527110,,              5662300,              1864810,              1864810,,,                286665,,                290512,,                 86452,                663629,              1201181,,,                 24534,,                -55381,,                 91795,               -122642,              1078539,,                244956,                833583,                833583,,,                 17506,                  2976,                 14530,                 14530,                848113,,                836169,                 -2586,,                850699,                 -2586,,                              9.74,,                              9.01,,,,,,,,,,,,,
4733,2015年01月01日至2015年06月30日,,              4763092,,              3699314,              1063778,              1063778,,,                184665,,                207416,,                 50710,                442791,                620987,,,                 20202,,                -18581,,                 56030,                -54409,                566578,,                133616,                432962,                432962,,,                -54693,                 -9298,                -45395,                -45395,                387567,,                434773,                 -1811,,                389378,                 -1811,,                              5.08,,                              4.70,,,,,,,,,,,,,
4733,2015年01月01日至2015年03月31日,,              1961022,,              1510111,                450911,                450911,,,                 86116,,                 96017,,                 23947,                206080,                244831,,,                  3393,,                -13335,,                 14586,                -24528,                220303,,                 49760,                170543,                170543,,,                -33336,                 -5667,                -27669,                -27669,                142874,,                171476,                   -933,,                143807,                   -933,,                              2.00,,                              1.80,,              1961022,,                              0,,,,,,,,,
4733,2014年第3季,,              1703137,,              1338742,                364395,                364395,,,                  4797,,                 85797,,                 23116,                113710,                250685,,,                 55119,,                    886,,                  6593,                 49412,                300097,,                 63439,                236658,                236658,,,                 27456,                  4668,                 22788,                 22788,                259446,,                237853,                 -1195,,                260641,                 -1195,,                              2.83,,                              2.59,,,,,,,,,,,,,
4733,2014年第2季,,              1352813,,              1050932,                301881,                301881,,,                 76578,,                 56512,,                 20047,                153137,                148744,,,                  4989,,                180191,,                  7291,                177889,                326633,,                 25082,                301551,                301551,,,                -29031,                 -4936,                -24095,                -24095,                277456,,                302797,                 -1246,,                278702,                 -1246,,                              3.71,,                              3.33,,,,,,,,,,,,,
4733,2014年度,,              5981034,,              4759925,              1221109,              1221109,,,                220142,,                300545,,                 76144,                596831,                624278,,,                 81023,,                198273,,                 41294,                238002,                862280,,                126211,                736069,                736069,,,,,,                 89565,                825634,,                740619,                 -4550,,                830184,                 -4550,,                              8.93,,                              8.09,,              5981034,,                              0,                107419,                    407,                 18261,,,,,,
4733,2014年01月01日至2014年09月30日,,              3967331,,              3121560,                845771,                845771,,,                157243,,                193340,,                 61778,                412361,                433410,,,                 66934,,                182230,,                 22267,                226897,                660307,,                 92579,                567728,                567728,,,                 17911,                  3045,                 14866,                 14866,                582594,,                571243,                 -3515,,                586109,                 -3515,,                              6.92,,                              6.25,,,,,,,,,,,,,
4733,2014年01月01日至2014年06月30日,,              2264194,,              1782818,                481376,                481376,,,                152446,,                107543,,                 38662,                298651,                182725,,,                 11815,,                181344,,                 15674,                177485,                360210,,                 29140,                331070,                331070,,,                 -9545,                 -1623,                 -7922,                 -7922,                323148,,                333390,                 -2320,,                325468,                 -2320,,                              4.08,,                              3.65,,,,,,,,,,,,,
4733,2014年01月01日至2014年03月31日,,                911381,,                731886,                179495,                179495,,,                 75868,,                 51031,,                 18615,                145514,                 33981,,,                  6826,,                  1153,,                  8383,                   -404,                 33577,,                  4058,                 29519,                 29519,,,                 19486,                  3313,                 16173,                 16173,                 45692,,                 30593,                 -1074,,                 46766,                 -1074,,                              0.40,,                              0.37,,                911381,,                              0,,,,,,,,,
4733,2013年第3季,,                973202,,                773085,                200117,                200117,,,                 54719,,                 40366,,                 20191,                115276,                 84841,,,                  3639,,                  1653,,                  8159,                 -2867,                 81974,,                 14587,                 67387,                 67387,,,,,,                -10829,                 56558,,                 68590,                 -1203,,                 57761,                 -1203,,                              0.92,,                              0.85,,                973202,,,                -13047,,                 -2218,,                977061,                  3859,,,
4733,2013年第2季,,                967707,,                759196,                208511,                208511,,,                 57985,,                 40657,,                 21535,                120177,                 88334,,,                  6731,,                  5377,,                  5721,                  6387,                 94721,,                 24740,                 69981,                 69981,,,,,,                 19786,                 89767,,                 70787,                   -806,,                 90573,                   -806,,                              1.00,,                              0.99,,                967707,,,                 23838,,                  4052,,                971450,                  3743,                971450,,                              0
4733,2013年度,,              3531425,,              2802517,                728908,                728908,,,                218401,,                169527,,                 76571,                464499,                264409,,,                 15918,,                 25756,,                 30107,                 11567,                275976,,                 52067,                223909,                223909,,,,,,                 54672,                278581,,                227989,                 -4080,,                282661,                 -4080,,                              3.04,,                              2.76,,              3531425,,                              0,                 65937,                    -57,                 11208,,,,,,
4733,2013年07月01日至2013年09月30日,,                973202,,                773085,                200117,                200117,,,                 54719,,                 40366,,                 20191,                115276,                 84841,,,                  3639,,                  1653,,                  8159,                 -2867,                 81974,,                 14587,                 67387,                 67387,,,,,,                -10829,                 56558,,                 68590,                 -1203,,                 57761,                 -1203,,                              0.96,,                              0.89,,                973202,,,                -13047,,                 -2218,,                977061,                  3859,,,
4733,2013年04月01日至2013年06月30日,,                967707,,                759196,                208511,                208511,,,                 57985,,                 40657,,                 21535,                120177,                 88334,,,                  6731,,                  5377,,                  5721,                  6387,                 94721,,                 24740,                 69981,                 69981,,,,,,                 19786,                 89767,,                 70787,                   -806,,                 90573,                   -806,,                              1.00,,                              0.99,,                967707,,,                 23838,,                  4052,,                971450,                  3743,                971450,,
4733,2013年01月01日至2013年12月31日,,              3531425,,              2802517,                728908,                728908,,,                218401,,                169527,,                 76571,                464499,                264409,,,                 15918,,                 25756,,                 30107,                 11567,                275976,,                 52067,                223909,                223909,,,,,,                 54672,                278581,,                227989,                 -4080,,                282661,                 -4080,,                              3.18,,                              2.88,,              3531425,,,                 65937,                    -57,                 11208,,              3547996,                 16571,,,
4733,2013年01月01日至2013年09月30日,,              2650905,,              2106374,                544531,                544531,,,                157355,,                121074,,                 58364,                336793,                207738,,,                 12528,,                 10738,,                 19137,                  4129,                211867,,                 43658,                168209,                168209,,,,,,                 37567,                205776,,                171168,                 -2959,,                208735,                 -2959,,                              2.29,,                              2.22,,              2650905,,,                 45261,,                  7694,,              2659153,                  8248,,,
4733,2013年01月01日至2013年06月30日,,              1677703,,              1333289,                344414,                344414,,,                102636,,                 80708,,                 38173,                221517,                122897,,,                  8889,,                  9085,,                 10978,                  6996,                129893,,                 29071,                100822,                100822,,,,,,                 48396,                149218,,                102578,                 -1756,,                150974,                 -1756,,                              1.44,,                              1.43,,              1677703,,,                 58308,,                  9912,,              1682092,                  4389,              1682092,,                              0
4733,2013年01月01日至2013年03月31日,,                709996,,                574093,                135903,                135903,,,                 44651,,                 40051,,                 16638,                101340,                 34563,,,                  2158,,                  3708,,                  5257,                    609,                 35172,,                  4331,                 30841,                 30841,,,,,,                 28610,                 59451,,                 31791,                   -950,,                 60401,                   -950,,                              0.44,,                              0.44,,                709996,,,                 34470,,                  5860,,                710642,                    646,                710642,,
4733,2012年07月01日至2012年09月30日,,                851719,,                643132,                208587,                208587,,,                 69036,,                 38773,,                 23332,                131141,                 77446,,,                 11794,,                   -910,,                  3648,                  7236,                 84682,,                 13531,                 71151,                 71151,,,,,,                -20958,                 50193,,                 72152,                 -1001,,                 51194,                 -1001,,                              1.00,,                              0.99,,                851719,,,                -25250,,                 -4292,,                856465,                  4746,,,
4733,2012年04月01日至2012年06月30日,,                944220,,                725448,                218772,                218772,,,                 56695,,                 41201,,                 21437,                119333,                 99439,,,                  1420,,                 -3606,,                  3987,                 -6173,                 93266,,                 10231,                 83035,                 83035,,,,,,                  7155,                 90190,,                 83035,                              0,,                 90190,                              0,,                              1.15,,                              1.14,,                944220,,,                  8620,,                  1465,,                961687,                 17467,                961687,,
4733,2012年01月01日至2012年12月31日,,              3336924,,              2575760,                761164,                761164,,,                195328,,                171418,,                 75459,                442205,                318959,,,                 12466,,                  5932,,                 18503,                   -105,                318854,,                 59485,                259369,                259369,,,,,,                -35552,                223817,,                261507,                 -2138,,                225955,                 -2138,,                              3.62,,                              3.60,,              3336924,,,                -41804,                   -854,                 -7106,,              3362863,                 25939,,,
4733,2012年01月01日至2012年09月30日,,              2619676,,              2011771,                607905,                607905,,,                159626,,                117179,,                 61859,                338664,                269241,,,                 15059,,                 -6322,,                 11677,                 -2940,                266301,,                 37352,                228949,                228949,,,,,,                -34786,                194163,,                229950,                 -1001,,                195164,                 -1001,,                              3.18,,                              3.15,,              2619676,,,                -41911,,                 -7125,,              2642251,                 22575,,,
4733,2012年01月01日至2012年06月30日,,              1767957,,              1368639,                399318,                399318,,,                 90590,,                 78406,,                 38527,                207523,                191795,,,                  3265,,                 -5412,,                  8029,                -10176,                181619,,                 23821,                157798,                157798,,,,,,                -13828,                143970,,                157798,                              0,,                143970,                              0,,                              2.18,,                              2.17,,              1767957,,,                -16661,,                 -2833,,              1785786,                 17829,              1785786,,
4733,2012年01月01日至2012年03月31日,,                823737,,                643191,                180546,                180546,,,                 43432,,                 37205,,                 17090,                 97727,                 82819,,,                  1845,,                  7731,,                  4042,                  5534,                 88353,,                 13590,                 74763,                 74763,,,,,,                -20983,                 53780,,                 74763,                              0,,                 53780,                              0,,                              1.03,,                              1.03,,                823737,,,                -25281,,                 -4298,,                824099,                    362,,,
