證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨成本,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 外幣兌換損失,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 當期所得稅費用（利益）
3535,2015年第3季,,,                167561,                167561,,,                119764,                119764,                 47797,                 47797,,,                  6507,,                 12463,,                 34674,                 53644,                 -5847,,,                    224,,                 14692,,                  2527,                 12389,                  6542,,                              0,                  6542,                  6542,,,                    517,                    517,                    517,                  7059,,                  6542,                              0,,                  7059,                              0,,                              0.08,                              0.08,,                              0.08,                              0.08,,,,,,,,,,,,,,,
3535,2015年第2季,,,                142442,                142442,,,                 90401,                 90401,                 52041,                 52041,,,                  5809,,                 12099,,                 33487,                 51395,                    646,,,                    413,,                 -4974,,                  2386,                 -6947,                 -6301,,                              0,                 -6301,                 -6301,,,                   -278,                   -278,                   -278,                 -6579,,                 -6301,,,                 -6579,,,                             -0.08,                             -0.08,,                             -0.08,                             -0.08,,,,,,,,,,,,,,,
3535,2015年01月01日至2015年09月30日,,,                619625,                619625,,,                446214,                446214,                173411,                173411,,,                 23555,,                 37448,,                104217,                165220,                  8191,,,                    972,,                  6370,,                  7264,                     78,                  8269,,                              0,                  8269,                  8269,,,                   -188,                   -188,                   -188,                  8081,,                  8269,                              0,,                  8081,                              0,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,,,,,,,,,,
3535,2015年01月01日至2015年06月30日,,,                452064,                452064,,,                326450,                326450,                125614,                125614,,,                 17048,,                 24985,,                 69543,                111576,                 14038,,,                    748,,                 -8322,,                  4737,                -12311,                  1727,,                              0,                  1727,                  1727,,,                   -705,                   -705,                   -705,                  1022,,                  1727,,,                  1022,,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,,,,,,,,,,,
3535,2015年01月01日至2015年03月31日,,,                309622,                309622,,,                236049,                236049,                 73573,                 73573,,,                 11239,,                 12886,,                 36056,                 60181,                 13392,,,                    335,,                 -3348,,                  2351,                 -5364,                  8028,,                              0,                  8028,                  8028,,,                   -427,                   -427,                   -427,                  7601,,                  8028,,,                  7601,,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,,,,,,,,,,,,
3535,2014年第3季,,,                136914,                136914,,,                 95465,                 95465,                 41449,                 41449,,,                  5808,,                 10809,,                 34480,                 51097,                 -9648,,,                    -16,,                  7459,,                  1542,                  5901,                 -3747,,                              0,                 -3747,                 -3747,,,                    289,                    289,                    289,                 -3458,,                 -3747,                              0,,                 -3458,                              0,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,,,,,,,,,,,,,,,
3535,2014年第2季,,,                171306,                171306,,,                102515,                102515,                 68791,                 68791,,,                  8019,,                 13788,,                 32047,                 53854,                 14937,,,                    270,,                 -2141,,                  1467,                 -3338,                 11599,,                  2024,                  9575,                  9575,,,                   -198,                   -198,                   -198,                  9377,,                  9575,,,                  9377,,,                              0.12,                              0.12,,                              0.12,                              0.12,,,,,,,,,,,,,,,
3535,2014年度,,,                740537,                740537,,,                558092,                558092,                182445,                182445,,,                 28787,,                 50553,,                141805,                221145,                -38700,,,                  1345,,                 13167,,                  6525,                  7987,                -30713,,                  5794,                -36507,                -36507,,,,,                   -254,                -36761,,                -36507,,,                -36761,,,                             -0.46,                             -0.46,,                             -0.46,                             -0.46,,                              0,                    475,                   -729,                              0,,,,,,,,,,
3535,2014年01月01日至2014年09月30日,,,                497947,                497947,,,                333690,                333690,                164257,                164257,,,                 21392,,                 38126,,                 97100,                156618,                  7639,,,                    874,,                  7980,,                  4312,                  4542,                 12181,,                  2760,                  9421,                  9421,,,                    105,                    105,                    105,                  9526,,                  9421,                              0,,                  9526,                              0,,                              0.12,                              0.12,,                              0.12,                              0.12,,,,,,,,,,,,,,,
3535,2014年01月01日至2014年06月30日,,,                361033,                361033,,,                238225,                238225,                122808,                122808,,,                 15584,,                 27317,,                 62620,                105521,                 17287,,,                    890,,                    521,,                  2770,                 -1359,                 15928,,                  2760,                 13168,                 13168,,,                   -184,                   -184,                   -184,                 12984,,                 13168,,,                 12984,,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,,,,,,,,,,,
3535,2014年01月01日至2014年03月31日,,,                189727,                189727,,,                135710,                135710,                 54017,                 54017,,,                  7565,,                 13529,,                 30573,                 51667,                  2350,,,                    620,,                  2662,,                  1303,                  1979,                  4329,,                    736,                  3593,                  3593,,,                     14,                     14,                     14,                  3607,,                  3593,,,                  3607,,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,,,,,,,,
3535,2013年第3季,,,                124358,                124358,,,                 96691,                 96691,                 27667,                 27667,,,                  9584,,                 11359,,                 32570,                 53513,                -25846,,,                    427,,                 -1402,,                  2546,                 -4682,                -30528,,                              0,                -30528,                -30528,,,,,                   -124,                -30652,,                -30528,,,                -30652,,,                             -0.39,                             -0.39,,                             -0.39,                             -0.39,,                 -1161,                   -124,,,,,,,,,,,,
