證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 其他費用,　　　 推銷費用合計,　　 管理費用,　　　 其他費用[duplicate]12,　　　 管理費用合計,　　 研究發展費用,　　　 其他費用[duplicate]15,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 其他減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息費用,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
2324,2015年第3季,,            215862244,,            207665147,              8197097,              8197097,,,              1244859,              1244859,,              1252623,              1252623,,              3113865,              3113865,              5611347,              2585750,,,                207289,                207289,,                  3662,                              0,                591972,                348043,,                              0,                              0,                  8608,                              0,                              0,                              0,                              0,,                              0,                              0,                935069,,                162942,,                214577,                              0,                214577,              1193993,              3779743,,                700194,              3079549,              3079549,,,              3302666,             -1579846,                  5202,,                 36183,                -36141,              1800346,              1800346,              4879895,,              2889017,                190532,,              4638026,                241869,,                              0.67,,                              0.66,,,,,,,,,,
2324,2015年第2季,,            199032656,,            191464754,              7567902,              7567902,,,              1068707,              1068707,,              1071249,              1071249,,              3007185,              3007185,              5147141,              2420761,,,                613699,                613699,,                              0,                 72173,                              0,                              0,,                 10000,                 10000,                 38841,                  7136,                              0,                270852,                325536,,                              0,                              0,               -560192,,                226168,,                127753,                              0,                127753,                -44908,              2375853,,                882545,              1493308,              1493308,,,               -727800,               -585179,                 -6816,,                -66881,                -25620,             -1361056,             -1361056,                132252,,              1506101,                -12793,,                154106,                -21854,,                              0.35,,                              0.34,,,,,,,,,,
2324,2015年01月01日至2015年09月30日,,            613007343,,            588682896,             24324447,             24324447,,,              3529755,              3529755,,              3513874,              3513874,,              9052644,              9052644,             16096273,              8228174,,,              1188204,              1188204,,                  5874,                              0,                              0,                422200,,                 10000,                 10000,                 73181,                              0,                 14456,                622882,                              0,,                              0,                              0,               -272445,,                638040,,                224340,                              0,                224340,                502059,              8730233,,              2135615,              6594618,              6594618,,,              1783266,             -1513120,                 -1614,,                -53859,                 25300,                189373,                189373,              6783991,,              6411268,                183350,,              6574998,                208993,,                              1.48,,                              1.45,,,,,,,,,,
2324,2015年01月01日至2015年06月30日,,            397145099,,            381017749,             16127350,             16127350,,,              2284896,              2284896,,              2261251,              2261251,,              5938779,              5938779,             10484926,              5642424,,,                980915,                980915,,                  2212,                              0,                              0,                 74157,,                 10000,                 10000,                 64573,                              0,                 14456,              1214854,                              0,,                              0,                              0,             -1207514,,                475098,,                  9763,                              0,                  9763,               -691934,              4950490,,              1435421,              3515069,              3515069,,,             -1519400,                 66726,                 -6816,,                -90042,                 61441,             -1610973,             -1610973,              1904096,,              3522251,                 -7182,,              1936972,                -32876,,                              0.81,,                              0.80,,,,,,,,,,
2324,2015年01月01日至2015年03月31日,,            198112443,,            189552995,              8559448,              8559448,,,              1216189,              1216189,,              1190002,              1190002,,              2931594,              2931594,              5337785,              3221663,,,                367216,                367216,,                  9348,,                              0,                399693,,                              0,                              0,                 25732,,                 86629,                944002,,,                              0,                              0,               -647322,,                248930,,                              0,                117990,               -117990,               -647026,              2574637,,                552876,              2021761,              2021761,,,               -791600,                651905,,,                -23161,                 87061,               -249917,               -249917,              1771844,,              2016150,                  5611,,              1782866,                -11022,,                              0.47,,                              0.46,,,,,,,,,,
2324,2014年第3季,,            226793017,,            219397758,              7395259,              7395259,,,                889395,                889395,,              1253460,              1253460,,              3108290,              3108290,              5251145,              2144114,,,                424940,                424940,,                              0,                  3717,                185626,                144264,,                              0,                              0,                   -283,                 18710,                              0,                              0,                              0,,                 11274,                 11274,                303906,,                244188,,                453881,                              0,                453881,                938539,              3082653,,                370289,              2712364,              2712364,,,                816549,                  6538,                              0,,                129884,                 -2536,                955507,                955507,              3667871,,              2582087,                130277,,              3533939,                133932,,                              0.60,,                              0.60,,,,,,,,,,
2324,2014年第2季,,            201870079,,            194000758,              7869321,              7869321,,,                866162,                866162,,              1176699,              1176699,,              2945174,              2945174,              4988035,              2881286,,,                719590,                719590,,                  7239,                 14631,                              0,                              0,,                              0,                              0,                  9824,                              0,                              0,                584674,                144660,,                              0,                              0,               -717288,,                254007,,                 62399,                              0,                 62399,               -189306,              2691980,,                213374,              2478606,              2478606,,,               -978233,                939937,                              0,,               -130011,                 28092,               -196399,               -196399,              2282207,,              2364372,                114234,,              2175384,                106823,,                              0.55,,                              0.55,,,,,,,,,,
2324,2014年度,,            845700752,,            813336090,             32364662,             32364662,,,              3746315,              3746315,,              4832771,              4832771,,             12111034,             12111034,             20690120,             11674542,,,              1762563,              1762563,,                 46226,                 18348,                525341,                529423,,,,,                              0,                              0,                              0,                              0,,              4777920,              4777920,             -3658582,,              1019504,,                977953,                              0,                977953,             -1937570,              9736972,,              2181971,              7555001,              7555001,,,,,,,,,,              4562238,             12117239,,              7034081,                520920,,             11564839,                552400,,                              1.63,,                              1.63,              2882064,              1667628,                -35349,,                 80992,                 80992,                 33097,,,
2324,2014年01月01日至2014年09月30日,,            599297961,,            576689002,             22608959,             22608959,,,              2656462,              2656462,,              3607596,              3607596,,              9017784,              9017784,             15281842,              7327117,,,              1400311,              1400311,,                 19346,                 18348,                              0,                315660,,                              0,                              0,                  4576,                              0,                              0,                 78172,                              0,,              4743395,              4743395,             -4472789,,                736863,,                786505,                              0,                786505,             -3022836,              4304281,,              1240601,              3063680,              3063680,,,                858424,              1225875,                              0,,                -44004,                 27072,              2013223,              2013223,              5076903,,              2680508,                383172,,              4690209,                386694,,                              0.62,,                              0.62,,,,,,,,,,
2324,2014年01月01日至2014年06月30日,,            372504944,,            357291244,             15213700,             15213700,,,              1767067,              1767067,,              2354136,              2354136,,              5909494,              5909494,             10030697,              5183003,,,                975371,                975371,,                 38056,                 14631,                              0,                171396,,                              0,                              0,                  4859,                              0,                              0,                263798,                              0,,              4732121,              4732121,             -4776695,,                492675,,                332624,                              0,                332624,             -3961375,              1221628,,                870312,                351316,                351316,,,                 41875,              1219337,                              0,,               -173888,                 29608,              1057716,              1057716,              1409032,,                 98421,                252895,,              1156270,                252762,,                              0.02,,                              0.02,,,,,,,,,,
2324,2014年01月01日至2014年03月31日,,            170634865,,            163290486,              7344379,              7344379,,,                900905,                900905,,              1177437,              1177437,,              2964320,              2964320,              5042662,              2301717,,,                255781,                255781,,                 30817,,                320876,                316056,,                  7096,                  7096,                  2131,,                              0,                              0,,,              4732121,              4732121,             -4059407,,                238668,,                270225,                              0,                270225,             -3772069,             -1470352,,                656938,             -2127290,             -2127290,,,              1020108,                279400,,,                -43877,                  1516,              1254115,              1254115,               -873175,,             -2265951,                138661,,             -1019114,                145939,,                             -0.53,,                             -0.53,,,,,,,,,,
