證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2316,2015年第3季,,,,              1498793,                  3132,                  2615,              1493046,              1493046,,              1337269,                155777,                155777,,,                 47731,,                 55320,,                 17627,                120678,                 35099,,,                 45137,,                285630,,                  9157,,                 10888,                332498,                367597,,                 31207,                336390,                336390,,,                178463,                 30339,                148124,                148124,                484514,,                336390,,                484514,,                              1.06,,                              1.06,,,,,,
2316,2015年第2季,,,,              1544812,                     83,                  4552,              1540177,              1540177,,              1343905,                196272,                196272,,,                 43369,,                 56935,,                 23241,                123545,                 72727,,,                 33181,,              5144199,,                  9399,,                -11732,              5156249,              5228976,,                949237,              4279739,              4279739,,,               -145742,                -24777,               -120965,               -120965,              4158774,,              4279739,,              4158774,,                             13.49,,                             13.49,,,,,,
2316,2015年01月01日至2015年09月30日,,,,              4812957,                  3511,                 26418,              4783028,              4783028,,              4236030,                546998,                546998,,,                140320,,                165778,,                 64147,                370245,                176753,,,                 97607,,              5788063,,                 28946,,                -41273,              5815451,              5992204,,              1032924,              4959280,              4959280,,,                -24880,                 -4230,                -20650,                -20650,              4938630,,              4959280,,              4938630,,                             15.63,,                             15.63,,,,,,
2316,2015年01月01日至2015年06月30日,,,,              3314164,                    379,                 23803,              3289982,              3289982,,              2898761,                391221,                391221,,,                 92589,,                110458,,                 46520,                249567,                141654,,,                 52470,,              5502433,,                 19789,,                -52161,              5482953,              5624607,,              1001717,              4622890,              4622890,,,               -203343,                -34569,               -168774,               -168774,              4454116,,              4622890,,              4454116,,                             14.57,,                             14.57,,,,,,
2316,2015年01月01日至2015年03月31日,,,,              1769352,                    296,                 19251,              1749805,              1749805,,              1554856,                194949,                194949,,,                 49220,,                 53523,,                 23279,                126022,                 68927,,,                 19289,,                358234,,                 10390,,                -40429,                326704,                395631,,                 52480,                343151,                343151,,,                -57601,                 -9792,                -47809,                -47809,                295342,,                343151,,                295342,,                              1.08,,                              1.08,                 19289,                              1.08,                              1.08,,,
2316,2014年第3季,,,,              1938524,                 22754,                  9671,              1906099,              1906099,,              1666166,                239933,                239933,,,                 60527,,                 61910,,                 19254,                141691,                 98242,,,                 17103,,                 11178,,                  9463,,                -44075,                -25257,                 72985,,                 10961,                 62024,                 62024,,,                166857,                 28366,                138491,                138491,                200515,,                 62024,,                200515,,                              0.20,,                              0.20,,,,,,
2316,2014年第2季,,,,              1817235,                  2003,                 24439,              1790793,              1790793,,              1529468,                261325,                261325,,,                 64865,,                 64591,,                 24633,                154089,                107236,,,                 17614,,                -12229,,                  9363,,                  2592,                 -1386,                105850,,                 11484,                 94366,                 94366,,,               -103323,                -17565,                -85758,                -85758,                  8608,,                 94366,,                  8608,,                              0.30,,                              0.30,,,,,,
2316,2014年度,,,,              7417510,                 26467,                 60807,              7330236,              7330236,,              6424686,                905550,                905550,,,                242334,,                234836,,                 92466,                569636,                335914,,,                 68576,,                 61299,,                 36811,,                 -9670,                 83394,                419308,,                 55198,                364110,                364110,,,,,,                179701,                543811,,                364110,,                543811,,                              1.15,,                              1.15,,,,                209144,                  7364,                 36807
2316,2014年01月01日至2014年09月30日,,,,              5293671,                 26171,                 51088,              5216412,              5216412,,              4538733,                677679,                677679,,,                177653,,                184016,,                 66994,                428663,                249016,,,                 50904,,                 17677,,                 27042,,                -13616,                 27923,                276939,,                 36456,                240483,                240483,,,                 38639,                  6569,                 32070,                 32070,                272553,,                240483,,                272553,,                              0.76,,                              0.76,,,,,,
2316,2014年01月01日至2014年06月30日,,,,              3355147,                  3417,                 41417,              3310313,              3310313,,              2872567,                437746,                437746,,,                117126,,                122106,,                 47740,                286972,                150774,,,                 33801,,                  6499,,                 17579,,                 30459,                 53180,                203954,,                 25495,                178459,                178459,,,               -128218,                -21797,               -106421,               -106421,                 72038,,                178459,,                 72038,,                              0.56,,                              0.56,,,,,,
2316,2014年01月01日至2014年03月31日,,,,              1537912,                  1414,                 16978,              1519520,              1519520,,              1343099,                176421,                176421,,,                 52261,,                 57515,,                 23107,                132883,                 43538,,,                 16187,,                 18728,,                  8216,,                 27867,                 54566,                 98104,,                 14011,                 84093,                 84093,,,                -24895,                 -4232,                -20663,                -20663,                 63430,,                 84093,,                 63430,,                              0.27,,                              0.27,                 16187,                              0.27,                              0.27,,,
2316,2013年第3季,,,,              1643635,                  2981,                 15972,              1624682,              1624682,,              1430431,                194251,                194251,,,                 50255,,                 54944,,                 22051,                127250,                 67001,,,                 13982,,                 -4245,,                  8400,,                 72364,                 73701,                140702,,                 20854,                119848,                119848,,,,,,                 -9090,                110758,,                119848,,                110758,,                              0.38,,                              0.37,,,,                -10953,,                 -1863
2316,2013年第2季,,,,              1471040,                  8226,                  8519,              1454295,              1454295,,              1317770,                136525,                136525,,,                 45246,,                 50077,,                 22780,                118103,                 18422,,,                  8538,,                 -7213,,                  8563,,                 79649,                 72411,                 90833,,                 40387,                 50446,                 50446,,,,,,                 91400,                141846,,                 50446,,                141846,,                              0.16,,                              0.16,,,,                110120,,                 18720
2316,2013年度,,,,              6205042,                 18498,                 49122,              6137422,              6137422,,              5519166,                618256,                618256,,,                203788,,                204341,,                 92003,                500132,                118124,,,                 46035,,                 -2935,,                 33688,,                204941,                214353,                332477,,                 58104,                274373,                274373,,,,,,                307049,                581422,,                274373,,                581422,,                              0.87,,                              0.86,,,,                365900,                  4038,                 62889
2316,2013年07月01日至2013年09月30日,,,,              1643635,                  2981,                 15972,              1624682,              1624682,,              1430431,                194251,                194251,,,                 50255,,                 54944,,                 22051,                127250,                 67001,,,                 13982,,                 -4245,,                  8400,,                 72364,                 73701,                140702,,                 20854,                119848,                119848,,,,,,                 -9090,                110758,,                119848,,                110758,,                              0.38,,                              0.37,,,,                -10953,,                 -1863
2316,2013年04月01日至2013年06月30日,,,,              1471040,                  8226,                  8519,              1454295,              1454295,,              1317770,                136525,                136525,,,                 45246,,                 50077,,                 22780,                118103,                 18422,,,                  8538,,                 -7213,,                  8563,,                 79649,                 72411,                 90833,,                 40387,                 50446,                 50446,,,,,,                 91400,                141846,,                 50446,,                141846,,                              0.16,,                              0.16,,,,                110120,,                 18720
2316,2013年01月01日至2013年12月31日,,,,              6205042,                 18498,                 49122,              6137422,              6137422,,              5519166,                618256,                618256,,,                203788,,                204341,,                 92003,                500132,                118124,,,                 46035,,                 -2935,,                 33688,,                204941,                214353,                332477,,                 58104,                274373,                274373,,,,,,                307049,                581422,,                274373,,                581422,,                              0.87,,                              0.86,,,,                365900,                  4038,                 62889
2316,2013年01月01日至2013年09月30日,,,,              4477181,                 11855,                 26963,              4438363,              4438363,,              4034342,                404021,                404021,,,                139667,,                150473,,                 65125,                355265,                 48756,,,                 31093,,                   -702,,                 25474,,                216717,                221634,                270390,,                 53632,                216758,                216758,,,,,,                224370,                441128,,                216758,,                441128,,                              0.68,,                              0.67,,,,                270323,,                 45953
2316,2013年01月01日至2013年06月30日,,,,              2833546,                  8874,                 10991,              2813681,              2813681,,              2603911,                209770,                209770,,,                 89412,,                 95529,,                 43074,                228015,                -18245,,,                 17111,,                  3543,,                 17074,,                144353,                147933,                129688,,                 32778,                 96910,                 96910,,,,,,                233460,                330370,,                 96910,,                330370,,                              0.31,,                              0.30,,,,                281276,,                 47816
2316,2013年01月01日至2013年03月31日,,,,              1362506,                    648,                  2472,              1359386,              1359386,,              1286141,                 73245,                 73245,,,                 44166,,                 45452,,                 20294,                109912,                -36667,,,                  8573,,                 10756,,                  8511,,                 64704,                 75522,                 38855,,                 -7609,                 46464,                 46464,,,,,,                142060,                188524,,                 46464,,                188524,,                              0.15,,                              0.14,                  8573,                              0.15,                              0.14,                171156,,                 29096
