證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）
2471,2015年第3季,,                140547,,                101515,                 39032,                 39032,,,                 15242,,                 10870,,                 14750,                 40862,                 -1830,,,                  3947,,                 11311,,                   -135,                 15123,                 13293,,                  3786,                  9507,                  9507,,,                  3360,                    571,                  2789,                  2789,                 12296,,                  9507,,                 12296,,                              0.20,                              0.20,,                              0.20,                              0.20,,
2471,2015年第2季,,                139843,,                 95610,                 44233,                 44233,,,                 13761,,                  9794,,                 14059,                 37614,                  6619,,,                  5114,,                 -2757,,                   -309,                  2048,                  8667,,                   -407,                  9074,                  9074,,,                   -973,                   -165,                   -808,                   -808,                  8266,,                  9074,,                  8266,,                              0.19,                              0.19,,                              0.19,                              0.19,,
2471,2015年01月01日至2015年09月30日,,                414674,,                295968,                118706,                118706,,,                 46305,,                 33233,,                 43805,                123343,                 -4637,,,                 11111,,                  5637,,                   -679,                 16069,                 11432,,                  1583,                  9849,                  9849,,,                  1623,                    937,                    686,                    686,                 10535,,                  9849,,                 10535,,                              0.21,                              0.21,,                              0.21,                              0.21,,
2471,2015年01月01日至2015年06月30日,,                274127,,                194453,                 79674,                 79674,,,                 31063,,                 22363,,                 29055,                 82481,                 -2807,,,                  7164,,                 -5674,,                   -544,                    946,                 -1861,,                 -2203,                    342,                    342,,,                 -1737,                    366,                 -2103,                 -2103,                 -1761,,                    342,,                 -1761,,                              0.01,                              0.01,,                              0.01,                              0.01,,
2471,2015年01月01日至2015年03月31日,,                134284,,                 98843,                 35441,                 35441,,,                 17302,,                 12569,,                 14996,                 44867,                 -9426,,,                  2050,,                 -2917,,                   -235,                 -1102,                -10528,,                 -1796,                 -8732,                 -8732,,,                   -764,                    531,                 -1295,                 -1295,                -10027,,                 -8732,,                -10027,,                             -0.18,                             -0.18,,                             -0.18,                             -0.18,,
2471,2014年第3季,,                134884,,                 93837,                 41047,                 41047,,,                 16754,,                  9980,,                 15299,                 42033,                   -986,,,                  2606,,                  2042,,                 -2803,                  1845,                    859,,                    515,                    344,                    344,,,                  1709,                              0,                  1709,                  1709,                  2053,,                    344,,                  2053,,                              0.01,                              0.01,,                              0.01,                              0.01,,
2471,2014年第2季,,                137998,,                103352,                 34646,                 34646,,,                 13862,,                  9321,,                 12854,                 36037,                 -1391,,,                  1133,,                 -3667,,                 -2124,                 -4658,                 -6049,,                    106,                 -6155,                 -6155,,,                 -1361,                              0,                 -1361,                 -1361,                 -7516,,                 -6155,,                 -7516,,                             -0.13,                             -0.13,,                             -0.13,                             -0.13,,
2471,2014年第1季,,                143151,,                106899,                 36252,                 36252,,,                 15630,,                 14136,,                 13075,                 42841,                 -6589,,,                  5530,,                 15611,,                   -718,                 20423,                 13834,,                  1115,                 12719,                 12719,,,,,,                    570,                 13289,,                 12719,,                 13289,,                              0.27,                              0.27,,                              0.27,                              0.27,                    570,
2471,2014年度,,                647665,,                436019,                211646,                211646,,,                 60916,,                 44817,,                 56147,                161880,                 49766,,,                 11769,,                 20882,,                -11186,                 21465,                 71231,,                  9725,                 61506,                 61506,,,,,,                  2236,                 63742,,                 61506,,                 63742,,                              1.30,                              1.30,,                              1.29,                              1.29,                  3404,                 -1168
2471,2014年01月01日至2014年09月30日,,                416033,,                304088,                111945,                111945,,,                 46246,,                 33437,,                 41228,                120911,                 -8966,,,                  9269,,                 13986,,                 -5645,                 17610,                  8644,,                  1736,                  6908,                  6908,,,                    918,                              0,                    918,                    918,                  7826,,                  6908,,                  7826,,                              0.15,                              0.15,,                              0.15,                              0.15,,
2471,2014年01月01日至2014年06月30日,,                281149,,                210251,                 70898,                 70898,,,                 29492,,                 23457,,                 25929,                 78878,                 -7980,,,                  6663,,                 11944,,                 -2842,                 15765,                  7785,,                  1221,                  6564,                  6564,,,                   -791,                              0,                   -791,                   -791,                  5773,,                  6564,,                  5773,,                              0.14,                              0.14,,                              0.14,                              0.14,,
2471,2014年01月01日至2014年03月31日,,                143151,,                106899,                 36252,                 36252,,,                 15630,,                 14136,,                 13075,                 42841,                 -6589,,,                  5530,,                 15611,,                   -718,                 20423,                 13834,,                  1115,                 12719,                 12719,,,                    570,                              0,                    570,                    570,                 13289,,                 12719,,                 13289,,                              0.27,                              0.27,,                              0.27,                              0.27,,
2471,2013年第3季,,                122599,,                 89227,                 33372,                 33372,,,                 16635,,                 12455,,                 12074,                 41164,                 -7792,,,                  2129,,                 -2623,,                   -164,                   -658,                 -8450,,                    739,                 -9189,                 -9189,,,,,,                   -985,                -10174,,                 -9189,,                -10174,,                             -0.19,                             -0.19,,                             -0.19,                             -0.19,                   -985,
2471,2013年第2季,,                156804,,                110584,                 46220,                 46220,,,                 14448,,                  9369,,                 11479,                 35296,                 10924,,,                  2060,,                   -583,,                 -1095,                    382,                 11306,,                  2168,                  9138,                  9138,,,,,,                    786,                  9924,,                  9138,,                  9924,,                              0.19,                              0.19,,                              0.19,                              0.19,                    786,                              0
2471,2013年第1季,,                170154,,                105013,                 65141,                 65141,,,                 16380,,                 11962,,                 13392,                 41734,                 23407,,,                  2005,,                  4779,,                 -1199,                  5585,                 28992,,                  5303,                 23689,                 23689,,,,,,                  1887,                 25576,,                 23689,,                 25576,,                              0.50,                              0.50,,                              0.50,                              0.50,                  1887,
2471,2013年度,,                627721,,                417800,                209921,                209921,,,                 59347,,                 47958,,                 49099,                156404,                 53517,,,                  9137,,                  3008,,                 -2057,                 10088,                 63605,,                 12653,                 50952,                 50952,,,,,,                  7801,                 58753,,                 50952,,                 58753,,                              1.08,                              1.08,,                              1.07,                              1.07,                  2682,                  5119
2471,2013年07月01日至2013年09月30日,,                122599,,                 89227,                 33372,                 33372,,,                 16635,,                 12455,,                 12074,                 41164,                 -7792,,,                  2129,,                 -2623,,                   -164,                   -658,                 -8450,,                    739,                 -9189,                 -9189,,,,,,                   -985,                -10174,,                 -9189,,                -10174,,                             -0.19,                             -0.19,,                             -0.19,                             -0.19,                   -985,                              0
2471,2013年04月01日至2013年06月30日,,                156804,,                110584,                 46220,                 46220,,,                 14448,,                  9369,,                 11479,                 35296,                 10924,,,                  2060,,                   -583,,                 -1095,                    382,                 11306,,                  2168,                  9138,                  9138,,,,,,                    786,                  9924,,                  9138,,                  9924,,                              0.19,                              0.19,,                              0.19,                              0.19,                    786,
2471,2013年01月01日至2013年12月31日,,                627721,,                417800,                209921,                209921,,,                 59347,,                 47958,,                 49099,                156404,                 53517,,,                  9137,,                  3008,,                 -2057,                 10088,                 63605,,                 12653,                 50952,                 50952,,,,,,                  7801,                 58753,,                 50952,,                 58753,,                              1.08,                              1.08,,                              1.07,                              1.07,                  2682,                  5119
2471,2013年01月01日至2013年09月30日,,                449557,,                304824,                144733,                144733,,,                 47463,,                 33786,,                 36945,                118194,                 26539,,,                  6194,,                  1573,,                 -2458,                  5309,                 31848,,                  8210,                 23638,                 23638,,,,,,                  1688,                 25326,,                 23638,,                 25326,,                              0.50,                              0.50,,                              0.50,                              0.50,                  1688,
2471,2013年01月01日至2013年06月30日,,                326958,,                215597,                111361,                111361,,,                 30828,,                 21331,,                 24871,                 77030,                 34331,,,                  4065,,                  4196,,                 -2294,                  5967,                 40298,,                  7471,                 32827,                 32827,,,,,,                  2673,                 35500,,                 32827,,                 35500,,                              0.69,                              0.69,,                              0.69,                              0.69,                  2673,                              0
