證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
6412,2015年第3季,,              6986222,,              5878598,              1107624,              1107624,,,                239764,,                207571,,                354474,                801809,                305815,,,                 29276,,                 46730,,                 12233,,                 -4434,                 59339,                365154,,                 73923,                291231,                291231,,,                124542,               -121592,,                  2668,                  5618,                  5618,                296849,,                291569,                   -338,,                293975,                  2874,,                              0.81,                              0.81,,                              0.80,                              0.80,,,,,
6412,2015年第2季,,              6203891,,              5283049,                920842,                920842,,,                190838,,                183744,,                286402,                660984,                259858,,,                 48851,,                 44775,,                 10916,,                 -5282,                 77428,                337286,,                 52469,                284817,                284817,,,                -51693,               -230039,,                   -480,               -282212,               -282212,                  2605,,                285503,                   -686,,                  4320,                 -1715,,                              0.79,                              0.79,,                              0.78,                              0.78,,,,,
6412,2015年01月01日至2015年09月30日,,             19247732,,             16343019,              2904713,              2904713,,,                656311,,                573440,,                931726,              2161477,                743236,,,                 90537,,                 90639,,                 31680,,                -15547,                133949,                877185,,                155584,                721601,                721601,,,                 56896,               -397237,,                  1668,               -338673,               -338673,                382928,,                724053,                 -2452,,                385591,                 -2663,,                              2.01,                              2.01,,                              1.98,                              1.98,,,,,
6412,2015年01月01日至2015年06月30日,,             12261510,,             10464421,              1797089,              1797089,,,                416547,,                365869,,                577252,              1359668,                437421,,,                 61261,,                 43909,,                 19447,,                -11113,                 74610,                512031,,                 81661,                430370,                430370,,,                -67646,               -275645,,                 -1000,               -344291,               -344291,                 86079,,                432484,                 -2114,,                 91616,                 -5537,,                              1.20,                              1.20,,                              1.18,                              1.18,,,,,
6412,2015年01月01日至2015年03月31日,,              6057619,,              5181372,                876247,                876247,,,                226086,,                182125,,                290850,                699061,                177186,,,                 12410,,                   -489,,                  8531,,                 -5831,                 -2441,                174745,,                 29192,                145553,                145553,,,                -15953,                -45606,,                   -520,                -62079,                -62079,                 83474,,                146981,                 -1428,,                 87296,                 -3822,,                              0.41,                              0.41,,                              0.40,                              0.40,,,,,
6412,2014年第3季,,              7591267,,              6520947,              1070320,              1070320,,,                230966,,                187367,,                293669,                712002,                358318,,,                 14431,,                 60290,,                  8593,,                 -4541,                 61587,                419905,,                 57512,                362393,                362393,,,                 57776,               -147332,,                    362,                -89194,                -89194,                273199,,                363122,                   -729,,                273794,                   -595,,                              1.01,                              1.01,,                              0.99,                              0.99,,,,,
6412,2014年第2季,,              6780552,,              5824736,                955816,                955816,,,                214995,,                169657,,                266393,                651045,                304771,,,                 48454,,                 18591,,                  7208,,                 -2708,                 57129,                361900,,                 66139,                295761,                295761,,,                -37749,                 39048,,                 -1149,                    150,                    150,                295911,,                295761,                              0,,                295911,                              0,,                              0.83,                              0.83,,                              0.82,                              0.82,,,,,
6412,2014年度,,             27013224,,             23125422,              3887802,              3887802,,,                958015,,                724341,,              1118289,              2800645,              1087157,,,                113398,,                181556,,                 33330,,                -11319,                250305,              1337462,,                212867,              1124595,              1124595,,,,,,,,                -31802,              1092793,,              1128575,                 -3980,,              1094381,                 -1588,,                              3.16,                              3.16,,                              3.11,                              3.11,                 71436,               -100498,                 -7122,,                  4382
6412,2014年01月01日至2014年09月30日,,             19815608,,             17008627,              2806981,              2806981,,,                680354,,                508999,,                806443,              1995796,                811185,,,                 72554,,                 89045,,                 25284,,                 -6663,                129652,                940837,,                152602,                788235,                788235,,,                  2112,                 -4576,,                    118,                 -2346,                 -2346,                785889,,                788964,                   -729,,                786484,                   -595,,                              2.20,                              2.20,,                              2.17,                              2.17,,,,,
6412,2014年01月01日至2014年06月30日,,             12224341,,             10487680,              1736661,              1736661,,,                449388,,                321632,,                512774,              1283794,                452867,,,                 58123,,                 28755,,                 16691,,                 -2122,                 68065,                520932,,                 95090,                425842,                425842,,,                -55664,                142756,,                   -244,                 86848,                 86848,                512690,,                425842,                              0,,                512690,                              0,,                              1.19,                              1.19,,                              1.18,                              1.18,,,,,
6412,2014年01月01日至2014年03月31日,,              5443789,,              4662944,                780845,                780845,,,                234393,,                151975,,                246381,                632749,                148096,,,                  9669,,                 10164,,                  9483,,                    586,                 10936,                159032,,                 28951,                130081,                130081,,,                -17915,                103708,,                    905,                 86698,                 86698,                216779,,                130081,                              0,,                216779,                              0,,                              0.37,                              0.37,,                              0.36,                              0.36,,,,,
6412,2013年第3季,,              6621984,,              5592714,              1029270,              1029270,,,                257332,,                165449,,                255548,                678329,                350941,,,                 37733,,                  9886,,                 15502,,                  1816,                 33933,                384874,,                 56662,                328212,                328212,,,,,,,,                  3867,                332079,,                328212,                              0,,                332079,                              0,,                              0.99,                              0.99,,                              0.99,                              0.99,                -13470,                 17856,,,                   -519
