證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益
9933,2013年第2季,,             13153437,,             11978899,              1174538,              1174538,,,                417927,,                 24536,                442463,                732075,,,                 24634,,               -140682,,                 15128,,                 14403,               -116773,                615302,,                113676,                501626,                501626,,,,,,,,,                 46473,                548099,,                427614,                 74012,,                470701,                 77398,,                              0.59,                              0.59,,                              0.58,                              0.58,                 40638,                  5835
9933,2013年度,,             52221958,,             48004905,              4217053,              4217053,,,              1743753,,                107525,              1851278,              2365775,,,                175479,,                    723,,                106126,,                 74059,                144135,              2509910,,                474134,              2035776,              2035776,,,,,,,,,                 86584,              2122360,,              1641730,                394046,,              1729559,                392801,,                              2.22,                              2.22,,                              2.17,                              2.17,                 34668,                 51916
9933,2013年07月01日至2013年09月30日,,             12505675,,             11549596,                956079,                956079,,,                488730,,                 31348,                520078,                436001,,,                 94167,,                106471,,                 15040,,                 10073,                195671,                631672,,                136547,                495125,                495125,,,,,,,,,                 -4184,                490941,,                382640,                112485,,                380849,                110092,,                              0.52,                              0.52,,                              0.51,                              0.51,                -35992,                 31808
9933,2013年04月01日至2013年06月30日,,             13153437,,             11978899,              1174538,              1174538,,,                417927,,                 24536,                442463,                732075,,,                 24634,,               -140682,,                 15128,,                 14403,               -116773,                615302,,                113676,                501626,                501626,,,,,,,,,                 46473,                548099,,                427614,                 74012,,                470701,                 77398,,                              0.59,                              0.59,,                              0.58,                              0.58,                 40638,                  5835
9933,2013年01月01日至2013年12月31日,,             52221958,,             48004905,              4217053,              4217053,,,              1743753,,                107525,              1851278,              2365775,,,                175479,,                    723,,                106126,,                 74059,                144135,              2509910,,                474134,              2035776,              2035776,,,,,,,,,                 86584,              2122360,,              1641730,                394046,,              1729559,                392801,,                              2.22,                              2.22,,                              2.17,                              2.17,                 34668,                 51916
9933,2013年01月01日至2013年09月30日,,             37086034,,             33917297,              3168737,              3168737,,,              1288562,,                 79171,              1367733,              1801004,,,                176936,,                -63075,,                 44272,,                 48146,                117735,              1918739,,                337981,              1580758,              1580758,,,,,,,,,                111766,              1692524,,              1284639,                296119,,              1396405,                296119,,                              1.74,                              1.74,,                              1.70,                              1.70,                 45270,                 66496
9933,2013年01月01日至2013年06月30日,,             24580359,,             22367701,              2212658,              2212658,,,                799832,,                 47823,                847655,              1365003,,,                 82769,,               -169546,,                 29232,,                 38073,                -77936,              1287067,,                201434,              1085633,              1085633,,,,,,,,,                115950,              1201583,,                901999,                183634,,              1015556,                186027,,                              1.25,                              1.25,,                              1.21,                              1.21,                 81262,                 34688
9933,2013年01月01日至2013年03月31日,,             11426922,,             10388802,              1038120,              1038120,,,                381905,,                 23287,                405192,                632928,,,                 58135,,                -28864,,                 14104,,                 23670,                 38837,                671765,,                 87758,                584007,                584007,,,,,,,,,                 69477,                653484,,                474385,                109622,,                544855,                108629,,                              0.65,                              0.65,,                              0.63,                              0.63,                 40624,                 28853
9933,2012年07月01日至2012年09月30日,,             15574737,,             14350079,              1224658,              1224658,,,                491372,,                 29775,                521147,                703511,,,                 83676,,                 49739,,                 21272,,                  7130,                119273,                822784,,                158297,                664487,                664487,,,,,,,,,                -60051,                604436,,                539748,                124739,,                482771,                121665,,                              0.75,                              0.75,,                              0.72,                              0.72,                -34044,                -26007
9933,2012年04月01日至2012年06月30日,,             14210376,,             12845036,              1365340,              1365340,,,                402567,,                 24621,                427188,                938152,,,                 39126,,                -73294,,                 21107,,                 29277,                -25998,                912154,,                127108,                785046,                785046,,,,,,,,,                 68447,                853493,,                678051,                106995,,                717145,                136348,,                              0.95,                              0.95,,                              0.91,                              0.91,                 49873,                 18574
9933,2012年01月01日至2012年12月31日,,             60522162,,             55362683,              5159479,              5159479,,,              1807144,,                114687,              1921831,              3237648,,,                247538,,                -11223,,                 97765,,                 77189,                215739,              3453387,,                603172,              2850215,              2850215,,,,,,,,,                -24852,              2825363,,              2445282,                404933,,              2438974,                386389,,                              3.39,                              3.39,,                              3.27,                              3.27,                -55909,                 31057
9933,2012年01月01日至2012年09月30日,,             41638994,,             37984861,              3654133,              3654133,,,              1239228,,                 81841,              1321069,              2333064,,,                190658,,                  4328,,                 67713,,                 48247,                175520,              2508584,,                421207,              2087377,              2087377,,,,,,,,,                 14398,              2101775,,              1771216,                316161,,              1776348,                325427,,                              2.47,                              2.47,,                              2.38,                              2.38,                -36684,                 51082
9933,2012年01月01日至2012年06月30日,,             26064257,,             23634782,              2429475,              2429475,,,                747856,,                 52066,                799922,              1629553,,,                106982,,                -45411,,                 46441,,                 41117,                 56247,              1685800,,                262910,              1422890,              1422890,,,,,,,,,                 74449,              1497339,,              1231468,                191422,,              1293577,                203762,,                              1.72,                              1.72,,                              1.66,                              1.66,                 -2640,                 77089
9933,2012年01月01日至2012年03月31日,,             11853881,,             10789746,              1064135,              1064135,,,                345289,,                 27445,                372734,                691401,,,                 67856,,                 27883,,                 25334,,                 11840,                 82245,                773646,,                135802,                637844,                637844,,,,,,,,,                  6002,                643846,,                553417,                 84427,,                576432,                 67414,,                              0.78,                              0.78,,                              0.75,                              0.75,                -52513,                 58515
