證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 繼續營業單位淨利（淨損）,　　　 租賃收入,　　 銷貨成本,　　　 銷貨成本合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 其他收入－其他,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資利益之份額,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 其他綜合損益
1456,2013年07月01日至2013年09月30日,,,                166919,,                 20803,                187722,,                192269,                 -4547,                 -4547,,,                  1448,,                 13161,,                              0,                 14609,                -19156,,,                  2203,,                  3883,,                 15243,,,                   -305,                 -9462,                -28618,,                    785,                -29403,                -29403,,                 -1407,,,,                              0,,                              0,                 -1407,                -30810,,                -29403,                              0,,                -30810,                              0,,                             -0.07,                              0,                              0,,                              0,,                              0,                             -0.07,,,,,,,,,,,,
1456,2013年04月01日至2013年06月30日,,,                156122,,                 20945,                177067,,                185552,                 -8485,                 -8485,,,                     62,,                 11966,,                  2500,                 14528,                -23013,,,                    946,,                 -1791,,                 13420,,,                   -279,                -14544,                -37557,,                   -129,                -37428,                -37428,,                 -3517,,,,                              0,,                              0,                 -3517,                -40945,,                -37428,                              0,,                -40945,                              0,,                             -0.10,                              0,                              0,,                              0,,                              0,                             -0.10,,,,,,,,,,,,
1456,2013年01月01日至2013年12月31日,,,                755675,,                 83130,                838805,,                816927,                 21878,                 21878,,,                 18106,,                 80658,,                  5530,                104294,                -82416,,,                 33357,,                -13131,,                 56923,,                    622,                   -622,                -37319,               -119735,,                 -7545,               -112190,               -112190,,                 -8206,                 -5191,,                    -31,                    -74,                     -3,                   -108,                -13505,               -125695,,               -112190,                              0,,               -125695,                              0,,                             -0.69,,,,,,,,,,,,,,,,,,,
1456,2013年01月01日至2013年09月30日,,,                505382,,                 62599,                567981,,                563887,                  4094,                  4094,,,                  3226,,                 35018,,                  5530,                 43774,                -39680,,,                  3908,,                 -6781,,                 41578,,,                   -579,                -45030,                -84710,,                 -3861,                -80849,                -80849,,                 -8441,,,,                   -164,,                   -164,                 -8605,                -89454,,                -80849,                              0,,                -89454,                              0,,                             -0.20,                              0,                              0,,                              0,,                              0,                             -0.20,,,,,,,,,,,,
1456,2013年01月01日至2013年06月30日,,,                338463,,                 41796,                380259,,                371618,                  8641,                  8641,,,                  1778,,                 21857,,                  5530,                 29165,                -20524,,,                  1705,,                -10664,,                 26335,,,                   -274,                -35568,                -56092,,                 -4646,                -51446,                -51446,,                 -7034,,,,                   -164,,                   -164,                 -7198,                -58644,,                -51446,                              0,,                -58644,                              0,,                             -0.13,                              0,                              0,,                              0,,                              0,                             -0.13,,,,,,,,,,,,
1456,2013年01月01日至2013年03月31日,,,                182341,,                 20851,                203192,,                186066,                 17126,                 17126,,,                  1716,,                  9891,,                  3030,                 14637,                  2489,,,                    759,,                 -8873,,                 12915,,                              0,                      5,                -21024,                -18535,,                 -4517,                -14018,                -14018,,                 -3517,,,,                   -164,,                   -164,                 -3681,                -17699,,                -14018,                              0,,                -17699,                              0,,                             -0.03,                              0,                              0,,,,,,                 20851,,                186066,,                              0,                    759,                 12915,                      5,,                              0,                              0,                              0
1456,2012年07月01日至2012年09月30日,,,                397510,,                  5010,                402520,,                404084,                 -1564,                 -1564,,,                 16255,,                 20166,,                    949,                 37370,                -38934,,,                  9976,,                  6351,,                 13474,,,                    312,                  3165,                -35769,,                  1687,                -37456,                -37456,,                 29310,,,,                              0,,                              0,                 29310,                 -8146,,                -37456,                              0,,                 -8146,                              0,,                             -0.22,                              0,                              0,,                              0,,                              0,                             -0.22,,,,,,,,,,,,
1456,2012年04月01日至2012年06月30日,,,                474790,,                  5010,                479800,,                480409,                   -609,                   -609,,,                 13056,,                 18565,,                  1741,                 33362,                -33971,,,                  4339,,                 -3309,,                 13531,,,                   -780,                -13281,                -47252,,                  1065,                -48317,                -48317,,                  1407,,,,                              0,,                              0,                  1407,                -46910,,                -48317,                              0,,                -46910,                              0,,                             -0.29,                              0,                              0,,                              0,,                              0,                             -0.29,,,,,,,,,,,,
1456,2012年01月01日至2012年12月31日,,,              1814919,,                 25313,              1840232,,              1939390,                -99158,                -99158,,,                 54867,,                 76785,,                  5938,                137590,               -236748,,,                 26527,,                 34628,,                 54257,,                  8282,                 -8282,                 -1384,               -238132,,                 15361,               -253493,               -253493,,                 -2357,                 -9985,,                    -57,                    155,                     -6,                     92,                -12250,               -265743,,               -253493,                              0,,               -265743,                              0,,                             -3.51,,,,,,,,,,,,,,,,,,,
1456,2012年01月01日至2012年09月30日,,,              1410162,,                 15030,              1425192,,              1426333,                 -1141,                 -1141,,,                 42027,,                 58997,,                  3769,                104793,               -105934,,,                 17482,,                 36339,,                 40810,,,                 -7371,                  5640,               -100294,,                  3806,               -104100,               -104100,,                 18503,,,,                      9,,                      9,                 18512,                -85588,,               -104100,                              0,,                -85588,                              0,,                             -0.62,                              0,                              0,,                              0,,                              0,                             -0.62,,,,,,,,,,,,
