證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入淨額,　　　 維修收入,　　　　 維修收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本,　　　　 勞務成本合計,　　　 維修成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 利息費用,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額
8114,2014年01月01日至2014年03月31日,,,                741967,,,                  1036,,                  5306,                  6342,                748309,,,                438212,,,                    292,                  2589,                  2881,                441093,                307216,                307216,,,                 57099,,                 60107,,                 25946,                143152,                164064,,,                  2987,                  2987,,                 24624,,                  1048,                 26563,                190627,,                 34744,                155883,                155883,,,                 -1050,                 -1050,                 -1050,                154833,,                153238,                  2645,,                151767,                  3066,,                              2.35,,                              2.32,,,,,,,,,
8114,2013年第3季,,,                709663,,,                  1630,,                  3914,                  5544,                715207,,,                408792,,,                    170,                  4309,                  4479,                413271,                301936,                301936,,,                 52510,,                 56208,,                 23598,                132316,                169620,,,                  2978,                  2978,,                -11601,,                  1187,                 -9810,                159810,,                 22918,                136892,                136892,,,,,                 -2245,                134647,,                137021,                   -129,,                135291,                   -644,,                              2.10,,                              2.08,,                 -2245,,,,                              0,,,
8114,2013年第2季,,,                677457,,,                    842,,                  5787,                  6629,                684086,,,                390925,,,                    219,                  3735,                  3954,                394879,                289207,                289207,,,                 54722,,                 63070,,                 24041,                141833,                147374,,,                  3296,                  3296,,                  3062,,                  1161,                  5197,                152571,,                 26015,                126556,                126556,,,,,                   -300,                126256,,                130345,                 -3789,,                130567,                 -4311,,                              1.99,,                              1.97,,                   -300,,,,,,,
8114,2013年度,,,              2691729,,,                  4216,,                 15386,                 19602,              2711331,,,              1579160,,,                    727,                 11369,                 12096,              1591256,              1120075,              1120075,,,                217170,,                215913,,                 93967,                527050,                593025,,,                 12134,                 12134,,                 12032,,                  4428,                 19738,                612763,,                111557,                501206,                501206,,,,,                  1078,                502284,,                507483,                 -6277,,                509247,                 -6963,,                              7.77,,                              7.64,                  4428,                    959,                    143,                     24,,,,,
8114,2013年07月01日至2013年09月30日,,,                709663,,,                  1630,,                  3914,                  5544,                715207,,,                408792,,,                    170,                  4309,                  4479,                413271,                301936,                301936,,,                 52510,,                 56208,,                 23598,                132316,                169620,,,                  2978,                  2978,,                -11601,,                  1187,                 -9810,                159810,,                 22918,                136892,                136892,,,,,                 -2245,                134647,,                137021,                   -129,,                135291,                   -644,,                              2.11,,                              2.09,                  1187,                 -2245,,,,,,,
8114,2013年04月01日至2013年06月30日,,,                677457,,,                    842,,                  5787,                  6629,                684086,,,                390925,,,                    219,                  3735,                  3954,                394879,                289207,                289207,,,                 54722,,                 63070,,                 24041,                141833,                147374,,,                  3296,                  3296,,                  3062,,                  1161,                  5197,                152571,,                 26015,                126556,                126556,,,,,                   -300,                126256,,                130345,                 -3789,,                130567,                 -4311,,                              2.00,,                              1.98,                  1161,                   -300,,,,,,,
8114,2013年01月01日至2013年12月31日,,,              2691729,,,                  4216,,                 15386,                 19602,              2711331,,,              1575229,,,                    727,                 15300,                 16027,              1591256,              1120075,              1120075,,,                217170,,                215913,,                 93967,                527050,                593025,,,                 12134,                 12134,,                 12032,,                  4428,                 19738,                612763,,                111557,                501206,                501206,,,,,                  1078,                502284,,                507483,                 -6277,,                509247,                 -6963,,                              7.81,,                              7.68,                  4428,                    959,                    143,                     24,,,,,
8114,2013年01月01日至2013年09月30日,,,              1925242,,,                  2807,,                 14396,                 17203,              1942445,,,              1119482,,,                    392,                 12048,                 12440,              1131922,                810523,                810523,,,                182518,,                157914,,                 69845,                410277,                400246,,,                  9294,                  9294,,                 15276,,                  3190,                 21380,                421626,,                 70219,                351407,                351407,,,,,                    217,                351624,,                356372,                 -4965,,                357365,                 -5741,,                              5.45,,                              5.37,,                    217,,,,                              0,,,
8114,2013年01月01日至2013年06月30日,,,              1215579,,,                  1177,,                 10482,                 11659,              1227238,,,                710690,,,                    222,                  7739,                  7961,                718651,                508587,                508587,,,                130008,,                101706,,                 46247,                277961,                230626,,,                  6316,                  6316,,                 26877,,                  2003,                 31190,                261816,,                 47301,                214515,                214515,,,,,                  2462,                216977,,                219351,                 -4836,,                222074,                 -5097,,                              3.36,,                              3.31,,                  2462,,,,,,,
8114,2013年01月01日至2013年03月31日,,,                538122,,,                    335,,                  4695,                  5030,                543152,,,                319765,,,                      3,                  4004,                  4007,                323772,                219380,                219380,,,                 61865,,                 52057,,                 22206,                136128,                 83252,,,                  3020,                  3020,,                 23815,,                    842,                 25993,                109245,,                 21286,                 87959,                 87959,,,,,                  2762,                 90721,,                 89006,                 -1047,,                 91507,                   -786,,                              1.37,,                              1.34,,                  2762,,,,,,,
8114,2012年07月01日至2012年09月30日,,,                635117,,,                    983,,                  4906,                  5889,                641006,,,                370588,,,                    145,                  2374,                  2519,                373107,                267899,                267899,,,                 51848,,                 54142,,                 22332,                128322,                139577,,,                  2551,                  2551,,                -12129,,                    875,                -10453,                129124,,                 30006,                 99118,                 99118,,,,,                    450,                 99568,,                100648,                 -1530,,                100766,                 -1198,,                              1.55,,                              1.53,                    875,                    450,,,,,,,
8114,2012年04月01日至2012年06月30日,,,                607744,,,                  2165,,                  4465,                  6630,                614374,,,                366717,,,                    263,                  2744,                  3007,                369724,                244650,                244650,,,                 56466,,                 53019,,                 24584,                134069,                110581,,,                  2848,                  2848,,                  5643,,                  1125,                  7366,                117947,,                 15566,                102381,                102381,,,,,                 -2457,                 99924,,                102807,                   -426,,                101089,                 -1165,,                              1.58,,                              1.56,                  1125,                 -2457,,,,,,,
8114,2012年01月01日至2012年12月31日,,,              2300594,,,                  4101,,                 20031,                 24132,              2324726,,,              1356709,,,                    280,                 14026,                 14306,              1371015,                953711,                953711,,,                201724,,                194849,,                 88414,                484987,                468724,,,                 10894,                 10894,,                -20956,,                  3759,                -13821,                454903,,                 83106,                371797,                371797,,,,,                 -6531,                365266,,                375461,                 -3664,,                369541,                 -4275,,                              5.77,,                              5.65,                  3759,                 -3914,                 -3153,                   -536,,,,,
8114,2012年01月01日至2012年09月30日,,,              1699057,,,                  3148,,                 14369,                 17517,              1716574,,,              1002827,,,                    408,                  8076,                  8484,              1011311,                705263,                705263,,,                150795,,                149601,,                 65627,                366023,                339240,,,                  7866,                  7866,,                -15634,,                  3092,                -10860,                328380,,                 63908,                264472,                264472,,,,,                 -2656,                261816,,                266557,                 -2085,,                264128,                 -2312,,                              4.10,,                              4.02,                  3092,                 -2656,,,,,,,
8114,2012年01月01日至2012年06月30日,,,              1063940,,,                  2165,,                  9463,                 11628,              1075568,,,                632239,,,                    263,                  5702,                  5965,                638204,                437364,                437364,,,                 98947,,                 95459,,                 43295,                237701,                199663,,,                  5315,                  5315,,                 -3505,,                  2217,                   -407,                199256,,                 33902,                165354,                165354,,,,,                 -3106,                162248,,                165909,                   -555,,                163362,                 -1114,,                              2.55,,                              2.51,                  2217,                 -3106,,,,,,,
8114,2012年01月01日至2012年03月31日,,,                456196,,,                              0,,                  4998,                  4998,                461194,,,                265522,,,                              0,                  2958,                  2958,                268480,                192714,                192714,,,                 42481,,                 43528,,                 18711,                104720,                 89082,,,,                  2467,,                 -9148,,                  1092,                 -7773,                 81309,,                 18336,                 62973,                 62973,,,,,                   -649,                 62324,,                 63102,                   -129,,                 62273,                     51,,                              1.00,,                              0.99,,                   -649,,,,,,                  1088,                  1088
