證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 外幣兌換損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
8021,2015年第3季,,,,                975098,                              0,                  1763,                973335,                973335,,,                666249,                666249,                307086,                307086,,,                 36701,,                 82537,,                 26463,                145701,,                    -82,                161303,,,,                  4244,                  1244,                  5488,,                              0,                -11091,                    396,                  1892,                -13379,,                  8473,                  8473,                -16364,                144939,,                 27456,                117483,                117483,,,                   -125,                    -21,                   -104,,                 84537,                              0,                 84537,                 84433,                201916,,                108612,                  8871,,                191879,                 10037,,                              0.68,                              0.68,,                              0.68,                              0.68,,,,,,,
8021,2015年第2季,,,,                827460,                              0,                  2155,                825305,                825305,,,                569669,                569669,                255636,                255636,,,                 35615,,                 74567,,                 22017,                132199,,                     20,                123457,,,,                  5262,                    718,                  5980,,                              0,,                  1164,                              0,                 -2084,,                  8486,                  8486,                 -4590,                118867,,                 36520,                 82347,                 82347,,,                   -126,                    -22,                   -104,,                -32728,                              0,                -32728,                -32832,                 49515,,                 76689,                  5658,,                 44045,                  5470,,                              0.48,                              0.48,,                              0.47,                              0.47,                  1819,                  2739,,,,,
8021,2015年01月01日至2015年09月30日,,,,              2601261,                    107,                  5458,              2595696,              2595696,,,              1789558,              1789558,                806138,                806138,,,                103259,,                231579,,                 73192,                408030,,                    -72,                398036,,,,                 14038,                  2795,                 16833,,                  1007,                -25804,                  2043,                  8442,                -35282,,                 24807,                 24807,                -43256,                354780,,                 80902,                273878,                273878,,,                     -5,                     -1,                     -4,,                 -2868,                   -542,                 -3410,                 -3414,                270464,,                259391,                 14487,,                255699,                 14765,,                              1.63,                              1.63,,                              1.60,                              1.60,,,,,,,
8021,2015年01月01日至2015年06月30日,,,,              1626163,                    107,                  3695,              1622361,              1622361,,,              1123309,              1123309,                499052,                499052,,,                 66558,,                149042,,                 46729,                262329,,                     10,                236733,,,,                  9794,                  1551,                 11345,,                  1007,,                  1647,                  6550,                -21903,,                 16334,                 16334,                -26892,                209841,,                 53446,                156395,                156395,,,                    120,                     20,                    100,,                -87405,                   -542,                -87947,                -87847,                 68548,,                150779,                  5616,,                 63820,                  4728,,                              0.95,                              0.95,,                              0.93,                              0.93,                              0,                 14713,,,,,
8021,2015年01月01日至2015年03月31日,,,,                798703,                    107,                  1540,                797056,                797056,,,                553640,                553640,                243416,                243416,,,                 30943,,                 74475,,                 24712,                130130,,                    -10,                113276,,,,                  4532,                    833,                  5365,,                  1007,                              0,                    483,                  8369,                -19819,,                  7848,                  7848,                -22302,                 90974,,                 16926,                 74048,                 74048,,,                    246,                     42,                    204,,                -54677,                   -542,                -55219,                -55015,                 19033,,                 74090,                    -42,,                 19775,                   -742,,                              0.47,                              0.47,,                              0.46,                              0.46,,                 11974,,,,,
8021,2014年第3季,,,,                913304,                    583,                    855,                911866,                911866,,,                632422,                632422,                279444,                279444,,,                 28699,,                 75367,,                 20384,                124450,,                   -143,                154851,,,,                  3927,                    827,                  4754,,                              0,                  8613,                  1035,                 10511,                 -2933,,                  7813,                  7813,                 -5992,                148859,,                 33530,                115329,                115329,,,                    -90,                    -16,                    -74,,                 62760,                     -8,                 62752,                 62678,                178007,,                108552,                  6777,,                170516,                  7491,,                              0.69,                              0.69,,                              0.68,                              0.68,,,,,,,
8021,2014年第2季,,,,                797660,                    611,                    438,                796611,                796611,,,                566787,                566787,                229824,                229824,,,                 25616,,                 64653,,                 20936,                111205,,                     53,                118672,,,,                  4657,                    675,                  5332,,                              0,,                    773,                    524,                 -6362,,                  8614,                  8614,                 -9644,                109028,,                 28770,                 80258,                 80258,,,                    -89,                    -14,                    -75,,                -68727,                     -2,                -68729,                -68804,                 11454,,                 78909,                  1349,,                 13477,                 -2023,,                              0.50,                              0.50,,                              0.49,                              0.49,                              0,                  5065,,,,,
8021,2014年度,,,,              3242501,                  1328,                  3064,              3238109,              3238109,,,              2279747,              2279747,                958362,                958362,,,                109970,,                277632,,                 84705,                472307,,                 -1783,                484272,,,,                 17006,                  5179,                 22185,,,                 25037,                  1177,                 18615,                  5245,,                 32828,                 32828,                 -5398,                478874,,                105877,                372997,                372997,,,,,,,,,,                199914,                572911,,                360453,                 12544,,                557753,                 15158,,                              2.28,                              2.28,,                              2.23,                              2.23,,,                199031,                    -29,                  1099,                    187,
8021,2014年01月01日至2014年09月30日,,,,              2357429,                  1290,                  1711,              2354428,              2354428,,,              1670554,              1670554,                683874,                683874,,,                 79374,,                202157,,                 61132,                342663,,                  2668,                343879,,,,                 12924,                  2725,                 15649,,                              0,                  5713,                  2036,                 11035,                 -7358,,                 24885,                 24885,                -16594,                327285,,                 70298,                256987,                256987,,,                    -10,                     -2,                     -8,,                 37776,                    -19,                 37757,                 37749,                294736,,                253843,                  3144,,                291212,                  3524,,                              1.61,                              1.61,,                              1.58,                              1.58,,,,,,,
8021,2014年01月01日至2014年06月30日,,,,              1444125,                    707,                    856,              1442562,              1442562,,,              1038132,              1038132,                404430,                404430,,,                 50675,,                126790,,                 40748,                218213,,                  2811,                189028,,,,                  8997,                  1898,                 10895,,                              0,,                  1001,                    524,                 -4425,,                 17072,                 17072,                -10602,                178426,,                 36768,                141658,                141658,,,                     80,                     14,                     66,,                -24984,                    -11,                -24995,                -24929,                116729,,                145291,                 -3633,,                120696,                 -3967,,                              0.92,                              0.92,,                              0.90,                              0.90,                              0,                  2900,,,,,
