證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
6196,2015年第3季,,              4755644,,              4208682,                546962,                546962,,,                128297,,                201773,,                 40378,                370448,                176514,,,                 24106,,                 60107,,                 11560,,                   -578,                 72075,                248589,,                 51790,                196799,                196799,,,                 50053,                              0,,                    420,                  8573,                 41900,                 41900,                238699,,                197208,                   -409,,                239069,                   -370,,                              1.19,                              1.19,,                              1.18,                              1.18,,,,,,
6196,2015年第2季,,              4606426,,              4177365,                429061,                429061,,,                127771,,                165110,,                 40645,                333526,                 95535,,,                  6120,,                  7739,,                  7911,,                    740,                  6688,                102223,,                 24604,                 77619,                 77619,,,                -28570,                              0,,                   -164,                 -4872,                -23862,                -23862,                 53757,,                 78653,                 -1034,,                 54865,                 -1108,,                              0.48,                              0.48,,                              0.47,                              0.47,,,,,,
6196,2015年01月01日至2015年09月30日,,             13057726,,             11678157,              1379569,              1379569,,,                370177,,                563857,,                113963,              1047997,                331572,,,                 37789,,                 30490,,                 27008,,                    361,                 41632,                373204,,                 83766,                289438,                289438,,,                  2076,                              0,,                    135,                    383,                  1828,                  1828,                291266,,                291317,                 -1879,,                293219,                 -1953,,                              1.76,                              1.76,,                              1.74,                              1.74,,,,,,
6196,2015年01月01日至2015年06月30日,,              8302082,,              7469475,                832607,                832607,,,                241880,,                362084,,                 73585,                677549,                155058,,,                 13683,,                -29617,,                 15448,,                    939,                -30443,                124615,,                 31976,                 92639,                 92639,,,                -47977,                              0,,                   -285,                 -8190,                -40072,                -40072,                 52567,,                 94109,                 -1470,,                 54150,                 -1583,,                              0.57,                              0.57,,                              0.57,                              0.57,,,,,,
6196,2015年01月01日至2015年03月31日,,              3695656,,              3292110,                403546,                403546,,,                114109,,                196974,,                 32940,                344023,                 59523,,,                  7563,,                -37356,,                  7537,,                    199,                -37131,                 22392,,                  7372,                 15020,                 15020,,,                -19407,                              0,,                   -121,                 -3318,                -16210,                -16210,                 -1190,,                 15456,                   -436,,                   -715,                   -475,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,,
6196,2014年第3季,,              3485270,,              3082043,                403227,                403227,,,                113925,,                147478,,                 37312,                298715,                104512,,,                 12397,,                 -6895,,                  6219,,                 -1792,                 -2509,                102003,,                 17182,                 84821,                 84821,,,                 28443,                              0,,                    626,                  4932,                 24137,                 24137,                108958,,                 83001,                  1820,,                107078,                  1880,,                              0.50,                              0.50,,                              0.50,                              0.50,,,,,,
6196,2014年第2季,,              3380834,,              2989739,                391095,                391095,,,                108844,,                184057,,                 35606,                328507,                 62588,,,                  7934,,                -16279,,                  7687,,                   -965,                -16997,                 45591,,                  7855,                 37736,                 37736,,,                -23316,                              0,,                   -620,                 -4060,                -19876,                -19876,                 17860,,                 37938,                   -202,,                 18117,                   -257,,                              0.23,                              0.23,,                              0.23,                              0.23,,,,,,
6196,2014年度,,             14965399,,             13206334,              1759065,              1759065,,,                436251,,                673029,,                145486,              1254766,                504299,,,                 31541,,                -22617,,                 30258,,                -14780,                -36114,                468185,,                 83666,                384519,                384519,,,,,,,,,                 53560,                438079,,                384545,                    -26,,                437984,                     95,,                              2.33,                              2.33,,                              2.30,                              2.30,                 56156,                 -1512,                  9267,,                    911,                 11262
6196,2014年01月01日至2014年09月30日,,             10107164,,              8888219,              1218945,              1218945,,,                324182,,                482859,,                105956,                912997,                305948,,,                 25604,,                -10803,,                 22929,,                 -8379,                -16507,                289441,,                 50721,                238720,                238720,,,                 10239,                 -1512,,                     56,                  1749,                  7034,                  7034,                245754,,                238279,                    441,,                245305,                    449,,                              1.44,                              1.44,,                              1.43,                              1.43,,,,,,
6196,2014年01月01日至2014年06月30日,,              6621894,,              5806176,                815718,                815718,,,                210257,,                335381,,                 68644,                614282,                201436,,,                 13207,,                 -3908,,                 16710,,                 -6587,                -13998,                187438,,                 33539,                153899,                153899,,,                -18204,                 -1512,,                   -570,                 -3183,                -17103,                -17103,                136796,,                155278,                 -1379,,                138227,                 -1431,,                              0.94,                              0.94,,                              0.93,                              0.93,,,,,,
6196,2014年01月01日至2014年03月31日,,              3241060,,              2816437,                424623,                424623,,,                101413,,                151324,,                 33038,                285775,                138848,,,                  5273,,                 12371,,                  9023,,                 -5622,                  2999,                141847,,                 25684,                116163,                116163,,,                  5112,                 -1512,,                     50,                    877,                  2773,                  2773,                118936,,                117340,                 -1177,,                120110,                 -1174,,                              0.71,                              0.71,,                              0.70,                              0.70,,,,,,
6196,2013年第3季,,              3289474,,              2925518,                363956,                363956,,,                111941,,                163330,,                 36447,                311718,                 52238,,,                 13165,,                  3178,,                  5521,,                 -2359,                  8463,                 60701,,                  9938,                 50763,                 50763,,,,,,,,,                 10827,                 61590,,                 51327,                   -564,,                 62221,                   -631,,                              0.31,                              0.31,,                              0.31,                              0.31,                -15445,                   -438,                 28468,,                    530,                  2288
6196,2013年第2季,,              3668077,,              3291366,                376711,                376711,,,                110641,,                196775,,                 40732,                348148,                 28563,,,                  7655,,                 -4081,,                  4451,,                 -1653,                 -2530,                 26033,,                 17819,                  8214,                  8214,,,,,,,,,                 15052,                 23266,,                  9136,                   -922,,                 24076,                   -810,,                              0.06,                              0.06,,                              0.05,                              0.05,                 19147,                   -744,,,                   -139,                  3212
6196,2013年度,,             14042274,,             12498721,              1543553,              1543553,,,                443885,,                696611,,                150727,              1291223,                252330,,,                 43870,,                 22920,,                 24203,,                -14698,                 27889,                280219,,                 61404,                218815,                218815,,,,,,,,,                 69767,                288582,,                222615,                 -3800,,                292058,                 -3476,,                              1.35,                              1.35,,                              1.34,                              1.34,                 61314,                 -3496,                 25834,,                  1056,                 14941
6196,2013年07月01日至2013年09月30日,,              3289474,,              2925518,                363956,                363956,,,                111941,,                163330,,                 36447,                311718,                 52238,,,                 13165,,                  3178,,                  5521,,                 -2359,                  8463,                 60701,,                  9938,                 50763,                 50763,,,,,,,,,                 10827,                 61590,,                 51327,                   -564,,                 62221,                   -631,,                              0.31,                              0.31,,                              0.31,                              0.31,                -15445,                   -438,                 28468,,                    530,                  2288
6196,2013年04月01日至2013年06月30日,,              3668077,,              3291366,                376711,                376711,,,                110641,,                196775,,                 40732,                348148,                 28563,,,                  7655,,                 -4081,,                  4451,,                 -1653,                 -2530,                 26033,,                 17819,                  8214,                  8214,,,,,,,,,                 15052,                 23266,,                  9136,                   -922,,                 24076,                   -810,,                              0.06,                              0.06,,                              0.05,                              0.05,                 19147,                   -744,,,                   -139,                  3212
6196,2013年01月01日至2013年12月31日,,             14042274,,             12498721,              1543553,              1543553,,,                443885,,                696611,,                150727,              1291223,                252330,,,                 43870,,                 22920,,                 24203,,                -14698,                 27889,                280219,,                 61404,                218815,                218815,,,,,,,,,                 69767,                288582,,                222615,                 -3800,,                292058,                 -3476,,                              1.35,                              1.35,,                              1.34,                              1.34,                 61314,                 -3496,                 25834,,                  1056,                 14941
6196,2013年01月01日至2013年09月30日,,              9863803,,              8823870,              1039933,              1039933,,,                319630,,                520048,,                113079,                952757,                 87176,,,                 28879,,                 13858,,                 16074,,                 -6988,                 19675,                106851,,                 31809,                 75042,                 75042,,,,,,,,,                 55417,                130459,,                 76587,                 -1545,,                131744,                 -1285,,                              0.47,                              0.47,,                              0.46,                              0.46,                 40788,                 -3561,                 28468,,                  1717,                 11995
6196,2013年01月01日至2013年06月30日,,              6574329,,              5898352,                675977,                675977,,,                207689,,                356718,,                 76632,                641039,                 34938,,,                 15714,,                 10680,,                 10553,,                 -4629,                 11212,                 46150,,                 21871,                 24279,                 24279,,,,,,,,,                 44590,                 68869,,                 25260,                   -981,,                 69523,                   -654,,                              0.15,                              0.15,,                              0.15,                              0.15,                 56233,                 -3123,,,                  1187,                  9707
6196,2013年01月01日至2013年03月31日,,              2906252,,              2606986,                299266,                299266,,,                 97048,,                159943,,                 35900,                292891,                  6375,,,                  8059,,                 14761,,                  6102,,                 -2976,                 13742,                 20117,,                  4052,                 16065,                 16065,,,,,,,,,                 29538,                 45603,,                 16124,                    -59,,                 45447,                    156,,                              0.10,                              0.10,,                              0.10,                              0.10,                 37086,                 -2379,,,                  1326,                  6495
6196,2012年07月01日至2012年09月30日,,              2857201,,              2525997,                331204,                331204,,,                109990,,                166815,,                 38456,                315261,                 15943,,,                 11825,,                -11380,,                  4771,,                 -2759,                 -7085,                  8858,,                  9326,                   -468,                   -468,,,,,,,,,                -14279,                -14747,,                  3071,                 -3539,,                -10857,                 -3890,,                              0.02,                              0.02,,                              0.02,                              0.02,                -15541,                 -1176,                              0,,                   -174,                 -2612
6196,2012年04月01日至2012年06月30日,,              2454658,,              2157585,                297073,                297073,,,                112150,,                179686,,                 38680,                330516,                -33443,,,                  6077,,                  3194,,                  6142,,                  1459,                  4588,                -28855,,                 10916,                -39771,                -39771,,,,,,,,,                  3827,                -35944,,                -37445,                 -2326,,                -33452,                 -2492,,                             -0.23,                             -0.23,,                             -0.22,                             -0.22,                  6504,                 -1423,,,                   -145,                  1109
6196,2012年01月01日至2012年12月31日,,             10536388,,              9242531,              1293857,              1293857,,,                435298,,                709094,,                157396,              1301788,                 -7931,,,                 53097,,                125836,,                 21534,,                 -1338,                156061,                148130,,                 33646,                114484,                114484,,,,,,,,,               -180706,                -66222,,                125622,                -11138,,                -54434,                -11788,,                              0.76,                              0.76,,                              0.75,                              0.75,                -47935,               -126152,                -15795,,                 -1866,                -11042
6196,2012年01月01日至2012年09月30日,,              7420214,,              6544650,                875564,                875564,,,                324575,,                515870,,                112936,                953381,                -77817,,,                 23015,,                148988,,                 17812,,                 -1511,                152680,                 74863,,                 25639,                 49224,                 49224,,,,,,,,,               -167138,               -117914,,                 56635,                 -7411,,               -108626,                 -9288,,                              0.34,                              0.34,,                              0.34,                              0.34,                -46731,               -127513,                              0,,                   -626,                 -7732
6196,2012年01月01日至2012年06月30日,,              4563013,,              4018653,                544360,                544360,,,                214585,,                349055,,                 74480,                638120,                -93760,,,                 11190,,                160368,,                 13041,,                  1248,                159765,                 66005,,                 16313,                 49692,                 49692,,,,,,,,,               -152859,               -103167,,                 53564,                 -3872,,                -97769,                 -5398,,                              0.33,                              0.33,,                              0.32,                              0.32,                -31190,               -126337,,,                   -452,                 -5120
6196,2012年01月01日至2012年03月31日,,              2108355,,              1861068,                247287,                247287,,,                102435,,                169369,,                 35800,                307604,                -60317,,,                  5113,,                157174,,                  6899,,                   -211,                155177,                 94860,,                  5397,                 89463,                 89463,,,,,,,,,               -156686,                -67223,,                 91009,                 -1546,,                -64317,                 -2906,,                              0.55,                              0.55,,                              0.55,                              0.55,                -37694,               -124914,,,                   -307,                 -6229
