證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　　 與可能重分類之項目相關之所得稅,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6142,2014年01月01日至2014年03月31日,,,,              1480873,              1480873,              1480873,,,              1371862,              1371862,              1371862,                109011,                109011,,,                 52242,,                 45491,,                119382,                217115,,                  4750,               -103354,,,,                 44462,                 40284,                 84746,,                     30,                              0,                    588,                     26,,                              0,                 54424,                              0,                -53832,,                 18920,                 18920,                 11994,                -91360,,                 -7086,                -84274,                -84274,,,                 -6199,                 24715,                 18516,                 18516,                -65758,,                -84274,                              0,,                -65758,                              0,,                             -0.31,,                             -0.31,,                              0,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,
6142,2013年第3季,,,,              2006230,              2006230,              2006230,,,              1817129,              1817129,              1817129,                189101,                189101,,,                 63899,,                 48293,,                127938,                240130,,                    472,                -50557,,,,                 33599,                 13816,                 47415,,                     12,                  8579,                              0,                      9,                              0,,                              0,                  7171,                  1411,,                 12281,                 12281,                 36545,                -14012,,                 -2450,                -11562,                -11562,,,,,,                -28869,                -40431,,                -11562,                              0,,                -40431,                              0,,                             -0.04,,                             -0.04,,,,,,,,,,,,,,,                -16169,                -12700,,                              0
6142,2013年第2季,,,,              2597193,              2597193,              2597193,,,              2334164,              2334164,              2334164,                263029,                263029,,,                 65190,,                 47780,,                133164,                246134,,                  1113,                 18008,,,,                 36355,                  3584,                 39939,,                  6244,                 16520,                              0,                    583,,,                              0,                  1711,                 20470,,                 15428,                 15428,                 44981,                 62989,,                  8756,                 54233,                 54233,,,,,,                 29160,                 83393,,                 54233,                              0,,                 83393,                              0,,                              0.20,,                              0.20,,                              0,,,,,,,,,,,,,                 24355,                  4805,,                              0
6142,2013年度,,,,,              8859867,              8859867,,,,              8012269,              8012269,                847598,                847598,,,                242310,,                175998,,                509458,                927766,,                 23304,                -56864,,,,                137880,                 21471,                159351,,                  6778,                 32183,                 42639,                    601,,,                              0,,                 80999,,,                 57670,                182680,                125816,,                 21386,                104430,                104430,,,,,,                 83833,                188263,,                104430,,,                188263,,,                              0.39,,                              0.39,,                              0,,,,,,,,,,,,,                 73940,                 -2060,                 13067,                  1114
6142,2013年07月01日至2013年09月30日,,,,              2006230,              2006230,              2006230,,,              1817129,              1817129,              1817129,                189101,                189101,,,                 63899,,                 48293,,                127938,                240130,,                    472,                -50557,,,,                 33599,                 13816,                 47415,,                     12,                  8579,                              0,                      9,,,                              0,                  7171,                  1411,,                 12281,                 12281,                 36545,                -14012,,                 -2450,                -11562,                -11562,,,,,,                -28869,                -40431,,                -11562,                              0,,                -40431,                              0,,                             -0.04,,                             -0.04,,,,,,,,,,,,,,,                -16169,                -12700,,                              0
6142,2013年04月01日至2013年06月30日,,,,              2597193,              2597193,              2597193,,,              2334164,              2334164,              2334164,                263029,                263029,,,                 65190,,                 47780,,                133164,                246134,,                  1113,                 18008,,,,                 36355,                  3584,                 39939,,                  6244,                 16520,                              0,                    583,,,                              0,                  1711,                 20470,,                 15428,                 15428,                 44981,                 62989,,                  8756,                 54233,                 54233,,,,,,                 29160,                 83393,,                 54233,                              0,,                 83393,                              0,,                              0.20,,                              0.20,,                              0,,,,,,,,,,,,,                 24355,                  4805,,                              0
6142,2013年01月01日至2013年12月31日,,,,,              8859867,              8859867,,,,              8012269,              8012269,                847598,                847598,,,                242310,,                175998,,                509458,                927766,,                 23304,                -56864,,,,                137880,                 21471,                159351,,                  6778,                 32183,                 42639,                    601,,,,                              0,                 80999,,,                 57670,                182680,                125816,,                 21386,                104430,                104430,,,,,,                 83833,                188263,,                104430,,,                188263,,,                              0.39,,                              0.39,,                              0,,,,,,,,,,,,,                 73940,                 -2060,                 13067,                  1114
6142,2013年01月01日至2013年09月30日,,,,              7110672,              7110672,              7110672,,,              6415714,              6415714,              6415714,                694958,                694958,,,                185833,,                140910,,                389184,                715927,,                  2498,                -18471,,,,                101261,                 18143,                119404,,                  6399,                  6564,                 26276,                    592,                              0,,                              0,                              0,                 38647,,                 43106,                 43106,                114945,                 96474,,                 15249,                 81225,                 81225,,,,,,                 34266,                115491,,                 81225,                              0,,                115491,                              0,,                              0.30,,                              0.30,,,,,,,,,,,,,,,                 46966,                -12700,,                              0
6142,2013年01月01日至2013年06月30日,,,,              5104442,              5104442,              5104442,,,              4598585,              4598585,              4598585,                505857,                505857,,,                121934,,                 92617,,                261246,                475797,,                  2026,                 32086,,,,                 67662,                  4327,                 71989,,                  6387,                              0,                 33447,                    583,,,                  2015,                              0,                 37236,,                 30825,                 30825,                 78400,                110486,,                 17699,                 92787,                 92787,,,,,,                 63135,                155922,,                 92787,                              0,,                155922,                              0,,                              0.35,,                              0.34,,                              0,,,,,,,,,,,,,                 63135,                              0,,                              0
6142,2013年01月01日至2013年03月31日,,,,              2507249,              2507249,              2507249,,,              2264421,              2264421,              2264421,                242828,                242828,,,                 56744,,                 44837,,                128082,                229663,,                    913,                 14078,,,,                 31307,                    743,                 32050,,                    143,                              0,                 35158,                              0,,,                 18535,                              0,                 16766,,                 15397,                 15397,                 33419,                 47497,,                  8943,                 38554,                 38554,,,,,,                 33975,                 72529,,                 38554,                              0,,                 72529,                              0,,                              0.14,,                              0.14,,                              0,,,,,,,,,,,,,                 38780,                 -4805,,                              0
6142,2012年07月01日至2012年09月30日,,,,              3106622,              3106622,              3106622,,,              2777416,              2777416,              2777416,                329206,                329206,,,                 73998,,                 57476,,                136313,                267787,,                      4,                 61423,,,,                 42509,                 26364,                 68873,,                    107,                              0,                              0,                     23,,,                 15594,                  3196,                -18706,,                 19456,                 19456,                 30711,                 92134,,                  5216,                 86918,                 86918,,,,,,                -29165,                 57753,,                 86918,                              0,,                 57753,                              0,,                              0.32,,                              0.32,,,,,,,,,,,,,,,                -26079,                 -7895,,                 -4809
6142,2012年04月01日至2012年06月30日,,,,              3275834,              3275834,              3275834,,,              3007695,              3007695,              3007695,                268139,                268139,,,                 91872,,                 31826,,                142954,                266652,,                    -11,                  1476,,,,                 41042,                    214,                 41256,,                  9539,                              0,                  9812,                     30,,,                 11966,                              0,                  7355,,                 19837,                 19837,                 28774,                 30250,,                  4449,                 25801,                 25801,,,,,,                -12816,                 12985,,                 25801,                              0,,                 12985,                              0,,                              0.09,,                              0.09,,                              0,,,,,,,,,,,,,                  8745,                -19909,,                  1652
6142,2012年01月01日至2012年12月31日,,,,,             11647716,             11647716,,,,             10636584,             10636584,              1011132,              1011132,,,                290434,,                203636,,                559510,              1053580,,                  6318,                -36130,,,,                163174,                 48353,                211527,,                 14768,                 73606,                              0,                    262,,,,                  3394,                 84718,,,                 79732,                216513,                180383,,                 10528,                169855,                169855,,,,,,                -24209,                145646,,                169855,,,                145646,,,                              0.63,,                              0.62,,                              0,,,,,,,,,,,,,                -36175,                -14417,                 -6551,                -32934
6142,2012年01月01日至2012年09月30日,,,,              9030065,              9030065,              9030065,,,              8238118,              8238118,              8238118,                791947,                791947,,,                241107,,                177882,,                417265,                836254,,                    652,                -43655,,,,                128564,                 33507,                162071,,                 10657,                 23238,                              0,                     67,,,                              0,                  4483,                 29345,,                 60026,                 60026,                131390,                 87735,,                 18164,                 69571,                 69571,,,,,,                -50597,                 18974,,                 69571,                              0,,                 18974,                              0,,                              0.26,,                              0.25,,,,,,,,,,,,,,,                -46220,                -17506,,                -13129
6142,2012年01月01日至2012年06月30日,,,,              5923443,              5923443,              5923443,,,              5460702,              5460702,              5460702,                462741,                462741,,,                167109,,                120406,,                280952,                568467,,                    648,               -105078,,,,                 86055,                  7143,                 93198,,                 10550,                 38832,                              0,                     44,,,                              0,                  1287,                 48051,,                 40570,                 40570,                100679,                 -4399,,                 12948,                -17347,                -17347,,,,,,                -21432,                -38779,,                -17347,                              0,,                -38779,                              0,,                             -0.06,,                             -0.06,,                              0,,,,,,,,,,,,,                -20141,                 -9611,,                 -8320
6142,2012年01月01日至2012年03月31日,,,,              2647609,              2647609,              2647609,,,              2453007,              2453007,              2453007,                194602,                194602,,,                 75237,,                 88580,,                137998,                301815,,                    659,               -106554,,,,                 45013,                  6929,                 51942,,                  1011,                 50798,                              0,                     14,,,                              0,                 11099,                 40696,,                 20733,                 20733,                 71905,                -34649,,                  8499,                -43148,                -43148,,,,,,                 -8616,                -51764,,                -43148,                              0,,                -51764,                              0,,                             -0.16,,                             -0.16,,                              0,,,,,,,,,,,,,                -28886,                 10298,,                 -9972
