證券代號,年季,　 淨收益,　　 利息淨收益,　　　 利息收入,　　　　 利息收入合計,　　　 利息費用,　　　　 利息費用合計,　　　 利息淨收益,　　 利息以外淨損益,　　　 手續費淨收益,　　　　 手續費淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 持有至到期日金融資產之已實現損益,　　　　 持有至到期日金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益淨額,　　　　 資產減損（損失）迴轉利益淨額,　　　 其他利息以外淨損益,　　　　 以成本衡量之金融資產淨損益,　　　　　 以成本衡量之金融資產淨損益,　　　　 無活絡市場之債務商品淨投資損益,　　　　　 無活絡市場之債務工具淨投資損益合計,　　　　 其他什項損益,　　　　　 其他什項損益,　　　　 其他利息以外淨損益,　　　 利息以外淨損益,　　 淨收益,　 呆帳費用及保證責任準備提存（各項提存）,　　 呆帳費用及保證責任準備提存（各項提存）合計,　 營業費用,　　 員工福利費用,　　　 員工福利費用合計,　　 折舊及攤銷費用,　　　 折舊及攤銷費用合計,　　 其他業務及管理費用,　　　 其他業務及管理費用合計,　　 營業費用合計,　 繼續營業單位本期稅後淨利（淨損）損益,　　 繼續營業單位稅前淨利（淨損）,　　 所得稅（費用）利益,　　 繼續營業單位本期稅後淨利（淨損）,　 本期稅後淨利（淨損）,　　 本期稅前淨利（淨損）,　　 與本期損益組成部分相關之所得稅(費用)利益 ,　　 本期稅後淨利（淨損）,　 其他綜合損益（稅後）,　　 後續可能重分類至損益之項目(稅後),　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額(稅後),　　 本期其他綜合損益,　 本期綜合損益總額（稅後）,　　 本期綜合損益總額（稅前）,　　 與本期綜合損益組成部分相關之所得稅,　　 本期綜合損益總額（稅後）,　 本期稅後淨利（淨損）歸屬,　　 本期稅後淨利（損）歸屬於母公司業主,　　 本期稅後淨利（損）歸屬於非控制權益,　 本期稅後綜合損益歸屬,　　 本期稅後綜合損益總額歸屬於母公司業主,　　 本期稅後綜合損益總額歸屬於非控制權益,　 基本每股盈餘,　　 基本每股盈餘合計,　　 不重分類至損益之項目(稅後),　　　 確定福利計畫之再衡量數,　　　 不動產重估增值,　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額-不重分類至損益之項目,　　　 採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 其他不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額(稅後),　　 繼續營業單位淨利（淨損）,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　　 無活絡市場之債務商品淨投資損益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算損益,　　 與其他綜合損益組成部分相關之所得稅 ,　　 其他綜合損益（稅後）淨額,　　 綜合損益總額,　　　　 手續費收入,　　　　　 手續費收入合計,　　　　 手續費費用,　　　　　 手續費費用合計,　　　　 透過損益按公允價值衡量之金融資產及負債利益,　　　　　 透過損益按公允價值衡量之金融資產及負債利益合計,　　　　 透過損益按公允價值衡量之金融資產及負債損失,　　　　　 透過損益按公允價值衡量之金融資產及負債損失合計,　　　　 備供出售金融資產之已實現利益,　　　　　 備供出售金融資產之已實現利益合計,　　　　 備供出售金融資產之已實現損失,　　　　　 備供出售金融資產之已實現損失合計,　　　　 持有至到期日金融資產之已實現利益,　　　　　 持有至到期日金融資產之已實現利益合計,　　　　 持有至到期日金融資產之已實現損失,　　　　　 持有至到期日金融資產之已實現損失合計,　　　　 兌換利益,　　　　　 兌換利益合計,　　　　 兌換損失,　　　　　 兌換損失合計,　　　　 資產減損迴轉利益,　　　　　 資產減損迴轉利益合計,　　　　 資產減損損失,　　　　　 資產減損損失合計,　　　　 其他利息以外損失,　　　　 其他利息以外收益,　　 收益,　　 費損 
2836,2015年第3季,,,,              1210987,,                584672,                626315,,,                137301,,               -135654,,                  7234,,                  1643,,                169285,,                 -7995,,,                    198,,                              0,,                 14360,                 14558,                186372,                812687,,                 54276,,,                371856,,                 20357,,                181776,                573989,,                184422,                -23832,                160590,,                184422,                -23832,                160590,,,                    108,                 -3067,                    -19,                 -2978,                 -2978,,                181463,                -23851,                157612,,                160590,                              0,,                157612,                              0,,                              0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2015年第2季,,,,              1202201,,                580069,                622132,,,                134893,,                 23864,,                  4318,,                    507,,                 12268,,                 -7710,,,,,,,,                 61528,                229668,                851800,,                115302,,,                376841,,                 20452,,                174785,                572078,,                164420,                -19532,                144888,,                164420,                -19532,                144888,,,                    116,                 -6035,                    -19,                 -5938,                 -5938,,                158501,                -19551,                138950,,                144888,                              0,,                138950,                              0,,                              0.19,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0.19,,                              0.19,                              0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2015年第1季,,,,              1173546,,                564751,                608795,,,                134065,,                 63328,,                   -779,,                 26414,,                  3077,,                 -7881,,,,,,,,                 14676,                232900,                841695,,                 90456,,,                360486,,                 20403,,                186240,                567129,,                184110,                -17966,                166144,,                184110,                -17966,                166144,,,                -23950,                 30512,                  4071,                 10633,                 10633,,                190672,                -13895,                176777,,                166144,                              0,,                176777,                              0,,                              0.22,,,,,,,,,,                              0.22,,                              0.22,                              0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2015年01月01日至2015年09月30日,,,,              3586734,,              1729492,              1857242,,,                406259,,                -48462,,                 10773,,                 28564,,                184630,,                -23586,,,                 54000,,                              0,,                 36762,                 90762,                648940,              2506182,,                260034,,,              1109183,,                 61212,,                542801,              1713196,,                532952,                -61330,                471622,,                532952,                -61330,                471622,,,                -23726,                 21410,                  4033,                  1717,                  1717,,                530636,                -57297,                473339,,                471622,                              0,,                473339,                              0,,                              0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2015年01月01日至2015年06月30日,,,,              2375747,,              1144820,              1230927,,,                268958,,                 87192,,                  3539,,                 26921,,                 15345,,                -15591,,,,,,,,                 76204,                462568,              1693495,,                205758,,,                737327,,                 40855,,                361025,              1139207,,                348530,                -37498,                311032,,                348530,                -37498,                311032,,,                -23834,                 24477,                  4052,                  4695,                  4695,,                349173,                -33446,                315727,,                311032,                              0,,                315727,                              0,,                              0.40,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0.40,,                              0.40,                              0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2014年第3季,,,,              1179328,,                546406,                632922,,,                117350,,                -92112,,                 13050,,                              0,,                117600,,                 -8137,,,                              0,,                  1463,,                 39460,                 40923,                188674,                821596,,                126639,,,                356761,,                 17380,,                192788,                566929,,                128028,                 14754,                142782,,                128028,                 14754,                142782,,,                  7411,                -19106,                 -1260,                -12955,                -12955,,                116333,                 13494,                129827,,                142782,                              0,,                129827,                              0,,                              0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2014年第2季,,,,              1138338,,                529499,                608839,,,                125847,,                 50686,,                  7855,,                              0,,                -35050,,                -16153,,,,,,,,                134927,                268112,                876951,,                261929,,,                355803,,                 18356,,                150084,                524243,,                 90779,                -14420,                 76359,,                 90779,                -14420,                 76359,,,                 -4096,                 27807,                    697,                 24408,                 24408,,                114490,                -13723,                100767,,                 76359,                              0,,                100767,                              0,,                              0.10,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0.10,,                              0.10,                              0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2014年第1季,,,,              1091311,,                498581,                592730,,,                132664,,                  2971,,                  4439,,                              0,,                 18848,,                 -9552,,,,,,,,                 28774,                178144,                770874,,                 93920,,,                356444,,                 19208,,                145723,                521375,,                155579,                -21138,                134441,,                155579,                -21138,                134441,,,                 -1308,                 28182,                    222,                 27096,                 27096,,                182453,                -20916,                161537,,                134441,                              0,,                161537,                              0,,                              0.18,,,,,,,,,,                              0.18,,                              0.18,                              0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2014年度,,,,              4613680,,              2145799,              2467881,,,                499218,,               -123596,,                 23502,,                              0,,                227353,,                 88294,,,                 52788,,,,                 75080,                217367,                932138,              3400019,,                691079,,,              1443924,,                 74789,,                678897,              2197610,,                511330,                 -1439,                509891,,                511330,                 -1439,                509891,,,,,,,,,                591688,                   -666,,,                509891,                              0,,                591022,                              0,,                              0.69,,,,,,,,,,,,,,                 89499,                 21592,                 84904,                -26138,                    773,                 81131,                591022,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2836,2014年01月01日至2014年09月30日,,,,              3408977,,              1574486,              1834491,,,                375861,,                -38455,,                 25344,,                              0,,                101398,,                -33842,,,                 52788,,                 88925,,                 62911,                204624,                634930,              2469421,,                482488,,,              1069008,,                 54944,,                488595,              1612547,,                374386,                -20804,                353582,,                374386,                -20804,                353582,,,                  2007,                 36883,                   -341,                 38549,                 38549,,                413276,                -21145,                392131,,                353582,                              0,,                392131,                              0,,                              0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
