證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與待出售非流動資產直接相關之權益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 與其他綜合損益組成部分相關之所得稅,　　 當期所得稅費用（利益）
6251,2015年第3季,,,              2952045,              2952045,,              2523600,                428445,                428445,,,                222207,,                 99239,,                102093,                423539,                  4906,,,                 13323,,                 48036,,                 14514,                 46845,                 51751,,                              0,                 51751,                 51751,,,                102896,                              0,                 17492,                 85404,                 85404,                137155,,                 49517,                  2234,,                134921,                  2234,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,,,
6251,2015年第2季,,,,              2598318,,              2258733,                339585,                339585,,,                192782,,                 95582,,                113974,                402338,                -62753,,,                  5396,,                -14102,,                 13514,                -22220,                -84973,,                              0,                -84973,                -84973,,,                -37880,,                 -6440,                -31440,                -31440,               -116413,,                -85696,                    723,,               -117136,                    723,,                             -0.30,                             -0.30,,,,,,,,,
6251,2015年01月01日至2015年09月30日,,,              8080431,              8080431,,              7031379,              1049052,              1049052,,,                592534,,                282572,,                304597,              1179703,               -130651,,,                 42013,,                 38543,,                 42533,                 38023,                -92628,,                              0,                -92628,                -92628,,,                 -1443,                              0,                   -246,                 -1197,                 -1197,                -93825,,                -95656,                  3028,,                -96853,                  3028,,                             -0.33,                             -0.33,,                             -0.33,                             -0.33,,,,,,
6251,2015年01月01日至2015年06月30日,,,,              5128386,,              4507779,                620607,                620607,,,                370327,,                183333,,                202504,                756164,               -135557,,,                 28690,,                 -9493,,                 28019,                 -8822,               -144379,,                              0,               -144379,               -144379,,,               -104339,,                -17738,                -86601,                -86601,               -230980,,               -145173,                    794,,               -231774,                    794,,                             -0.51,                             -0.51,,,,,,,,,
6251,2015年01月01日至2015年03月31日,,,,              2530068,,              2249046,                281022,                281022,,,                177545,,                 87751,,                 88530,                353826,                -72804,,,                 23294,,                  4609,,                 14505,                 13398,                -59406,,                              0,                -59406,                -59406,,,                -66459,,                -11298,                -55161,                -55161,               -114567,,                -59477,                     71,,               -114638,                     71,,,                             -0.21,,,                             -0.21,                              0,,,,,
6251,2014年第3季,,,              2814564,              2814564,,              2347860,                466704,                466704,,,                191229,,                107646,,                 55021,                353896,                112808,,,                 13412,,                  5457,,                 16581,                  2288,                115096,,                 19630,                 95466,                 95466,,,                101686,                              0,                 17287,                 84399,                 84399,                179865,,                 95290,                    176,,                179689,                    176,,                              0.33,                              0.33,,                              0.33,                              0.33,,,,,,
6251,2014年第2季,,,,              2772361,,              2273273,                499088,                499088,,,                183499,,                 95777,,                 58985,                338261,                160827,,,                  6005,,                -25054,,                 17927,                -36976,                123851,,                 24904,                 98947,                 98947,,,                -58347,,                 -9919,                -48428,                -48428,                 50519,,                100236,                 -1289,,                 51808,                 -1289,,                              0.35,                              0.35,,,,,,,,,
6251,2014年度,,,,             10755314,,              9038710,              1716604,              1716604,,,                756661,,                402332,,                271389,              1430382,                286222,,,                 38739,,                 41328,,                 71659,                  8408,                294630,,                 55430,                239200,                239200,,,,,,,                155705,                394905,,                243927,                 -4727,,                399632,                 -4727,,,                              0.85,,,                              0.85,,                181885,                  4741,                              0,                 30921,
6251,2014年01月01日至2014年09月30日,,,              7971968,              7971968,,              6663779,              1308189,              1308189,,,                537287,,                295140,,                177278,              1009705,                298484,,,                 28718,,                  8739,,                 56181,                -18724,                279760,,                 51949,                227811,                227811,,,                 14404,                              0,                  2449,                 11955,                 11955,                239766,,                230295,                 -2484,,                242250,                 -2484,,                              0.81,                              0.81,,                              0.81,                              0.81,,,,,,
6251,2014年01月01日至2014年06月30日,,,,              5157404,,              4315919,                841485,                841485,,,                346058,,                187494,,                122257,                655809,                185676,,,                 15306,,                  3282,,                 39600,                -21012,                164664,,                 32319,                132345,                132345,,,                -87282,,                -14838,                -72444,                -72444,                 59901,,                135005,                 -2660,,                 62561,                 -2660,,                              0.47,                              0.47,,,,,,,,,
