證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 減損損失合計,　　　 利息費用,　　 當期所得稅費用（利益）,　　　 透過損益按公允價值衡量之金融資產（負債）損失
2425,2014年01月01日至2014年03月31日,,              1946268,,              1834888,                111380,                111380,,,                  6870,,                 11254,,                  4246,                 22370,                 89010,,,                  1265,,                 14629,,                  3029,                 12865,                101875,,                     29,                101846,                101846,,,                 -1150,                 -1150,                 -1150,                100696,,                101846,,                100696,,                              0.93,                              0.93,,                              0.93,                              0.93,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2013年第3季,,              1655199,,              1539734,                115465,                115465,,,                  3678,,                 10005,,                  1953,                 15636,                 99829,,,                  5507,,                 -9741,,                  2149,                 -6383,                 93446,,                              0,                 93446,                 93446,,,,,                -14021,                 79425,,                 93446,,                 79425,,                              0.86,                              0.86,,                              0.86,                              0.86,                 -3794,                 10227,,,,,,,,,,,,,,,,,,,,,,,,
2425,2013年第2季,,              1435672,,              1333277,                102395,                102395,,,                  5298,,                  7705,,                  2093,                 15096,                 87299,,,                  5550,,                    -86,,                  1755,                  3709,                 91008,,                  1720,                 89288,                 89288,,,,,                  5647,                 94935,,                 89288,,                 94935,,                              0.94,                              0.94,,                              0.94,                              0.94,                  5647,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2013年度,,              6139231,,              5691668,                447563,                447563,,,                 27194,,                 45386,,                  9018,                 81598,                365965,,,                 21378,,                -27596,,                  5985,                -12203,                353762,,                  1720,                352042,                352042,,,,,                 16824,                368866,,                352042,,                368866,,                              3.22,                              3.22,,                              3.22,                              3.22,                 16824,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2013年07月01日至2013年09月30日,,              1655199,,              1539734,                115465,                115465,,,                  3678,,                 10005,,                  1953,                 15636,                 99829,,,                  5507,,                 -9741,,                  2149,                 -6383,                 93446,,                              0,                 93446,                 93446,,,,,                -14021,                 79425,,                 93446,,                 79425,,                              0.99,                              0.99,,,,                 -3794,                 10227,,,,,,,,,,,,,,,,,,,,,,,,
2425,2013年04月01日至2013年06月30日,,              1435672,,              1333277,                102395,                102395,,,                  5298,,                  7705,,                  2093,                 15096,                 87299,,,                  5550,,                    -86,,                  1755,                  3709,                 91008,,                  1720,                 89288,                 89288,,,,,                  5647,                 94935,,                 89288,,                 94935,,,                              0.95,,,,                  5647,,,              1435672,,              1333277,              1333277,,                    161,                    161,                  3274,                  2115,                              0,                              0,                    131,                              0,                      8,                    209,                              0,                              0,,                              0,                              0,                  1755,                  1720,
2425,2013年01月01日至2013年12月31日,,              6139231,,              5691668,                447563,                447563,,,                 27194,,                 45386,,                  9018,                 81598,                365965,,,                 21378,,                -27596,,                  5985,                -12203,                353762,,                  1720,                352042,                352042,,,,,                 16824,                368866,,                352042,,                368866,,                              3.73,                              3.73,,                              3.72,                              3.72,                 16824,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2013年01月01日至2013年09月30日,,              4225853,,              3919048,                306805,                306805,,,                 20483,,                 30307,,                  6911,                 57701,                249104,,,                 14776,,                  3685,,                  4288,                 14173,                263277,,                  1720,                261557,                261557,,,,,                  1191,                262748,,                261557,,                262748,,                              2.39,                              2.39,,                              2.39,                              2.39,                 11418,                 10227,,,,,,,,,,,,,,,,,,,,,,,,
2425,2013年01月01日至2013年06月30日,,              2570654,,              2379314,                191340,                191340,,,                 16805,,                 20302,,                  4958,                 42065,                149275,,,                  9269,,                 13426,,                  2139,                 20556,                169831,,                  1720,                168111,                168111,,,,,                 15212,                183323,,                168111,,                183323,,                              1.78,                              1.78,,                              1.78,                              1.78,                 15212,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2013年01月01日至2013年03月31日,,              1134982,,              1048965,                 86017,                 86017,,,                 11507,,                  9669,,                  2865,                 24041,                 61976,,,                  3719,,                 13512,,                    384,                 16847,                 78823,,                              0,                 78823,                 78823,,,,,                  9565,                 88388,,                 78823,,                 88388,,                              0.83,                              0.83,,                              0.83,                              0.83,                  9565,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2012年07月01日至2012年09月30日,,                654765,,                625096,                 29669,                 29669,,,                  2009,,                 11139,,                  1137,                 14285,                 15384,,,                  3646,,                 -9744,,                     15,                 -6113,                  9271,,                    439,                  8832,                  8832,,,,,                 -2533,                  6299,,                  8832,,                  6299,,                              0.09,                              0.09,,,,                 -2533,                              0,,,,,,,,,,,,,,,,,,,,,,,,
2425,2012年04月01日至2012年06月30日,,                571053,,                523433,                 47620,                 47620,,,                    470,,                  9371,,                    749,                 10590,                 37030,,,                  2996,,                 -7001,,                      6,                 -4011,                 33019,,                     79,                 32940,                 32940,,,,,                    759,                 33699,,                 32940,,                 33699,,,                              0.35,,,,                    759,,,                571053,,                523433,                523433,,                    722,                    722,                              0,                  2274,                    102,                              0,                              0,                    379,                  2817,                              0,                    311,                  1197,,                  3157,                  3157,                      6,                     79,
2425,2012年01月01日至2012年12月31日,,              2379908,,              2238912,                140996,                140996,,,                  9151,,                 41374,,                  2755,                 53280,                 87716,,,                 14827,,                -20650,,                    363,                 -6186,                 81530,,                    517,                 81013,                 81013,,,,,                -10440,                 70573,,                 81013,,                 70573,,                              0.86,                              0.86,,                              0.86,                              0.86,                -10440,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2012年01月01日至2012年09月30日,,              1460911,,              1376414,                 84497,                 84497,,,                  7606,,                 32763,,                  2323,                 42692,                 41805,,,                  8981,,                -14958,,                     21,                 -5998,                 35807,,                    518,                 35289,                 35289,,,,,                 -9896,                 25393,,                 35289,,                 25393,,                              0.37,                              0.37,,,,                 -9896,                              0,,,,,,,,,,,,,,,,,,,,,,,,
2425,2012年01月01日至2012年06月30日,,                806146,,                751318,                 54828,                 54828,,,                  5597,,                 21624,,                  1186,                 28407,                 26421,,,                  5335,,                 -5214,,                      6,                    115,                 26536,,                     79,                 26457,                 26457,,,,,                 -7363,                 19094,,                 26457,,                 19094,,,                              0.28,,,,                 -7363,,,                806146,,                751318,                751318,,                  2004,                  2004,                              0,                  3331,                    229,                    227,                    467,                     23,                  3003,                              0,                              0,                              0,,                  3157,                  3157,                      6,                     79,
2425,2012年01月01日至2012年03月31日,,                235093,,                227885,                  7208,                  7208,,,                  5127,,                 12253,,                    437,                 17817,                -10609,,,                  2339,,                  1787,,                              0,                  4126,                 -6483,,,                 -6483,                 -6483,,,,,                 -8122,                -14605,,                 -6483,,                -14605,,,                             -0.07,,,,                 -8122,,,                235093,,                227885,                227885,,                  1282,                  1282,                              0,                  1057,                    127,                    538,                  1664,,                    186,,,,,,,                              0,,                    356
