證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　 當期所得稅費用（利益）,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入,　　　　 勞務收入淨額,　　　 勞務收入合計,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本,　　　　 勞務成本,　　　　 勞務成本合計,　　　 勞務成本合計,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 利息費用,　　 遞延所得稅費用（利益）,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　 處分不動產、廠房及設備利益
3167,2015年第3季,,                464167,,                302056,                162111,                162111,,,                 46241,,                 32070,,                 24721,                103032,                 59079,,,                 13390,,                 50970,,                  5157,                 59203,                118282,,                 23782,                 94500,                 94500,,,                 27311,                    -51,                  4634,                 22626,                 22626,                117126,,                 91829,                  2671,,                114455,                  2671,,                              1.15,,                              1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2015年第2季,,                572298,,                369218,                203080,                203080,,,                 35833,,                 31840,,                 27554,                 95227,                107853,,,                 12342,,                 -6309,,                  4482,                  1551,                109404,,                 23128,                 86276,                 86276,,,                -24461,                     99,                 -4148,                -20214,                -20214,                 66062,,                 85444,                    832,,                 65230,                    832,,                              1.07,,                              1.06,                 23128,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2015年01月01日至2015年09月30日,,              1520836,,              1016637,                504199,                504199,,,                133389,,                 94107,,                 74489,                301985,                202214,,,                 53182,,                 32010,,                 14348,                 70844,                273058,,                 35355,                237703,                237703,,,                   -619,                    -47,                   -113,                   -553,                   -553,                237150,,                233552,                  4151,,                232999,                  4151,,                              2.92,,                              2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2015年01月01日至2015年06月30日,,              1056669,,                714581,                342088,                342088,,,                 87148,,                 62037,,                 49768,                198953,                143135,,,                 39792,,                -18960,,                  9191,                 11641,                154776,,                 11573,                143203,                143203,,,                -27930,                      4,                 -4747,                -23179,                -23179,                120024,,                141723,                  1480,,                118544,                  1480,,                              1.77,,                              1.77,                 11573,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2015年01月01日至2015年03月31日,,                484371,,                345363,                139008,                139008,,,                 51315,,                 30197,,                 22214,                103726,                 35282,,,                 27450,,                -12651,,                  4709,                 10090,                 45372,,                -11555,                 56927,                 56927,,,                 -3469,                    -95,                   -599,                 -2965,                 -2965,                 53962,,                 56279,                    648,,                 53314,                    648,,                              0.77,,                              0.77,                -11555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2014年第3季,,                609200,,                425015,                184185,                184185,,,                 97662,,                 35006,,                 25134,                157802,                 26383,,,                  9890,,                 16263,,                  3817,                 22336,                 48719,,                  4553,                 44166,                 44166,,,                 17434,                    -79,                  2950,                 14405,                 14405,                 58571,,                 43076,                  1090,,                 57481,                  1090,,                              0.54,,                              0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2014年第2季,,                646669,,                423358,                223311,                223311,,,                 87183,,                 37067,,                 29187,                153437,                 69874,,,                 17236,,                 18770,,                  3440,                 32566,                102440,,                 19875,                 82565,                 82565,,,                -12464,                    125,                 -2104,                -10235,                -10235,                 72330,,                 81781,                    784,,                 71546,                    784,,                              1.02,,                              1.02,                 19875,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2014年度,,              2398192,,              1628378,                769814,                769814,,,                331346,,                140608,,                106169,                578123,                191691,,,                 61318,,                 67042,,                 13101,                115259,                306950,,                 64212,                242738,                242738,,,,,,,                 17066,                259804,,                237770,                  4968,,                254836,                  4968,,                              3.27,,                              3.26,,,,,,,,,,,,,                 20562,                     -1,                  3495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2014年01月01日至2014年09月30日,,              1730865,,              1164551,                566314,                566314,,,                219036,,                106097,,                 77262,                402395,                163919,,,                 42270,,                 31074,,                 10383,                 62961,                226880,,                 45465,                181415,                181415,,,                  2584,                    -48,                    431,                  2105,                  2105,                183520,,                178499,                  2916,,                180604,                  2916,,                              2.23,,                              2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3167,2014年01月01日至2014年06月30日,,              1121665,,                739536,                382129,                382129,,,                121374,,                 71091,,                 52128,                244593,                137536,,,                 32380,,                 14811,,                  6566,                 40625,                178161,,                 40912,                137249,                137249,,,                -14850,                     31,                 -2519,                -12300,                -12300,                124949,,                135423,                  1826,,                123123,                  1826,,                              1.69,,                              1.69,                 40912,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
