證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 停業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額
8150,2015年第3季,,              4827089,,              3963118,                863971,                863971,,,                 20037,,                162595,,                187530,                370162,                493809,,,                 61442,,                177632,,                 34644,,                  8307,                212737,                706546,,                123075,                583471,                583471,,,                              0,                              0,                              0,,                 73533,                              0,                              0,                 73533,                 73533,                657004,,                583471,                              0,,                657004,                              0,,                              0.65,                              0.65,,                              0.65,                              0.65,,,,,,,,,
8150,2015年第2季,,              5069135,,              3944894,              1124241,              1124241,,,                 28692,,                154499,,                169692,                352883,                771358,,,                 55953,,                -57163,,                 37225,,                  8341,                -30094,                741264,,                227040,                514224,                514224,,,                              0,                              0,                              0,,                -19408,                              0,                              0,                -19408,                -19408,                494816,,                503489,                 10735,,                516561,                -21745,,                              0.58,                              0.58,,,                              0.58,                              0.00,,,,,,,,
8150,2015年01月01日至2015年09月30日,,             15114362,,             11923664,              3190698,              3190698,,,                 74216,,                458688,,                528153,              1061057,              2129641,,,                178153,,                111836,,                109962,,                 20766,                200793,              2330434,,                500136,              1830298,              1830298,,,                              0,                              0,                              0,,                 39693,                              0,                              0,                 39693,                 39693,              1869991,,              1793225,                 37073,,              1872888,                 -2897,,                              2.05,                              2.05,,                              2.03,                              2.03,,,,,,,,,
8150,2015年01月01日至2015年06月30日,,             10287273,,              7960546,              2326727,              2326727,,,                 54179,,                296093,,                340623,                690895,              1635832,,,                116711,,                -65796,,                 75318,,                 12459,                -11944,              1623888,,                377061,              1246827,              1246827,,,                              0,                              0,                              0,,                -33840,                              0,                              0,                -33840,                -33840,              1212987,,              1209754,                 37073,,              1215884,                 -2897,,                              1.39,                              1.39,,,                              1.39,                              0.00,,,,,,,,
8150,2015年01月01日至2015年03月31日,,              5218138,,              4015652,              1202486,              1202486,,,                 25487,,                141594,,                170931,                338012,                864474,,,                 60758,,                 -8633,,                 38093,,                  4118,                 18150,                882624,,                150021,                732603,                732603,,,                              0,                              0,                              0,,                -14432,                              0,                              0,                -14432,                -14432,                718171,,                706265,                 26338,,                699323,                 18848,,                              0.82,                              0.82,,,                              0.81,,,,,,,,,
8150,2014年第3季,,              5806281,,              4318084,              1488197,              1488197,,,                 26876,,                145327,,                164011,                336214,              1151983,,,                 56727,,                 15283,,                 33723,,                              0,                 38287,              1190270,,                199185,                991085,                991085,,,                   -725,                   -108,                   -617,,                 36293,                              0,                              0,                 36293,                 35676,              1026761,,                934937,                 56148,,                951740,                 75021,,                              1.08,                              1.08,,                              1.07,                              1.07,,,,,,,,,
8150,2014年第2季,,              5413399,,              4146625,              1266774,              1266774,,,                 24364,,                160118,,                169031,                353513,                913261,,,                 57105,,               -143604,,                 32256,,                              0,               -118755,                794506,,                281793,                512713,                512713,,,                   -727,                   -110,                   -617,,                -25925,                              0,                              0,                -25925,                -26542,                486171,,                497250,                 15463,,                484221,                  1950,,                              0.58,                              0.58,,,                              0.57,                              0.00,,,,,,,,
8150,2014年度,,             22005131,,             16833516,              5171615,              5171615,,,                101901,,                621854,,                679626,              1403381,              3768234,,,                251356,,                906550,,                140804,,,              1017102,              4785336,,                957156,              3828180,              3828180,,,,,,,,,,,               -597214,              3230966,,              3318633,                509547,,              3082458,                148508,,,                              3.86,,,                              3.83,,                 61870,               -783149,                -11598,               -135663,,,,
8150,2014年01月01日至2014年09月30日,,             16208702,,             12478604,              3730098,              3730098,,,                 78544,,                452735,,                503008,              1034287,              2695811,,,                158935,,                758829,,                103777,,                              0,                813987,              3509798,,                738789,              2771009,              2771009,,,                 -2178,                   -327,                 -1851,,                 14604,               -783148,               -133135,               -635409,               -637260,              2133749,,              2316709,                454300,,              2063492,                 70257,,                              2.70,                              2.70,,                              2.69,                              2.69,,,,,,,,,
8150,2014年01月01日至2014年06月30日,,             10402421,,              8160520,              2241901,              2241901,,,                 51668,,                307408,,                338997,                698073,              1543828,,,                102208,,                743546,,                 70054,,                              0,                775700,              2319528,,                539604,              1779924,              1779924,,,                 -1453,                   -219,                 -1234,,                -21689,               -783148,               -133135,               -671702,               -672936,              1106988,,              1381772,                398152,,              1111752,                 -4764,,                              1.62,                              1.62,,,                              1.61,                              0.00,,,,,,,,
