證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3030,2015年第3季,,              1587565,,                775842,                811723,                811723,,,                235858,,                 39248,,                110379,                385485,                426238,,,                  6064,,                102605,,                              0,                108669,                534907,,                107056,                427851,                427851,,,                 27332,                  4646,                 22686,                 22686,                450537,,                427851,,                450537,,                              1.81,                              1.81,,                              1.81,                              1.81,,,
3030,2015年第2季,,              1308187,,                613066,                695121,                695121,,,                225620,,                 40772,,                 98902,                365294,                329827,,,                    379,,                 -4411,,                              0,                 -4032,                325795,,                 70317,                255478,                255478,,,                 -8934,                 -1519,                 -7415,                 -7415,                248063,,                255478,,                248063,,                              1.08,                              1.08,,                              1.08,                              1.08,,,
3030,2015年01月01日至2015年09月30日,,              4047891,,              1908590,              2139301,              2139301,,,                623706,,                127735,,                285208,              1036649,              1102652,,,                 24179,,                 75358,,                              0,                 99537,              1202189,,                236379,                965810,                965810,,,                  9567,                  1626,                  7941,                  7941,                973751,,                965810,,                973751,,                              4.09,                              4.09,,                              4.08,                              4.08,,,
3030,2015年01月01日至2015年06月30日,,              2460326,,              1132748,              1327578,              1327578,,,                387848,,                 88487,,                174829,                651164,                676414,,,                 18115,,                -27247,,                              0,                 -9132,                667282,,                129323,                537959,                537959,,,                -17765,                 -3020,                -14745,                -14745,                523214,,                537959,,                523214,,                              2.28,                              2.28,,                              2.27,                              2.27,,,
3030,2015年01月01日至2015年03月31日,,              1152139,,                519682,                632457,                632457,,,                162228,,                 47715,,                 75927,                285870,                346587,,,                 17736,,                -22836,,                              0,                 -5100,                341487,,                 59006,                282481,                282481,,,                 -8831,                 -1501,                 -7330,                 -7330,                275151,,                282481,,                275151,,                              1.20,                              1.20,,                              1.19,                              1.19,,,
3030,2014年第3季,,              3100686,,              1809044,              1291642,              1291642,,,                245223,,                 48134,,                132943,                426300,                865342,,,                 17488,,                 38409,,                              0,                 55897,                921239,,                148392,                772847,                772847,,,                 12160,                  2067,                 10093,                 10093,                782940,,                772847,,                782940,,                              3.27,                              3.27,,                              3.26,                              3.26,,,
3030,2014年第2季,,              1207912,,                644021,                563891,                563891,,,                171848,,                 39580,,                 94032,                305460,                258431,,,                  8476,,                -23019,,                              0,                -14543,                243888,,                 33280,                210608,                210608,,,                -10631,                 -1807,                 -8824,                 -8824,                201784,,                210608,,                201784,,                              0.89,                              0.89,,                              0.89,                              0.89,,,
3030,2014年度,,              5869549,,              3178652,              2690897,              2690897,,,                796111,,                160433,,                378371,              1334915,              1355982,,,                 48197,,                 72639,,                    115,                120721,              1476703,,                216307,              1260396,              1260396,,,,,,                 16361,              1276757,,              1260396,,              1276757,,                              5.34,                              5.34,,                              5.31,                              5.31,                 19712,                              0,                  3351
3030,2014年01月01日至2014年09月30日,,              4956272,,              2766805,              2189467,              2189467,,,                575108,,                125608,,                293324,                994040,              1195427,,,                 40327,,                 27985,,                    115,                 68197,              1263624,,                189075,              1074549,              1074549,,,                    612,                    104,                    508,                    508,              1075057,,              1074549,,              1075057,,                              4.55,                              4.55,,                              4.53,                              4.53,,,
3030,2014年01月01日至2014年06月30日,,              1855586,,                957761,                897825,                897825,,,                329885,,                 77474,,                160381,                567740,                330085,,,                 22839,,                -10424,,                    115,                 12300,                342385,,                 40683,                301702,                301702,,,                -11548,                 -1963,                 -9585,                 -9585,                292117,,                301702,,                292117,,                              1.28,                              1.28,,                              1.28,                              1.28,,,
