證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計,　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 其他綜合損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　　 其他收入－其他,　　　 利息費用
3266,2015年第3季,,                638196,,              1209530,               -571334,               -571334,,,                  8852,,                 51352,,                  1842,                 62046,               -633380,,,,                    727,                    727,,                 22022,,                 15555,,                -49931,                -42737,               -676117,,                -22504,               -653613,               -653613,,,                              0,                              0,                              0,,                107731,                 11264,                 96467,                 96467,               -557146,,               -362344,               -291269,,               -307352,               -249794,,                             -1.03,,                              0.00,,,,,,,,,,,,,,,,,,,,,
3266,2015年第2季,,                335986,,                312987,                 22999,                 22999,,,                  7875,,                 49401,,                  1393,                 58669,                -35670,,,,                  1747,                  1747,,                 24830,,                  3415,,                 -5359,                 17803,                -17867,,                 48120,                -65987,                -65987,,,                              0,                              0,                              0,,                -28144,                 -3189,                -24955,                -24955,                -90942,,                -61924,                 -4063,,                -77493,                -13449,,                             -0.18,,                              0.00,,,,,,,,,,,,,,,,,,,,,
3266,2015年01月01日至2015年09月30日,,              1124594,,              1660849,               -536255,               -536255,,,                 19223,,                152549,,                  4269,                176041,               -712296,,,,                  3089,                  3089,,                 48560,,                 22635,,                -59548,                -30534,               -742830,,                 25616,               -768446,               -768446,,,                   -114,                              0,                   -114,,                 60677,                  5948,                 54729,                 54615,               -713831,,               -467445,               -301001,,               -438486,               -275345,,                             -1.33,,                              0.00,,,,,,,,,,,,,,,,,,,,,
3266,2015年01月01日至2015年06月30日,,                486398,,                451319,                 35079,                 35079,,,                 10371,,                101197,,                  2427,                113995,                -78916,,,,                  2362,                  2362,,                 26538,,                  7080,,                 -9617,                 12203,                -66713,,                 48120,               -114833,               -114833,,,                   -114,                              0,                   -114,,                -47054,                 -5316,                -41738,                -41852,               -156685,,               -105101,                 -9732,,               -131134,                -25551,,                             -0.30,,                              0.00,,,,,,,,,,,,,,,,,,,,,
3266,2015年01月01日至2015年03月31日,,                150412,,                138332,                 12080,                 12080,,,                  2496,,                 51796,,                  1034,                 55326,                -43246,,,,                    615,                    615,,                  1708,,                  3665,,                 -4258,                 -5600,                -48846,,                              0,                -48846,                -48846,,,                   -114,,                   -114,,                -18910,                 -2127,                -16783,                -16897,                -65743,,                -43177,                 -5669,,                -53641,                -12102,,                             -0.12,,                              0.00,                             -0.12,                              0.00,,,,,,,,,,,,,,,,,,,
3266,2014年第3季,,                271912,,                248671,                 23241,                 23241,,,                  5693,,                 53965,,                  2188,                 61846,                -38605,,,,                  1257,                  1257,,                  5734,,                  2967,,                 -5879,                 -1855,                -40460,,                              0,                -40460,                -40460,,,                              0,                              0,                              0,,                 48099,                              0,                 48099,                 48099,                  7639,,                -39575,                   -885,,                 -7742,                 15381,,                             -0.11,,                             -0.11,,,,,,,,,,,,,,,,,,,,,
3266,2014年第2季,,                434637,,                285836,                148801,                148801,,,                 19437,,                 58252,,                  1348,                 79037,                 69764,,,,                  3526,                  3526,,                 -8417,,                  3778,,                 -7327,                -15996,                 53768,,                  7244,                 46524,                 46524,,,                              0,                              0,                              0,,                 -8551,                              0,                 -8551,                 -8551,                 37973,,                 53995,                 -7471,,                 49403,                -11430,,                              0.15,,                              0.15,,,,,,,,,,,,,,,,,,,,,
3266,2014年度,,              5167677,,              2900138,              2267539,              2267539,,,                193590,,                392719,,                  6347,                592656,              1674883,,,,                  7574,                  7574,,               -171398,,                 11204,,                -28296,               -203324,              1471559,,                 38836,              1432723,              1432723,,,,,,,,,,                 92502,              1525225,,              1416704,                 16019,,              1472729,                 52496,,                              4.02,,                              4.01,                              4.02,                              4.01,                 92974,                  9622,                 10094,,,,,,,,,,,,,,,,
3266,2014年01月01日至2014年09月30日,,              4736709,,              2534492,              2202217,              2202217,,,                132783,,                230066,,                  4767,                367616,              1834601,,,,                  5524,                  5524,,                 -4717,,                  8174,,                -23069,                -30436,              1804165,,                 63871,              1740294,              1740294,,,                              0,                              0,                              0,,                 29554,                              0,                 29554,                 29554,              1769848,,              1736540,                  3754,,              1753787,                 16061,,                              4.93,,                              4.90,,,,,,,,,,,,,,,,,,,,,
3266,2014年01月01日至2014年06月30日,,              4464797,,              2285821,              2178976,              2178976,,,                127090,,                176101,,                  2579,                305770,              1873206,,,,                  4267,                  4267,,                -10451,,                  5207,,                -17190,                -28581,              1844625,,                 63871,              1780754,              1780754,,,                              0,                              0,                              0,,                -18545,                              0,                -18545,                -18545,              1762209,,              1776115,                  4639,,              1761529,                    680,,                              5.04,,                              5.02,,,,,,,,,,,,,,,,,,,,,
3266,2014年01月01日至2014年03月31日,,              4030160,,              1999985,              2030175,              2030175,,,                107653,,                117849,,                  1231,                226733,              1803442,,,,                    741,                    741,,                 -2045,,                  1418,,                 -9863,                -12585,              1790857,,                 56627,              1734230,              1734230,,,                              0,,                              0,,                 -9994,                              0,                 -9994,                 -9994,              1724236,,              1722662,                 11568,,              1712668,                 11568,,                              4.89,,                              4.87,                              4.89,                              4.87,,,,,,,,,,,,,,,,,,,
3266,2013年第3季,,              1437211,,                878870,                558341,                558341,,,                 67701,,                 49136,,                  2170,                119007,                439334,,,,                  1473,                  1473,,                     15,,                  4173,,                     -1,                 -2686,                436648,,                 53121,                383527,                383527,,,,,,,,,,                              0,                383527,,                382103,                  1424,,                382103,                  1424,,                              1.26,,                              0.00,                              1.26,                              0.00,                              0,,                              0,,,,,,,,,,,,,,,,
3266,2013年第2季,,              1209793,,                816722,                393071,                393071,,,,,,,,                134214,                258857,,,,,                  4006,,                 -1304,,                  8022,,                      5,                 -5315,                253542,,                  7796,                245746,                245746,,,,,,,,,,                              0,                245746,,                257047,                -11301,,                257047,                -11301,,                              0.85,,                              0.00,,,                              0,,                              0,,                              0,,,,,,,,,,,,,,
3266,2013年度,,              6606777,,              4146542,              2460235,              2460235,,,                283080,,                285487,,                  6802,                575369,              1884866,,,,                  9881,                  9881,,                 59517,,                 30685,,                -14442,                 24271,              1909137,,                 93064,              1816073,              1816073,,,,,,,,,,                  9249,              1825322,,              1806829,                  9244,,              1815707,                  9615,,                              6.33,,                              0.00,                              6.33,                              0.00,                  9649,                  1240,                  1640,,,,,,,,,,,,,,,,
3266,2013年07月01日至2013年09月30日,,              1437211,,                878870,                558341,                558341,,,                 67701,,                 49136,,                  2170,                119007,                439334,,,,,                  1473,,                     15,,                  4173,,                     -1,                 -2686,                436648,,                 53121,                383527,                383527,,,,,,,,,,                              0,                383527,,                382103,                  1424,,                382103,                  1424,,                              1.26,,,                              1.26,,,,,,                              0,,,,,,,,,                     -1,                              0,,,,
3266,2013年04月01日至2013年06月30日,,              1209793,,                816722,                393071,                393071,,,                 86535,,                 46121,,                  1558,                134214,                258857,,,,,                  4006,,                 -1304,,                  8022,,                      5,                 -5315,                253542,,                  7796,                245746,                245746,,,,,,,,,,,                245746,,                257047,                -11301,,                257047,                -11301,,                              0.85,,,,,,,,,,,,,,,,,,                      5,,                              0,                              0,,
3266,2013年01月01日至2013年12月31日,,              6606777,,              4146542,              2460235,              2460235,,,                283080,,                285487,,                  6802,                575369,              1884866,,,,,                 75804,,                 -6406,,                 30685,,                -14442,                 24271,              1909137,,                 93064,              1816073,              1816073,,,,,,,,,,                  9249,              1825322,,              1806829,                  9244,,              1815707,                  9615,,                              6.33,,,,,                  9649,                  1240,                  1640,,,,,,,,,,                              0,,,,,,
3266,2013年01月01日至2013年09月30日,,              4894760,,              3139652,              1755108,              1755108,,,                209356,,                184112,,                  4950,                398418,              1356690,,,,                  8902,                  8902,,                  1039,,                 25905,,                      4,                -15960,              1340730,,                 74609,              1266121,              1266121,,,,,,,,,,                              0,              1266121,,              1269557,                 -3436,,              1269557,                 -3436,,                              4.76,,                              0.00,                              4.76,                              0.00,                              0,,                              0,,,,,,,,,,,,,,,,
3266,2013年01月01日至2013年06月30日,,              3457549,,              2260782,              1196767,              1196767,,,,,,,,                279411,                917356,,,,,                  7429,,                  1024,,                 21732,,                      5,                -13274,                904082,,                 21488,                882594,                882594,,,,,,,,,,                              0,                882594,,                887454,                 -4860,,                887454,                 -4860,,                              3.57,,                              0.00,,,                              0,,                              0,,                              0,,,,,,,,,,,,,,
