證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1319,2013年第2季,,              4897631,,              3717464,              1180167,                    862,              1181029,,,                441749,,                224011,,                115676,                781436,                399593,,,                 50388,,                 20034,,                 24984,,                 75567,                121005,                520598,,                112005,                408593,                408593,,,,,,,,                100840,                509433,,                393177,                 15416,,                470100,                 39333,,                              0.68,,                              0.66,                 67282,                 33000,,,                  9554,                  8996
1319,2013年度,,             19616358,,             15098380,              4517978,                  3822,              4521800,,,              1779511,,                899197,,                451241,              3129949,              1391851,,,                194090,,                -25781,,                104218,,                242503,                306594,              1698445,,                299830,              1398615,              1398615,,,,,,,,                483857,              1882472,,              1346842,                 51773,,              1754693,                127779,,                              2.28,,                              2.23,                235407,                 49500,                116644,,                155933,                 73627
1319,2013年07月01日至2013年09月30日,,              4761892,,              3657846,              1104046,                    987,              1105033,,,                428233,,                234963,,                120330,                783526,                321507,,,                 74934,,                -34697,,                 25882,,                 67688,                 82043,                403550,,                 53753,                349797,                349797,,,,,,,,                -46284,                303513,,                327701,                 22096,,                292145,                 11368,,                              0.55,,                              0.54,                -30045,                              0,,,                -23522,                 -7283
1319,2013年04月01日至2013年06月30日,,              4897631,,              3717464,              1180167,                    862,              1181029,,,                441749,,                224011,,                115676,                781436,                399593,,,                 50388,,                 20034,,                 24984,,                 75567,                121005,                520598,,                112005,                408593,                408593,,,,,,,,                100840,                509433,,                393177,                 15416,,                470100,                 39333,,                              0.68,,                              0.66,                 67282,                 33000,,,                  9554,                  8996
1319,2013年01月01日至2013年12月31日,,             19616358,,             15098380,              4517978,                  3822,              4521800,,,              1779511,,                899197,,                451241,              3129949,              1391851,,,                194090,,                -25781,,                104218,,                242503,                306594,              1698445,,                299830,              1398615,              1398615,,,,,,,,                483857,              1882472,,              1346842,                 51773,,              1754693,                127779,,                              2.28,,,                235407,                 49500,                116644,,                155933,                 73627
1319,2013年01月01日至2013年09月30日,,             14276617,,             10955699,              3320918,                  2834,              3323752,,,              1284268,,                654112,,                329824,              2268204,              1055548,,,                146129,,                 25360,,                 75361,,                170229,                266357,              1321905,,                228596,              1093309,              1093309,,,,,,,,                246894,              1340203,,              1047172,                 46137,,              1242691,                 97512,,                              1.78,,                              1.73,                157124,                 49500,,,                 70177,                 29907
1319,2013年01月01日至2013年06月30日,,              9514725,,              7297853,              2216872,                  1847,              2218719,,,                856035,,                419149,,                209494,              1484678,                734041,,,                 71195,,                 60057,,                 49479,,                102541,                184314,                918355,,                174843,                743512,                743512,,,,,,,,                293178,              1036690,,                719471,                 24041,,                950546,                 86144,,                              1.26,,                              1.23,                187169,                 49500,,,                 93699,                 37190
1319,2013年01月01日至2013年03月31日,,              4617094,,              3580389,              1036705,                    985,              1037690,,,                414286,,                195138,,                 93818,                703242,                334448,,,                 20807,,                 40023,,                 24495,,                 26974,                 63309,                397757,,                 62838,                334919,                334919,,,,,,,,                192338,                527257,,                326294,                  8625,,                480446,                 46811,,                              0.57,,                              0.56,                119887,                 16500,,,                 84145,                 28194
1319,2012年07月01日至2012年09月30日,,              4324290,,              3392290,                932000,                    984,                932984,,,                373278,,                237297,,                112807,                723382,                209602,,,                 45714,,                -44605,,                 25533,,                 61560,                 37136,                246738,,                 37233,                209505,                209505,,,,,,,,                -51681,                157824,,                208447,                  1058,,                167775,                 -9951,,                              0.35,,                              0.35,                -37203,                              0,,,                -22808,                 -8330
1319,2012年04月01日至2012年06月30日,,              4148729,,              3281591,                867138,                    985,                868123,,,                399767,,                234177,,                 82855,                716799,                151324,,,                 57252,,                -66433,,                 27962,,                 72544,                 35401,                186725,,                 99476,                 87249,                 87249,,,,,,,,                 16939,                104188,,                 81063,                  6186,,                 94307,                  9881,,                              0.15,,                              0.14,                 29063,                              0,,,                -11023,                  1101
1319,2012年01月01日至2012年12月31日,,             17004822,,             13273836,              3730986,                  3938,              3734924,,,              1557511,,                945204,,                406378,              2909093,                825831,,,                183650,,               -139211,,                109023,,                202455,                137871,                963702,,                189125,                774577,                774577,,,,,,,,               -280081,                494496,,                732691,                 41886,,                493761,                    735,,                              1.25,,,               -117127,                              0,               -137734,,                -76283,                -51063
1319,2012年01月01日至2012年09月30日,,             12575107,,              9853747,              2721360,                  2953,              2724313,,,              1127039,,                708891,,                311172,              2147102,                577211,,,                156223,,                -91960,,                 82435,,                235701,                217529,                794740,,                190888,                603852,                603852,,,,,,,,               -161503,                442349,,                566858,                 36994,,                443754,                 -1405,,                              0.97,,                              0.95,               -120778,                              0,,,                -67550,                -26825
1319,2012年01月01日至2012年06月30日,,              8250817,,              6461457,              1789360,                  1969,              1791329,,,                753761,,                471594,,                198365,              1423720,                367609,,,                110509,,                -47355,,                 56902,,                174141,                180393,                548002,,                153655,                394347,                394347,,,,,,,,               -109822,                284525,,                358411,                 35936,,                275979,                  8546,,                              0.62,,                              0.61,                -83575,                              0,,,                -44742,                -18495
1319,2012年01月01日至2012年03月31日,,              4102088,,              3179866,                922222,                    984,                923206,,,                353994,,                237417,,                115510,                706921,                216285,,,                 53257,,                 19078,,                 28940,,                101597,                144992,                361277,,                 54179,                307098,                307098,,,,,,,,               -126761,                180337,,                277348,                 29750,,                181672,                 -1335,,                              0.50,,                              0.49,               -112638,                              0,,,                -33719,                -19596
