證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
6183,2015年第3季,,                296660,,                154037,                142623,                142623,,,                 15198,,                 53502,,                  5120,                 73820,,                    -78,                    -78,                 68725,,,,                  2423,                  1323,                    334,                  4080,,                  2009,                              0,                      7,                              0,                    623,                  1379,,                    115,                  5344,                 74069,,                 12222,                 61847,                 61847,,,                  1601,                    272,                  1329,                  1329,                 63176,,                 61847,,                 63176,,                              0.41,                              0.41,,                              0.41,                              0.41,,,,,,,,,,,,,,,,
6183,2015年第2季,,                308282,,                164236,                144046,                144046,,,                 15428,,                 44453,,                  5191,                 65072,,,                    -24,                 78950,,,,                  2914,                     97,                     11,                  3022,,,                              0,                              0,                    428,                     15,                   -443,,                    131,                  2448,                 81398,,                 13206,                 68192,                 68192,,,                   -605,                   -103,                   -502,                   -502,                 67690,,                 68192,,                 67690,,                              0.45,                              0.45,,                              0.45,                              0.45,,,,,,,,,,,,,,,,
6183,2015年01月01日至2015年09月30日,,                902769,,                492169,                410600,                410600,,,                 47145,,                137165,,                 15408,                199718,,                  2178,                  2178,                213060,,,,                  7881,                  1420,                    679,                  9980,,                    662,                              0,                      7,                              0,                    568,                     87,,                    393,                  9674,                222734,,                 36565,                186169,                186169,,,                    601,                    102,                    499,                    499,                186668,,                186169,,                186668,,                              1.24,                              1.24,,                              1.24,                              1.24,,,,,,,,,,,,,,,,
6183,2015年01月01日至2015年06月30日,,                606109,,                338132,                267977,                267977,,,                 31947,,                 83663,,                 10288,                125898,,,                  2256,                144335,,,,                  5458,                     97,                    345,                  5900,,,                     55,                              0,                  1347,                              0,                 -1292,,                    278,                  4330,                148665,,                 24343,                124322,                124322,,,                 -1000,                   -170,                   -830,                   -830,                123492,,                124322,,                123492,,                              0.83,                              0.83,,                              0.83,                              0.83,,,,,,,,,,,,,,,,
6183,2015年01月01日至2015年03月31日,,                297827,,                173896,                123931,                123931,,,                 16519,,                 39210,,                  5097,                 60826,,                  2280,                  2280,                 65385,,,,                  2544,,                    334,                  2878,,                              0,                     70,,                    919,                              0,                   -849,,                    147,                  1882,                 67267,,                 11137,                 56130,                 56130,,,                   -395,                    -67,                   -328,                   -328,                 55802,,                 56130,,                 55802,,                              0.37,                              0.37,,                              0.37,                              0.37,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,
6183,2014年第3季,,                291310,,                161630,                129680,                129680,,,                 15772,,                 48009,,                  6099,                 69880,,                              0,                              0,                 59800,,,,                  2721,                  1154,                              0,                  3875,,                    523,                              0,                              0,                              0,                    183,                    340,,                    178,                  4037,                 63837,,                 10133,                 53704,                 53704,,,                    876,                    149,                    727,                    727,                 54431,,                 53704,,                 54431,,                              0.36,                              0.36,,                              0.36,                              0.36,,,,,,,,,,,,,,,,
6183,2014年第2季,,                320352,,                164912,                155440,                155440,,,                 16251,,                 42390,,                  5831,                 64472,,,                 -1560,                 89408,,,,                  3064,                     88,                    338,                  3490,,,                    716,                      9,                    705,                              0,                      2,,                    192,                  3300,                 92708,,                 13984,                 78724,                 78724,,,                   -609,                   -104,                   -505,                   -505,                 78219,,                 78724,,                 78219,,                              0.52,                              0.52,,                              0.52,                              0.52,,,,,,,,,,,,,,,,
6183,2014年度,,              1347289,,                818609,                528680,                528680,,,                 73601,,                203250,,                 27071,                303922,,,                 -6991,                217767,,,,                 10859,                  1242,                    811,                 12912,,                  1197,                    449,                     11,,,                  1635,,                    742,                 13805,                231572,,                 34931,                196641,                196641,,,,,,                 -1930,                194711,,                196641,,                194711,,,                              1.31,,,                              1.31,,,,,,,,,,,,                  1415,                 -5283,                 -1938,,
6183,2014年01月01日至2014年09月30日,,                898231,,                499001,                399230,                399230,,,                 46772,,                135527,,                 18216,                200515,,                 -4080,                 -4080,                194635,,,,                  8239,                  1242,                    338,                  9819,,                              0,                    454,                      9,                     66,                              0,                    379,,                    580,                  9618,                204253,,                 32260,                171993,                171993,,,                    127,                    232,                   -105,                   -105,                171888,,                171993,,                171888,,                              1.15,                              1.15,,                              1.14,                              1.14,,,,,,,,,,,,,,,,
6183,2014年01月01日至2014年06月30日,,                606921,,                337371,                269550,                269550,,,                 31000,,                 87518,,                 12117,                130635,,,                 -4080,                134835,,,,                  5518,                     88,                    338,                  5944,,,                    637,                      9,                    589,                              0,                     39,,                    402,                  5581,                140416,,                 22127,                118289,                118289,,,                   -749,                     83,                   -832,                   -832,                117457,,                118289,,                117457,,                              0.79,                              0.79,,                              0.79,                              0.79,,,,,,,,,,,,,,,,
