證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 什項支出,　　　 減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　 金融資產減損損失,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　 已實現銷貨（損）益,　　　 採用權益法認列之關聯企業及合資損失之份額,　 未實現銷貨（損）益,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 利息費用,　 停業單位損益,　　 停業單位損益合計,　　　 處分投資損失,　　　 外幣兌換損失,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
3311,2015年第3季,,                907183,,                769108,                138075,                138075,,,                 16103,,                 75258,,                 42074,                133435,                  4640,,,                 21548,                 21548,,                -61327,,                              0,                              0,                 61327,,                  6043,,                  1028,                  1028,                 77860,                 82500,,                 28120,                 54380,                 54380,,,                109966,,                      8,                 18528,                 91446,                 91446,                145826,,                 66409,                -12029,,                156874,                -11048,,                              0.37,                              0.37,,                              0.36,                              0.36,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2015年第2季,,                843584,,                685807,                157777,                157777,,,                 33347,,                 61705,,                 46538,                141590,                 16187,,,                 45827,                 45827,,,,,,                 19385,,                  5981,,                    720,                    720,                 59951,                 76138,,                 26427,                 49711,                 49711,,,                -41932,,                     21,                 -7043,                -34868,                -34868,                 14843,,                 58565,                 -8854,,                 24204,                 -9361,,                              0.31,                              0.31,,                              0.31,                              0.31,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2015年第1季,,                868214,,                701775,                166439,                166439,,,                 20790,,                 62174,,                 44168,                127132,                 39307,,,,                 33715,,,,,,                -22266,,                  5939,,,                    782,                  6292,                 45599,,                 20130,                 25469,                 25469,,,                -54934,,                     -1,                 -9267,                -45668,                -45668,                -20199,,                 30389,                 -4920,,                -14859,                 -5340,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2015年01月01日至2015年09月30日,,              2618981,,              2156690,                462291,                462291,,,                 70240,,                199137,,                132780,                402157,                 60134,,,                101090,                101090,,                -58446,,                              0,                              0,                 58446,,                 17963,,                  2530,                  2530,                144103,                204237,,                 74677,                129560,                129560,,,                 13100,,                     28,                  2218,                 10910,                 10910,                140470,,                155363,                -25803,,                166219,                -25749,,                              0.83,                              0.83,,                              0.83,                              0.83,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2015年01月01日至2015年06月30日,,              1711798,,              1387582,                324216,                324216,,,                 54137,,                123879,,                 90706,                268722,                 55494,,,                 79542,                 79542,,,,,,                 -2881,,                 11920,,                  1502,                  1502,                 66243,                121737,,                 46557,                 75180,                 75180,,,                -96866,,                     20,                -16310,                -80536,                -80536,                 -5356,,                 88954,                -13774,,                  9345,                -14701,,                              0.47,                              0.47,,                              0.47,                              0.47,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2014年第3季,,              1107032,,              1177407,                -70375,                -70375,,,                125217,,                122730,,                 71406,                319353,               -389728,,,                 26493,                 26493,,                -24714,,                972172,                972172,               -947458,,                  6164,,                  1446,                  1446,               -925683,             -1315411,,                -49920,             -1265491,             -1265491,,,                112806,,                     52,                 19177,                 93681,                 93681,             -1171810,,             -1261729,                 -3762,,             -1169736,                 -2074,,                             -6.67,                             -6.67,,                             -6.67,                             -6.67,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2014年第2季,,              1192487,,              1098837,                 93650,                 93650,,,                 60965,,                 75638,,                 57009,                193612,                -99962,,,                 25095,                 25095,,,,,,                -12062,,                  6138,,                    591,                    591,                  7486,                -92476,,                -14329,                -78147,                -78147,,,               -100795,,                     -9,                -17135,                -83669,                -83669,               -161816,,                -76527,                 -1620,,               -158864,                 -2952,,                             -0.40,                             -0.40,,                             -0.40,                             -0.40,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2014年第1季,,              1130475,,              1049384,                 81091,                 81091,,,                 47251,,                 79118,,                 64611,                190980,               -109889,,,,                 61850,,,,,,                 -9496,,                  8071,,,                     23,                 44306,                -65583,,                -16357,                -49226,                -49226,,,                 21214,,                              0,                  3606,                 17608,                 17608,                -31618,,                -46362,                 -2864,,                -28798,                 -2820,,                             -0.25,                             -0.25,,                             -0.25,                             -0.25,,,,,,,,,,,,,,,,,,,,,,,,,
3311,2014年度,,              4502520,,              4264793,                237727,                237727,,,                337002,,                352571,,                245194,                934767,               -697040,,,                142701,                142701,,                -50728,,                864486,                913648,               -862920,,                 26410,,                  3502,                  3502,               -743127,             -1440167,,                -40711,             -1399456,             -1399456,,,,,,,,                108677,             -1290779,,             -1382639,                -16817,,             -1275942,                -14837,,                             -7.31,                             -7.31,,                             -7.31,                             -7.31,                 49162,                130568,                    164,,                   -164,                -21891,,,,,,,,,,,,,,,,,,,
3311,2014年01月01日至2014年09月30日,,              3429994,,              3325628,                104366,                104366,,,                233433,,                277486,,                193026,                703945,               -599579,,,                106800,                106800,,                 -9794,,                972172,                972172,               -962378,,                 20373,,                  2060,                  2060,               -873891,             -1473470,,                -80606,             -1392864,             -1392864,,,                 33225,,                     43,                  5648,                 27620,                 27620,             -1365244,,             -1384618,                 -8246,,             -1357398,                 -7846,,                             -7.32,                             -7.32,,                             -7.32,                             -7.32,,,,,,,,,,,,,,,,,,,,,,,,,
