證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 後續可能重分類至損益之項目,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　　　 銀行存款利息,　　　 賠償損失,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　　 外幣兌換損失,　　　 處分不動產、廠房及設備損失,　　　 減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 減損損失合計,　　　 利息費用
3559,2015年第3季,,,                411370,                411370,,,                267976,                267976,                143394,                143394,,,                  7515,,                 31938,,                 17246,                 56699,                 86695,,,,                  1806,                    230,                  2036,,                    564,                              0,                 18189,                              0,                 14511,                  4242,,                      6,                  6272,                 92967,,                 15062,                 77905,                 77905,,,                              0,                              0,                              0,                 77905,,                              0.65,                              0.65,,                              0.64,                              0.64,,,,,,,,,,,,,,
3559,2015年第2季,,,                373238,                373238,,,                245012,                245012,                128226,                128226,,,                  6742,,                 29356,,                 13744,                 49842,                 78384,,,,                  2195,                    787,                  2982,,                    225,                      8,                 -1420,                  1652,,                    465,,                     95,                  3352,                 81736,,                 13078,                 68658,                 68658,,,                              0,                              0,                              0,                 68658,,                              0.58,                              0.58,,                              0.57,                              0.57,,,                              0,                              0,,,,,,,,,,
3559,2015年01月01日至2015年09月30日,,,              1122244,              1122244,,,                749385,                749385,                372859,                372859,,,                 20328,,                 87110,,                 44434,                151872,                220987,,,,                  6058,                  2074,                  8132,,                    789,                      8,                 14374,                              0,                 10003,                  5168,,                    102,                 13198,                234185,,                 37658,                196527,                196527,,,                     87,                     87,                     87,                196614,,                              1.65,                              1.65,,                              1.61,                              1.61,,,,,,,,,,,,,,
3559,2015年01月01日至2015年06月30日,,,                710874,                710874,,,                481409,                481409,                229465,                229465,,,                 12813,,                 55172,,                 27188,                 95173,                134292,,,,                  4252,                  1844,                  6096,,                    225,                      8,                 -3815,                  4508,,                    926,,                     96,                  6926,                141218,,                 22596,                118622,                118622,,,                     87,                     87,                     87,                118709,,                              1.00,                              1.00,,                              0.98,                              0.98,,,                              0,                              0,,,,,,,,,,
3559,2015年01月01日至2015年03月31日,,,                337636,                337636,,,                236397,                236397,                101239,                101239,,,                  6071,,                 25816,,                 13444,                 45331,                 55908,,,,                  2057,                  1057,                  3114,,                              0,                              0,                 -2395,                  2856,,                    461,,                      1,                  3574,                 59482,,                  9518,                 49964,                 49964,,,                     87,                     87,                     87,                 50051,,                              0.42,                              0.42,,                              0.41,                              0.41,,,,,,,,,,,,,,
3559,2014年第3季,,,                399397,                399397,,,                264708,                264708,                134689,                134689,,,                  5937,,                 26515,,                 16703,                 49155,                 85534,,,,                  1680,                 -1423,                    257,,                  1315,                     34,                  4700,                              0,                  3816,                  2233,,                     78,                  2412,                 87946,,                 14653,                 73293,                 73293,,,                              0,                              0,                              0,                 73293,,                              0.62,                              0.62,,                              0.61,                              0.61,,,,,,,,,,,,,,
3559,2014年第2季,,,                293774,                293774,,,                210129,                210129,                 83645,                 83645,,,                  5843,,                 21848,,                 12893,                 40584,                 43061,,,,                  2706,                     39,                  2745,,                     25,                              0,                 -3109,                  2882,,                   -202,,                      5,                  2538,                 45599,,                  9793,                 35806,                 35806,,,                              0,                              0,                              0,                 35806,,                              0.30,                              0.30,,                              0.30,                              0.30,,,                              0,                              0,,,,,,,,,,
3559,2014年度,,,              1330292,              1330292,,,                924947,                924947,                405345,                405345,,,                 22128,,                 94608,,                 52536,                169272,                236073,,,,                  8827,                  4072,                 12899,,                  1362,                     34,                 17812,                              0,                 14378,                    518,,                    108,                 13309,                249382,,                 43950,                205432,                205432,,,,,                 -1711,                203721,,                              1.74,                              1.74,,                              1.71,                              1.71,,,,,                  8827,                  4312,                              0,                 -1711,,,,,,
3559,2014年01月01日至2014年09月30日,,,                930596,                930596,,,                661172,                661172,                269424,                269424,,,                 16040,,                 67113,,                 40074,                123227,                146197,,,,                  7128,                 -1176,                  5952,,                  1362,                     34,                  5424,                              0,                  4531,                  2289,,                     93,                  8148,                154345,,                 29002,                125343,                125343,,,                              0,                              0,                              0,                125343,,                              1.06,                              1.06,,                              1.04,                              1.04,,,,,,,,,,,,,,
3559,2014年01月01日至2014年06月30日,,,                531199,                531199,,,                396464,                396464,                134735,                134735,,,                 10103,,                 40598,,                 23371,                 74072,                 60663,,,,                  5448,                    247,                  5695,,                     47,                              0,                    724,                   -715,,                     56,,                     15,                  5736,                 66399,,                 14349,                 52050,                 52050,,,                              0,                              0,                              0,                 52050,,                              0.44,                              0.44,,                              0.43,                              0.43,,,                              0,                              0,,,,,,,,,,
3559,2014年01月01日至2014年03月31日,,,                237425,                237425,,,                186335,                186335,                 51090,                 51090,,,                  4260,,                 18750,,                 10478,                 33488,                 17602,,,,                  2742,                    208,                  2950,,                     22,                              0,                  3833,                 -3597,,                    258,,                     10,                  3198,                 20800,,                  4556,                 16244,                 16244,,,                              0,                              0,                              0,                 16244,,                              0.14,                              0.14,,                              0.14,                              0.14,,,,,,,,,,,,,,
3559,2013年第3季,,,                283152,                283152,,,                196424,                196424,                 86728,                 86728,,,                  4894,,                 19810,,                 11432,                 36136,                 50592,,,,                  2406,                 -3319,                   -913,,                      1,                              0,                              0,                  2245,                              0,                   -131,,                              0,                 -1044,                 49548,,                  9045,                 40503,                 40503,,,,,                              0,                 40503,,                              0.34,                              0.34,,                              0.34,                              0.34,,,,,                  2406,,                              0,,                  2377,,,,,
3559,2013年第2季,,,                290074,                290074,,,                193768,                193768,                 96306,                 96306,,,                  5035,,                 21296,,                 10810,                 37141,                 59165,,,,                  2284,                    225,                  2509,,                              0,                              0,                    557,                              0,                    775,                   -218,,                              0,                  2291,                 61456,,                 12708,                 48748,                 48748,,,,,                              0,                 48748,,                              0.41,                              0.41,,                              0.41,                              0.41,,,,,                  2284,,                              0,,                              0,,,,,
3559,2013年度,,,              1074499,              1074499,,,                773021,                773021,                301478,                301478,,,                 19744,,                 82503,,                 40957,                143204,                158274,,,,                  8980,                  1178,                 10158,,                      1,                      8,                  4398,                              0,                  3708,                 -2948,,                      3,                  7207,                165481,,                 41422,                124059,                124059,,,,,                   -485,                123574,,                              1.05,                              1.05,,                              1.04,                              1.04,,,,,                  8980,                  3647,                     -6,                   -479,,,,,,
