證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　　 銷貨收入,　　　 銷貨退回,　 停業單位損益,　　 停業單位損益合計,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　 本期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 其他收入－其他,　　 當期所得稅費用（利益）,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
2231,2015年第3季,,,,                737801,                  7525,                730276,                730276,,,                333783,                333783,                333783,                396493,                396493,,,                 25892,,                 22098,,                 34718,                 82708,,                              0,                313785,,,                  1765,,                 76944,,                    228,                 78481,                392266,,                 54812,                337454,                337454,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 29071,                  4942,                 24129,                 24129,                361583,,                335586,                  1868,,                357990,                  3593,,                              4.63,,                              4.61,,,,,,,,,,,,,,
2231,2015年第2季,,,,                698218,,                692144,                692144,,,                304875,                304875,                304875,                387269,                387269,,,                 26327,,                 19290,,                 30724,                 76341,,,                310928,,,                    702,,                -14595,,                    316,                -14209,                296719,,                 46392,                250327,                250327,,,,,,,,,,                              0,,                 -8735,                 -1485,                 -7250,                 -7250,                243077,,                249665,                    662,,                242786,                    291,,                              3.45,,                              3.43,                698218,                  6074,,                              0,,                              0,,,,,,,,
2231,2015年01月01日至2015年09月30日,,,,              2098293,                 16109,              2082184,              2082184,,,                931258,                931258,                931258,              1150926,              1150926,,,                 77515,,                 60333,,                 91546,                229394,,                              0,                921532,,,                  5750,,                 54577,,                    823,                 59504,                981036,,                135270,                845766,                845766,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 14416,                  2451,                 11965,                 11965,                857731,,                843092,                  2674,,                853997,                  3734,,                             11.64,,                             11.57,,,,,,,,,,,,,,
2231,2015年01月01日至2015年06月30日,,,,              1360492,,              1351908,              1351908,,,                597475,                597475,                597475,                754433,                754433,,,                 51623,,                 38235,,                 56828,                146686,,,                607747,,,                  3985,,                -22367,,                    595,                -18977,                588770,,                 80458,                508312,                508312,,,,,,,,,,                              0,,                -14655,                 -2491,                -12164,                -12164,                496148,,                507506,                    806,,                496007,                    141,,                              7.01,,                              6.97,              1360492,                  8584,,                              0,,                              0,,,,,,,,
2231,2015年01月01日至2015年03月31日,,,,                662274,,                659764,                659764,,,,,                292600,                367164,                367164,,,                 25296,,                 18945,,                 26104,                 70345,,,                296819,,,                  3283,,                 -7772,,                    279,                 -4768,                292051,,                 34066,                257985,                257985,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 -5920,                 -1006,                 -4914,                 -4914,                253071,,                257841,                    144,,                253221,                   -150,,                              3.56,,                              3.54,,                  2510,,                              0,,                              0,                 34066,,,,,,,
2231,2014年第3季,,,,                528795,                  2616,                526179,                526179,,,                261847,                261847,                261847,                264332,                264332,,,                 19015,,                 18277,,                 26045,                 63337,,                              0,                200995,,,                  6101,,                 14116,,                    582,                 19635,                220630,,                 26072,                194558,                194558,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 12635,                  2148,                 10487,                 10487,                205045,,                195815,                 -1257,,                205823,                   -778,,                              2.73,,                              2.70,,,,,,,,,,,,,,
2231,2014年第2季,,,,                543633,,                539997,                539997,,,                275368,                275368,                275368,                264629,                264629,,,                 20544,,                 15910,,                 23113,                 59567,,,                205062,,,                  4453,,                -13458,,                  1230,                -10235,                194827,,                 31602,                163225,                163225,,,,,,,,,,                              0,,                 -9005,                 -1531,                 -7474,                 -7474,                155751,,                162615,                    610,,                155666,                     85,,                              2.28,,                              2.25,                543633,                  3636,,                              0,,                              0,,,,,,,,
2231,2014年度,,,,              2169791,                 14607,              2155184,              2155184,,,,,              1068308,              1086876,              1086876,,,                 82102,,                 77912,,                105860,                265874,,,                821002,,,                 14855,,                 49704,,                  5042,                 59517,                880519,,                135020,                745499,                745499,,,,,,,,,,,,,,,                 18428,                763927,,                745253,                    246,,                762116,                  1811,,                             10.43,,                             10.26,,,,                              0,,,,                 22878,                   -561,                  3889,,,,
2231,2014年01月01日至2014年09月30日,,,,              1518053,                  8771,              1509282,              1509282,,,                767884,                767884,                767884,                741398,                741398,,,                 58694,,                 52464,,                 70646,                181804,,                              0,                559594,,,                 12814,,                 13047,,                  3323,                 22538,                582132,,                 81688,                500444,                500444,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                  3871,                    658,                  3213,                  3213,                503657,,                500349,                     95,,                503030,                    627,,                              7.03,,                              6.90,,,,,,,,,,,,,,
2231,2014年01月01日至2014年06月30日,,,,                989258,,                983103,                983103,,,                506037,                506037,                506037,                477066,                477066,,,                 39679,,                 34187,,                 44601,                118467,,,                358599,,,                  6713,,                 -1069,,                  2741,                  2903,                361502,,                 55616,                305886,                305886,,,,,,,,,,                              0,,                 -8764,                 -1490,                 -7274,                 -7274,                298612,,                304533,                  1353,,                297207,                  1405,,                              4.29,,                              4.21,                989258,                  6155,,                              0,,                              0,,,,,,,,
