證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2029,2015年第3季,,,              2928460,              2928460,,,              2596543,              2596543,                331917,                    231,                              0,                331686,,,                107354,,                 54734,,                 23011,                185099,                146587,,,                  5324,                  5324,,                 61714,,                    987,,               -620315,               -554264,               -407677,,                 32834,               -440511,               -440511,,,                 31818,                   -396,                  5516,                 25906,                 25906,               -414605,,               -442146,                  1635,,               -415604,                    999,,                             -1.38,                             -1.38,,                             -1.38,                             -1.38,,,,,,
2029,2015年第2季,,,              3694171,              3694171,,,              3262627,              3262627,                431544,,                    159,                431703,,,                142941,,                 55681,,                 21843,                220465,                211238,,,                  5337,                  5337,,                -16939,,                    786,,                -50166,                -62554,                148684,,                 39140,                109544,                109544,,,                 -8089,                 -1600,                 -1374,                 -8315,                 -8315,                101229,,                112519,                 -2975,,                104146,                 -2917,,                              0.35,                              0.35,,                              0.35,                              0.35,,,,,,
2029,2015年01月01日至2015年09月30日,,,             10513357,             10513357,,,              9268551,              9268551,              1244806,                              0,                    196,              1245002,,,                401965,,                168768,,                 68034,                638767,                606235,,,                 14741,                 14741,,                 36022,,                  2591,,               -745197,               -697025,                -90790,,                114598,               -205388,               -205388,,,                 18678,                 -2551,                  3342,                 12785,                 12785,               -192603,,               -201367,                 -4021,,               -187805,                 -4798,,                             -0.63,                             -0.63,,                             -0.63,                             -0.63,,,,,,
2029,2015年01月01日至2015年06月30日,,,              7584897,              7584897,,,              6672008,              6672008,                912889,,                    427,                913316,,,                294611,,                114034,,                 45023,                453668,                459648,,,                  9417,                  9417,,                -25692,,                  1604,,               -124882,               -142761,                316887,,                 81764,                235123,                235123,,,                -13140,                 -2155,                 -2174,                -13121,                -13121,                222002,,                240779,                 -5656,,                227799,                 -5797,,                              0.75,                              0.75,,                              0.75,                              0.75,,,,,,
2029,2015年01月01日至2015年03月31日,,,              3890726,              3890726,,,              3409381,              3409381,                481345,,                    268,                481613,,,                151670,,                 58353,,                 23180,                233203,                248410,,,                  4080,                  4080,,                 -8753,,                    818,,                -74716,                -80207,                168203,,                 42624,                125579,                125579,,,                 -5051,                   -555,                   -800,                 -4806,                 -4806,                120773,,                128260,                 -2681,,                123653,                 -2880,,                              0.40,                              0.40,,                              0.40,                              0.40,,,,,,
2029,2014年第3季,,,              4072280,              4072280,,,              3676573,              3676573,                395707,                    189,                              0,                395518,,,                154563,,                 60120,,                 21933,                236616,                158902,,,                  3575,                  3575,,                 21411,,                    976,,                -80478,                -56468,                102434,,                 32770,                 69664,                 69664,,,                 17460,                  1134,                  3498,                 15096,                 15096,                 84760,,                 72633,                 -2969,,                 89688,                 -4928,,                              0.23,                              0.23,,                              0.23,                              0.23,,,,,,
2029,2014年第2季,,,              4073703,              4073703,,,              3640557,              3640557,                433146,,                    766,                433912,,,                141313,,                 62309,,                 23250,                226872,                207040,,,                  4354,                  4354,,                -14870,,                    944,,               -110880,               -122340,                 84700,,                 44515,                 40185,                 40185,,,                -16507,                 -1360,                 -2759,                -15108,                -15108,                 25077,,                 40694,                   -509,,                 25674,                   -597,,                              0.13,                              0.13,,                              0.13,                              0.13,,,,,,
2029,2014年度,,,             16182610,             16182610,,,             14380316,             14380316,              1802294,,                    692,              1802986,,,                594179,,                245735,,                 91101,                931015,                871971,,,                 15089,                 15089,,                 79457,,                  4015,,               -358339,               -267808,                604163,,                182424,                421739,                421739,,,,,,,                -27433,                394306,,                435234,                -13495,,                406321,                -12015,,                              1.36,                              1.36,,                              1.35,                              1.35,                 24806,                  1421,                -59569,                 -5909,,
2029,2014年01月01日至2014年09月30日,,,             12096448,             12096448,,,             10781195,             10781195,              1315253,                              0,                    577,              1315830,,,                426469,,                187453,,                 67530,                681452,                634378,,,                 11425,                 11425,,                 30603,,                  3134,,               -268193,               -229299,                405079,,                128234,                276845,                276845,,,                    601,                   -346,                    221,                     34,                     34,                276879,,                279562,                 -2717,,                279081,                 -2202,,                              0.87,                              0.87,,                              0.87,                              0.87,,,,,,
2029,2014年01月01日至2014年06月30日,,,              8024168,              8024168,,,              7104622,              7104622,                919546,,                    766,                920312,,,                271906,,                127333,,                 45597,                444836,                475476,,,                  7850,                  7850,,                  9192,,                  2158,,               -187715,               -172831,                302645,,                 95464,                207181,                207181,,,                -16859,                 -1480,                 -3277,                -15062,                -15062,                192119,,                206929,                    252,,                189393,                  2726,,                              0.64,                              0.64,,                              0.64,                              0.64,,,,,,
2029,2014年01月01日至2014年03月31日,,,              3950465,              3950465,,,              3464065,              3464065,                486400,,                              0,                486400,,,                130593,,                 65024,,                 22347,                217964,                268436,,,                  3496,                  3496,,                 24062,,                  1214,,                -76835,                -50491,                217945,,                 50949,                166996,                166996,,,                   -352,                   -120,                   -518,                     46,                     46,                167042,,                166235,                    761,,                163719,                  3323,,                              0.52,                              0.52,,                              0.52,                              0.52,,,,,,
2029,2013年第3季,,,              3826596,              3826596,,,              3495849,              3495849,                330747,                              0,                              0,                330747,,,                104191,,                 60856,,                 21424,                186471,                144276,,,                  3553,                  3553,,                  2282,,                  1302,,                -30106,                -25573,                118703,,                 30275,                 88428,                 88428,,,,,,,                -11989,                 76439,,                 92621,                 -4193,,                 81021,                 -4582,,                              0.29,                              0.29,,                              0.29,                              0.29,                -13964,                   -323,,                 -2298,,
2029,2013年第2季,,,              3430417,              3430417,,,              3041273,              3041273,                389144,                              0,,                389144,,,                 93298,,                 56318,,                 20777,                170393,                218751,,,                  5407,                  5407,,                  6106,,                    557,,                -35670,                -24714,                194037,,                 39318,                154719,                154719,,,,,,,                 16441,                171160,,                156860,                 -2141,,                172320,                 -1160,,                              0.49,                              0.49,,                              0.49,                              0.49,                 21338,                 -1462,,                  3435,,
2029,2013年度,,,             15175038,             15175038,,,             13559569,             13559569,              1615469,,                              0,              1615469,,,                459998,,                248374,,                 87613,                795985,                819484,,,                 15706,                 15706,,                 48681,,                  3649,,               -213515,               -152777,                666707,,                153931,                512776,                512776,,,,,,,                 72147,                584923,,                511982,                    794,,                581390,                  3533,,                              1.59,                              1.59,,                              1.59,                              1.59,                 64346,                    632,                 21171,                 14002,,
2029,2013年07月01日至2013年09月30日,,,              3826596,              3826596,,,              3495849,              3495849,                330747,,,                330747,,,                104191,,                 60856,,                 21424,                186471,                144276,,,                  3553,                  3553,,                  2282,,                  1302,,                -30106,                -25573,                118703,,                 30275,                 88428,                 88428,,,,,,,                -11989,                 76439,,                 92621,                 -4193,,                 81021,                 -4582,,                              0.29,                              0.29,,                              0.29,                              0.29,                   -697,                   -323,,                 -2298,,                -13267
2029,2013年04月01日至2013年06月30日,,,              3430417,              3430417,,,              3041273,              3041273,                389144,,,                389144,,,                 93298,,                 56318,,                 20777,                170393,                218751,,,                  5407,                  5407,,                  6106,,                    557,,                -35670,                -24714,                194037,,                 39318,                154719,                154719,,,,,,,                 16441,                171160,,                156860,                 -2141,,                172320,                 -1160,,                              0.49,                              0.49,,                              0.49,                              0.49,                  1754,                 -1462,,                  3435,,                 19584
2029,2013年01月01日至2013年12月31日,,,             15175038,             15175038,,,             13559569,             13559569,              1615469,,,              1615469,,,                459998,,                248374,,                 87613,                795985,                819484,,,                 15706,                 15706,,                 48681,,                  3649,,               -213515,               -152777,                666707,,                153931,                512776,                512776,,,,,,,                 72147,                584923,,                511982,                    794,,                581390,                  3533,,                              1.59,                              1.59,,                              1.59,                              1.59,                 64346,                    632,                 21171,                 14002,,
2029,2013年01月01日至2013年09月30日,,,             11058151,             11058151,,,              9901467,              9901467,              1156684,                              0,                              0,              1156684,,,                330415,,                185088,,                 63332,                578835,                577849,,,                 12075,                 12075,,                 36696,,                  2428,,                -81954,                -35611,                542238,,                109343,                432895,                432895,,,,,,,                 37409,                470304,,                436471,                 -3576,,                471924,                 -1620,,                              1.36,                              1.36,,                              1.36,                              1.36,                 45806,                   -999,,                  7398,,
2029,2013年01月01日至2013年06月30日,,,              7231555,              7231555,,,              6405618,              6405618,                825937,                              0,,                825937,,,                226224,,                124232,,                 41908,                392364,                433573,,,                  8522,                  8522,,                 34414,,                  1126,,                -51848,                -10038,                423535,,                 79068,                344467,                344467,,,,,,,                 49398,                393865,,                343850,                    617,,                390903,                  2962,,                              1.07,                              1.07,,                              1.07,                              1.07,                 59770,                   -676,,                  9696,,
2029,2013年01月01日至2013年03月31日,,,              3801138,              3801138,,,              3364345,              3364345,                436793,,,                436793,,,                132926,,                 67914,,                 21131,                221971,                214822,,,                  3115,                  3115,,                 28308,,                    569,,                -16178,                 14676,                229498,,                 39750,                189748,                189748,,,,,,,                 32957,                222705,,                186990,                  2758,,                218583,                  4122,,                              0.58,                              0.58,,                              0.58,                              0.58,                 38432,                    786,,                  6261,,
2029,2012年07月01日至2012年09月30日,,,              3429794,              3429794,,,              3303776,              3303776,                126018,,,                126018,,,                104213,,                 68540,,                 21702,                194455,                -68437,,,                  2370,                  2370,,                -12877,,                    646,,                 -5088,                -16241,                -84678,,                -20519,                -64159,                -64159,,,,,,,                -11885,                -76044,,                -64221,                     62,,                -75093,                   -951,,                             -0.20,                             -0.20,,                             -0.20,                             -0.20,                 -1809,                   -640,,                 -2060,,                -11496
2029,2012年04月01日至2012年06月30日,,,              4063565,              4063565,,,              3749677,              3749677,                313888,,,                313888,,,                136667,,                 70685,,                 20143,                227495,                 86393,,,                  2936,                  2936,,                 11674,,                    629,,                 -3091,                 10890,                 97283,,                 13349,                 83934,                 83934,,,,,,,                  3596,                 87530,,                 81931,                  2003,,                 85227,                  2303,,                              0.26,                              0.26,,                              0.25,                              0.25,                    535,                    717,,                    516,,                  2860
