證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 減損損失,　　　　 其他減損損失,　　　　 減損損失合計,　　　 利息費用,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨成本,　　　　 銀行存款利息,　 停業單位損益,　　 停業單位損益合計,　　 稀釋繼續營業單位淨利（淨損）
1522,2014年第3季,,,              4516083,              4516083,,,              3563268,              3563268,                952815,                              0,                    514,                953329,,,                280314,,                297496,,                154889,                732699,                220630,,,,                  1387,                  2279,                    709,                 18664,                 23039,,                              0,                    396,                 17425,                              0,,                    266,                  3065,                 -1798,,                 45626,,                  7347,                -17038,                203592,,                 38502,                165090,                165090,,                 51266,                 -7375,,,                 -4718,                  4719,                 34454,                199544,,                129767,                 35323,,                145429,                 54115,,                              0.42,                              0.00,                              0.42,,,                              0,,                 16288,                 16288,,,,,,,,,,,
1522,2014年第2季,,,              4595749,              4595749,,,              3756286,              3756286,                839463,                    -18,                    536,                840017,,,                283033,,                289601,,                138076,                710710,                129307,,,,                  3549,                  2246,                              0,                 99851,                105646,,                 75356,                  7053,                              0,                 11785,                 18666,                              0,,                 16016,,                 47812,,                 11816,                 85666,                214973,,                 93987,                120986,                120986,,                -67228,                -23626,,,                 -3349,                 -8830,                -85373,                 35613,,                 38929,                 82057,,                -27808,                 63421,,                              0.12,                              0.00,                              0.12,,,                 59512,,,,                 47812,,,,,,,,,,
1522,2014年度,,,             18762443,             18762443,,,             15103174,             15103174,              3659269,                              0,                101416,              3760685,,,              1195214,,              1223512,,                609421,              3028147,                732538,,,,                 10513,                  7332,                  1884,                217180,                236909,,                 75195,                 42452,                155377,                              0,                 65435,                              0,                 14557,                193032,,                188595,,                 29952,                271298,              1003836,,                236966,                766870,                766870,,                164988,                 -1331,                  4872,,                  6389,                 20180,                154738,                921608,,                512023,                254847,,                609220,                312388,,                              1.64,                              0.00,                              1.64,,                              1.64,,,,,,,,,,,,,,,
1522,2014年01月01日至2014年09月30日,,,             13770024,             13770024,,,             11179310,             11179310,              2590714,                              0,                100917,              2691631,,,                865843,,                872908,,                411882,              2150633,                540998,,,,                  5724,                  5741,                    709,                152762,                164936,,                 74971,                 42450,                 31848,                    526,,                              0,                              0,                107799,,                142345,,                 31282,                161672,                702670,,                180114,                522556,                522556,,                  7014,                  1381,,,                 -2781,                   -317,                  5931,                528487,,                323604,                198952,,                323436,                205051,,                              1.04,                              0.00,                              1.04,,,                              0,,                 41996,                 41996,,,,,,,,,,,
1522,2014年01月01日至2014年06月30日,,,              9253941,              9253941,,,              7616042,              7616042,              1637899,                              0,                100403,              1738302,,,                585529,,                575412,,                256993,              1417934,                320368,,,,                  4337,                  3462,                              0,                134098,                141897,,                 75237,                 42054,                 14423,                  3591,                 25708,                              0,,                109597,,                 96719,,                 23935,                178710,                499078,,                141612,                357466,                357466,,                -44252,                  8756,,,                  1937,                 -5036,                -28523,                328943,,                193837,                163629,,                178007,                150936,,                              0.62,                              0.00,                              0.62,,,                              0,,,,                 96719,,,,,,,,,,
1522,2014年01月01日至2014年03月31日,,,              4658192,              4658192,,,              3859756,              3859756,                798436,                     18,                 99867,                898285,,,                302496,,                285811,,                118917,                707224,                191061,,,,                    788,                  1216,,                 34247,                 36251,,                   -118,                 35000,                 73935,                 -8194,                  7042,,,                 93581,,                 48907,,                 12119,                 93044,                284105,,                 47625,                236480,                236480,,                 22976,                 32382,,,                  5286,                  3794,                 56850,                293330,,                154908,                 81572,,                205815,                 87515,,                              0.50,                              0.00,                              0.50,,,,,,,                 48907,,,,,,,,,,
1522,2013年第3季,,,              4107749,              4107749,,,              3385455,              3385455,                722294,                 -6126,                    544,                728964,,,                256110,,                304045,,                139748,                699903,                 29061,,,,                  1993,                  1215,                  1199,                  7302,                 11709,,                              0,                              0,                              0,                 10563,,                  1728,                              0,                -32191,,                 42813,,                 26586,                -36709,                 -7648,,                  2660,                -10308,                -10308,,                -15089,                  3551,,,                -51399,                -10068,                -52869,                -63177,,                 -3170,                 -7138,,                -48773,                -14404,,                             -0.01,                              0.00,                             -0.01,,,                 30644,,                 10382,                 10382,,,,,,,,,,,
1522,2013年第2季,,,              4057455,              4057455,,,              3343653,              3343653,                713802,                  1344,                    547,                713005,,,                205387,,                247109,,                117558,                570054,                142951,,,,                  1431,                  1216,                    392,                 10384,                 13423,,                              0,                              0,                 16266,                  1793,                 10381,                  1435,,                  6243,,                 42384,,                 24546,                  1828,                144779,,                 20124,                124655,                124655,,                -84839,                 -5298,,,                 -2761,                 -4151,                -88747,                 35908,,                 81167,                 43488,,                 55602,                -19694,,                              0.26,                              0.00,                              0.26,,,                              0,,,,                 42384,,,,,,,,,,
1522,2013年度,,,             16496008,             16496008,,,             13575827,             13575827,              2920181,                 99360,                107997,              2928818,,,                808392,,              1119274,,                534493,              2462159,                466659,,,,                  8326,                  4864,                  2766,                 61032,                 76988,,                              0,                              0,                 88731,                 13021,                131036,                 10778,                              0,                -40062,,                170869,,                -23245,               -157188,                309471,,                110020,                199451,                199451,,                139733,                 15919,                 11537,,                -36085,                 13995,                117109,                316560,,                 63383,                136068,,                147633,                168927,,                              0.20,                              0.00,                              0.20,,                              0.20,,,,,,,,,,,,,,,
1522,2013年07月01日至2013年09月30日,,,              4107749,              4107749,,,              3385455,              3385455,                722294,                 -6126,                    544,                728964,,,                256110,,                304045,,                139748,                699903,                 29061,,,,                  1993,                  1215,                  1199,                  7302,                 11709,,                 -1728,,                -30644,                 10563,                 10382,,,                -32191,,                 42813,,                 26586,                -36709,                 -7648,,                  2660,                -10308,                -10308,,                -15089,                  3551,,,                -51399,                -10068,                -52869,                -63177,,                 -3170,                 -7138,,                -48773,                -14404,,,,                             -0.01,,,,,,,                 42813,,              4107749,              4107749,                              0,                              0,              3385455,                  1993,,                              0,
