證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2376,2015年第3季,,             14003491,,             11323811,              2679680,              2679680,,,              1141896,,                459829,,                435278,              2037003,                642677,,,                231885,,                117850,,                    350,,                 -8182,                341203,                983880,,                166265,                817615,                817615,,,                248819,                -36123,                212696,                212696,              1030311,,                817678,                    -63,,              1030374,                    -63,,                              1.30,                              1.30,,                              1.28,                              1.28,,,,
2376,2015年第2季,,             11696777,,              9820096,              1876681,              1876681,,,              1059615,,                254856,,                382569,              1697040,                179641,,,                396219,,                -64140,,                    281,,                -15634,                316164,                495805,,                140216,                355589,                355589,,,                -66289,                -41591,               -107880,               -107880,                247709,,                355562,                     27,,                247682,                     27,,                              0.57,                              0.57,,                              0.56,                              0.56,,,,
2376,2015年01月01日至2015年09月30日,,             38607020,,             31560377,              7046643,              7046643,,,              3429273,,              1239869,,              1205291,              5874433,              1172210,,,                871979,,                 28359,,                  1013,,                -32170,                867155,              2039365,,                441890,              1597475,              1597475,,,                109943,                -93284,                 16659,                 16659,              1614134,,              1597108,                    367,,              1613767,                    367,,                              2.54,                              2.54,,                              2.48,                              2.48,,,,
2376,2015年01月01日至2015年06月30日,,             24603529,,             20236566,              4366963,              4366963,,,              2287377,,                780040,,                770013,              3837430,                529533,,,                640094,,                -89491,,                    663,,                -23988,                525952,              1055485,,                275625,                779860,                779860,,,               -138876,                -57161,               -196037,               -196037,                583823,,                779430,                    430,,                583393,                    430,,                              1.24,                              1.24,,                              1.22,                              1.22,,,,
2376,2015年01月01日至2015年03月31日,,             12906752,,             10416470,              2490282,              2490282,,,              1227762,,                525184,,                387444,              2140390,                349892,,,                243875,,                -25351,,                    382,,                 -8354,                209788,                559680,,                135409,                424271,                424271,,,                -72587,                -15570,                -88157,                -88157,                336114,,                423868,                    403,,                335711,                    403,,                              0.67,                              0.67,,                              0.66,                              0.66,,,,
2376,2014年第3季,,             13725410,,             11452152,              2273258,              2273258,,,                853008,,                455132,,                470898,              1779038,                494220,,,                207307,,                 87950,,                    736,,                 10218,                304739,                798959,,                114748,                684211,                684211,,,                139835,                -44536,                 95299,                 95299,                779510,,                683907,                    304,,                779206,                    304,,                              1.09,                              1.09,,                              1.07,                              1.07,,,,
2376,2014年第2季,,             12468181,,             10278843,              2189338,              2189338,,,                857614,,                437466,,                490879,              1785959,                403379,,,                209348,,                 40395,,                  8386,,                 -1526,                239831,                643210,,                149644,                493566,                493566,,,                -99887,                 22704,                -77183,                -77183,                416383,,                493146,                    420,,                415963,                    420,,                              0.79,                              0.79,,                              0.79,                              0.79,,,,
2376,2014年度,,             54541687,,             45073304,              9468383,              9468383,,,              4184633,,              1662609,,              1815605,              7662847,              1805536,,,                793316,,                355324,,                 18478,,                  8648,              1138810,              2944346,,                544541,              2399805,              2399805,,,,,,                177076,              2576881,,              2397101,                  2704,,              2574177,                  2704,,                              3.82,                              3.82,,                              3.74,                              3.74,                206937,                -38070,                  9889,                  1680
2376,2014年01月01日至2014年09月30日,,             41486722,,             33989477,              7497245,              7497245,,,              3086842,,              1315371,,              1512800,              5915013,              1582232,,,                609816,,                139774,,                 17723,,                  1087,                732954,              2315186,,                412141,              1903045,              1903045,,,                 10298,                -38982,                -28684,                -28684,              1874361,,              1901891,                  1154,,              1873207,                  1154,,                              3.03,                              3.03,,                              2.97,                              2.97,,,,
2376,2014年01月01日至2014年06月30日,,             27761312,,             22537325,              5223987,              5223987,,,              2233834,,                860239,,              1041902,              4135975,              1088012,,,                402509,,                 51824,,                 16987,,                 -9131,                428215,              1516227,,                297393,              1218834,              1218834,,,               -129537,                  5554,               -123983,               -123983,              1094851,,              1217984,                    850,,              1094001,                    850,,                              1.94,                              1.94,,                              1.91,                              1.91,,,,
2376,2014年01月01日至2014年03月31日,,             15293131,,             12258482,              3034649,              3034649,,,              1376220,,                422773,,                551023,              2350016,                684633,,,                193161,,                 11429,,                  8601,,                 -7605,                188384,                873017,,                147749,                725268,                725268,,,                -29650,                -17150,                -46800,                -46800,                678468,,                724838,                    430,,                678038,                    430,,                              1.16,                              1.16,,                              1.13,                              1.13,,,,
2376,2013年第3季,,             14095169,,             11226597,              2868572,              2868572,,,              1104155,,                449869,,                597478,              2151502,                717070,,,                170451,,                 89687,,                  8715,,                  5511,                256934,                974004,,                 77763,                896241,                896241,,,,,,                -65032,                831209,,                895775,                    466,,                830743,                    466,,                              1.43,                              1.43,,                              1.41,                              1.41,                -56573,                 -8459,,
2376,2013年第2季,,             11551305,,              9397142,              2154163,              2154163,,,                934859,,                387419,,                474263,              1796541,                357622,,,                121823,,                119915,,                  4064,,                   -580,                237094,                594716,,                139492,                455224,                455224,,,,,,                 81690,                536914,,                454142,                  1082,,                535832,                  1082,,                              0.73,                              0.73,,                              0.72,                              0.72,                 88505,                 -6815,,
