證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入合計,　　　　 銷貨收入,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　　 銷貨退回,　　　 銷貨折讓,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 薪資支出,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額
2421,2015年第3季,,,              2762364,              2762364,,,              2178378,              2178378,                583986,                583986,,,                130058,,                143397,,                147099,                420554,                163432,,,                 25974,,                 42099,,                  1882,                 66191,                229623,,                 51819,                177804,                177804,,,                 75983,                 12265,                 63718,                 63718,                241522,,                175600,                  2204,,                238743,                  2779,,                              0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2015年第2季,,,              2427405,              2427405,,,,              1949460,                477945,                477945,,,                121251,,                130276,,                142356,                393883,                 84062,,,                 17845,,                  3700,,                  1483,                 20062,                104124,,                 29672,                 74452,                 74452,,,                -23619,                 -3765,                -19854,                -19854,                 54598,,                 72896,                  1556,,                 53263,                  1335,,                              0.29,,              2427405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2015年01月01日至2015年09月30日,,,              7466077,              7466077,,,              6005094,              6005094,              1460983,              1460983,,,                372836,,                402120,,                419553,              1194509,                266474,,,                 72845,,                 38774,,                  5182,                106437,                372911,,                 91114,                281797,                281797,,,                 -1440,                   -251,                 -1189,                 -1189,                280608,,                276492,                  5305,,                275298,                  5310,,                              1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2015年01月01日至2015年06月30日,,,              4703713,              4703713,,,,              3826716,                876997,                876997,,,                242778,,                258723,,                272454,                773955,                103042,,,                 46871,,                 -3325,,                  3300,                 40246,                143288,,                 39295,                103993,                103993,,,                -77423,                -12516,                -64907,                -64907,                 39086,,                100892,                  3101,,                 36555,                  2531,,                              0.40,,              4703713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2015年01月01日至2015年03月31日,,,              2276308,              2276308,,,,              1877256,                399052,                399052,,,                121527,,                128447,,                130098,                380072,                 18980,,,                 29026,,                 -7025,,                  1817,                 20184,                 39164,,                  9623,                 29541,                 29541,,,                -53804,                 -8751,                -45053,                -45053,                -15512,,                 27996,                  1545,,                -16708,                  1196,,                              0.11,,              2276308,              2276308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2014年第3季,,,              2521731,              2521731,,,              1991177,              1991177,                530554,                530554,,,                120338,,                142211,,                127228,                389777,                140777,,,                 18855,,                 -3367,,                  2124,                 13364,                154141,,                 34709,                119432,                119432,,,                 42027,                  6683,                 35344,                 35344,                154776,,                117739,                  1693,,                152676,                  2100,,                              0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2014年第2季,,,              2506927,              2506927,,,,              1959916,                547011,                547011,,,                121414,,                138979,,                135371,                395764,                151247,,,                 16196,,                 -4389,,                  1724,                 10083,                161330,,                 35332,                125998,                125998,,,                -57051,                 -9222,                -47829,                -47829,                 78169,,                124153,                  1845,,                 76744,                  1425,,                              0.49,,              2506927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2014年度,,,              9533345,              9533345,,,,              7579980,              1953365,              1953365,,,                462357,,                563646,,                509855,              1535858,                417507,,,                101878,,                 13818,,                  7884,                107812,                525319,,                139069,                386250,                386250,,,,,,                118164,                504414,,                379386,                  6864,,                496280,                  8134,,                              1.51,,              9533345,              9533345,,                              0,                143840,                 -3133,,                              0,                 22543,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2014年01月01日至2014年09月30日,,,              7045799,              7045799,,,              5566766,              5566766,              1479033,              1479033,,,                345144,,                416400,,                376748,              1138292,                340741,,,                 62497,,                 -1758,,                  5860,                 54879,                395620,,                 86565,                309055,                309055,,,                 22998,                  3719,                 19279,                 19279,                328334,,                304376,                  4679,,                323408,                  4926,,                              1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2014年01月01日至2014年06月30日,,,              4524068,              4524068,,,,              3575589,                948479,                948479,,,                224806,,                274189,,                249520,                748515,                199964,,,                 43642,,                  1609,,                  3736,                 41515,                241479,,                 51856,                189623,                189623,,,                -19029,                 -2964,                -16065,                -16065,                173558,,                186637,                  2986,,                170732,                  2826,,                              0.74,,              4524068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
