證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1475,2015年第3季,,                 59124,,                 63120,                 -3996,                 -3996,,,                  4084,,                  6684,,                  1134,                 11902,                -15898,,,                  3865,,                  6362,,                  3123,,                              0,                  7104,                 -8794,,                     29,                 -8823,                 -8823,,,                 -5731,                 -5731,                 -5731,                -14554,,                 -8338,                   -485,,                 -9805,                 -4749,,                             -0.16,                             -0.16,,,
1475,2015年第2季,,                 59506,,                 62276,                 -2770,                 -2770,,,                  3836,,                  7954,,                  1088,                 12878,                -15648,,,                  3794,,                -11248,,                  3467,,                              0,                -10921,                -26569,,                     57,                -26626,                -26626,,,                  1457,                  1457,                  1457,                -25169,,                -15012,                -11614,,                -14624,                -10545,,                             -0.29,                             -0.29,,,
1475,2015年01月01日至2015年09月30日,,                167032,,                176090,                 -9058,                 -9058,,,                 12914,,                 21640,,                  3230,                 37784,                -46842,,,                 11015,,                -12561,,                  9148,,                              0,                -10694,                -57536,,                   -112,                -57424,                -57424,,,                 -2960,                 -2960,                 -2960,                -60384,,                -37776,                -19648,,                -38510,                -21874,,                             -0.72,                             -0.72,,,
1475,2015年01月01日至2015年06月30日,,                107908,,                112970,                 -5062,                 -5062,,,                  8830,,                 14956,,                  2096,                 25882,                -30944,,,                  7150,,                -18923,,                  6025,,                              0,                -17798,                -48742,,                   -141,                -48601,                -48601,,,                  2771,                  2771,                  2771,                -45830,,                -29438,                -19163,,                -28705,                -17125,,                             -0.56,                             -0.56,,,
1475,2015年01月01日至2015年03月31日,,                 48402,,                 50694,                 -2292,                 -2292,,,                  4994,,                  7002,,                  1008,                 13004,                -15296,,,                  3356,,                 -7675,,                  2558,,                              0,                 -6877,                -22173,,                   -198,                -21975,                -21975,,,                  1314,                  1314,                  1314,                -20661,,                -14426,                 -7549,,                -14081,                 -6580,,                             -0.27,                             -0.27,,,
1475,2014年第3季,,                 56441,,                 69477,                -13036,                -13036,,,                  4043,,                  6357,,                  1186,                 11586,                -24622,,,                  3909,,                  4501,,                  2836,,                              0,                  5574,                -19048,,                     23,                -19071,                -19071,,,                 -2490,                 -2490,                 -2490,                -21561,,                -10861,                 -8210,,                -11528,                -10033,,                             -0.21,                             -0.21,,,
1475,2014年第2季,,                 53324,,                 63401,                -10077,                -10077,,,                  3822,,                  6993,,                  1522,                 12337,                -22414,,,                  5074,,                 -4789,,                  2663,,                              0,                 -2378,                -24792,,                     27,                -24819,                -24819,,,                  1647,                  1647,                  1647,                -23172,,                -17256,                 -7563,,                -16830,                 -6342,,                             -0.33,                             -0.33,,,
1475,2014年度,,                221131,,                244325,                -23194,                -23194,,,                 17040,,                 27218,,                  4843,                 49101,                -72295,,,                 16480,,                 -6245,,                 11278,,                     29,                 -1014,                -73309,,                    -67,                -73242,                -73242,,,,,                 -3666,                -76908,,                -41366,                -31876,,                -42060,                -34848,,                             -0.79,                             -0.79,                 -4107,                    531,                     90
1475,2014年01月01日至2014年09月30日,,                154148,,                188340,                -34192,                -34192,,,                 11997,,                 20273,,                  3863,                 36133,                -70325,,,                 13500,,                  1943,,                  8229,,                     29,                  7243,                -63082,,                    -30,                -63052,                -63052,,,                   -697,                   -697,                   -697,                -63749,,                -38716,                -24336,,                -38975,                -24774,,                             -0.74,                             -0.74,,,
1475,2014年01月01日至2014年06月30日,,                 97707,,                118863,                -21156,                -21156,,,                  7954,,                 13916,,                  2677,                 24547,                -45703,,,                  9591,,                 -2558,,                  5393,,                     29,                  1669,                -44034,,                    -53,                -43981,                -43981,,,                  1793,                  1793,                  1793,                -42188,,                -27855,                -16126,,                -27447,                -14741,,                             -0.53,                             -0.53,,,
1475,2014年01月01日至2014年03月31日,,                 44383,,                 55462,                -11079,                -11079,,,                  4132,,                  6923,,                  1155,                 12210,                -23289,,,                  4517,,                  2231,,                  2730,,                     29,                  4047,                -19242,,                    -80,                -19162,                -19162,,,                    146,                    146,                    146,                -19016,,                -10599,                 -8563,,                -10617,                 -8399,,                             -0.20,                             -0.20,,,
1475,2013年第3季,,                 58273,,                 74373,                -16100,                -16100,,,                  3583,,                  7418,,                  1192,                 12193,                -28293,,,                  3792,,                -14208,,                  4245,,                     50,                -14611,                -42904,,                      1,                -42905,                -42905,,,,,                   -214,                -43119,,                -18924,                -23981,,                -19018,                -24101,,                             -0.36,                             -0.36,                   -214,,
1475,2013年第2季,,                 63069,,                 73334,                -10265,                -10265,,,                  3858,,                  7793,,                  1314,                 12965,                -23230,,,                  3126,,                  3698,,                  6772,,                              0,                     52,                -23178,,                              0,                -23178,                -23178,,,,,                 -3976,                -27154,,                -15675,                 -7503,,                -18036,                 -9118,,                             -0.30,                             -0.30,                 -3976,,
1475,2013年度,,                221673,,                272314,                -50641,                -50641,,,                 15632,,                 31204,,                  5753,                 52589,               -103230,,,                 14890,,                -46561,,                 20465,,                     46,                -52090,               -155320,,                    -70,               -155250,               -155250,,,,,                -12722,               -167972,,                -77527,                -77723,,                -84686,                -83286,,                             -1.48,                             -1.48,                -12772,                     60,                     10
1475,2013年07月01日至2013年09月30日,,                 58273,,                 74373,                -16100,                -16100,,,                  3583,,                  7418,,                  1192,                 12193,                -28293,,,                  3792,,                -14208,,                  4245,,                     50,                -14611,                -42904,,                              0,                -42904,                -42904,,,,,                   -214,                -43118,,                -18923,                -23981,,                -19017,                -24101,,                             -0.36,                             -0.36,                   -214,,
1475,2013年04月01日至2013年06月30日,,                 63069,,                 73334,                -10265,                -10265,,,                  3858,,                  7793,,                  1314,                 12965,                -23230,,,                  3126,,                  3698,,                  6772,,,                     52,                -23178,,                              0,                -23178,                -23178,,,,,                 -3976,                -27154,,                -15675,                 -7503,,                -18036,                 -9118,,                             -0.30,                             -0.30,                 -3976,,
