證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 其他減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 什項支出,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1806,2015年第3季,,,,              1648831,                 21831,                 12321,              1614679,,,                  6495,                  6495,                  6495,              1621174,,,              1075853,,                  6796,                  6796,              1082649,                538525,                538525,,,                256202,,                127357,,                  8400,                391959,                146566,,,                  6792,,,                              0,                 11143,                 11143,                -11143,,                 49899,,                   -247,                -54497,                 92069,,                 35677,                 56392,                 56392,,,                163337,                   -168,,                 -3808,                159361,                159361,                215753,,                 56392,                              0,,                215753,                              0,,                              0.13,,                              0.00,,,,,,,
1806,2015年第2季,,,,              1738147,                 27933,                 57897,              1652317,,,                  2843,                  2843,                  2843,              1655160,,,              1150601,,                    196,                    196,              1150797,                504363,                504363,,,                284757,,                125729,,                  5858,                416344,                 88019,,,                  6434,,,,,,                 -8294,,                 46896,,                    -82,                -48838,                 39181,,                 48904,                 -9723,                 -9723,,,                 -3900,                -18546,,,                -22446,                -22446,                -32169,,                 -9723,                              0,,                -32169,                              0,,                             -0.02,,,,,,,,,
1806,2015年01月01日至2015年09月30日,,,,              4677412,                 69951,                129830,              4477631,,,                  9338,                  9338,                  9338,              4486969,,,              3083553,,                  6992,                  6992,              3090545,              1396424,              1396424,,,                792248,,                369248,,                 23741,              1185237,                211187,,,                 17806,,,                              0,                 21193,                 21193,                -21193,,                143760,,                   -388,               -147535,                 63652,,                111373,                -47721,                -47721,,,                168321,                 -1848,,                -19802,                146671,                146671,                 98950,,                -47721,                              0,,                 98950,                              0,,                             -0.11,,                              0.00,,,,,,,
1806,2015年01月01日至2015年06月30日,,,,              3028581,                 48120,                117509,              2862952,,,                  2843,                  2843,                  2843,              2865795,,,              2007700,,                    196,                    196,              2007896,                857899,                857899,,,                536046,,                241891,,                 15341,                793278,                 64621,,,                 11014,,,,,,                -10050,,                 93861,,                   -141,                -93038,                -28417,,                 75696,               -104113,               -104113,,,                  4984,                -17674,,,                -12690,                -12690,               -116803,,               -104113,                              0,,               -116803,                              0,,                             -0.24,,,,,,,,,
1806,2015年01月01日至2015年03月31日,,,,              1290434,                 20187,                 59612,              1210635,,,                              0,                              0,                              0,              1210635,,,                857099,,                              0,                              0,                857099,                353536,                353536,,,                251289,,                116162,,                  9483,                376934,                -23398,,,                  4580,,,,,,                 -1756,,                 46965,,                    -59,                -44200,                -67598,,                 26792,                -94390,                -94390,,,                  8884,                    872,,,                  9756,                  9756,                -84634,,                -94390,                              0,,                -84634,                              0,,                             -0.22,,,,,,,,,
1806,2014年第3季,,,,              1964174,                 29934,                 77250,              1856990,,,                  6259,                  6259,                  6259,              1863249,,,              1214082,,                  9143,                  9143,              1223225,                640024,                640024,,,                283722,,                168327,,                  5722,                457771,                182253,,,                  5748,,,                488493,                 17862,                506355,               -506355,,                 44314,,                  1825,               -543096,               -360843,,                 34696,               -395539,               -395539,,,                131439,                 -5880,,                 -1523,                124036,                124036,               -271503,,               -395539,                              0,,               -271503,                              0,,                             -0.90,,                              0.00,,,,,,,
1806,2014年第2季,,,,              2067891,                 40776,                116357,              1910758,,,                  4072,                  4072,                  4072,              1914830,,,              1262177,,                  3675,                  3675,              1265852,                648978,                648978,,,                284035,,                123151,,                  5158,                412344,                236634,,,                  5878,,,,,,                  6108,,                 45478,,                    -67,                -33559,                203075,,                 62541,                140534,                140534,,,                -93957,                -15137,,,               -109094,               -109094,                 31440,,                140534,                              0,,                 31440,                              0,,                              0.32,,,,,,,,,
1806,2014年度,,,,              7418267,                112292,                364619,              6941356,,,                 21996,                 21996,                 21996,              6963352,,,              4848668,,                 25838,                 25838,              4874506,              2088846,              2088846,,,              1202548,,                552298,,                 22851,              1777697,                311149,,,                 28473,,,,,                491831,               -479086,,                173964,,                  1610,               -622967,               -311818,,                189190,               -501008,               -501008,,,,,,,,                 78964,               -422044,,               -501008,                              0,,               -422044,                              0,,                             -1.15,,                              0.00,                -12745,                117997,                 -4200,                 -9243,,                -25590,                              0
1806,2014年01月01日至2014年09月30日,,,,              5466835,                 84964,                302489,              5079382,,,                 14389,                 14389,                 14389,              5093771,,,              3455653,,                 16740,                 16740,              3472393,              1621378,              1621378,,,                810610,,                411470,,                 14922,              1237002,                384376,,,                 16232,,,                488493,                  7921,                496414,               -496414,,                128220,,                  1702,               -606700,               -222324,,                121745,               -344069,               -344069,,,                 21112,                 -5208,,                -22086,                 -6182,                 -6182,               -350251,,               -344069,                              0,,               -350251,                              0,,                             -0.79,,                              0.00,,,,,,,
1806,2014年01月01日至2014年06月30日,,,,              3502661,                 55030,                225239,              3222392,,,                  8130,                  8130,                  8130,              3230522,,,              2241571,,                  7597,                  7597,              2249168,                981354,                981354,,,                526888,,                243143,,                  9200,                779231,                202123,,,                 10484,,,,,,                  9941,,                 83906,,                   -123,                -63604,                138519,,                 87049,                 51470,                 51470,,,               -110327,                -19891,,,               -130218,               -130218,                -78748,,                 51470,                              0,,                -78748,                              0,,                              0.12,,,,,,,,,
1806,2014年01月01日至2014年03月31日,,,,              1434770,                 14254,                108882,              1311634,,,                  4058,                  4058,                  4058,              1315692,,,                979394,,                  3922,                  3922,                983316,                332376,                332376,,,                242853,,                119992,,                  4042,                366887,                -34511,,,                  4606,,,,,,                  3833,,                 38428,,                    -56,                -30045,                -64556,,                 24508,                -89064,                -89064,,,                -16370,                 -4754,,,                -21124,                -21124,               -110188,,                -89064,                              0,,               -110188,                              0,,                             -0.20,,,,,,,,,
1806,2013年第3季,,,,              2048553,                 22849,                118899,              1906805,,,                 65630,                 65630,                 65630,              1972435,,,              1279540,,                 57155,                 57155,              1336695,                635740,                635740,,,                310923,,                115242,,                  4240,                430405,                205335,,,                  5012,,,,,                -19731,                 19731,,                 38270,,                   -367,                -13894,                191441,,                 27540,                163901,                163901,,,,,,,,                -33104,                130797,,                163584,                    317,,                130480,                    317,,                              0.37,,                              0.37,,                -54560,                   -630,,,                 22086,                              0
