證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
1720,2015年第3季,,                813827,,                449262,                364565,                364565,,,                148875,,                 69708,,                 53555,                272138,                 92427,,,                 20783,,                 23107,,                  1045,,                -11335,                 31510,                123937,,                 24082,                 99855,                 99855,,,                 11584,                  2354,                 13938,                 13938,                113793,,                 94226,                  5629,,                108270,                  5523,,                              0.53,                              0.53,,                              0.53,                              0.53,,,,,,,,
1720,2015年第2季,,                784594,,                431880,                352714,                352714,,,                140022,,                 58047,,                 53033,                251102,                101612,,,                 34100,,                 -5133,,                  1124,,                 -4388,                 23455,                125067,,                 43899,                 81168,                 81168,,,                 -4858,                 -8914,                -13772,                -13772,                 67396,,                 74245,                  6923,,                 60438,                  6958,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,,,,,
1720,2015年01月01日至2015年09月30日,,              2404995,,              1300783,              1104212,              1104212,,,                448759,,                186422,,                159252,                794433,                309779,,,                 85767,,                  9928,,                  3005,,                -20563,                 72127,                381906,,                 93733,                288173,                288173,,,                  3452,                    605,                  4057,                  4057,                292230,,                271380,                 16793,,                275125,                 17105,,                              1.52,                              1.52,,                              1.52,                              1.52,,,,,,,,
1720,2015年01月01日至2015年06月30日,,              1591168,,                851521,                739647,                739647,,,                299884,,                116714,,                105697,                522295,                217352,,,                 64984,,                -13179,,                  1960,,                 -9228,                 40617,                257969,,                 69651,                188318,                188318,,,                 -8132,                 -1749,                 -9881,                 -9881,                178437,,                177154,                 11164,,                166855,                 11582,,                              0.99,                              0.99,,                              0.99,                              0.99,,,,,,,,
1720,2015年01月01日至2015年03月31日,,                806574,,                419641,                386933,                386933,,,                159862,,                 58667,,                 52664,                271193,                115740,,,                 30884,,                 -8046,,                    836,,                 -4840,                 17162,                132902,,                 25752,                107150,                107150,,,                 -3274,                  7165,                  3891,                  3891,                111041,,                102909,                  4241,,                106417,                  4624,,                              0.58,                              0.58,,                              0.58,                              0.58,,,,,,,,
1720,2014年第3季,,                808815,,                460348,                348467,                348467,,,                123896,,                 70871,,                 66009,                260776,                 87691,,,                 30771,,                 11074,,                  1779,,                 -5722,                 34344,                122035,,                 20718,                101317,                101317,,,                  6472,                -31960,                -25488,                -25488,                 75829,,                 97878,                  3439,,                 72390,                  3439,,                              0.55,                              0.55,,                              0.55,                              0.55,,,,,,,,
1720,2014年第2季,,                813631,,                452295,                361336,                361336,,,                118859,,                 65931,,                 58843,                243633,                117703,,,                 17534,,                 -4843,,                  1656,,                 -1479,                  9556,                127259,,                 15385,                111874,                111874,,,                 -4499,                 35715,                 31216,                 31216,                143090,,                106481,                  5393,,                137697,                  5393,,                              0.60,                              0.60,,                              0.60,                              0.60,,,,,,,,
1720,2014年度,,              3295656,,              1847958,              1447698,              1447698,,,                539385,,                288219,,                242770,              1070374,                377324,,,                 67654,,                 25130,,                  6353,,                 -5161,                 81270,                458594,,                 74864,                383730,                383730,,,,,,                 77238,                460968,,                374235,                  9495,,                447521,                 13447,,                              2.09,                              2.09,,                              2.09,                              2.09,,                              0,                 10655,                 71159,                 -5850,                 -1274,                              0.00,                              0.00
1720,2014年01月01日至2014年09月30日,,              2420625,,              1360205,              1060420,              1060420,,,                367776,,                204901,,                181425,                754102,                306318,,,                 53672,,                 12291,,                  4510,,                 -5751,                 55702,                362020,,                 55969,                306051,                306051,,,                  1943,                 21841,                 23784,                 23784,                329835,,                300431,                  5620,,                324215,                  5620,,                              1.68,                              1.68,,                              1.68,                              1.68,,,,,,,,
1720,2014年01月01日至2014年06月30日,,              1611810,,                899857,                711953,                711953,,,                243880,,                134030,,                115416,                493326,                218627,,,                 22901,,                  1217,,                  2731,,                    -29,                 21358,                239985,,                 35251,                204734,                204734,,,                 -4529,                 53801,                 49272,                 49272,                254006,,                202553,                  2181,,                251825,                  2181,,                              1.13,                              1.13,,                              1.13,                              1.13,,,,,,,,
1720,2014年01月01日至2014年03月31日,,                798179,,                447562,                350617,                350617,,,                125021,,                 68099,,                 56573,                249693,                100924,,,                  5367,,                  6060,,                  1075,,                  1450,                 11802,                112726,,                 19866,                 92860,                 92860,,,                    -30,                 18086,                 18056,                 18056,                110916,,                 96072,                 -3212,,                114128,                 -3212,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,,,
1720,2013年第3季,,                730283,,                432602,                297681,                297681,,,                115990,,                 71847,,                 55670,                243507,                 54174,,,                 16020,,                  1814,,                  1947,,                  5801,                 21688,                 75862,,                 16244,                 59618,                 59618,,,,,,                 -7543,                 52075,,                 55894,                  3724,,                 48351,                  3724,,                              0.32,                              0.32,,                              0.32,                              0.32,,                              0,                 -3286,                 -4257,,,                              0.00,                              0.00
1720,2013年第2季,,                757523,,                432624,                324899,                324899,,,                130498,,                 80545,,                 51115,                262158,                 62741,,,                 44164,,                  5189,,                  2522,,                   -551,                 46280,                109021,,                 15911,                 93110,                 93110,,,,,,                 51902,                145012,,                 91045,                  2065,,                142947,                  2065,,                              0.54,                              0.54,,                              0.54,                              0.54,,                              0,                  3994,                 47908,,,                              0.00,                              0.00
1720,2013年度,,              3053983,,              1756385,              1297598,              1297598,,,                510667,,                295311,,                226429,              1032407,                265191,,,                 93388,,                 16780,,                  9589,,                  3149,                103728,                368919,,                 63570,                305349,                305143,,,,,,                 96062,                401205,,                298386,                  6757,,                394448,                  6757,,                              1.73,                              1.73,,                              1.71,                              1.71,,                   -206,                 12587,                 44966,                 46714,                  8205,                              0.00,                              0.00
1720,2013年07月01日至2013年09月30日,,                730283,,                432602,                297681,                297681,,,                115990,,                 71847,,                 55670,                243507,                 54174,,,                 16020,,                  1814,,                  1947,,                  5801,                 21688,                 75862,,                 16244,                 59618,                 59618,,,,,,                 -7543,                 52075,,                 55894,                  3724,,                 48351,                  3724,,                              0.32,                              0.32,,                              0.32,                              0.32,,                              0,                 -3286,                 -4257,,,                              0.00,                              0.00
1720,2013年04月01日至2013年06月30日,,                757523,,                432624,                324899,                324899,,,                130498,,                 80545,,                 51115,                262158,                 62741,,,                 44164,,                  5189,,                  2522,,                   -551,                 46280,                109021,,                 15911,                 93110,                 93110,,,,,,                 51902,                145012,,                 91045,                  2065,,                142947,                  2065,,                              0.54,                              0.54,,                              0.54,                              0.54,,                              0,                  3994,                 47908,,,                              0.00,                              0.00
1720,2013年01月01日至2013年12月31日,,              3053983,,              1756385,              1297598,              1297598,,,                510667,,                295311,,                226429,              1032407,                265191,,,                 93388,,                 16780,,                  9589,,                  3149,                103728,                368919,,                 63570,                305349,                305143,,,,,,                 96062,                401205,,                298386,                  6757,,                394448,                  6757,,                              1.73,                              1.73,,                              1.71,                              1.71,,                   -206,                 12587,                 44966,                 46714,                  8205,                              0.00,                              0.00
1720,2013年01月01日至2013年09月30日,,              2271422,,              1301826,                969596,                969596,,,                360295,,                214890,,                154680,                729865,                239731,,,                 75259,,                 17443,,                  7998,,                  5250,                 89954,                329685,,                 57418,                272267,                272061,,,,,,                 58092,                330153,,                264400,                  7661,,                322492,                  7661,,                              1.55,                              1.55,,                              1.53,                              1.53,,                   -206,                  8744,                 49348,,,                              0.00,                              0.00
1720,2013年01月01日至2013年06月30日,,              1541139,,                869224,                671915,                671915,,,                244305,,                143043,,                 99010,                486358,                185557,,,                 59239,,                 15629,,                  6051,,                   -551,                 68266,                253823,,                 41174,                212649,                212443,,,,,,                 65635,                278078,,                208506,                  3937,,                274141,                  3937,,                              1.24,                              1.24,,                              1.23,                              1.23,,                   -206,                 12030,                 53605,,,                              0.00,                              0.00
1720,2013年01月01日至2013年03月31日,,                783616,,                436600,                347016,                347016,,,                113807,,                 62498,,                 47895,                224200,                122816,,,                 15075,,                 10440,,                  3529,,                              0,                 21986,                144802,,                 25263,                119539,                119333,,,,,,                 13733,                133066,,                117461,                  1872,,                131194,                  1872,,                              0.70,                              0.70,,                              0.70,                              0.70,,                   -206,                  8036,                  5697,,,                              0.00,                              0.00
