證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　　 外幣兌換損失
9914,2015年第3季,,,,              8499783,              8499783,              8499783,              8499783,,,              7016687,              7016687,              1483096,               -101756,              1381340,,,                334922,,                211308,                546230,                835110,,,,                 10263,                  5166,                 11612,                 27041,,                              0,                102445,                  5644,                 96801,,                  2770,                  2770,,                428418,                428418,                549490,              1384600,,                270389,              1114211,              1114211,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                593158,                -19416,                573742,                573742,              1687953,,              1113348,                    863,,              1665082,                 22871,,                              3.72,,                              3.71,,,,,,
9914,2015年第2季,,,,,              7036400,              7036400,              7036400,,,              5805324,              5805324,              1231076,                 70456,              1301532,,,                301660,,                154726,                456386,                845146,,,,                 14636,,                 30789,                 45425,,                 64281,                -18895,                 13124,                 32262,,                   -242,                   -242,,                -51524,                -51524,                 26405,                871551,,                277496,                594055,                594055,,,,,,,,,,,,,,                -75855,                -10808,                -86663,                -86663,                507392,,                586188,                  7867,,                499308,                  8084,,                              1.96,,                              1.95,,,,,,
9914,2015年01月01日至2015年09月30日,,,,             21734018,             21734018,             21734018,             21734018,,,             17866295,             17866295,              3867723,                  1352,              3869075,,,                997394,,                562819,              1560213,              2308862,,,,                 45797,                  5166,                 46914,                 97877,,                 64281,                 81359,                 35084,                110556,,                 14344,                 14344,,                643603,                643603,                837692,              3146554,,                724167,              2422387,              2422387,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 77770,                -21594,                 56176,                 56176,              2478563,,              2402238,                 20149,,              2466002,                 12561,,                              8.03,,                              7.98,,,,,,
9914,2015年01月01日至2015年06月30日,,,,,             13234235,             13234235,             13234235,,,             10849608,             10849608,              2384627,                103108,              2487735,,,                662472,,                351511,              1013983,              1473752,,,,                 35534,,                 35302,                 70836,,                 64281,                -21086,                 29440,                 13755,,                 11574,                 11574,,                215185,                215185,                288202,              1761954,,                453778,              1308176,              1308176,,,,,,,,,,,,,,               -515388,                 -2178,               -517566,               -517566,                790610,,              1288890,                 19286,,                800920,                -10310,,                              4.31,,                              4.28,,,,,,
9914,2015年01月01日至2015年03月31日,,,,              6197835,              6197835,              6197835,              6197835,,,              5044284,              5044284,              1153551,                 32652,              1186203,,,                360812,,                196785,                557597,                628606,,,,                 20898,,                  4513,                 25411,,,                 -2191,                 16316,                -18507,,,                 11816,,                266709,                266709,                261797,                890403,,                176282,                714121,                714121,,,,,,,,,,,,,,               -439533,                  8630,               -430903,               -430903,                283218,,                702702,                 11419,,                301612,                -18394,,                              2.35,,                              2.34,,,,,,
9914,2014年第3季,,,,              7725124,              7725124,              7725124,              7725124,,,              6434791,              6434791,              1290333,                -38912,              1251421,,,                319557,,                182173,                501730,                749691,,,,                 20311,                  3924,                 34875,                 59110,,                              0,                 51125,                  7839,                 43286,,                  2456,                  2456,,                388152,                388152,                488092,              1237783,,                250351,                987432,                987432,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 29548,                 -8279,                 21269,                 21269,              1008701,,                996365,                 -8933,,              1021718,                -13017,,                              3.33,,                              3.32,,,,,,
9914,2014年第2季,,,,,              6763387,              6763387,              6763387,,,              5512875,              5512875,              1250512,                 60003,              1310515,,,                393997,,                202821,                596818,                713697,,,,                 14256,,                 32628,                 46884,,                              0,                -16898,                  6877,                -23775,,                  9647,                  9647,,                216725,                216725,                230187,                943884,,                229430,                714454,                714454,,,,,,,,,,,,,,               -199113,                -12972,               -212085,               -212085,                502369,,                701350,                 13104,,                499068,                  3301,,                              2.35,,                              2.33,,,,,,
9914,2014年度,,,,             27217143,             27217143,             27217143,             27217143,,,             22346862,             22346862,              4870281,,              4792773,,,              1354885,,                776477,              2131362,              2661411,,,,                 75877,,                213750,                289627,,                              0,                172767,                 15688,                157079,,,                 27214,,              1189369,              1189369,              1608861,              4270272,,                880520,              3389752,              3389752,,,,,,,,,,,,,,,,,                291907,              3681659,,              3349849,                 39903,,              3632863,                 48796,,                             11.20,,                             11.13,                 77508,                316457,                 -7926,                -20029,                  3405,
9914,2014年01月01日至2014年09月30日,,,,             20159929,             20159929,             20159929,             20159929,,,             16526558,             16526558,              3633371,                 37899,              3671270,,,              1058754,,                587230,              1645984,              2025286,,,,                 50043,                 13491,                 85921,                149455,,                              0,                 65188,                 39938,                 25250,,                 20914,                 20914,,                956555,                956555,              1110346,              3135632,,                690523,              2445109,              2445109,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  2144,                -11123,                 -8979,                 -8979,              2436130,,              2422278,                 22831,,              2419886,                 16244,,                              8.10,,                              8.05,,,,,,
9914,2014年01月01日至2014年06月30日,,,,,             12434805,             12434805,             12434805,,,             10091767,             10091767,              2343038,                 76811,              2419849,,,                739197,,                405057,              1144254,              1275595,,,,                 29732,,                 60613,                 90345,,                              0,                 14063,                 32099,                -18036,,                 18458,                 18458,,                568403,                568403,                622254,              1897849,,                440172,              1457677,              1457677,,,,,,,,,,,,,,                -27404,                 -2844,                -30248,                -30248,              1427429,,              1425913,                 31764,,              1398168,                 29261,,                              4.77,,                              4.74,,,,,,
