證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
2506,2015年第3季,,                344226,,                130463,                213763,                213763,,,                 70098,,                144541,                214639,,                              0,                   -876,,,,                  1866,                  1866,,                 98224,,                 40319,,                 22913,                 82684,                 81808,,                 18865,                 62943,                 62943,,,                116064,                 -4785,                111279,                111279,                174222,,                 18691,                 44252,,                131105,                 43117,,                              0.05,,                              0.05,,,
2506,2015年第2季,,                445804,,                199787,                246017,                246017,,,                 76255,,                131818,                208073,,,                 37944,,,,                  3135,                  3135,,                 18995,,                 44035,,                 42892,                 20987,                 58931,,                 30742,                 28189,                 28189,,,                 24517,                 -1238,                 23279,                 23279,                 51468,,                 16318,                 11871,,                 39891,                 11577,,                              0.04,,                              0.04,,,
2506,2015年01月01日至2015年09月30日,,              1535276,,                681922,                853354,                853354,,,                241541,,                420266,                661807,,                              0,                191547,,,,                  6722,                  6722,,                129502,,                129136,,                 76816,                 83904,                275451,,                 62017,                213434,                213434,,,                184282,                    920,                185202,                185202,                398636,,                148570,                 64864,,                333549,                 65087,,                              0.41,,                              0.41,,,
2506,2015年01月01日至2015年06月30日,,              1191050,,                551459,                639591,                639591,,,                171443,,                275725,                447168,,,                192423,,,,                  4856,                  4856,,                 31278,,                 88817,,                 53903,                  1220,                193643,,                 43152,                150491,                150491,,,                 68218,                  5705,                 73923,                 73923,                224414,,                129879,                 20612,,                202444,                 21970,,                              0.36,,                              0.36,,,
2506,2015年01月01日至2015年03月31日,,                745246,,                351672,                393574,                393574,,,                 95188,,                143907,                239095,,,                154479,,,,                  1721,                  1721,,                 12283,,                 44782,,                 11011,                -19767,                134712,,                 12410,                122302,                122302,,,                 43701,                  6943,                 50644,                 50644,                172946,,                113561,                  8741,,                162553,                 10393,,                              0.31,,                              0.31,,,
2506,2014年第3季,,              1457063,,                809605,                647458,                647458,,,                140396,,                174781,                315177,,                              0,                332281,,,,                  2578,                  2578,,                131304,,                 50457,,                 13087,                 96512,                428793,,                 66576,                362217,                362217,,,                 20441,                 -1250,                 19191,                 19191,                381408,,                306072,                 56145,,                325628,                 55780,,                              0.83,,                              0.82,,,
2506,2014年第2季,,                641741,,                398657,                243084,                243084,,,                 81937,,                148735,                230672,,,                 12412,,,,                  3119,                  3119,,                 -3538,,                 47218,,                 29544,                -18093,                 -5681,,                 79772,                -85453,                -85453,,,                -16934,                 -2292,                -19226,                -19226,               -104679,,                -90769,                  5316,,               -109475,                  4796,,                             -0.25,,                             -0.25,,,
2506,2014年度,,              3875117,,              2196631,              1678486,              1678486,,,                432570,,                674138,              1106708,,                -21037,                550741,,,,                 10758,                 10758,,                152016,,                196267,,                 86930,                 53437,                604178,,                203899,                400279,                400279,,,,,,                 54011,                454290,,                325464,                 74815,,                376162,                 78128,,                              0.88,,                              0.87,                 49118,                 -2963,                  7856
2506,2014年01月01日至2014年09月30日,,              2580650,,              1440030,              1140620,              1140620,,,                286703,,                465368,                752071,,                -14778,                373771,,,,                  7482,                  7482,,                149631,,                146046,,                 63509,                 74576,                448347,,                151777,                296570,                296570,,,                 -9864,                     81,                 -9783,                 -9783,                286787,,                231549,                 65021,,                224068,                 62719,,                              0.62,,                              0.62,,,
2506,2014年01月01日至2014年06月30日,,              1123587,,                630425,                493162,                493162,,,                146307,,                290587,                436894,,,                 56268,,,,                  4904,                  4904,,                  3549,,                 95589,,                 50422,                -36714,                 19554,,                 85201,                -65647,                -65647,,,                -30305,                  1331,                -28974,                -28974,                -94621,,                -74523,                  8876,,               -101560,                  6939,,                             -0.20,,                             -0.20,,,
