證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益
1725,2013年第2季,,,              2590115,              2590115,,,              2509211,              2509211,                 80904,                 80904,,,                 22457,,                 29629,                 52086,                 28818,,,                  2590,,                  3576,,                  3896,                  2270,                 31088,,                  5816,                 25272,                 25272,,,,,,,                 -6475,                 18797,,                 25272,                              0,,                 18797,                              0,,                              0.14,                              0.14,,                              0.14,                              0.14,                  7501,                -12701,,                 -1275,,
1725,2013年度,,,             10022368,             10022368,,,              9669892,              9669892,                352476,                352476,,,                 93758,,                114520,                208278,                144198,,,                 36151,,                -16927,,                 16840,                  2384,                146582,,                 22193,                124389,                124389,,,,,,,                239231,                363620,,                124389,                              0,,                363620,                              0,,                              0.68,                              0.68,,                              0.68,                              0.68,                 20196,                224416,                 -1948,                 -3433,,
1725,2013年07月01日至2013年09月30日,,,              2523238,              2523238,,,              2417991,              2417991,                105247,                105247,,,                 19803,,                 29235,                 49038,                 56209,,,                 28404,,                -23186,,                  4523,                    695,                 56904,,                  9810,                 47094,                 47094,,,,,,,                 80441,                127535,,                 47094,                              0,,                127535,                              0,,                              0.26,                              0.26,,                              0.26,                              0.26,                 -3911,                 83687,,                    665,                              0,                              0
1725,2013年04月01日至2013年06月30日,,,              2590115,              2590115,,,              2509211,              2509211,                 80904,                 80904,,,                 22457,,                 29629,                 52086,                 28818,,,                  2590,,                  3576,,                  3896,                  2270,                 31088,,                  5816,                 25272,                 25272,,,,,,,                 -6475,                 18797,,                 25272,                              0,,                 18797,                              0,,                              0.14,                              0.14,,                              0.14,                              0.14,                  7501,                -12701,,                 -1275,,
1725,2013年01月01日至2013年12月31日,,,             10022368,             10022368,,,              9669892,              9669892,                352476,                352476,,,                 93758,,                114520,                208278,                144198,,,                 36151,,                -16927,,                 16840,                  2384,                146582,,                 22193,                124389,                124389,,,,,,,                239231,                363620,,                124389,                              0,,                363620,                              0,,                              0.68,                              0.68,,                              0.68,                              0.68,                 20196,                224416,                 -1948,                 -3433,,
1725,2013年01月01日至2013年09月30日,,,              7365826,              7365826,,,              7102746,              7102746,                263080,                263080,,,                 64974,,                 88306,                153280,                109800,,,                 33207,,                -20001,,                 12595,                    611,                110411,,                 19768,                 90643,                 90643,,,,,,,                164098,                254741,,                 90643,                              0,,                254741,                              0,,                              0.50,                              0.50,,                              0.50,                              0.50,                 12790,                153482,,                 -2174,                              0,                              0
1725,2013年01月01日至2013年06月30日,,,              4842588,              4842588,,,              4684755,              4684755,                157833,                157833,,,                 45171,,                 59071,                104242,                 53591,,,                  4803,,                  3185,,                  8072,                    -84,                 53507,,                  9958,                 43549,                 43549,,,,,,,                 83657,                127206,,                 43549,                              0,,                127206,                              0,,                              0.24,                              0.24,,                              0.24,                              0.24,                 16701,                 69795,,                 -2839,,
1725,2013年01月01日至2013年03月31日,,,              2252473,              2252473,,,              2175544,              2175544,                 76929,                 76929,,,                 22714,,                 29442,                 52156,                 24773,,,                  2213,,                   -391,,                  4176,                 -2354,                 22419,,                  4142,                 18277,                 18277,,,,,,,                 90132,                108409,,                 18277,                              0,,                108409,                              0,,                              0.10,                              0.10,,                              0.10,                              0.10,                  9200,                 82496,,                 -1564,,
1725,2012年07月01日至2012年09月30日,,,              2809548,              2809548,,,              2718785,              2718785,                 90763,                 90763,,,                 21055,,                 23903,                 44958,                 45805,,,                 32026,,                -27918,,                  5754,                 -1646,                 44159,,                  7562,                 36597,                 36597,,,,,,,                 62742,                 99339,,                 36597,                              0,,                 99339,                              0,,                              0.20,                              0.20,,                              0.20,                              0.20,                 -5579,                 67373,,                    948,                              0,                              0
1725,2012年04月01日至2012年06月30日,,,              2500781,              2500781,,,              2443762,              2443762,                 57019,                 57019,,,                 22667,,                 28206,                 50873,                  6146,,,                  2854,,                -18082,,                  6106,                -21334,                -15188,,                 -1453,                -13735,                -13735,,,,,,,                -73470,                -87205,,                -13735,                              0,,                -87205,                              0,,                             -0.08,                             -0.08,,                             -0.08,                             -0.08,                  1996,                -75128,,                   -338,,
1725,2012年01月01日至2012年12月31日,,,             10764222,             10764222,,,             10444044,             10444044,                320178,                320178,,,                 95833,,                125326,                221159,                 99019,,,                 43002,,               -272286,,                 22520,               -251804,               -152785,,                 14645,               -167430,               -167430,,,,,,,                280305,                112875,,               -167430,                              0,,                112875,                              0,,                             -0.92,                             -0.92,,                             -0.92,                             -0.92,                -10125,                287298,                  1410,                  1722,,
1725,2012年01月01日至2012年09月30日,,,              8206155,              8206155,,,              7974262,              7974262,                231893,                231893,,,                 67453,,                 81600,                149053,                 82840,,,                 38945,,                -51375,,                 18039,                -30469,                 52371,,                 10847,                 41524,                 41524,,,,,,,                 54513,                 96037,,                 41524,                              0,,                 96037,                              0,,                              0.23,                              0.23,,                              0.23,                              0.23,                 -9996,                 62809,,                  1700,                              0,                              0
1725,2012年01月01日至2012年06月30日,,,              5396607,              5396607,,,              5255477,              5255477,                141130,                141130,,,                 46681,,                 57414,                104095,                 37035,,,                  6919,,                -23457,,                 12285,                -28823,                  8212,,                  3285,                  4927,                  4927,,,,,,,                 -8229,                 -3302,,                  4927,                              0,,                 -3302,                              0,,                              0.03,                              0.03,,                              0.03,                              0.03,                 -4417,                 -4564,,                    752,,
1725,2012年01月01日至2012年03月31日,,,              2895826,              2895826,,,              2811715,              2811715,                 84111,                 84111,,,                 24014,,                 29208,                 53222,                 30889,,,                  4065,,                 -5375,,                  6179,                 -7489,                 23400,,                  4738,                 18662,                 18662,,,,,,,                 65241,                 83903,,                 18662,                              0,,                 83903,                              0,,                              0.10,                              0.10,,                              0.10,                              0.10,                 -6413,                 70564,,                  1090,,
