證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 分期付款銷貨收入,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 利息收入,　　　 投資收入（投資公司適用）合計,　　 租賃收入,　　　 租賃收入合計,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 利息費用,　　　 投資支出（投資公司適用）合計,　　 租賃成本,　　　 租賃成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
9941,2014年01月01日至2014年03月31日,,,,              1305847,              1305847,                167005,              1472852,,                189253,                189253,,              1736763,,                242995,,                 64290,                 64290,              3706153,,,                634840,,                165187,                165187,,              1446121,                 16149,              2262297,              1443856,              1443856,,                968065,,                115086,                590877,,,                  5185,,                -41810,,                  4566,                -32059,                558818,,                119463,                439355,                439355,,,                 17566,                      9,,                    359,                 17934,                 17934,                457289,,                405333,                 34022,,                422013,                 35276,,                              1.61,                              1.61,,                              1.50,                              1.50,,,,,,
9941,2013年第3季,,,,              1072449,              1072449,                172626,              1245075,,,,,              1764245,,                203419,,                197866,                197866,              3410605,,,                482597,,                157702,                157702,,              1478961,                 13074,              2132334,              1278271,              1278271,,                924809,,                126126,                479588,,,                  4793,,                 17006,,                  1879,                 23678,                503266,,                122344,                380922,                380922,,,,,,,,                -11332,                369590,,                351407,                 29515,,                341006,                 28584,,                              1.47,                              1.47,,                              1.31,                              1.31,                -12567,                   -247,,,                  1482,
9941,2013年第2季,,,,,              1312258,                170145,              1482403,,,,,              1717372,,                186701,,,                185653,              3572129,,,                744932,,                152602,                152602,,              1465188,                 11378,              2374100,              1198029,              1198029,,                821142,,                137473,                514360,,,                  1676,,                 38587,,                  6811,                 47074,                561434,,                166698,                394736,                394736,,,,,,,,                 24392,                419128,,                366466,                 28270,,                388947,                 30181,,                              1.53,                              1.53,,                              1.38,                              1.38,                 25387,                    -24,,,                   -971,
9941,2013年度,,,,              4812231,              4812231,                677550,              5489781,,                533576,                533576,,              6923797,,                800990,,                259748,                259748,             14007892,,,              2485395,,                618759,                618759,,              5845553,                 85661,              9035368,              4972524,              4972524,,              3619657,,                462510,              1815377,,,                 33944,,                 99390,,                 22654,                155988,              1971365,,                495158,              1476207,              1476207,,,,,,,,                 69671,              1545878,,              1363873,                112334,,              1428345,                117533,,                              5.68,                              5.68,,                              5.07,                              5.07,                 70226,                   -595,                 -3513,,                  2977,                   -576
9941,2013年07月01日至2013年09月30日,,,,,              1118712,                172626,              1291338,,,,,              1764245,,                203419,,,                197866,              3456868,,,                495582,,                157702,                157702,,              1511174,                 13074,              2177532,              1279336,              1279336,,                924809,,                126126,                480653,,,                  4793,,                 15941,,                  1879,                 22613,                503266,,                122344,                380922,                380922,,,,,,,,                -11332,                369590,,                351407,                 29515,,                341006,                 28584,,                              1.47,                              1.47,,                              1.31,                              1.31,                -12567,                   -247,,,                  1482,
9941,2013年04月01日至2013年06月30日,,,,,              1330744,                170145,              1500889,,,,,              1717372,,                186701,,,                185653,              3590615,,,                798940,,                129543,                129543,,              1432975,                 11379,              2372837,              1217778,              1217778,,                821142,,                114415,                511051,,,                  1676,,                 41896,,                  6811,                 50383,                561434,,                166698,                394736,                394736,,,,,,,,                 24392,                419128,,                366466,                 28270,,                388947,                 30181,,                              1.53,                              1.53,,                              1.38,                              1.38,                 25387,                    -24,,,                   -971,
9941,2013年01月01日至2013年12月31日,,,,,              4982089,                677550,              5659639,,,,,              6942997,,                800990,,,                774124,             14177750,,,              2649981,,                618759,                618759,,              5845553,                 85661,              9199954,              4977796,              4977796,,              3619657,,                462510,              1820649,,,                 33944,,                 94118,,                 22654,                150716,              1971365,,                495158,              1476207,              1476207,,,,,,,,                 69671,              1545878,,              1363873,                112334,,              1428345,                117533,,                              5.68,                              5.68,,                              5.07,                              5.07,                 70226,                   -595,                 -3513,,                  2977,                   -576
9941,2013年01月01日至2013年09月30日,,,,              3587251,              3587251,                507205,              4094456,,,,,              5192027,,                572548,,                552949,                552949,             10411980,,,              1863323,,                456221,                456221,,              4396833,                 37830,              6754207,              3657773,              3657773,,              2546436,,                376694,              1488031,,,                 20433,,                 69834,,                 14754,                105021,              1593052,,                403203,              1189849,              1189849,,,,,,,,                 48975,              1238824,,              1101342,                 88507,,              1146711,                 92113,,                              4.61,                              4.61,,                              4.11,                              4.11,                 47505,                   -273,,,                  1743,
9941,2013年01月01日至2013年06月30日,,,,,              2514802,                334579,              2849381,,,,,              3427782,,                369129,,,                355083,              7001375,,,              1380726,,                298519,                298519,,              2917872,                 24756,              4621873,              2379502,              2379502,,              1621627,,                250568,              1008443,,,                 15640,,                 52828,,                 12875,                 81343,              1089786,,                280859,                808927,                808927,,,,,,,,                 60307,                869234,,                749935,                 58992,,                805705,                 63529,,                              3.15,                              3.15,,                              2.78,                              2.78,                 60072,                    -26,,,                    261,
9941,2013年01月01日至2013年03月31日,,,,,              1202544,                164434,              1366978,,,,,              1710410,,                182428,,,                169430,              3429246,,,                635794,,                145917,                145917,,              1452684,                 13378,              2247773,              1181473,              1181473,,                800485,,                113095,                494083,,,                 13964,,                 14241,,                  6064,                 34269,                528352,,                114161,                414191,                414191,,,,,,,,                 35915,                450106,,                383469,                 30722,,                416758,                 33348,,                              1.62,                              1.62,,                              1.42,                              1.42,                 34685,                     -2,,,                  1232,
9941,2012年07月01日至2012年09月30日,,,,,              1236895,                160335,              1397230,,,,,              1639624,,                143923,,,                175584,              3356361,,,                629936,,                140149,                140149,,              1387815,                 11676,              2169576,              1186785,              1186785,,                754690,,                 26850,                458945,,,                  2309,,                 -2545,,                  4181,                  3945,                462890,,                 97964,                364926,                364926,,,,,,,,                -24062,                340864,,                332676,                 32250,,                310484,                 30380,,                              1.41,                              1.41,,                              1.25,                              1.25,                -24701,                    205,,,                    434,
9941,2012年04月01日至2012年06月30日,,,,,              1227338,                157671,              1385009,,,,,              1577582,,                149743,,,                147905,              3260239,,,                729291,,                114645,                114645,,              1350810,                 11572,              2206318,              1053921,              1053921,,                655897,,                103423,                501447,,,                  2396,,                -10775,,                  3499,                 -4880,                496567,,                142629,                353938,                353938,,,,,,,,                  6751,                360689,,                323320,                 30618,,                329437,                 31252,,                              1.37,                              1.37,,                              1.37,                              1.37,                  8361,                 -1145,,,                   -465,
9941,2012年01月01日至2012年12月31日,,,,,              4685667,                634368,              5320035,,,,,              6443919,,                597678,,,                624757,             12986389,,,              2522043,,                529656,                529656,,              5466383,                 65897,              8583979,              4402410,              4402410,,              3025312,,                273674,              1650772,,,                 30568,,                 19592,,                 16153,                 66313,              1717085,,                429803,              1287282,              1287282,,,,,,,,                -57443,              1229839,,              1164075,                123207,,              1112511,                117328,,                              4.94,                              4.94,,                              4.63,                              4.63,                -43640,                    571,                -17260,,                     47,                 -2839
9941,2012年01月01日至2012年09月30日,,,,,              3511301,                469995,              3981296,,,,,              4764844,,                431443,,,                446158,              9623741,,,              1902756,,                385937,                385937,,              4045062,                 38643,              6372398,              3251343,              3251343,,              2083802,,                180020,              1347561,,,                 18857,,                  2771,,                 13480,                 35108,              1382669,,                320128,              1062541,              1062541,,,,,,,,                -40744,              1021797,,                964852,                 97689,,                927384,                 94413,,                              4.09,                              4.09,,                              3.91,                              3.91,                -42828,                     25,,,                  2059,
9941,2012年01月01日至2012年06月30日,,,,,              2274406,                309660,              2584066,,,,,              3125220,,                287520,,,                270574,              6267380,,,              1272820,,                245788,                245788,,              2657247,                 26967,              4202822,              2064558,              2064558,,              1329112,,                153170,                888616,,,                 16547,,                  5316,,                  9299,                 31162,                919778,,                222163,                697615,                697615,,,,,,,,                -16682,                680933,,                632176,                 65439,,                616900,                 64033,,                              2.68,                              2.68,,                              2.66,                              2.66,                -18127,                   -180,,,                  1625,
9941,2012年01月01日至2012年03月31日,,,,              1044591,              1044591,                151989,              1196580,,,,,              1547638,,                137777,,,                100188,              2982183,,,                543529,,                131143,                131143,,              1306437,                 15395,              1996504,                985679,                985679,,                673215,,                 85608,                398072,,,                  3248,,                 16091,,                  5800,                 25139,                423211,,                 79534,                343677,                343677,,,,,,,,                -23433,                320244,,                308856,                 34821,,                287463,                 32781,,                              1.31,                              1.31,,                              1.31,                              1.31,                -26488,                    965,,,                  2090,
