證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 處分投資性不動產利益,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　　　 不動產、廠房及設備減損損失,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 處分投資損失,　　　　 其他減損迴轉利益,　　　 什項支出,　　　　 金融資產減損損失
9902,2015年第3季,,                 17705,,                 15944,                  1761,                  1761,,,                  1364,,                  3587,                  4951,                 -3190,,,                 19408,,                    477,                  6418,                              0,                              0,,                  1155,                              0,                    562,                    683,,                              0,                  6805,,                     60,                 26153,                 22963,,                  1129,                 21834,                 21834,,,                 -4322,                              0,                 -4322,                 -4322,                 17512,,                 21663,                    171,,                 17449,                     63,,                              0.22,,                              0.22,,,,,,,,,,
9902,2015年第2季,,                 28733,,                 27037,                  1696,                  1696,,,                    702,,                  4768,                  5470,                 -3774,,,                  3197,,,                  1525,                              0,                  2269,,,                    181,                    668,,,                    505,                  2440,,                    122,                  5515,                  1741,,                              0,                  1741,                  1741,,,                  5350,                              0,                  5350,                  5350,                  7091,,                  1710,                     31,,                  6964,                    127,,                              0.02,,                              0.02,,,,,,,,,,
9902,2015年01月01日至2015年09月30日,,                 74308,,                 71070,                  3238,                  3238,,,                  2968,,                 14602,                 17570,                -14332,,,                 23480,,                              0,                  7930,                              0,                    511,,                  1155,                    143,                    158,                              0,,                  1255,                  8040,,                    421,                 31099,                 16767,,                  1129,                 15638,                 15638,,,                   -900,                              0,                   -900,                   -900,                 14738,,                 15442,                    196,,                 14587,                    151,,                              0.16,,                              0.16,,,,,,,,,,
9902,2015年01月01日至2015年06月30日,,                 56603,,                 55126,                  1477,                  1477,,,                  1604,,                 11015,                 12619,                -11142,,,                  4072,,,                  1512,                    403,                  1195,,,                    620,                              0,,,                  1255,                  1235,,                    361,                  4946,                 -6196,,                              0,                 -6196,                 -6196,,,                  3422,                              0,                  3422,                  3422,                 -2774,,                 -6221,                     25,,                 -2862,                     88,,                             -0.06,,                             -0.06,,,,,,,,,,
9902,2014年第3季,,                 56916,,                 54319,                  2597,                  2597,,,                    967,,                  4813,                  5780,                 -3183,,,                  2509,,                              0,                  1866,                  2195,                  2001,,                              0,                    956,                              0,                              0,,                              0,                  5106,,                     59,                  7556,                  4373,,                              0,                  4373,                  4373,,,                  3427,                              0,                  3427,                  3427,                  7800,,                  4335,                     38,,                  7705,                     95,,                              0.04,,                              0.04,,,,,,,,,,
9902,2014年第2季,,                 24233,,                 22186,                  2047,                  2047,,,                  1026,,                  4472,                  5498,                 -3451,,,                  4301,,,                    594,                              0,                  4176,,,                              0,                  1175,,,                  1550,                  2045,,                     31,                  6315,                  2864,,                              0,                  2864,                  2864,,,                  2762,                              0,                  2762,                  2762,                  5626,,                  2835,                     29,,                  5548,                     78,,                              0.03,,                              0.03,,,,,,,,,,
9902,2014年度,,                152754,,                144431,                  8323,                  8323,,,                  4699,,                 19638,                 24337,                -16014,,,                  8822,,,                 15096,                  2072,                  5630,,,                    987,,,,                  1700,                 20111,,                    327,                 28606,                 12592,,                              0,                 12592,                 12592,,,,,,                  5812,                 18404,,                 12542,                     50,,                 18257,                    147,,                              0.13,,                              0.13,                              0,                  5812,                              0,,,,,,,
9902,2014年01月01日至2014年09月30日,,                 88700,,                 83444,                  5256,                  5256,,,                  2555,,                 14337,                 16892,                -11636,,,                  7614,,                              0,                  2402,                              0,                  3535,,                              0,                    956,                    182,                              0,,                  1550,                  3249,,                    231,                 10632,                 -1004,,                              0,                 -1004,                 -1004,,,                  1030,                              0,                  1030,                  1030,                     26,,                 -1038,                     34,,                    -26,                     52,,                             -0.01,,                             -0.01,,,,,,,,,,
9902,2014年01月01日至2014年06月30日,,                 31784,,                 29125,                  2659,                  2659,,,                  1588,,                  9524,                 11112,                 -8453,,,                  5105,,,                    536,                              0,                  1534,,,                              0,                  2377,,,                  1550,                 -1857,,                    172,                  3076,                 -5377,,                              0,                 -5377,                 -5377,,,                 -2397,                              0,                 -2397,                 -2397,                 -7774,,                 -5373,                     -4,,                 -7731,                    -43,,                             -0.05,,                             -0.05,,,,,,,,,,
9902,2014年01月01日至2014年03月31日,,                  7551,,                  6939,                    612,                    612,,,                    562,,                  5052,                  5614,                 -5002,,,                    804,,,,                              0,                 -2641,,,,                  1202,,,,                 -3902,,                    141,                 -3239,                 -8241,,                              0,                 -8241,                 -8241,,,,,,                 -5159,                -13400,,                 -8208,                    -33,,                -13279,                   -121,,                             -0.08,,                             -0.08,                              0,                 -5159,                              0,,,                              0,                     59,,,
