證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入,　　　 租賃收入合計,　　 旅遊服務收入,　　　 育樂收入,　　　　 門票收入,　　　　 育樂收入淨額,　　　 旅遊服務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本,　　　 租賃成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 薪資支出,　　　 租金支出,　　　 文具用品,　　　 郵電費,　　　 修繕費,　　　 廣告費,　　　 水電瓦斯費,　　　 保險費,　　　 交際費,　　　 稅捐,　　　 折舊,　　　 伙食費,　　　 職工福利,　　　 其他費用,　　　 推銷費用合計,　　 管理費用,　　　 薪資支出[duplicate]45,　　　 租金支出[duplicate]46,　　　 文具用品[duplicate]47,　　　 郵電費[duplicate]48,　　　 修繕費[duplicate]49,　　　 廣告費[duplicate]50,　　　 水電瓦斯費[duplicate]51,　　　 保險費[duplicate]52,　　　 交際費[duplicate]53,　　　 捐贈,　　　 稅捐[duplicate]55,　　　 折舊[duplicate]56,　　　 伙食費[duplicate]57,　　　 訓練費,　　　 其他費用[duplicate]59,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 稅捐[duplicate]54,　　　 折舊[duplicate]55,　　　 伙食費[duplicate]56,　　　 其他費用[duplicate]58,　　　 什項支出,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 旅遊服務成本（觀光飯店業適用）,　　　 育樂成本,　　　　 出售門票成本,　　　　 育樂成本合計,　　　 旅遊服務成本（觀光飯店業適用）合計,　　　 薪資支出[duplicate]50,　　　 租金支出[duplicate]51,　　　 文具用品[duplicate]52,　　　 郵電費[duplicate]53,　　　 修繕費[duplicate]54,　　　 廣告費[duplicate]55,　　　 水電瓦斯費[duplicate]56,　　　 保險費[duplicate]57,　　　 交際費[duplicate]58,　　　 稅捐[duplicate]60,　　　 呆帳損失,　　　 折舊[duplicate]62,　　　 職工福利[duplicate]63,　　　 其他費用[duplicate]64,　　　 薪資支出[duplicate]37,　　　 修繕費[duplicate]38,　　　 其他費用[duplicate]40,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 當期所得稅費用（利益）
2901,2015年第3季,,,,                 21784,                 21784,                     70,                 21714,,                  6533,                  6533,,,                 24669,                 24669,                 24669,                 52916,,,                  2339,                  2339,,                  1801,                  1801,                  4140,                 48776,                 48776,,,                  3224,                    697,                     73,                     12,                  1750,                    -90,                  1548,                    258,                     33,                  2628,                  2970,                    123,                    341,                  1849,                 15416,,                  6560,                              0,                     94,                     18,                    633,                              0,                    116,                    303,                    673,                              0,                     88,                    254,                    109,                              0,                  1117,                  9965,                 25381,                 23395,,,,                  1004,                  1004,                    208,                    961,                  2173,,                      5,                     -5,                  2168,                 25563,,                  4328,                    -18,                  4310,                 21253,                 21253,,,                   -500,                   -500,                   -500,                 20753,,                              0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2901,2015年第2季,,,,                 22053,                 22053,                     75,                 21978,,                  6529,                  6529,,,                  6000,                  6000,                  6000,                 34507,,,                  3782,                  3782,,                  1784,                  1784,                  5566,                 28941,                 28941,,,                  2945,                    697,                     67,                     23,                  1011,                    732,                  1262,                    257,                     33,                  2592,                  2964,                    123,                    316,                  1988,                 15010,,                  4540,                              0,                     24,                     11,                    572,                              0,                     87,                    323,                    704,,,,,                              0,,                  7592,                 22602,                  6339,,,,                  1009,                  1009,,                    916,                  1925,,                              0,                     -2,                  1923,                  8262,,                  1422,                    -17,                  1405,                  6857,                  6857,,,                   -326,                   -326,                   -326,                  6531,,                              0.09,                     96,                    253,                    110,                    872,                      2,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2901,2015年01月01日至2015年09月30日,,,,                 64891,                 64891,                    266,                 64625,,                 19561,                 19561,,,                 36669,                 36669,                 36669,                120855,,,                  8854,                  8854,,                  5392,                  5392,                 14246,                106609,                106609,,,                  9225,                  2092,                    210,                     61,                  3633,                  1419,                  3891,                    776,                     98,                  7860,                  8892,                    338,                    976,                  5854,                 45325,,                 15737,                              0,                    167,                     56,                  1750,                              0,                    282,                    926,                  2189,                              0,                    265,                    760,                    300,                              0,                  3185,                 25617,                 70942,                 35667,,,,                  2934,                  2934,                    208,                  2923,                  6065,,                      5,                     -5,                  6060,                 41727,,                  7111,                    -53,                  7058,                 34669,                 34669,,,                   -588,                   -588,                   -588,                 34081,,                              0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2901,2015年01月01日至2015年06月30日,,,,                 43107,                 43107,                    196,                 42911,,                 13028,                 13028,,,                 12000,                 12000,                 12000,                 67939,,,                  6515,                  6515,,                  3591,                  3591,                 10106,                 57833,                 57833,,,                  6001,                  1395,                    138,                     49,                  1886,                  1509,                  2343,                    515,                     65,                  5232,                  5923,                    215,                    635,                  4003,                 29909,,                  9178,                              0,                     74,                     38,                  1117,                              0,                    166,                    623,                  1516,,,,,                              0,,                 15652,                 45561,                 12272,,,,                  1930,                  1930,,                  1965,                  3895,,                              0,                     -3,                  3892,                 16164,,                  2783,                    -35,                  2748,                 13416,                 13416,,,                    -88,                    -88,                    -88,                 13328,,                              0.18,                    177,                    505,                    191,                  2067,                      3,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2901,2015年01月01日至2015年03月31日,,,,                 21054,                 21054,                    121,                 20933,,                  6499,                  6499,,,                  6000,                  6000,                  6000,                 33432,,,                  2733,                  2733,,                  1807,                  1807,                  4540,                 28892,                 28892,,,                  3056,                    697,                     70,                     25,                    874,                    777,                  1080,                    257,                     32,                  2639,                  2958,                     91,                    319,                  2024,                 14899,,,,,,,,,,,                              0,,,,,,                  8060,                 22959,                  5933,,,,                    921,                    921,,                  1049,                  1970,,,                     -1,                  1969,                  7902,,,,                  1343,                  6559,                  6559,,,                    238,                    238,                    238,                  6797,,                              0.09,,,,,                      1,,,,,,,,,,,,                              0,                              0,                              0,                  4637,                              0,                     49,                     26,                    544,                              0,                     78,                    299,                    811,                     81,                              0,                    251,                              0,                  1284,,,,,,,,,
2901,2014年第3季,,,,                 20354,                 20354,                     48,                 20306,,                  6467,                  6467,,,                 20596,                 20596,                 20596,                 47369,,,                  2360,                  2360,,                  1814,                  1814,                  4174,                 43195,                 43195,,,                  3168,                    697,                     74,                     27,                  1222,                     -1,                  1631,                    260,                     32,                  2640,                  2917,                     91,                    323,                  2005,                 15086,,                  5895,                              0,                     91,                     31,                    678,                              0,                    124,                    272,                    553,                              0,                     88,                    254,                     81,                     23,                    912,                  9002,                 24088,                 19107,,,,                    922,                    922,                    191,                    904,                  2017,,                      2,                     -2,                  2015,                 21122,,                  3755,                    -18,                  3737,                 17385,                 17385,,,                    158,                    158,                    158,                 17543,,                              0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2901,2014年第2季,,,,                 21824,                 21824,                     68,                 21756,,                  6517,                  6517,,,                  6000,                  6000,                  6000,                 34273,,,                  3616,                  3616,,                  1797,                  1797,                  5413,                 28860,                 28860,,,                  2946,                    697,                     74,                     25,                  1486,                    486,                  1262,                    266,                     33,                  2604,                  2914,                     91,                    295,                  1944,                 15123,,                  4683,                     45,                     30,                     12,                    512,                     90,                     92,                    296,                    676,,,,,                      6,,                  8213,                 23336,                  5524,,,,                    928,                    928,,                    929,                  1857,,                              0,                     -1,                  1856,                  7380,,                  3164,                 -1905,                  1259,                  6121,                  6121,,,                    239,                    239,                    239,                  6360,,                              0.08,                     96,                    253,                     86,                  1336,                      1,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2901,2014年度,,,,                 86147,                 86147,                    366,                 85781,,                 25948,                 25948,,,                 38597,                 38597,                 38597,                150326,,,                 13094,                 13094,,                  7244,                  7244,                 20338,                129988,                129988,,,                 12024,,,,                  5502,,                  5214,,                  2164,                 10536,                 11714,,,                 16708,                 61698,,,,,,,,,,,,,,,,,                 32693,                 94391,                 35597,,,,                  3629,                  3629,                    199,                  4609,                  8437,,                              0,                   -739,                  7698,                 43295,,,,                  7511,                 35784,                 35784,,,,,                   -288,                 35496,,                              0.49,,,,,                    739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 20119,                  2333,                  8077,,                              0,                     49,                   -406,                    -69,
2901,2014年01月01日至2014年09月30日,,,,                 63172,                 63172,                    288,                 62884,,                 19453,                 19453,,,                 32596,                 32596,                 32596,                114933,,,                  8793,                  8793,,                  5431,                  5431,                 14224,                100709,                100709,,,                  9179,                  2092,                    222,                     77,                  4231,                  1063,                    385,                    790,                    106,                  7896,                    878,                    274,                    925,                 17272,                 45390,,                 15301,                              0,                    167,                     76,                  1746,                              0,                    307,                    941,                  1892,                              0,                    266,                    763,                    253,                     29,                  3487,                 25228,                 70618,                 30091,,,,                  2684,                  2684,                    191,                  2818,                  5693,,                      2,                     -2,                  5691,                 35782,,                  5263,                    971,                  6234,                 29548,                 29548,,,                    306,                    306,                    306,                 29854,,                              0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2901,2014年01月01日至2014年06月30日,,,,                 42818,                 42818,                    240,                 42578,,                 12986,                 12986,,,                 12000,                 12000,                 12000,                 67564,,,                  6433,                  6433,,                  3617,                  3617,                 10050,                 57514,                 57514,,,                  6011,                  1395,                    148,                     50,                  3009,                  1064,                  2221,                    530,                     73,                  5256,                  5850,                    182,                    603,                  3912,                 30304,,                  9406,                     90,                     76,                     45,                  1067,                      9,                    183,                    670,                  1340,,,,,                      6,,                 16226,                 46530,                 10984,,,,                  1762,                  1762,,                  1916,                  3678,,                              0,                     -2,                  3676,                 14660,,                  1323,                  1174,                  2497,                 12163,                 12163,,,                    148,                    148,                    148,                 12311,,                              0.17,                    177,                    509,                    171,                  2477,                      2,                              0,                              0,                              0,,                              0,                              0,                              0,,                              0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
