證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 其他費用,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 外幣兌換損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 其他減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 權益工具投資之利益（損失）,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
1516,2015年第3季,,,,                 87995,                 87995,                 87995,                 87995,,,                 86568,                 86568,                 86568,                  1427,                  1427,,,                              0,,                  3330,,                              0,                              0,                  3330,,                              0,                 -1903,,,,                     65,                     26,                              0,                     91,,                              0,                              0,                              0,                     12,,                              0,                              0,                              0,                    -12,,                              0,,                              0,,                              0,                              0,,                              0,                     79,                 -1824,,                              0,                              0,                              0,                 -1824,,                              0,                 -1824,,,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                 -1824,,                             -0.08,,,,,,,,,,,,,
1516,2015年第2季,,,,                 51336,                 51336,                 51336,                 51336,,,                 45979,                 45979,                 45979,                  5357,                  5357,,,                              0,,                  3510,,                              0,                              0,                  3510,,                              0,                  1847,,,,                     69,                     38,                  1268,                  1375,,                              0,                     35,                              0,                              0,,                  6022,                              0,                  6022,                 -5987,,                              0,,                              0,,                    111,                    111,,                              0,                 -4723,                 -2876,,                    107,                              0,                    107,                 -2983,,                              0,                 -2983,,,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                 -2983,,                             -0.13,,,,,,,,,,,,,
1516,2015年01月01日至2015年09月30日,,,,                191999,                191999,                191999,                191999,,,                178293,                178293,                178293,                 13706,                 13706,,,                              0,,                 10775,,                              0,                              0,                 10775,,                              0,                  2931,,,,                    374,                     79,                 80553,                 81006,,                              0,                              0,                              0,                     78,,                  6022,                              0,                  6022,                 -6100,,                              0,,                              0,,                    414,                    414,,                              0,                 74492,                 77423,,                    107,                              0,                    107,                 77316,,                              0,                 77316,,,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                 77316,,                              3.40,,,,,,,,,,,,,
1516,2015年01月01日至2015年06月30日,,,,                104004,                104004,                104004,                104004,,,                 91725,                 91725,                 91725,                 12279,                 12279,,,                              0,,                  7445,,                              0,                              0,                  7445,,                              0,                  4834,,,,                    310,                     53,                 80552,                 80915,,                              0,                              0,                              0,                     66,,                  6022,                              0,                  6022,                 -6088,,                              0,,                              0,,                    414,                    414,,                              0,                 74413,                 79247,,                    107,                              0,                    107,                 79140,,                              0,                 79140,,,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                 79140,,                              3.52,,,,,,,,,,,,,
1516,2015年01月01日至2015年03月31日,,,,                 52668,                 52668,                 52668,                 52668,,,                 45746,                 45746,                 45746,                  6922,                  6922,,,                              0,,                  3935,,                              0,                              0,                  3935,,                              0,                  2987,,,,                    241,                     15,                 79284,                 79540,,                              0,                              0,                              0,                    101,,,                              0,                              0,                   -101,,                              0,,                              0,,                    303,                    303,,                              0,                 79136,                 82123,,                              0,                              0,                              0,                 82123,,                              0,                 82123,,,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                 82123,,                              3.80,,,,,,,,,,,,,
1516,2014年第3季,,,,                 52996,                 52996,                 52996,                 52996,,,                 46566,                 46566,                 46566,                  6430,                  6430,,,                              0,,                  3351,,                              0,                              0,                  3351,,                              0,                  3079,,,,                              0,                     26,                  5117,                  5143,,                              0,                              0,                              0,                      6,,                              0,                              0,                              0,                     -6,,                              0,,                              0,,                    511,                    511,,                              0,                  4626,                  7705,,                              0,                              0,                              0,                  7705,,                              0,                  7705,,,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                  7705,,                              0.37,,,,,,,,,,,,,
1516,2014年第2季,,,,                 50152,                 50152,                 50152,                 50152,,,                 44098,                 44098,                 44098,                  6054,                  6054,,,                              0,,                  2898,,                              0,                              0,                  2898,,                              0,                  3156,,,,                      8,                     27,                     51,                     86,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,,                              0,,                    328,                    328,,                              0,                   -242,                  2914,,                              0,                              0,                              0,                  2914,,                              0,                  2914,,,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                  2914,,                              0.14,,,,,,,,,,,,,
1516,2014年度,,,,                209101,                209101,                209101,                209101,,,                191417,                191417,                191417,                 17684,                 17684,,,                              0,,                 12263,,                              0,                              0,                 12263,,                              0,                  5421,,,,                     82,                    105,                 21040,                 21227,,                              0,                              0,                              0,                              0,,,                              0,                              0,                              0,,                              0,,                              0,,                  1488,                  1488,,                              0,                 19739,                 25160,,,                 -7500,                 -7500,                 32660,,                              0,                 32660,,,,,,,,,,,,,                              0,                 32660,,                              1.24,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0
1516,2014年01月01日至2014年09月30日,,,,                147405,                147405,                147405,                147405,,,                131652,                131652,                131652,                 15753,                 15753,,,                              0,,                  8976,,                              0,                              0,                  8976,,                              0,                  6777,,,,                      8,                     79,                  6332,                  6419,,                              0,                              0,                              0,                      6,,                              0,                              0,                              0,                     -6,,                              0,,                              0,,                  1002,                  1002,,                              0,                  5411,                 12188,,                              0,                              0,                              0,                 12188,,                              0,                 12188,,,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                 12188,,                              0.58,,,,,,,,,,,,,
1516,2014年01月01日至2014年06月30日,,,,                 94409,                 94409,                 94409,                 94409,,,                 85086,                 85086,                 85086,                  9323,                  9323,,,                              0,,                  5625,,                              0,                              0,                  5625,,                              0,                  3698,,,,                      8,                     53,                  1215,                  1276,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,,                              0,,                    491,                    491,,                              0,                    785,                  4483,,                              0,                              0,                              0,                  4483,,                              0,                  4483,,,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,                  4483,,                              0.21,,,,,,,,,,,,,
