證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1762,2015年第3季,,                265421,,                167866,                 97555,                 97555,,,                 24609,,                 18769,,                 32612,                 75990,                 21565,,,                  7709,,                 10568,,                  1671,                 16606,                 38171,,                  6105,                 32066,                 32066,,,                  1046,                -11062,                -10016,                -10016,                 22050,,                 32018,                     48,,                 21980,                     70,,                              0.41,                              0.41,,                              0.41,                              0.41,,,,
1762,2015年第2季,,                292561,,                200873,                 91688,                 91688,,,                 22644,,                 19459,,                 32349,                 74452,                 17236,,,                  3606,,                 -3451,,                  1631,                 -1476,                 15760,,                  2556,                 13204,                 13204,,,                   -200,                 -5531,                 -5731,                 -5731,                  7473,,                 13179,                     25,,                  7453,                     20,,                              0.17,                              0.17,,                              0.17,                              0.17,,,,
1762,2015年01月01日至2015年09月30日,,                805516,,                571698,                233818,                233818,,,                 70198,,                 57165,,                 96861,                224224,                  9594,,,                 14875,,                229392,,                  6438,                237829,                247423,,                  1592,                245831,                245831,,,                    704,                -16593,                -15889,                -15889,                229942,,                245862,                    -31,,                229958,                    -16,,                              3.17,                              3.17,,                              3.16,                              3.16,,,,
1762,2015年01月01日至2015年06月30日,,                540095,,                403832,                136263,                136263,,,                 45589,,                 38396,,                 64249,                148234,                -11971,,,                  7166,,                218824,,                  4767,                221223,                209252,,                 -4513,                213765,                213765,,,                   -342,                 -5531,                 -5873,                 -5873,                207892,,                213844,                    -79,,                207978,                    -86,,                              2.76,                              2.76,,                              2.75,                              2.75,,,,
1762,2015年01月01日至2015年03月31日,,                247534,,                202959,                 44575,                 44575,,,                 22945,,                 18937,,                 31900,                 73782,                -29207,,,                  3560,,                222275,,                  3136,                222699,                193492,,                 -7069,                200561,                200561,,,                   -142,                              0,                   -142,                   -142,                200419,,                200665,                   -104,,                200525,                   -106,,                              2.59,                              2.59,,                              2.58,                              2.58,,,,
1762,2014年第3季,,                162650,,                129250,                 33400,                 33400,,,                 17956,,                 17020,,                 34177,                 69153,                -35753,,,                  9682,,                  2274,,                  3579,                  8377,                -27376,,                 -5638,                -21738,                -21738,,,                    164,                -10810,                -10646,                -10646,                -32384,,                -21696,                    -42,,                -32346,                    -38,,                             -0.28,                             -0.28,,                             -0.28,                             -0.28,,,,
1762,2014年第2季,,                242409,,                148799,                 93610,                 93610,,,                 17909,,                 16061,,                 32060,                 66030,                 27580,,,                  6437,,                 -3928,,                  3275,                   -766,                 26814,,                  2606,                 24208,                 24208,,,                   -765,                 -1257,                 -2022,                 -2022,                 22186,,                 24084,                    124,,                 22078,                    108,,                              0.31,                              0.31,,                              0.31,                              0.31,,,,
1762,2014年度,,                946704,,                649948,                296756,                296756,,,                 80122,,                 63262,,                130022,                273406,                 23350,,,                 17327,,                 11252,,                 14022,                 14557,                 37907,,                 22996,                 14911,                 14911,,,,,,                -17001,                 -2090,,                 14592,                    319,,                 -2424,                    334,,                              0.19,                              0.19,,                              0.19,                              0.19,                    718,                -15335,                 -2872,                   -488
1762,2014年01月01日至2014年09月30日,,                654282,,                446793,                207489,                207489,,,                 58204,,                 48178,,                 98695,                205077,                  2412,,,                 18514,,                  2765,,                 10066,                 11213,                 13625,,                   -665,                 14290,                 14290,,,                    206,                -11312,                -11106,                -11106,                  3184,,                 14200,                     90,,                  3089,                     95,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,
1762,2014年01月01日至2014年06月30日,,                491632,,                317543,                174089,                174089,,,                 40248,,                 31158,,                 64518,                135924,                 38165,,,                  8832,,                    491,,                  6487,                  2836,                 41001,,                  4973,                 36028,                 36028,,,                     42,                   -502,                   -460,                   -460,                 35568,,                 35896,                    132,,                 35435,                    133,,                              0.46,                              0.46,,                              0.46,                              0.46,,,,
