證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
6278,2015年第3季,,              7903835,,              7111567,                792268,                792268,,,                 52369,,                220105,,                126437,                398911,                393357,,,                 58833,,               -102884,,                 15657,,                  7977,                -51731,                341626,,                117483,                224143,                224143,,,                883694,                883694,                883694,              1107837,,                229849,                 -5706,,              1113268,                 -5431,,                              0.78,                              0.78,,                              0.78,                              0.78,,,
6278,2015年第2季,,              7164889,,              6524160,                640729,                640729,,,                 59842,,                198152,,                115230,                373224,                267505,,,                 48777,,                   -728,,                 14980,,                 12330,                 45399,                312904,,                122285,                190619,                190619,,,               -199084,               -199084,               -199084,                 -8465,,                195676,                 -5057,,                 -3045,                 -5420,,                              0.66,                              0.66,,                              0.66,                              0.66,,,
6278,2015年01月01日至2015年09月30日,,             22243424,,             20268235,              1975189,              1975189,,,                165132,,                630108,,                354456,              1149696,                825493,,,                177541,,               -119457,,                 45779,,                 36594,                 48899,                874392,,                202446,                671946,                671946,,,                523077,                523077,                523077,              1195023,,                685264,                -13318,,              1208318,                -13295,,                              2.32,                              2.32,,                              2.30,                              2.30,,,
6278,2015年01月01日至2015年06月30日,,             14339589,,             13156668,              1182921,              1182921,,,                112763,,                410003,,                228019,                750785,                432136,,,                118708,,                -16573,,                 30122,,                 28617,                100630,                532766,,                 84963,                447803,                447803,,,               -360617,               -360617,               -360617,                 87186,,                455415,                 -7612,,                 95050,                 -7864,,                              1.54,                              1.54,,                              1.53,                              1.53,,,
6278,2015年01月01日至2015年03月31日,,              7174700,,              6632508,                542192,                542192,,,                 52921,,                211851,,                112789,                377561,                164631,,,                 69931,,                -15845,,                 15142,,                 16287,                 55231,                219862,,                -37322,                257184,                257184,,,               -161533,               -161533,               -161533,                 95651,,                259739,                 -2555,,                 98095,                 -2444,,                              0.92,                              0.92,,                              0.92,                              0.92,,,
6278,2014年第3季,,              9079059,,              8280028,                799031,                799031,,,                 61872,,                268093,,                123639,                453604,                345427,,,                 70422,,                 50174,,                 16738,,                 27810,                131668,                477095,,                104169,                372926,                372926,,,                245650,                245650,                245650,                618576,,                341292,                 31634,,                592613,                 25963,,                              1.16,                              1.16,,                              1.15,                              1.15,,,
6278,2014年第2季,,              8734558,,              7862837,                871721,                871721,,,                 61260,,                227173,,                113631,                402064,                469657,,,                 92344,,                -21055,,                 11697,,                 26752,                 86344,                556001,,                208638,                347363,                347363,,,               -290552,               -290552,               -290552,                 56811,,                245360,                102003,,                 22905,                 33906,,                              0.83,                              0.83,,                              0.83,                              0.83,,,
6278,2014年度,,             33961612,,             30698825,              3262787,              3262787,,,                231808,,                954807,,                464616,              1651231,              1611556,,,                335750,,               -212685,,                 58438,,                 89087,                153714,              1765270,,                541223,              1224047,              1224047,,,,,                664600,              1888647,,              1061754,                162293,,              1739697,                148950,,                              3.78,                              3.78,,                              3.74,                              3.74,                782656,               -117390,                   -666
6278,2014年01月01日至2014年09月30日,,             25487313,,             23099663,              2387650,              2387650,,,                165733,,                707553,,                344571,              1217857,              1169793,,,                251358,,               -171537,,                 39910,,                 70370,                110281,              1280074,,                430629,                849445,                849445,,,                219935,                219935,                219935,              1069380,,                692780,                156665,,                924752,                144628,,                              2.35,                              2.35,,                              2.33,                              2.33,,,
6278,2014年01月01日至2014年06月30日,,             16408254,,             14819635,              1588619,              1588619,,,                103861,,                439460,,                220932,                764253,                824366,,,                180936,,               -221711,,                 23172,,                 42560,                -21387,                802979,,                326460,                476519,                476519,,,                -25715,                -25715,                -25715,                450804,,                351488,                125031,,                332139,                118665,,                              1.19,                              1.19,,                              1.18,                              1.18,,,
