證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）
2102,2015年第3季,,              1831665,,              1338409,                493256,                493256,,,                226503,,                 71636,                298139,                195117,,,                 21949,,                 43768,,                  8054,,                              0,                 57663,                252780,,                 39005,                213775,                213775,,,                              0,                              0,,                135953,                135953,                135953,                349728,,                213775,                              0,,                349728,                              0,,                              0.47,                              0.47,,                              0.47,                              0.47,,
2102,2015年第2季,,              1982531,,              1491383,                491148,                491148,,,                230511,,                 61859,                292370,                198778,,,                  4857,,                -14059,,                  8090,,                              0,                -17292,                181486,,                 58581,                122905,                122905,,,,,,                -44837,                -44837,                -44837,                 78068,,                122905,,,                 78068,,,                              0.27,                              0.27,,                              0.27,                              0.27,,
2102,2015年01月01日至2015年09月30日,,              5792408,,              4361693,              1430715,              1430715,,,                712824,,                192253,                905077,                525638,,,                 29441,,                 18375,,                 24036,,                              0,                 23780,                549418,,                115905,                433513,                433513,,,                              0,                              0,,                 50441,                 50441,                 50441,                483954,,                433513,                              0,,                483954,                              0,,                              0.96,                              0.96,,                              0.96,                              0.96,,
2102,2015年01月01日至2015年06月30日,,              3960743,,              3023284,                937459,                937459,,,                486321,,                120617,                606938,                330521,,,                  7492,,                -25393,,                 15982,,                              0,                -33883,                296638,,                 76900,                219738,                219738,,,,,,                -85512,                -85512,                -85512,                134226,,                219738,,,                134226,,,                              0.49,                              0.49,,                              0.49,                              0.49,,
2102,2015年01月01日至2015年03月31日,,              1978212,,              1531901,                446311,                446311,,,                255810,,                 58758,                314568,                131743,,,                  2635,,                -11334,,                  7892,,                              0,                -16591,                115152,,                 18319,                 96833,                 96833,,,,,,                -40675,                -40675,                -40675,                 56158,,                 96833,,,                 56158,,,                              0.22,                              0.22,,                              0.22,                              0.22,,
2102,2014年第3季,,              1793288,,              1432770,                360518,                360518,,,                222903,,                 49729,                272632,                 87886,,,                  8741,,                  6832,,                  9241,,                     -1,                  6331,                 94217,,                 24051,                 70166,                 70166,,,                              0,                              0,,                 85909,                 85909,                 85909,                156075,,                 70166,                              0,,                156075,                              0,,                              0.16,                              0.16,,                              0.16,                              0.16,,
2102,2014年第2季,,              1977761,,              1522505,                455256,                455256,,,                213652,,                 71257,                284909,                170347,,,                 11345,,                -14543,,                 10997,,                     -1,                -14196,                156151,,                 49190,                106961,                106961,,,,,,                -57497,                -57497,                -57497,                 49464,,                106961,,,                 49464,,,                              0.24,                              0.24,,                              0.24,                              0.24,,
2102,2014年度,,              7664605,,              6032144,              1632461,              1632461,,,                851349,,                252959,              1104308,                528153,,,                 44507,,                 29960,,                 36304,,                     -7,                 38156,                566309,,                143273,                423036,                423036,,,,,,,,                123762,                546798,,                423036,,,                546798,,,                              0.95,                              0.95,,                              0.95,                              0.95,                123086,                    676
2102,2014年01月01日至2014年09月30日,,              5850375,,              4564968,              1285407,              1285407,,,                649755,,                179465,                829220,                456187,,,                 30065,,                 -2418,,                 29328,,                     -7,                 -1688,                454499,,                116683,                337816,                337816,,,                              0,                              0,,                 23390,                 23390,                 23390,                361206,,                337816,                              0,,                361206,                              0,,                              0.75,                              0.75,,                              0.75,                              0.75,,
2102,2014年01月01日至2014年06月30日,,              4057087,,              3132198,                924889,                924889,,,                426852,,                129736,                556588,                368301,,,                 21325,,                 -9250,,                 20087,,                     -7,                 -8019,                360282,,                 92632,                267650,                267650,,,,,,                -62519,                -62519,                -62519,                205131,,                267650,,,                205131,,,                              0.59,                              0.59,,                              0.59,                              0.59,,
2102,2014年01月01日至2014年03月31日,,              2079326,,              1609693,                469633,                469633,,,                213200,,                 58479,                271679,                197954,,,                  9980,,                  5293,,                  9090,,                     -6,                  6177,                204131,,                 43442,                160689,                160689,,,,,,                 -5022,                 -5022,                 -5022,                155667,,                160689,,,                155667,,,                              0.36,                              0.36,,                              0.36,                              0.36,,
