證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
5706,2015年第2季,,,,                879957,                879957,                879957,                879957,,,                752605,                752605,                752605,                127352,                127352,,,                 52062,,                 16102,                 68164,,                  1263,                 60451,,,                    259,,                 20228,,                              0,,                  3463,                 23950,                 84401,,                  5128,                 79273,,                              0,                 79273,,,                   -692,                -43996,,                   -178,                              0,                -44866,                -44866,                 34407,,                 76778,                  2495,,                 32328,                  2079,,                              1.29,,                              1.29,,,,,,
5706,2015年01月01日至2015年06月30日,,,,              1471037,              1471037,              1471037,              1471037,,,              1245393,              1245393,              1245393,                225644,                225644,,,                 92286,,                 33160,                125446,,                  2424,                102622,,,                  1014,,                 22741,,                    116,,                 -4802,                 18837,                121459,,                 12038,                109421,,                              0,                109421,,,                 -1247,                -28051,,                   -342,                              0,                -29640,                -29640,                 79781,,                106899,                  2522,,                 77997,                  1784,,                              1.79,,                              1.79,,,,,,
5706,2015年01月01日至2015年03月31日,,,,,,                591080,                591080,,,,,                492788,                 98292,                 98292,,,                 40224,,                 17058,                 57282,,                  1161,                 42171,,,                    755,,                  2513,,                    116,,                 -8265,                 -5113,                 37058,,                  6910,                 30148,,                              0,                 30148,,,                   -555,                 15945,,                   -164,                              0,                 15226,                 15226,                 45374,,                 30121,                     27,,                 45669,                   -295,,                              0.51,,                              0.50,,,,,,
5706,2014年第3季,,,,              1053682,              1053682,              1053682,              1053682,,,                940216,                940216,                940216,                113466,                113466,,,                 49480,,                 12969,                 62449,,                  2452,                 53469,,,                  5058,,                  9586,,                    228,,                  5411,                 19827,                 73296,,                  9228,                 64068,,,                 64068,,,,,,,,,                 -8288,                 55780,,                 62694,                  1374,,                 53688,                  2092,,                              1.03,,                              1.03,                  1339,                 -9628,,,                      1,                              0
5706,2014年第2季,,,,                825633,                825633,                825633,                825633,,,                717097,                717097,                717097,                108536,                108536,,,                 48075,,                 20321,                 68396,,                  2317,                 42457,,,                    198,,                  2750,,                    399,,                 -1366,                  1183,                 43640,,                  5925,                 37715,,                              0,                 37715,,,                   -863,                  7792,,                   -174,                              0,                  6755,                  6755,                 44470,,                 38987,                 -1272,,                 46238,                 -1768,,                              0.64,,                              0.64,,,,,,
5706,2014年度,,,,,,,              2884999,,,,,              2541478,                343521,                343521,,,                182309,,                 69168,                251477,,                  9672,                101716,,,                  5522,,                 31592,,                  1371,,                 13242,                 48985,                150701,,                 23565,                127136,,,                127136,,,,,,,,,                 38274,                165410,,                125497,                  1639,,                162768,                  2642,,                              2.07,,                              2.07,                  1636,                 38466,                 -2931,,                    605,                   -498
5706,2014年01月01日至2014年09月30日,,,,              2392528,              2392528,              2392528,              2392528,,,              2105619,              2105619,              2105619,                286909,                286909,,,                138645,,                 51721,                190366,,                  7236,                103779,,,                  5311,,                 21471,,                    917,,                  5671,                 31536,                135315,,                 18059,                117256,,,                117256,,,,,,,,,                 -5225,                112031,,                117801,                   -545,,                112569,                   -538,,                              1.93,,                              1.93,                     87,                 -5320,,,                      8,                              0
5706,2014年01月01日至2014年06月30日,,,,              1338846,              1338846,              1338846,              1338846,,,              1165403,              1165403,              1165403,                173443,                173443,,,                 89165,,                 38752,                127917,,                  4784,                 50310,,,                    253,,                 11885,,                    689,,                    260,                 11709,                 62019,,                  8831,                 53188,,                              0,                 53188,,,                 -1211,                  4308,,                    -34,                              0,                  3063,                  3063,                 56251,,                 55107,                 -1919,,                 58881,                 -2630,,                              0.90,,                              0.90,,,,,,
5706,2014年01月01日至2014年03月31日,,,,,,                513213,                513213,,,,,                448306,                 64907,                 64907,,,                 41090,,                 18431,                 59521,,                  2467,                  7853,,,                     55,,                  9135,,                    290,,                  1626,                 10526,                 18379,,                  2906,                 15473,,                              0,                 15473,,,                   -348,                 -3484,,                    140,                              0,                 -3692,                 -3692,                 11781,,                 16120,                   -647,,                 12643,                   -862,,                              0.26,,                              0.26,,,,,,
5706,2013年第3季,,,,              1075622,              1075622,              1075622,              1075622,,,                947126,                947126,                947126,                128496,                128496,,,                 51631,,                 18052,                 69683,,                  1004,                 59817,,,                  8243,,                  7798,,                              0,,                 14839,                 30880,                 90697,,                 10974,                 79723,,,                 79723,,,,,,,,,                 -8319,                 71404,,                 78845,                    878,,                 70777,                    627,,                              1.29,,                              1.29,                   -267,                 -7884,,,                   -168,                              0
