證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
2385,2013年第3季,,             18332492,,             15475202,              2857290,              2857290,,,                701595,,                590689,,                581740,              1874024,                983266,,,                 73056,,                237656,,                 11148,,                 17349,                316913,              1300179,,                220279,              1079900,              1079900,,,,,,,,               -121616,                958284,,                933012,                146888,,                704877,                253407,,                              1.43,                              1.43,,                              1.41,                              1.41,               -143938,                 22017,,,                    305
2385,2013年第2季,,             17968046,,             15376631,              2591415,              2591415,,,                693782,,                397423,,                511440,              1602645,                988770,,,                176996,,                 21862,,                 21490,,                 -2194,                175174,              1163944,,                188289,                975655,                975655,,,,,,,,                117605,              1093260,,                886369,                 89286,,              1125002,                -31742,,                              1.36,                              1.36,,                              1.35,                              1.35,                118794,                 -4762,,,                  3573
2385,2013年度,,             74539148,,             63100209,             11438939,             11438939,,,              2725831,,              2400186,,              2060193,              7186210,              4252729,,,                440860,,                338907,,                 85470,,                 35994,                730291,              4983020,,                853279,              4129741,              4129741,,,,,,,,              1864384,              5994125,,              3782029,                347712,,              5577272,                416853,,                              5.81,                              5.81,,                              5.70,                              5.70,                849270,              1013546,                -10257,,                 11825
2385,2013年07月01日至2013年09月30日,,             18332492,,             15475202,              2857290,              2857290,,,                701595,,                590689,,                581740,              1874024,                983266,,,                 73056,,                237656,,                 11148,,                 17349,                316913,              1300179,,                220279,              1079900,              1079900,,,,,,,,               -121616,                958284,,                933012,                146888,,                704877,                253407,,                              1.43,                              1.43,,                              1.42,                              1.42,               -143938,                 22017,,,                    305
2385,2013年04月01日至2013年06月30日,,             17968046,,             15376631,              2591415,              2591415,,,                693782,,                397423,,                511440,              1602645,                988770,,,                176996,,                 21862,,                 21490,,                 -2194,                175174,              1163944,,                188289,                975655,                975655,,,,,,,,                117605,              1093260,,                886369,                 89286,,              1125002,                -31742,,                              1.37,                              1.37,,                              1.35,                              1.35,                118794,                 -4762,,,                  3573
2385,2013年01月01日至2013年09月30日,,             53509978,,             45482153,              8027825,              8027825,,,              1963885,,              1584595,,              1554548,              5103028,              2924797,,,                328423,,                532699,,                 58212,,                 -5050,                797860,              3722657,,                673660,              3048997,              3048997,,,,,,,,              1287921,              4336918,,              2773853,                275144,,              4015258,                321660,,                              4.26,                              4.26,,                              4.21,                              4.21,                585905,                693554,,,                  8462
2385,2013年01月01日至2013年06月30日,,             35177486,,             30006951,              5170535,              5170535,,,              1262290,,                993906,,                972808,              3229004,              1941531,,,                255367,,                295043,,                 47064,,                -22399,                480947,              2422478,,                453381,              1969097,              1969097,,,,,,,,              1409537,              3378634,,              1840841,                128256,,              3310381,                 68253,,                              2.83,                              2.83,,                              2.81,                              2.81,                729843,                671537,,,                  8157
2385,2013年01月01日至2013年03月31日,,             17209440,,             14630320,              2579120,              2579120,,,                568508,,                596483,,                461368,              1626359,                952761,,,                 78371,,                273181,,                 25574,,                -20205,                305773,              1258534,,                265092,                993442,                993442,,,,,,,,              1291932,              2285374,,                954472,                 38970,,              2185379,                 99995,,                              1.48,                              1.48,,                              1.45,                              1.45,                611049,                676299,,,                  4584
2385,2012年07月01日至2012年09月30日,,             17820879,,             14762621,              3058258,              3058258,,,                800114,,                552804,,                484968,              1837886,              1220372,,,                138445,,                158719,,                 26775,,                 -5896,                264493,              1484865,,                267909,              1216956,              1216956,,,,,,,,                -72859,              1144097,,              1116832,                100124,,                998896,                145201,,                              1.73,                              1.73,,                              1.71,                              1.71,               -222140,                149491,,,                   -210
2385,2012年04月01日至2012年06月30日,,             15806042,,             13390088,              2415954,              2415954,,,                421050,,                715774,,                302836,              1439660,                976294,,,                115776,,                -39234,,                 26991,,                 -3294,                 46257,              1022551,,                241547,                781004,                781004,,,,,,,,               -813739,                -32735,,                731823,                 49181,,                 26589,                -59324,,                              1.15,                              1.15,,                              1.12,                              1.12,                 -4161,               -811163,,,                  1585
2385,2012年01月01日至2012年09月30日,,             47510568,,             39914589,              7595979,              7595979,,,              1814085,,              1767633,,              1281027,              4862745,              2733234,,,                295302,,                461189,,                 90980,,                -30562,                634949,              3368183,,                615916,              2752267,              2752267,,,,,,,,             -1094855,              1657412,,              2575455,                176812,,              1506909,                150503,,                              4.02,                              4.02,,                              3.98,                              3.98,               -602079,               -487379,,,                 -5397
2385,2012年01月01日至2012年06月30日,,             29689689,,             25151968,              4537721,              4537721,,,              1013971,,              1214829,,                796059,              3024859,              1512862,,,                156857,,                302470,,                 64205,,                -24666,                370456,              1883318,,                348007,              1535311,              1535311,,,,,,,,             -1021996,                513315,,              1458623,                 76688,,                508013,                  5302,,                              2.29,                              2.29,,                              2.24,                              2.24,               -379939,               -636870,,,                 -5187
2385,2012年01月01日至2012年03月31日,,             13883647,,             11761880,              2121767,              2121767,,,                592921,,                499055,,                493223,              1585199,                536568,,,                 41081,,                341704,,                 37214,,                -21372,                324199,                860767,,                106460,                754307,                754307,,,,,,,,               -208257,                546050,,                726800,                 27507,,                481424,                 64626,,                              1.15,                              1.15,,                              1.13,                              1.13,               -375778,                174293,,,                 -6772
