證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
9910,2015年第3季,,             14848705,,             11708111,              3140594,              3140594,,,              1215247,,                398080,              1613327,              1527267,,,                168998,,                120434,,                 12736,,                 36655,                313351,              1840618,,                455021,              1385597,              1385597,,,                718829,,                  1451,                115117,                605163,                605163,              1990760,,              1254104,                131493,,              1816147,                174613,,                              2.10,,,,,,,,,,
9910,2015年第2季,,             13861422,,             11062335,              2799087,              2799087,,,              1128224,,                365199,              1493423,              1305664,,,                156404,,                -25667,,                 19732,,                 22073,                133078,              1438742,,                363060,              1075682,              1075682,,,               -193237,,                   -685,                -30202,               -163720,               -163720,                911962,,                976045,                 99637,,                828587,                 83375,,                              1.64,,,,,,,,,,
9910,2015年01月01日至2015年09月30日,,             41028144,,             32633726,              8394418,              8394418,,,              3393582,,              1093701,              4487283,              3907135,,,                498829,,                 99892,,                 49326,,                 49531,                598926,              4506061,,              1139089,              3366972,              3366972,,,                373348,,                   -320,                 62483,                310545,                310545,              3677517,,              3068090,                298882,,              3373157,                304360,,                              5.14,,,,,,,,,,
9910,2015年01月01日至2015年06月30日,,             26179439,,             20925615,              5253824,              5253824,,,              2178335,,                695621,              2873956,              2379868,,,                329831,,                -20542,,                 36590,,                 12876,                285575,              2665443,,                684068,              1981375,              1981375,,,               -345481,,                 -1771,                -52634,               -294618,               -294618,              1686757,,              1813986,                167389,,              1557010,                129747,,                              3.04,,,,,,,,,,
9910,2015年01月01日至2015年03月31日,,             12318017,,              9863280,              2454737,              2454737,,,              1050111,,                330422,              1380533,              1074204,,,                173427,,                  5125,,                 16858,,                 -9197,                152497,              1226701,,                321008,                905693,                905693,,,               -152244,,                 -1086,                -22432,               -130898,               -130898,                774795,,                837941,                 67752,,                728423,                 46372,,                              1.45,,,,,,,,,,
9910,2014年第3季,,             12418785,,              9850914,              2567871,              2567871,,,              1047303,,                348013,              1395316,              1172555,,,                183480,,                -35180,,                 14472,,                 19056,                152884,              1325439,,                355464,                969975,                969975,,,                204752,,                  1335,                 30211,                175876,                175876,              1145851,,                873989,                 95986,,              1021494,                124357,,                              1.47,,,,,,,,,,
9910,2014年第2季,,             11899200,,              9417929,              2481271,              2481271,,,                930183,,                304120,              1234303,              1246968,,,                156780,,                -92606,,                 14316,,                 15159,                 65017,              1311985,,                596862,                715123,                715123,,,               -245135,,                 -1516,                -35709,               -210942,               -210942,                504181,,                616032,                 99091,,                441687,                 62494,,                              1.03,,,,,,,,,,
9910,2014年度,,             47653564,,             37885211,              9768353,              9768353,,,              3989570,,              1277879,              5267449,              4500904,,,                687242,,               -127462,,                 60006,,                 54281,                554055,              5054959,,              1612530,              3442429,              3442429,,,,,,,,                538736,              3981165,,              3087151,                355278,,              3543037,                438128,,                              5.33,,,             47653564,             47653564,             47653564,                755146,               -105099,,                  3773,                115084
9910,2014年01月01日至2014年09月30日,,             34548188,,             27527029,              7021159,              7021159,,,              2872311,,                928288,              3800599,              3220560,,,                519240,,               -110694,,                 43899,,                 41631,                406278,              3626838,,              1206309,              2420529,              2420529,,,                224460,,                    814,                 35417,                189857,                189857,              2610386,,              2145820,                274709,,              2318742,                291644,,                              3.60,,,,,,,,,,
9910,2014年01月01日至2014年06月30日,,             22129403,,             17676115,              4453288,              4453288,,,              1825008,,                580275,              2405283,              2048005,,,                335760,,                -75514,,                 29427,,                 22575,                253394,              2301399,,                850845,              1450554,              1450554,,,                 19708,,                   -521,                  5206,                 13981,                 13981,              1464535,,              1271831,                178723,,              1297248,                167287,,                              2.13,,,,,,,,,,
9910,2014年01月01日至2014年03月31日,,             10230203,,              8258186,              1972017,              1972017,,,                894825,,                276155,              1170980,                801037,,,                178980,,                 17092,,                 15111,,                  7416,                188377,                989414,,                253983,                735431,                735431,,,                264843,,                    995,                 40915,                224923,                224923,                960354,,                655799,                 79632,,                855561,                104793,,                              1.13,,,,,,,,,,
9910,2013年第3季,,              9586122,,              7576502,              2009620,              2009620,,,                866151,,                275881,              1142032,                867588,,,                151127,,                -32479,,                 14842,,                 25322,                129128,                996716,,                220623,                776093,                776093,,,,,,,,               -164314,                611779,,                652091,                124002,,                509837,                101942,,                              1.13,,,,,,               -192773,,,                   -678,                -29137
9910,2013年第2季,,              9786402,,              7828635,              1957767,              1957767,,,                854989,,                262894,              1117883,                839884,,,                103772,,                -10384,,                 19019,,                 15075,                 89444,                929328,,                224522,                704806,                704806,,,,,,,,                 24942,                729748,,                637615,                 67191,,                640319,                 89429,,                              1.10,,,,,,                 24048,,,                  1448,                    554
9910,2013年度,,             38148361,,             30707869,              7440492,              7440492,,,              3445061,,              1090250,              4535311,              2905181,,,                548028,,                -52663,,                 67768,,                 60285,                487882,              3393063,,                769385,              2623678,              2623678,,,,,,,,                 89460,              2713138,,              2294038,                329640,,              2361022,                352116,,                              3.96,,,             38148361,             38148361,             38148361,                296676,               -171469,,                  2706,                 38453
9910,2013年07月01日至2013年09月30日,,              9586122,,              7576502,              2009620,              2009620,,,                866151,,                275881,              1142032,                867588,,,                151127,,                -32479,,                 14842,,                 25322,                129128,                996716,,                220623,                776093,                776093,,,,,,,,               -164314,                611779,,                652091,                124002,,                509837,                101942,,                              1.17,,,,,,               -193451,,,,                -29137
9910,2013年04月01日至2013年06月30日,,              9736196,,              7835586,              1900610,              1900610,,,                862558,,                262894,              1125452,                775158,,,                163436,,                 -5322,,                 19019,,                 15075,                154170,                929328,,                224522,                704806,                704806,,,,,,,,                 24942,                729748,,                637615,                 67191,,                640319,                 89429,,                              1.15,,,,,,                 25496,,,,                    554
9910,2013年01月01日至2013年12月31日,,             38148361,,             30707869,              7440492,              7440492,,,              3445061,,              1090250,              4535311,              2905181,,,                548028,,                -52663,,                 67768,,                 60285,                487882,              3393063,,                769385,              2623678,              2623678,,,,,,,,                 89460,              2713138,,              2294038,                329640,,              2361022,                352116,,                              4.12,,,             38148361,             38148361,             38148361,                296676,               -171469,,                  2706,                 38453
9910,2013年01月01日至2013年09月30日,,             27988208,,             22481521,              5506687,              5506687,,,              2550940,,                782140,              3333080,              2173607,,,                384650,,                -29425,,                 52677,,                 50185,                352733,              2526340,,                575793,              1950547,              1950547,,,,,,,,                156698,              2107245,,              1692824,                257723,,              1781657,                325588,,                              2.92,,,,,,                172139,,,                  2753,                 18194
9910,2013年01月01日至2013年06月30日,,             18402086,,             14905019,              3497067,              3497067,,,              1684789,,                506259,              2191048,              1306019,,,                233523,,                  3054,,                 37835,,                 24863,                223605,              1529624,,                355170,              1174454,              1174454,,,,,,,,                321012,              1495466,,              1040733,                133721,,              1271820,                223646,,                              1.80,,,,,,                364912,,,                  3431,                 47331
9910,2013年01月01日至2013年03月31日,,              8615684,,              7076384,              1539300,              1539300,,,                829800,,                243365,              1073165,                466135,,,                129751,,                 13438,,                 18816,,                  9788,                134161,                600296,,                130648,                469648,                469648,,,,,,,,                296070,                765718,,                403118,                 66530,,                631501,                134217,,                              0.72,,,,,,                340864,,,                  1983,                 46777
