證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金收入,　　　　　 手續費及佣金收入合計,　　　　 手續費費用及佣金支出,　　　　　 手續費費用及佣金支出合計,　　　　 手續費及佣金淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現損益,　　　 持有至到期日金融資產之已實現損益,　　　　 持有至到期日金融資產之已實現損益,　　　 兌換損益,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 以成本衡量之金融負債淨利益（損失）,　　　　　 以成本衡量之金融負債淨利益（損失）,　　　　 發行認購（售）權證費用,　　　　　 發行認購（售）權證費用合計,　　　　 股務代理收入,　　　　　 股務代理收入合計,　　　　 營業資產租金淨利益（損失）,　　　　　 營業資產租金淨利益（損失）,　　　　 租賃收入,　　　　　 租賃收入合計,　　　　 財產交易利益淨利益（損失）,　　　　　 財產交易利益淨利益（損失）,　　　　 其他什項淨利益（損失）,　　　　　 其他什項淨利益（損失）,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益（損失） ,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主[duplicate]68,　　 非控制股權,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 繼續營業單位稅後淨利（淨損）[duplicate]74,　　 稀釋每股盈餘合計,　　　　 採用權益法認列關聯企業及合資損益之份額,　　　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 以成本衡量之金融資產淨利益（損失）,　　　　　 以成本衡量之金融資產淨利益（損失）,　　 母公司業主[duplicate]64,　　 繼續營業單位稅後淨利（淨損）[duplicate]70,　　　　 出售承受擔保品淨利益（損失）,　　　　　 出售承受擔保品淨利益（損失）,　　　　 顧問服務收入,　　　　　 顧問服務收入合計,　　　　 賠償收入,　　　　　 賠償收入合計,　 繼續營業單位稅前損益,　　 國外營運機構財務報表換算之兌換差額 ,　　 備供出售金融資產未實現評價利益（損失） ,　　 現金流量避險中屬有效避險部分之避險工具利益（損失） ,　　 確定福利計畫精算利益（損失） ,　　 與其他綜合損益組成部分相關之所得稅 ,　　 本期其他綜合損益（稅後淨額）,　　 母公司業主[duplicate]70,　　 繼續營業單位稅後淨利（淨損）[duplicate]76,　 停業單位損益,　　 停業單位損益合計,　　 母公司業主[duplicate]67,　　 繼續營業單位稅後淨利（淨損）[duplicate]73,　　 母公司業主[duplicate]63,　　 繼續營業單位稅後淨利（淨損）[duplicate]69,　　 母公司業主[duplicate]61,　　 繼續營業單位稅後淨利（淨損）[duplicate]67,　　　　 資產減損損失（迴轉利益）,　　　　 出售不良債權淨利益（損失）,　　　　　 出售不良債權淨利益（損失）,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額 ,　　 母公司業主[duplicate]71,　　 繼續營業單位稅後淨利（淨損）[duplicate]77,　　 母公司業主[duplicate]72,　　 繼續營業單位稅後淨利（淨損）[duplicate]78,　　 共同控制下前手權益,　　 母公司業主[duplicate]73,　　 共同控制下前手權益[duplicate]74,　　 繼續營業單位稅後淨利（淨損）[duplicate]80,　　　　　 以成本衡量之金融資產利益,　　　　　 出售不良資產損失,　　　　　 出售承受擔保品利益,　　　　　 出售承受擔保品損失,　　　　　 發行認購（售）權證費用,　　　　　 股務代理收入,　　　　　 顧問服務收入,　　　　　 租賃收入,　　　　　 其他什項收入,　　　　　 其他什項支出,　　　　 其他利息以外淨收益,　　　　 其他利息以外淨損失,　　 母公司業主[duplicate]80,　　 繼續營業單位稅後淨利（淨損）[duplicate]85
2890,2015年第3季,,,              7517936,              3195957,              4321979,,,,              2842452,,                484260,              2358192,,                903470,,                123088,,                              0,,               -103729,,                 45311,,                -21113,,,                 35755,,                -33912,,                 22546,,                 25035,,                 14873,,                  4294,,                 96493,                165084,              3470303,              7792282,,                313962,,              2847068,                246177,              1641665,              4734910,              2743410,               -273848,              2469562,              2469562,,,              1679481,               -190352,                              0,                 -3091,               -288556,              1197482,              1197482,              3667044,,              2469094,                    468,,              3666576,                    468,,                              0.24,                              0.24,,                              0.24,                              0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2015年第2季,,,              7573677,              3295674,              4278003,,,,              3099832,,                443441,              2656391,,                379974,,                 40390,,,,                473741,,                -19999,,                 -8980,,,,,                -32069,,                 24034,,                 25027,,                 15396,,                145950,,                 48573,                459320,              3980837,              8258840,,                 22433,,              3020133,                244950,              1627452,              4892535,              3343872,               -429312,              2914560,              2914560,,,               -263893,               -325048,                              0,                  2794,                 55295,               -530852,               -530852,              2383708,,              2914534,                     26,,              2383682,                     26,,                              0.29,                              0.29,,                              0.29,                              0.29,,                 -8980,,                232409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2015年第1季,,,              7648229,              3237056,              4411173,,,,              2790821,,                387730,              2403091,,                529606,,                178204,,,,                732420,,                 51041,,                -15162,,,,,                -27916,,                 20540,,                 25060,,                  8396,,,,                 37307,                 64549,              3943749,              8354922,,               -811360,,              3058906,                242305,              1526262,              4827473,              4338809,               -708361,              3630448,              3630448,,,               -256833,               -305158,                              0,                    597,                 38042,               -523352,               -523352,              3107096,,              3630568,                   -120,,,                   -120,,                              0.38,                              0.38,,,                              0.38,,,,                  1162,              3107216,                              0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2015年01月01日至2015年09月30日,,,             22739842,              9728687,             13011155,,,,              8733105,,              1315431,              7417674,,              1813050,,                341682,,                              0,,              1102432,,                 76353,,                -45255,,,                269326,,                -93897,,                 67120,,                 75122,,                 45168,,                151901,,                174213,                688953,             11394889,             24406044,,               -474965,,              8926107,                733432,              4795379,             14454918,             10426091,             -1411521,              9014570,              9014570,,,              1158755,               -820558,                              0,                    300,               -195219,                143278,                143278,              9157848,,              9014196,                    374,,              9157474,                    374,,                              0.89,                              0.89,,                              0.89,                              0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2015年01月01日至2015年06月30日,,,             15221906,              6532730,              8689176,,,,              5890653,,                831171,              5059482,,                909580,,                218594,,,,              1206161,,                 31042,,                -24142,,,,,                -59985,,                 44574,,                 50087,,                 30295,,                147607,,                 77720,                523869,              7924586,             16613762,,               -788927,,              6079039,                487255,              3153714,              9720008,              7682681,             -1137673,              6545008,              6545008,,,               -520726,               -630206,                              0,                  3391,                 93337,             -1054204,             -1054204,              5490804,,              6545102,                    -94,,              5490898,                    -94,,                              0.64,                              0.64,,                              0.64,                              0.64,,                -24142,,                233571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2014年第3季,,,              7872712,              3197698,              4675014,,,,              3126981,,                407848,              2719133,,                463338,,                217991,,                -11619,,                362527,,                 82497,,                -15473,,,                149989,,                -28805,,                 22330,,                 18174,,                 16631,,                 71224,,                  9434,                258977,              4077371,              8752385,,               -800105,,              3140659,                237266,              1659799,              5037724,              4514766,               -417928,              4096838,              4096838,,,                327638,               -406151,                              0,                              0,                -53472,               -131985,               -131985,              3964853,,              4096928,                    -90,,              3964943,                    -90,,                              0.43,                              0.43,,                              0.43,                              0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2014年第2季,,,              7895633,              3347259,              4548374,,,,              2744765,,                359296,              2385469,,                845400,,                133806,,,,                151759,,                -35049,,                -14679,,,,,                -28927,,                 22202,,                 17686,,                 16034,,                   -420,,              4171596,              4312238,              7778944,             12327318,,              2288305,,              3358945,                237534,              1565769,              5162248,              4876765,               -624803,              4251962,              4251962,,,               -352270,                139158,                              0,                              0,                 45459,               -167653,               -167653,              4084309,,              4252045,                    -83,,              4084392,                    -83,,                              0.45,                              0.45,,                              0.45,                              0.45,,                -14679,,                114067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2014年第1季,,,              7514929,              3118953,              4395976,,,,              2848906,,                354137,              2494769,,              2403879,,                 27885,,,,                -94003,,                123345,,                -56051,,,,,                -28469,,                 21342,,                 18224,,                 17285,,,,                 20335,                 59424,              4959248,              9355224,,                353675,,              3071880,                237889,              1399921,              4709690,              4291859,             -1329607,              2962252,              2962252,,,                266293,               -277962,                  3789,                              0,                -64414,                -72294,                -72294,              2889958,,              2962329,                    -77,,,                    -77,,                              0.33,                              0.33,,,                              0.33,,,,                 10707,              2890035,                              0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2014年度,,,             30981428,             12840730,             18140698,,,,             11431120,,              1550242,              9880878,,              4795367,,                421421,,                -11568,,                786779,,               -100871,,               -106842,,,,,               -112892,,                 88263,,,,                138766,,                 73709,,              4205434,              4689951,             20355115,             38495813,,              4037666,,             12246047,                955270,              6406898,             19608215,,             -1860674,             12989258,             12989258,,,,,,,,,,             13148629,,             12989606,                   -348,,,                   -348,,                              1.45,                              1.45,,,                              1.45,,,,                289414,,,,                 -6842,,                 14099,,                              0,             14849932,              1092452,               -739272,                  3789,                 23507,               -221105,                159371,             13148977,                              1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2890,2014年01月01日至2014年09月30日,,,             23283274,              9663910,             13619364,,,,              8720652,,              1121281,              7599371,,              3712617,,                379682,,                -11619,,                420283,,                170793,,                -86203,,,                274763,,                -86201,,                 65874,,                 54084,,                 49950,,                 73185,,              4198984,              4630639,             16815563,             30434927,,              1841875,,              9571484,                712689,              4625489,             14909662,             13683390,             -2372338,             11311052,             11311052,,,                241661,               -544955,                  3789,                              0,                -72427,               -371932,               -371932,             10939120,,             11311302,                   -250,,             10939370,                   -250,,                              1.19,                              1.19,,                              1.19,                              1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
