證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 其他收益及費損淨額,　　 其他收益及費損淨額
2486,2015年第3季,,              1587743,,              1501809,                 85934,                 85934,,,                 61211,,                 65133,,                 30178,                156522,                -70588,,,                  6066,,                 74152,,                 12727,,                              0,                 67491,                 -3097,,                  3322,                 -6419,                 -6419,,,                137548,                 -7265,                 23383,                106900,                106900,                100481,,                 -4821,                 -1598,,                102079,                 -1598,,                             -0.02,                             -0.02,,                             -0.02,                             -0.02,,,,,,
2486,2015年第2季,,              1736572,,              1626297,                110275,                110275,,,                 57566,,                 82185,,                 27488,                167239,                -56964,,,                 10212,,                -29485,,                 13867,,                              0,                -33140,                -90104,,                -13396,                -76708,                -76708,,,                -45862,                 -4168,                 -7797,                -42233,                -42233,               -118941,,                -75093,                 -1615,,               -117326,                 -1615,,                             -0.37,                             -0.37,,                             -0.37,                             -0.37,,,,,,
2486,2015年01月01日至2015年09月30日,,              4930104,,              4592765,                337339,                337339,,,                178746,,                224654,,                 81264,                484664,               -147325,,,                 32062,,                 54222,,                 41017,,                              0,                 45267,               -102058,,                 -6640,                -95418,                -95418,,,                 56442,                -17138,                  9595,                 29709,                 29709,                -65709,,                -88390,                 -7028,,                -58681,                 -7028,,                             -0.43,                             -0.43,,                             -0.43,                             -0.43,,,,,,
2486,2015年01月01日至2015年06月30日,,              3342361,,              3090956,                251405,                251405,,,                117535,,                159521,,                 51086,                328142,                -76737,,,                 25996,,                -19930,,                 28290,,                              0,                -22224,                -98961,,                 -9962,                -88999,                -88999,,,                -81106,                 -9873,                -13788,                -77191,                -77191,               -166190,,                -83569,                 -5430,,               -160760,                 -5430,,                             -0.41,                             -0.41,,                             -0.41,                             -0.41,,,,,,
2486,2015年01月01日至2015年03月31日,,              1605789,,              1464659,                141130,                141130,,,                 59969,,                 77336,,                 23598,                160903,                -19773,,,                 15784,,                  9555,,                 14423,,                              0,                 10916,                 -8857,,                  3434,                -12291,                -12291,,,                -35244,                 -5705,                 -5991,                -34958,                -34958,                -47249,,                 -8476,                 -3815,,                -43434,                 -3815,,                             -0.04,                             -0.04,,                              0.00,                              0.00,,,,,,
2486,2014年第3季,,              1962283,,              1711614,                250669,                250669,,,                 61958,,                 72342,,                 17259,                151559,                 99110,,,                 13963,,                 -6368,,                 13651,,                              0,                 -6056,                 93054,,                 28730,                 64324,                 64324,,,                 76406,                 -7804,                 12989,                 55613,                 55613,                119937,,                 65984,                 -1660,,                121597,                 -1660,,                              0.32,                              0.32,,                              0.23,                              0.23,,,,,,
2486,2014年第2季,,              2006576,,              1731205,                275371,                275371,,,                 60293,,                 73223,,                 16112,                149628,                125743,,,                 10696,,                -38499,,                 14354,,                              0,                -42157,                 83586,,                 22848,                 60738,                 60738,,,                -59760,                    410,                -10159,                -49191,                -49191,                 11547,,                 62221,                 -1483,,                 13030,                 -1483,,                              0.30,                              0.30,,                              0.26,                              0.26,,,,,,
2486,2014年度,,              7081245,,              6291932,                789313,                789313,,,                227574,,                277271,,                 73189,                578034,                211279,,,                 46143,,                 59501,,                 57497,,                   -592,                 47555,                258834,,                 56837,                201997,                201997,,,,,,,                112651,                314648,,                209040,                 -7043,,                321691,                 -7043,,                              1.02,                              1.02,,                              0.92,                              0.92,                127910,                  2510,                  4791,                 22560,,
2486,2014年01月01日至2014年09月30日,,              5535333,,              4859859,                675474,                675474,,,                173738,,                219468,,                 46732,                439938,                235536,,,                 34526,,                  8025,,                 43600,,                   -592,                 -1641,                233895,,                 59755,                174140,                174140,,,                 20659,                   -229,                  3512,                 16918,                 16918,                191058,,                179854,                 -5714,,                196772,                 -5714,,                              0.88,                              0.88,,                              0.79,                              0.79,,,,,,
2486,2014年01月01日至2014年06月30日,,              3573050,,              3148245,                424805,                424805,,,                111780,,                147126,,                 29473,                288379,                136426,,,                 20563,,                 14393,,                 29949,,                   -592,                  4415,                140841,,                 31025,                109816,                109816,,,                -55747,                  7575,                 -9477,                -38695,                -38695,                 71121,,                113870,                 -4054,,                 75175,                 -4054,,                              0.56,                              0.56,,                              0.51,                              0.51,,,,,,
2486,2014年01月01日至2014年03月31日,,              1566474,,              1417040,                149434,                149434,,,                 51487,,                 73903,,                 13361,                138751,                 10683,,,                  9867,,                 52892,,                 15595,,                   -592,                 46572,                 57255,,                  8177,                 49078,                 49078,,,                  4013,                  7165,                    682,                 10496,                 10496,                 59574,,                 51649,                 -2571,,                 62145,                 -2571,,                              0.25,                              0.25,,                              0.25,                              0.25,,,,,,
2486,2013年第3季,,              1741547,,              1478455,                263092,                263092,,,                 59782,,                 81850,,                 27032,                168664,                 94428,,,                 15552,,                  2242,,                 22902,,                 -7687,                -12795,                 81633,,                 22021,                 59612,                 59612,,,,,,,                -25214,                 34398,,                 66638,                 -7026,,                 41424,                 -7026,,                              0.33,                              0.33,,                              0.32,                              0.32,                -32137,                  1460,,                 -5463,,
2486,2013年第2季,,              1886153,,              1654400,                231753,                231753,,,                 50126,,                 77927,,                 24293,                152346,                 79407,,,                  7887,,                -12040,,                 18429,,                 -2283,                -24865,                 54542,,                 23772,                 30770,                 30770,,,,,,,                 31116,                 61886,,                 35878,                 -5108,,                 66994,                 -5108,,                              0.18,                              0.18,,                              0.17,                              0.17,                 38836,                   -502,,                  7218,,
2486,2013年度,,              6680359,,              5842261,                838098,                838098,,,                213091,,                309011,,                120103,                642205,                195893,,,                 45887,,                115113,,                 76369,,                -30108,                 54523,                250416,,                 57185,                193231,                193231,,,,,,,                112637,                305868,,                216375,                -23144,,                329012,                -23144,,                              1.06,                              1.06,,                              1.05,                              1.05,                121154,                  2146,                 11967,                 22630,,
2486,2013年07月01日至2013年09月30日,,              1741547,,              1478455,                263092,                263092,,,                 59782,,                 81850,,                 27032,                168664,                 92561,,,                 17419,,                  2242,,                 22902,,                 -7687,                -10928,                 81633,,                 22021,                 59612,                 59612,,,,,,,                -25214,                 34398,,                 66638,                 -7026,,                 41424,                 -7026,,                              0.32,                              0.32,,                              0.33,                              0.33,                -32137,                  1460,,                 -5463,,                 -1867
2486,2013年04月01日至2013年06月30日,,              1886153,,              1654400,                231753,                231753,,,                 50126,,                 77927,,                 24293,                152346,                 77415,,,                  9879,,                -12040,,                 18429,,                 -2283,                -22873,                 54542,,                 23772,                 30770,                 30770,,,,,,,                 31116,                 61886,,                 35878,                 -5108,,                 66994,                 -5108,,                              0.18,                              0.18,,                              0.17,                              0.17,                 38836,                   -502,,                  7218,,                 -1992
2486,2013年01月01日至2013年12月31日,,              6680359,,              5842261,                838098,                838098,,,                213091,,                309011,,                120103,                642205,                195893,,,                 45887,,                115113,,                 76369,,                -30108,                 54523,                250416,,                 57185,                193231,                193231,,,,,,,                112637,                305868,,                216375,                -23144,,                329012,                -23144,,                              1.06,                              1.06,,                              1.05,                              1.05,                121154,                  2146,                 11967,                 22630,,
2486,2013年01月01日至2013年09月30日,,              5127135,,              4507915,                619220,                619220,,,                153631,,                231901,,                 81629,                467161,                152059,,,                 34061,,                 71083,,                 59660,,                -13522,                 31962,                184021,,                 51442,                132579,                132579,,,,,,,                 65878,                198457,,                149274,                -16695,,                215152,                -16695,,                              0.73,                              0.73,,                              0.73,                              0.73,                 77557,                  1506,,                 13185,,                              0
2486,2013年01月01日至2013年06月30日,,              3385588,,              3029460,                356128,                356128,,,                 93849,,                150051,,                 54597,                298497,                 57631,,,                 18509,,                 68841,,                 36758,,                 -5835,                 44757,                102388,,                 29421,                 72967,                 72967,,,,,,,                 91092,                164059,,                 82636,                 -9669,,                173728,                 -9669,,                              0.41,                              0.41,,                              0.40,                              0.40,                109694,                     46,,                 18648,,
