證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　 停業單位損益,　　 停業單位損益合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
2520,2015年第3季,,,,              2073067,              2073067,              2073067,,              1574486,                498581,                498581,,,                 86284,,                312434,                398718,                 99863,,,                  6997,,                 12651,,                 62377,,                 -1580,                -44309,                 55554,,                 46966,                  8588,                  8588,,,                   -124,                              0,                   -124,,                  5798,                              0,                  5798,                  5674,                 14262,,                -43514,                 52102,,                -38643,                 52905,,                             -0.09,,                             -0.09,,,,,,
2520,2015年第2季,,,,              1465290,              1465290,              1465290,,                985900,                479390,                479390,,,                 85068,,                303580,                388648,                 90742,,,                  6572,,                 13547,,                 52592,,                   -760,                -33233,                 57509,,                185869,               -128360,               -128360,,,                              0,                              0,                              0,,                 -2289,                              0,                 -2289,                 -2289,               -130649,,               -149938,                 21578,,               -151861,                 21212,,                             -0.31,,                             -0.31,,,,,,
2520,2015年01月01日至2015年09月30日,,,,              5360635,              5360635,              5360635,,              3787368,              1573267,              1573267,,,                254672,,                925035,              1179707,                393560,,,                 15688,,                 42678,,                181333,,                    504,               -122463,                271097,,                257193,                 13904,                 13904,,,                   -248,                              0,                   -248,,                  1558,                              0,                  1558,                  1310,                 15214,,                -76988,                 90892,,                -75848,                 91062,,                             -0.16,,                             -0.16,,,,,,
2520,2015年01月01日至2015年06月30日,,,,              3287568,              3287568,              3287568,,              2212882,              1074686,              1074686,,,                168388,,                612601,                780989,                293697,,,                  8691,,                 30027,,                118956,,                  2084,                -78154,                215543,,                210227,                  5316,                  5316,,,                   -124,                              0,                   -124,,                 -4240,                              0,                 -4240,                 -4364,                    952,,                -33474,                 38790,,                -37205,                 38157,,                             -0.07,,                             -0.07,,,,,,
2520,2015年01月01日至2015年03月31日,,,,              1822278,              1822278,              1822278,,              1226982,                595296,                595296,,,                 83320,,                309021,                392341,                202955,,,                  2119,,                 16480,,                 66364,,                  2844,                -44921,                158034,,                 24358,                133676,                133676,,,                   -124,,                   -124,,                 -1951,,                 -1951,                 -2075,                131601,,                116464,                 17212,,                114656,                 16945,,                              0.24,,,,,,,,
2520,2014年第3季,,,,                700133,                700133,                700133,,                347947,                352186,                352186,,,                 46477,,                298772,                345249,                  6937,,,                  1963,,                 18394,,                 49467,,                  1184,                -27926,                -20989,,                 29489,                -50478,                -50478,,,                              0,                              0,                              0,,                  4939,                              0,                  4939,                  4939,                -45539,,                -57998,                  7520,,                -53848,                  8309,,                             -0.12,,                             -0.12,,,,,,
2520,2014年第2季,,,,              1632849,              1632849,              1632849,,                851402,                781447,                781447,,,                 82256,,                271947,                354203,                427244,,,                  6447,,                    894,,                 44004,,                    -94,                -36757,                390487,,                117847,                272640,                272640,,,                              0,                              0,                              0,,                 -3497,                              0,                 -3497,                 -3497,                269143,,                247379,                 25261,,                244441,                 24702,,                              0.50,,                              0.50,,,,,,
2520,2014年度,,,,,,             13165659,,              8194488,              4971171,              4971171,,,                223906,,              1281772,              1505678,              3465493,,,                 20661,,                 66387,,                215390,,                    792,               -127550,              3337943,,                305938,              3032005,              3032005,,,,,,,,,,                  3868,              3035873,,              2873495,                158510,,              2874281,                161592,,                              5.82,,                              5.82,                  2391,                  1477,,,,
2520,2014年01月01日至2014年09月30日,,,,              7298146,              7298146,              7298146,,              4345418,              2952728,              2952728,,,                154916,,                891627,              1046543,              1906185,,,                  9790,,                 18640,,                159321,,                  2203,               -128688,              1777497,,                301598,              1475899,              1475899,,,                              0,                              0,                              0,,                 -2668,                              0,                 -2668,                 -2668,              1473231,,              1367301,                108598,,              1365060,                108171,,                              2.77,,                              2.77,,,,,,
2520,2014年01月01日至2014年06月30日,,,,              6598013,              6598013,              6598013,,              3997471,              2600542,              2600542,,,                108439,,                592855,                701294,              1899248,,,                  7827,,                    246,,                109854,,                  1019,               -100762,              1798486,,                272109,              1526377,              1526377,,,                              0,                              0,                              0,,                 -7607,                              0,                 -7607,                 -7607,              1518770,,              1425299,                101078,,              1418908,                 99862,,                              2.88,,                              2.88,,,,,,
