證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3481,2015年第3季,,             88756324,,             77983670,             10772654,             10772654,,,                803631,,              1594730,,              3668646,              6067007,              4705647,,,                524304,,               -789427,,                373577,,                 14644,               -624056,              4081591,,                599667,              3481924,              3481924,,,              1948008,               -499438,                              0,,                 46540,                -39098,              1534208,              1534208,              5016132,,              3481886,                     38,,              5016324,                   -192,,                              0.35,                              0.35,,                              0.35,                              0.35,,,,,,,
3481,2015年第2季,,             93755186,,             78158603,             15596583,             15596583,,,                845715,,              1720382,,              3624247,              6190344,              9406239,,,                641752,,             -2325487,,                399635,,                 20087,             -2063283,              7342956,,              1936835,              5406121,              5406121,,,               -633226,              3218992,                              0,,                -10881,                -18876,              2593761,              2593761,              7999882,,              5406294,                   -173,,              8001681,                 -1799,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,,
3481,2015年01月01日至2015年09月30日,,            282669377,,            238556083,             44113294,             44113294,,,              2457591,,              5063871,,             11263155,             18784617,             25328677,,,              1605888,,             -4487333,,              1087147,,                124691,             -3843901,             21484776,,              3947442,             17537334,             17537334,,,                -14760,              2884500,               -297675,,                  9844,               -100816,              2682725,              2682725,             20220059,,             17538787,                 -1453,,             20251254,                -31195,,                              1.77,                              1.77,,                              1.73,                              1.73,,,,,,,
3481,2015年01月01日至2015年06月30日,,            193913053,,            160572413,             33340640,             33340640,,,              1653960,,              3469141,,              7594509,             12717610,             20623030,,,              1081584,,             -3697906,,                713570,,                110047,             -3219845,             17403185,,              3347775,             14055410,             14055410,,,             -1962768,              3383938,               -297675,,                -36696,                -61718,              1148517,              1148517,             15203927,,             14056901,                 -1491,,             15234930,                -31003,,                              1.42,                              1.42,,                              1.39,                              1.39,,,,,,,
3481,2015年01月01日至2015年03月31日,,            100157867,,             82413810,             17744057,             17744057,,,                808245,,              1748759,,              3970262,              6527266,             11216791,,,                439832,,             -1372419,,                313935,,                 89960,             -1156562,             10060229,,              1410940,              8649289,              8649289,,,             -1329542,                164946,               -297675,,                -25815,                -42842,             -1445244,             -1445244,              7204045,,              8650607,                 -1318,,              7233249,                -29204,,                              0.87,                              0.87,,                              0.86,                              0.86,,,,,,,
3481,2014年第3季,,            113091500,,             98525614,             14565886,             14565886,,,                833108,,              1575285,,              3063429,              5471822,              9094064,,,                838435,,             -1442563,,                775636,,                 33070,             -1346694,              7747370,,                387861,              7359509,              7359509,,,                816142,               -186641,                  4094,,                -15745,                 12705,                605145,                605145,              7964654,,              7358547,                    962,,              7963300,                  1354,,                              0.77,                              0.77,,                              0.77,                              0.77,,,,,,,
3481,2014年第2季,,            111064490,,             99260263,             11804227,             11804227,,,                775657,,              1665961,,              2996236,              5437854,              6366373,,,                384970,,             -2369552,,              1002421,,                 36805,             -2950198,              3416175,,                406083,              3010092,              3010092,,,             -1228906,                391380,                  5866,,                -27377,                  9692,               -868729,               -868729,              2141363,,              3011222,                 -1130,,              2143342,                 -1979,,                              0.33,                              0.33,,                              0.33,                              0.33,,,,,,,
3481,2014年度,,            428661898,,            378276897,             50385001,             50385001,,,              3224079,,              6810443,,             12177083,             22211605,             28173396,,,              2734952,,             -5130475,,              3309347,,                 65814,             -5639056,             22534340,,                857432,             21676908,             21676908,,,,,,,,,,              3159493,             24836401,,             21676759,                    149,,             24844853,                 -8452,,                              2.31,                              2.31,,                              2.28,                              2.28,              3078767,                284946,               -278458,                -55790,,                 81659,                -48369
3481,2014年01月01日至2014年09月30日,,            313714890,,            281718933,             31995957,             31995957,,,              2287170,,              4845842,,              8223649,             15356661,             16639296,,,              1794212,,             -4249081,,              2929457,,                 70722,             -5313604,             11325692,,                803136,             10522556,             10522556,,,                362095,                303132,                 17811,,                -35640,                 -7740,                655138,                655138,             11177694,,             10522329,                    227,,             11186607,                 -8913,,                              1.14,                              1.14,,                              1.13,                              1.13,,,,,,,
3481,2014年01月01日至2014年06月30日,,            200623390,,            183193319,             17430071,             17430071,,,              1454062,,              3270557,,              5160220,              9884839,              7545232,,,                955777,,             -2806518,,              2153821,,                 37652,             -3966910,              3578322,,                415275,              3163047,              3163047,,,               -454047,                489773,                 13717,,                -19895,                -20445,                 49993,                 49993,              3213040,,              3163782,                   -735,,              3223307,                -10267,,                              0.35,                              0.35,,                              0.35,                              0.35,,,,,,,
