證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 合併前非屬共同控制股權綜合損益淨額,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　　 利息收入,　　　　 利息收入合計,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 減損損失,　　　　 減損損失合計
1560,2015年第3季,,,,              1036645,                  6279,                    814,              1029552,              1029552,,                726800,                302752,                302752,,,                 72189,,                 50872,,                 22432,                145493,                157259,,,                  1957,                  1957,,                 28915,,                              0,                 30872,                188131,,                 32536,                155595,                155595,,,                     49,                     49,                     49,                              0,                155644,,                              1.10,,                              1.09,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,2015年第2季,,,,              1055478,                  1751,                    629,              1053098,              1053098,,                713303,                339795,                339795,,,                 62748,,                 52923,,                 20271,                135942,                203853,,,                  1178,                  1178,,                -11299,,                      4,                -10125,                193728,,                 33743,                159985,                159985,,,,,                   -409,,                159576,,                              1.13,,                              1.12,,,                   -409,                   -409,                   -409,,,,,,,,,,,,,,,,,,,,,
1560,2015年01月01日至2015年09月30日,,,,              3116201,                 14480,                  1927,              3099794,              3099794,,              2139038,                960756,                960756,,,                194345,,                151258,,                 63814,                409417,                551339,,,                  4416,                  4416,,                  9081,,                              0,                 13497,                564836,,                 98117,                466719,                466719,,,                   -553,                   -553,                   -553,                              0,                466166,,                              3.31,,                              3.25,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,2015年01月01日至2015年06月30日,,,,              2079556,                  8201,                  1113,              2070242,              2070242,,              1412238,                658004,                658004,,,                122156,,                100386,,                 41382,                263924,                394080,,,                  2459,                  2459,,                -19472,,                    362,                -17375,                376705,,                 65581,                311124,                311124,,,,,                   -602,,                310522,,                              2.21,,                              2.17,,,                   -602,                   -602,                   -602,,,,,,,,,,,,,,,,,,,,,
1560,2015年01月01日至2015年03月31日,,,,              1024078,                  6450,                    484,              1017144,              1017144,,                698935,                318209,                318209,,,                 59408,,                 47463,,                 21111,                127982,                190227,,,                  1281,                  1281,,                 -8173,,                    358,                 -7250,                182977,,                 31838,                151139,                151139,,,                   -193,                   -193,                   -193,,                150946,,                              1.07,,                              1.06,,,,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,
1560,2014年第3季,,,,              1120430,                  2107,                  1150,              1117173,              1117173,,                728506,                388667,                388667,,,                139526,,                 49504,,                 15605,                204635,                184032,,,                  1774,                  1774,,                 10129,,                    850,                 11053,                195085,,                 45647,                149438,                149438,,,                    -53,                    -53,                    -53,                              0,                149385,,                              1.06,,                              1.05,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,2014年第2季,,,,              1168041,                  3461,                    619,              1163961,              1163961,,                769126,                394835,                394835,,,                 43330,,                 45061,,                 22402,                110793,                284042,,,                  2969,                  2969,,                -44593,,                              0,                -41624,                242418,,                 49823,                192595,                192595,,,,,                    -77,,                192518,,                              1.37,,                              1.35,,,                    -77,                    -77,                    -77,,,,,,,,,,,,,,,,,,,,,
1560,2014年度,,,,              4372677,                  9787,                  8066,              4354824,              4354824,,              2918423,              1436401,              1436401,,,                303133,,                200139,,                 77115,                580387,                856014,,,                 12672,                 12672,,                -45600,,                    665,                -33593,                822421,,                168984,                653437,                653437,,,,,                -13030,,                640407,,                              4.63,,                              4.58,,,,,,,,,,,,,,,                     95,                -15813,                  2688,,,,,,,,,
1560,2014年01月01日至2014年09月30日,,,,              3318905,                  7590,                  2476,              3308839,              3308839,,              2213118,              1095721,              1095721,,,                240113,,                142743,,                 58510,                441366,                654355,,,                  8304,                  8304,,                -39992,,                    850,                -32538,                621817,,                127059,                494758,                494758,,,                    -81,                    -81,                    -81,                              0,                494677,,                              3.51,,                              3.47,,,,,,,,,,,,,,,,,,,,,,,,,,
1560,2014年01月01日至2014年06月30日,,,,              2198475,                  5483,                  1326,              2191666,              2191666,,              1484612,                707054,                707054,,,                100587,,                 93239,,                 42905,                236731,                470323,,,                  6530,                  6530,,                -50121,,                              0,                -43591,                426732,,                 81412,                345320,                345320,,,,,                    -28,,                345292,,                              2.45,,                              2.43,,,                    -28,                    -28,                    -28,,,,,,,,,,,,,,,,,,,,,
