證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他營業成本
1512,2014年01月01日至2014年03月31日,,,                856103,,                    296,                856399,,,                748205,                748205,                108194,                108194,,,                 83627,,                 73106,,                  1194,                157927,                -49733,,,,                  2580,,                  5751,,                 20559,                -12228,                -61961,,                 14774,                -76735,                -76735,,,                 21436,                     60,                  3644,                 17852,                 17852,                -58883,,                -78883,                  2148,,                -61739,                  2856,,                             -0.43,                             -0.43,,                             -0.43,                             -0.43,,,,,
1512,2013年第3季,,,                707208,,                    467,                707675,,,                607645,                607645,                100030,                100030,,,                 64315,,                 74695,,                  1508,                140518,                -40488,,,                  7300,                  7300,,                -11287,,                 20208,                -24195,                -64683,,                  1484,                -66167,                -66167,,,,,,,                -13048,                -79215,,                -68723,                  2556,,                -81291,                  2076,,                             -0.38,                             -0.38,,,,                -16048,                    274,,                 -2726,
1512,2013年第2季,,,                806400,,                    533,                806933,,,                721692,                721692,                 85241,                 85241,,,                 50882,,                 85879,,                  3648,                140409,                -55168,,,                  7829,                  7829,,                 12674,,                 20008,                    495,                -54673,,                 17358,                -72031,                -72031,,,,,,,                 27733,                -44298,,                -73177,                  1146,,                -46127,                  1829,,                             -0.40,                             -0.40,,,,                 34566,                   -371,,                  6462,
1512,2013年度,,,              3704665,,                 12878,              3717543,,,              3209689,              3209689,                507854,                507854,,,                229794,,                311205,,                  8024,                549023,                -41169,,,                 28246,                 28246,,                 44890,,                 79882,                 -6746,                -47915,,                 67504,               -115419,               -115419,,,,,,,                 71121,                -44298,,               -123114,                  7695,,                -55214,                 10916,,                             -0.68,                             -0.68,,                             -0.68,                             -0.68,                 99880,                    198,                -14507,                 14450,
1512,2013年07月01日至2013年09月30日,,,                707208,,                    467,                707675,,,                605605,                607645,                100030,                100030,,,                 64315,,                 74695,,                  1508,                140518,                -40488,,,                  7300,                  7300,,                -11287,,                 20208,                -24195,                -64683,,                  1484,                -66167,                -66167,,,,,,,                -13048,                -79215,,                -68723,                  2556,,                -81291,                  2076,,                             -0.38,                             -0.38,,                             -0.38,                             -0.38,                -16048,                    274,,                 -2726,                  2040
1512,2013年04月01日至2013年06月30日,,,                806400,,                    533,                806933,,,                719167,                721692,                 85241,                 85241,,,                 50882,,                 85879,,                  3648,                140409,                -55168,,,                  7829,                  7829,,                 12674,,                 20008,                    495,                -54673,,                 17358,                -72031,                -72031,,,,,,,                 27733,                -44298,,                -73177,                  1146,,                -46127,                  1829,,                             -0.40,                             -0.40,,                             -0.40,                             -0.40,                 34566,                   -371,,                  6462,                  2525
1512,2013年01月01日至2013年12月31日,,,              3704665,,                 12878,              3717543,,,              3189976,              3209689,                507854,                507854,,,                229794,,                311205,,                  8024,                549023,                -41169,,,                 28246,                 28246,,                 44890,,                 79882,                 -6746,                -47915,,                 67504,               -115419,               -115419,,,,,,,                 71121,                -44298,,               -123114,                  7695,,                -55214,                 10916,,                             -0.68,                             -0.68,,                             -0.68,                             -0.68,                 99880,                    198,                -14507,                 14450,                 19713
1512,2013年01月01日至2013年09月30日,,,              2309186,,                  1281,              2310467,,,              2014369,              2014369,                296098,                296098,,,                168428,,                232642,,                  6329,                407399,               -111301,,,                 17981,                 17981,,                 18184,,                 59757,                -23592,               -134893,,                 27511,               -162404,               -162404,,,,,,,                 59840,               -102564,,               -167583,                  5179,,               -110060,                  7496,,                             -0.92,                             -0.92,,,,                 71809,                    173,,                 12142,
1512,2013年01月01日至2013年06月30日,,,              1601978,,                    814,              1602792,,,              1406724,              1406724,                196068,                196068,,,                104113,,                157947,,                  4821,                266881,                -70813,,,                 10681,                 10681,,                 29471,,                 39549,                    603,                -70210,,                 26027,                -96237,                -96237,,,,,,,                 72888,                -23349,,                -98860,                  2623,,                -28769,                  5420,,                             -0.54,                             -0.54,,,,                 87857,                   -101,,                 14868,
1512,2013年01月01日至2013年03月31日,,,                795578,,                    281,                795859,,,                683769,                685032,                110827,                110827,,,                 53231,,                 72068,,                  1173,                126472,                -15645,,,,                  2852,,                 16797,,                 19541,                    108,                -15537,,                  8669,                -24206,                -24206,,,,,,,                 45155,                 20949,,                -25683,                  1477,,                 17358,                  3591,,                             -0.14,                             -0.14,,                             -0.14,                             -0.14,                 53645,                    270,,                  8760,                  1263
1512,2012年07月01日至2012年09月30日,,,              1082431,,                    535,              1082966,,,                903402,                905263,                177703,                177703,,,                 62855,,                 65537,,                  2465,                130857,                 46846,,,                  6675,                  6675,,                -10825,,                 20259,                -24409,                 22437,,                  7262,                 15175,                 15175,,,,,,,                -29899,                -14724,,                 13774,                  1401,,                -15131,                    407,,                              0.08,                              0.08,,                              0.08,                              0.08,                -36304,                    161,,                 -6244,                  1861
1512,2012年04月01日至2012年06月30日,,,              1081060,,                  1135,              1082195,,,                884617,                886627,                195568,                195568,,,                 56673,,                 67398,,                  1008,                125079,                 70489,,,                  9542,                  9542,,                    -28,,                 22181,                -12667,                 57822,,                 13677,                 44145,                 44145,,,,,,,                  9215,                 53360,,                 42385,                  1760,,                 51653,                  1707,,                              0.23,                              0.23,,                              0.23,                              0.23,                 13174,                    -76,,                  3883,                  2010
1512,2012年01月01日至2012年12月31日,,,              4181080,,                  4825,              4185905,,,              3520517,              3527134,                658771,                658771,,,                218330,,                269074,,                  8560,                495964,                162807,,,                 28901,                 28901,,                -16404,,                 85827,                -73330,                 89477,,                 40077,                 49400,                 49400,,,,,,,                -90490,                -41090,,                 43151,                  6249,,                -45111,                  4021,,                              0.24,                              0.24,,                              0.24,                              0.24,                -63464,                    760,                -37068,                 -9282,                  6617
1512,2012年01月01日至2012年09月30日,,,              3154755,,                  2738,              3157493,,,              2651312,              2656757,                500736,                500736,,,                170826,,                195592,,                  4317,                370735,                130001,,,                 21010,                 21010,,                -24406,,                 65198,                -68594,                 61407,,                 35275,                 26132,                 26132,,,,,,,                -58826,                -32694,,                 20933,                  5199,,                -35637,                  2943,,                              0.12,                              0.12,,                              0.12,                              0.12,                -62511,                    795,,                 -2890,                  5445
1512,2012年01月01日至2012年06月30日,,,              2072324,,                  2203,              2074527,,,              1747910,              1751494,                323033,                323033,,,                107971,,                130055,,                  1852,                239878,                 83155,,,                 14335,                 14335,,                -13581,,                 44939,                -44185,                 38970,,                 28013,                 10957,                 10957,,,,,,,                -28927,                -17970,,                  7159,                  3798,,                -20506,                  2536,,                              0.04,                              0.04,,                              0.04,                              0.04,                -26207,                    634,,                  3354,                  3584
1512,2012年01月01日至2012年03月31日,,,                991264,,                  1068,                992332,,,                863293,                864867,                127465,                127465,,,                 51298,,                 62657,,                    844,                114799,                 12666,,,,                  4793,,                -13553,,                 22758,                -31518,                -18852,,                 14336,                -33188,                -33188,,,,,,,                -38142,                -71330,,                -35226,                  2038,,                -72159,                    829,,                             -0.19,                             -0.19,,                             -0.19,                             -0.19,                -39381,                    710,,                   -529,                  1574
