證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分投資性不動產利益
1417,2015年第3季,,,,                889828,                    484,                889344,                889344,,                747065,                142279,                142279,,,                211342,,                 92538,                303880,               -161601,,,,                  1687,                 12114,                 32287,                    888,                 46976,,                    225,                 16057,                  9578,                -26811,                  7405,                 -8356,,                  2886,                  2886,,                 -3467,                 -3467,                 32267,               -129334,,                     55,               -129389,               -129389,,,                 95128,                -83177,,                 -2312,                  9639,                  9639,               -119750,,               -129389,,               -119750,,                             -0.34,                             -0.34,,,,,,,,,
1417,2015年第2季,,,,                808058,                    900,                807158,                807158,,                587254,                219904,                219904,,,                227402,,                 99076,                326478,               -106574,,,,                  3181,                  4781,                 18901,                  1729,                 28592,,                              0,                              0,                 -1236,                 -1753,                  2591,                 -5580,,                  2721,                  2721,,                 -3714,                 -3714,                 16577,                -89997,,                     50,                -90047,                -90047,,,                -28714,                -46984,,                    -14,                -75712,                -75712,               -165759,,                -90047,,               -165759,,                             -0.24,                             -0.24,,,,,,,,,
1417,2015年01月01日至2015年09月30日,,,,              2637344,                  2000,              2635344,              2635344,,              2053213,                582131,                582131,,,                659222,,                280883,                940105,               -357974,,,,                  7933,                 22540,                 51188,                  2617,                 84278,,                    377,                 21491,                    -99,                -29373,                 13892,                -21496,,                  8537,                  8537,,                 -8186,                 -8186,                 46059,               -311915,,                    610,               -312525,               -312525,,,                 46190,               -125605,,                 -2163,                -81578,                -81578,               -394103,,               -312525,,               -394103,,                             -0.82,                             -0.82,,,,,,,,,
1417,2015年01月01日至2015年06月30日,,,,              1747516,                  1516,              1746000,              1746000,,              1306148,                439852,                439852,,,                447880,,                188345,                636225,               -196373,,,,                  6246,                 10426,                 18901,                  1729,                 37302,,                    152,                  5434,                 -9677,                 -2562,                  6487,                -13140,,                  5651,                  5651,,                 -4719,                 -4719,                 13792,               -182581,,                    555,               -183136,               -183136,,,                -48938,                -42428,,                    149,                -91217,                -91217,               -274353,,               -183136,,               -274353,,                             -0.48,                             -0.48,,,,,,,,,
1417,2015年01月01日至2015年03月31日,,,,                939458,                    616,                938842,                938842,,                718894,                219948,                219948,,,                220478,,                 89269,                309747,                -89799,,,,                  3065,                  5645,,                              0,                  8710,,                    152,                  5434,                 -8441,                   -809,                  3896,                 -7560,,                  2930,                  2930,,                 -1005,                 -1005,                 -2785,                -92584,,                    505,                -93089,                -93089,,,                -20224,                  4556,,                    163,                -15505,                -15505,               -108594,,                -93089,,               -108594,,                             -0.25,                             -0.25,,,,,,,,,
1417,2014年第3季,,,,                772758,                    192,                772566,                772566,,                606435,                166131,                166131,,,                208808,,                 75817,                284625,               -118494,,,,                  4878,                  4225,                 29214,                    236,                 38553,,                     10,                 22179,                 -1817,                 -4532,                  2777,                 13063,,                  2524,                  2524,,                 -6168,                 -6168,                 42924,                -75570,,                -10060,                -65510,                -65510,,,                 59321,                353242,,                    725,                413288,                413288,                347778,,                -65510,,                347778,,                             -0.17,                             -0.17,,,,,,,,,
1417,2014年第2季,,,,                739882,                     10,                739872,                739872,,                507394,                232478,                232478,,,                202074,,                 79071,                281145,                -48667,,,,                  6985,                  3413,                 16928,                 12050,                 39376,,                     24,                  3787,                 -1229,                  4152,                  4634,                  2100,,                  2080,                  2080,,                 -4216,                 -4216,                 35180,                -13487,,                  1573,                -15060,                -15060,,,                -47362,                 40848,,                    350,                 -6164,                 -6164,                -21224,,                -15060,,                -21224,,                             -0.04,                             -0.04,,,,,,,,,
1417,2014年度,,,,              3287051,                    285,              3286766,              3286766,,              2357695,                929071,                929071,,,                759610,,                358946,              1118556,               -189485,,,,                 22825,                 26175,                 46467,                104244,                199711,,                  1420,                 33102,                   -462,                 10463,                 25657,                 18866,,                  9510,                  9510,,                    341,                    341,                209408,                 19923,,                 -9178,                 29101,                 29101,,,,,,,,                495881,                524982,,                 29101,,                524982,,                              0.08,                              0.08,                 90482,                411725,                 -3447,,                 -2879,,                              0.08,                              0.08,
1417,2014年01月01日至2014年09月30日,,,,              2392767,                    242,              2392525,              2392525,,              1760802,                631723,                631723,,,                592465,,                234425,                826890,               -195167,,,,                 18840,                 11168,                 46142,                 94275,                170425,,                  4260,                 33356,                 -4210,                  7529,                 10899,                 30036,,                  6876,                  6876,,                  5485,                  5485,                199070,                  3903,,                 -1366,                  5269,                  5269,,,                 14078,                427173,,                 -1964,                439287,                439287,                444556,,                  5269,,                444556,,                              0.01,                              0.01,,,,,,,,,
1417,2014年01月01日至2014年06月30日,,,,              1620009,                     50,              1619959,              1619959,,              1154367,                465592,                465592,,,                383657,,                158608,                542265,                -76673,,,,                 13962,                  6943,                 16928,                 94039,                131872,,                  4250,                 11177,                 -2393,                 12061,                  8122,                 16973,,                  4352,                  4352,,                 11653,                 11653,                156146,                 79473,,                  8694,                 70779,                 70779,,,                -45243,                 73931,,                 -2689,                 25999,                 25999,                 96778,,                 70779,,                 96778,,                             -0.19,                             -0.19,,,,,,,,,
