證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　　 利息費用
3296,2015年第3季,,,                772108,                772108,,,                638765,                638765,                638765,                133343,                133343,,,                 30978,,                 45278,,                 42145,                118401,                 14942,,,                  2527,,                 23381,,                      6,                 25902,                 40844,,                      3,                 40841,                 40841,,,                 68193,                 68193,                 68193,                109034,,                 40841,,                109034,,                              0.37,,                              0.37,,,,,,,,,,,
3296,2015年第2季,,,,                608426,,,,,                525039,                 83387,                 83387,,,                 28018,,                 43905,,                 40472,                112395,                -29008,,,                  2116,,                   -267,,                              0,                  1849,                -27159,,                    596,                -27755,                -27755,,,                -20153,                -20153,                -20153,                -47908,,                -27755,,                -47908,,                             -0.25,,                             -0.25,                              0,,,,,,,,,,
3296,2015年01月01日至2015年09月30日,,,              1907293,              1907293,,,              1613409,              1613409,              1613409,                293884,                293884,,,                 83003,,                131582,,                119514,                334099,                -40215,,,                  6908,,                 15059,,                      6,                 21961,                -18254,,                    610,                -18864,                -18864,,,                 33569,                 33569,                 33569,                 14705,,                -18864,,                 14705,,                             -0.17,,                             -0.17,,,,,,,,,,,
3296,2015年01月01日至2015年06月30日,,,,              1135185,,,,,                974643,                160542,                160542,,,                 52025,,                 86305,,                 77369,                215699,                -55157,,,                  4381,,                 -8322,,                              0,                 -3941,                -59098,,                    607,                -59705,                -59705,,,                -34624,                -34624,                -34624,                -94329,,                -59705,,                -94329,,                             -0.54,,                             -0.54,                              0,,,,,,,,,,
3296,2015年01月01日至2015年03月31日,,,,                526759,,,,,                449604,                 77155,                 77155,,,                 24007,,                 42400,,                 36897,                103304,                -26149,,,                  2265,,                 -8055,,                              0,                 -5790,                -31939,,                     11,                -31950,                -31950,,,                -10572,                -10572,                -10572,                -42522,,                -31950,,                -42522,,                             -0.29,,                             -0.29,                              0,,,,,,,,,,
3296,2014年第3季,,,                834660,                834660,,,                698065,                698065,                698065,                136595,                136595,,,                 36416,,                 43738,,                 44586,                124740,                 11855,,,                  2908,,                 17253,,                              0,                 20161,                 32016,,                              0,                 32016,                 32016,,,                 31014,                 31014,                 31014,                 63030,,                 32016,,                 63030,,                              0.29,,                              0.29,,,,,,,,,,,
3296,2014年第2季,,,,                663068,,,,,                545193,                117875,                117875,,,                 24732,,                 43693,,                 45512,                113937,                  3938,,,                  3888,,                 -5491,,                              0,                 -1603,                  2335,,                    986,                  1349,                  1349,,,                -26272,                -26272,                -26272,                -24923,,                  1349,,                -24923,,                              0.01,,                              0.01,                              0,,,,,,,,,,
3296,2014年度,,,,              2948597,,,,,              2474698,                473899,                473899,,,                114896,,                177496,,                179864,                472256,                  1643,,,                 14478,,                 39930,,                      1,                 54407,                 56050,,                 14701,                 41349,                 41349,,,,,                 62749,                104098,,                 41349,,                104098,,                              0.37,,                              0.37,,                 61725,                  1024,                              0,,,,,,,
3296,2014年01月01日至2014年09月30日,,,              2039646,              2039646,,,              1734387,              1734387,              1734387,                305259,                305259,,,                 81828,,                130072,,                132520,                344420,                -39161,,,                 10105,,                 32550,,                      1,                 42654,                  3493,,                  1120,                  2373,                  2373,,,                 12029,                 12029,                 12029,                 14402,,                  2373,,                 14402,,                              0.02,,                              0.02,,,,,,,,,,,
3296,2014年01月01日至2014年06月30日,,,,              1204986,,,,,              1036322,                168664,                168664,,,                 45412,,                 86334,,                 87934,                219680,                -51016,,,                  7197,,                 15297,,                      1,                 22493,                -28523,,                  1120,                -29643,                -29643,,,                -18985,                -18985,                -18985,                -48628,,                -29643,,                -48628,,                             -0.27,,                             -0.27,                              0,,,,,,,,,,
